TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,3.199,0.0,100.933,27.47,0.0,301.327,0.0,0.703,0.0,100.682,0.0,1.893,0.0,2.157,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.57103,0.891801,62.4526,0.0,65.9363,-9999,21.7835,0.0,22.9986,-9999,0.386044,0.0,-9999,0.26603,0.386044,0.387429,0.0,0.0,0.0,0.65805,0.554716,0.65574,0.730538,0.272005,0.269695,0.283293,0.297242,1.07498,1.02983,1.05579,1.06354,0.239081,0.245899,0.246476,0.256303,-9999,-9999
201102,4.495,0.0,164.538,52.827,0.0,307.11,0.0,1.297,0.0,100.531,0.0,1.186,0.0,2.21,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.87259,0.0,62.9033,0.0,66.4121,-9999,21.2629,0.0,22.449,-9999,0.372601,0.0,-9999,0.252916,0.372601,0.374003,0.0,0.0,0.0,0.728216,0.614538,0.725938,0.807305,0.355615,0.353337,0.362099,0.383314,1.17238,1.12655,1.15582,1.16343,0.425734,0.437681,0.438482,0.450358,-9999,-9999
201103,6.449,0.0,260.502,128.097,0.0,288.614,0.0,2.588,0.0,101.066,0.0,0.485,0.0,1.832,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.88615,0.0,62.3965,0.0,77.734,-9999,21.5681,0.0,26.8697,-9999,0.380311,0.0,-9999,0.262806,0.380311,0.381748,0.0,0.0,0.0,0.853066,0.721481,0.85105,0.943102,0.472755,0.460971,0.470739,0.512469,1.33594,1.29084,1.32621,1.33309,0.871535,0.892194,0.895953,0.896599,-9999,-9999
201104,13.121,0.0791667,364.509,194.839,0.0791667,316.209,0.0791667,6.317,0.0,100.743,0.0777778,0.68,0.0,1.677,0.0777778,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.93335,0.0791667,63.157,0.079167,71.6652,-9999,21.1457,0.079167,23.9944,-9999,0.375918,0.0784722,-9999,0.251961,0.375828,0.37665,0.0784722,0.0784722,0.0784722,1.33489,1.13993,1.33443,1.46168,0.959312,0.889092,0.958606,1.03841,1.9474,1.89432,1.94816,1.96898,1.2172,1.23135,1.24937,1.25061,-9999,-9999
201105,15.005,0.505376,445.791,244.863,0.508065,320.854,0.506048,8.268,0.0,100.66,0.471102,0.542,0.0,2.039,0.479167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,404.822,0.505376,18.482,20.02,18.52,0.506048,0.506048,0.506048,7.38313,0.506048,54.461,0.505376,63.0784,-9999,47.2435,0.505376,54.7189,-9999,-2.50855,0.504704,-9999,-2.52745,-2.51102,-2.50855,0.504704,0.504704,0.504704,2.80169,2.78429,2.79075,2.80169,5.30888,5.29358,5.30901,5.31723,2.42411,2.40555,2.41202,2.42411,4.50765,4.51105,4.51964,4.58438,-9999,-9999
201106,16.644,0.999306,483.323,205.704,0.992361,353.759,1.0,6.604,0.0,100.269,0.979167,1.728,0.0,1.759,0.961111,0.239218502953,0.580555555556,114.739095085,0.971527777778,-9999,-9999,41.1205843519,0.997916666667,398.159751204,0.997916666667,412.714,0.992361,16.979,17.38,17.028,1.0,1.0,1.0,3.06169,1.0,105.213,0.992361,121.86,-9999,0.363955,0.995833,0.421544,-9999,-8.52756,0.986111,-9999,-8.52782,-8.51492,-8.46836,0.986111,0.986111,0.986111,5.3903,5.36117,5.39521,5.41669,13.9122,13.8763,13.891,13.9103,5.11098,5.11513,5.1621,5.19072,13.0156,12.7648,12.7883,12.8632,-9999,-9999
201107,16.032,0.822581,465.629,175.045,0.829301,356.834,0.824597,5.549,0.0,100.071,0.716398,1.673,0.0,1.762,0.69086,-9999,-9999,94.1192477509,0.583333333333,-9999,-9999,39.3885824948,0.603494623656,391.460046698,0.603494623656,398.716,0.808468,16.005,16.091,15.893,0.824597,0.824597,0.824597,2.67569,0.824597,89.2564,0.807796,100.661,-9999,4.85374,0.808468,5.47393,-9999,-8.9769,0.803091,-9999,-8.99069,-8.97664,-8.93366,0.803763,0.803091,0.803091,5.23781,4.95526,5.58676,5.74135,14.2196,13.8802,14.5822,14.7203,5.27827,5.00764,5.13081,5.3177,14.4326,14.1201,14.1561,14.238,-9999,-9999
201108,17.857,1.0,398.259,174.577,1.0,363.329,1.0,5.322,0.0,100.211,0.952285,2.471,0.0,1.599,0.995296,0.212047964082,0.584677419355,100.212431542,0.995967741935,-9999,-9999,35.2336021505,1.0,400.886979167,1.0,407.631,0.99664,16.616,16.739,16.62,1.0,1.0,1.0,2.58458,1.0,94.8229,0.995296,109.109,-9999,-8.75269,0.999328,-10.0713,-9999,-7.07609,0.994624,-9999,-7.1305,-7.09325,-7.0529,0.993952,0.994624,0.994624,4.67056,4.65819,4.67703,4.8026,11.7841,11.7577,11.7914,11.8619,5.63274,5.33943,5.67844,5.70162,12.3784,12.158,12.2102,12.2515,-9999,-9999
201109,16.468,1.0,302.318,147.197,1.0,347.21,1.0,4.493,0.0,100.455,0.994444,0.853,0.0,1.72,0.988194,0.216956725794,0.702777777778,72.17479375,1.0,-9999,-9999,29.8455493056,1.0,391.237200694,1.0,410.788,0.999306,14.848,14.84,14.838,1.0,1.0,1.0,0.870689,1.0,72.8574,0.999306,88.9309,-9999,-14.4348,1.0,-17.6194,-9999,-4.98702,0.998611,-9999,-5.00859,-5.00322,-4.98904,0.998611,0.998611,0.998611,4.27238,4.21278,4.24911,4.27238,9.27704,9.20556,9.25564,9.28555,4.65578,4.46007,4.51121,4.6681,9.27746,9.40229,9.43784,9.46701,-9999,-9999
201110,11.058,0.912634,200.592,93.716,0.913306,316.997,0.912634,2.872,0.0,100.814,0.854167,1.114,0.0,2.11,0.897849,0.272655378795,0.567876344086,27.2956100198,0.901209677419,-9999,-9999,20.7663639881,0.901209677419,362.447826389,0.901209677419,407.65,0.91129,10.167,10.108,10.314,0.912634,0.912634,0.912634,-4.3318,0.912634,42.1953,0.91129,50.4497,-9999,-16.2278,0.911962,-19.4024,-9999,-2.14079,0.909274,-9999,-2.16041,-2.12269,-2.0796,0.909274,0.909274,0.908602,2.79567,2.75145,2.79162,2.7999,4.90168,4.90768,4.90962,4.9119,2.07791,2.06448,2.08222,2.18506,4.4119,4.51462,4.57492,4.63132,-9999,-9999
