TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,6.023,0.0,100.9,24.316,0.0,303.417,0.0,1.218,0.0,99.485,0.0,2.448,0.0,3.961,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.80242,3.0,66.9275,0.0,46.2869,-9999,10.5791,0.0,7.31648,-9999,-3.8888,0.0,-9999,-3.8876,-3.78517,-3.68546,0.0,0.0,0.0,2.5553,2.40095,2.64871,2.68733,6.55286,6.22915,6.44922,6.55712,3.0006,1.72577,2.87693,5.84295,2.38024,1.99706,2.10247,2.75665,-9999,-9999
200702,5.801,0.0,164.505,51.0,0.0,298.249,0.0,1.201,0.0,98.821,0.0,2.145,0.0,2.701,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.56505,3.0,66.6536,0.0,46.0974,-9999,10.5683,0.0,7.30898,-9999,-3.89382,0.0,-9999,-3.88769,-3.79452,-3.67006,0.0,0.0,0.0,2.51079,2.35488,2.62375,2.66139,6.52831,6.1735,6.41986,6.52831,2.88665,1.58998,2.83769,5.82737,4.21455,3.68136,3.74958,5.03439,-9999,-9999
200703,7.232,0.0,260.473,115.166,0.0,285.846,0.0,2.468,0.0,99.318,0.0,1.488,0.0,2.872,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.41767,3.0,66.7633,0.0,-31.2328,-9999,10.494,0.0,-4.90924,-9999,-3.88884,0.0,-9999,-3.88737,-3.78907,-3.67921,0.0,0.0,0.0,2.72388,2.56751,2.77352,2.82735,6.6916,6.34853,6.59077,6.69755,3.29659,1.97911,2.96698,5.97882,7.28551,6.51604,6.59906,9.27123,-9999,-9999
200704,13.315,0.0,364.489,229.714,0.0,293.632,0.0,6.812,0.0,99.909,0.0,0.007,0.0,1.932,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.59604,3.0,66.7857,0.0,53.945,-9999,10.5464,0.0,8.51869,-9999,-3.89038,0.0,-9999,-3.88755,-3.78942,-3.67851,0.0,0.0,0.0,3.69407,3.486,3.5483,3.69407,7.41708,7.17505,7.34735,7.43999,5.45709,3.8364,5.25055,6.65347,11.4395,10.3514,10.6356,13.6762,-9999,-9999
200705,14.783,0.215726,445.782,197.895,0.21707,329.116,0.0,5.141,0.0,98.922,0.209677,3.165,0.209677,2.631,0.196909,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.80242,3.0,68.0468,0.215054,69.454,-9999,9.68465,0.215054,9.88493,-9999,-3.9103,0.214382,-9999,-3.92008,-3.82268,-3.71507,0.211694,0.214382,0.214382,3.90896,3.68344,3.73526,3.92552,7.61283,7.41643,7.56777,7.65238,5.54206,4.08172,5.40739,6.80922,10.804,9.5341,9.67306,13.2119,-9999,-9999
200706,17.598,0.990972,483.32,211.505,0.990972,350.801,0.0,4.624,0.560417,99.095,0.9875,1.539,0.988194,1.936,0.955556,0.219569470071,0.796527777778,87.0001768777,0.985416666667,392.974,0.988889,17.3,0.990972,30.847,29.749,0.990972,0.990972,-9.59604,3.0,90.1007,0.988889,90.1831,0.6894,-2.37481,1.0,-2.37698,0.466188,-8.30289,0.982639,0.0699476,-8.32296,-8.26781,-8.10582,0.982639,0.982639,0.985417,4.09738,4.01857,4.16246,4.24394,12.5468,12.169,12.4011,12.5737,5.67319,4.881,5.67319,6.07003,12.2468,13.0375,13.3376,13.7707,-9999,-9999
200707,17.261,0.993952,465.624,209.197,0.994624,344.395,0.0,6.167,0.993952,99.142,0.989247,2.422,0.989247,2.441,0.956317,0.271413199269,0.823252688172,80.6947813997,0.987903225806,384.332,0.99328,15.859,0.993952,29.7,27.495,0.993952,0.99328,-9.56805,3.0,102.18,0.992608,93.5653,0.659272,-13.4541,0.994624,-12.3198,0.451429,-7.51085,0.968414,0.0597703,-7.54113,-7.49128,-7.43184,0.954973,0.971102,0.988575,4.53424,4.49953,4.5704,4.61763,12.1126,11.9374,12.0956,12.1401,4.11491,4.11806,4.28876,4.92333,12.3729,11.8322,11.9735,12.4901,-9999,-9999
200708,16.744,0.988575,398.244,178.155,0.989919,345.279,0.0,4.654,0.988575,99.394,0.977823,3.062,0.977823,1.886,0.908602,0.207223661787,0.64314516129,64.647678456,0.975134408602,397.411,0.985215,15.693,0.988575,31.274,29.922,0.988575,0.988575,-7.8625,3.0,72.6541,0.981855,60.0825,0.506678,-2.20242,0.985887,-1.82133,0.373097,-4.14441,0.927419,0.0482981,-4.17731,-4.05117,-3.99123,0.888441,0.948253,0.965054,4.69936,4.48206,4.55222,4.63668,8.59785,8.56814,8.61398,8.68357,4.71597,4.71597,4.96219,5.09427,9.14248,8.80898,9.10382,9.34913,-9999,-9999
200709,13.427,0.963889,302.293,130.118,0.965278,329.914,0.0,3.113,0.963889,99.783,0.950694,2.293,0.950694,2.024,0.9375,0.218555066461,0.752083333333,34.2604264609,0.950694444444,400.905,0.959028,13.15,0.963889,31.02,30.509,0.963889,0.963194,1.79767,3.0,48.7024,0.958333,30.5107,0.467782,-5.06734,0.993056,-3.17455,0.361047,-3.95048,0.925694,0.0487887,-3.9925,-3.96813,-3.922,0.95,0.931944,0.910417,3.74519,3.65958,3.69496,3.72788,7.62946,7.61695,7.64888,7.66547,4.26371,4.18826,4.25997,4.58515,8.15449,8.10323,8.15861,8.29628,-9999,-9999
200710,9.659,0.956989,200.56,84.285,0.960349,315.019,0.0,1.679,0.956989,100.18,0.918683,1.993,0.918683,1.5,0.826613,-9999,-9999,13.1344761476,0.904569892473,424.804,0.952285,10.3,0.957661,30.754,31.463,0.957661,0.957661,-0.62254,3.0,21.217,0.948253,5.23737,0.287362,0.842722,0.961022,0.208025,0.245997,-0.300234,0.851478,0.0359435,-0.403697,-0.328625,-0.238079,0.918011,0.833333,0.808468,3.04838,2.94712,3.07209,3.12357,3.38034,3.34824,3.38811,3.44613,3.20336,3.01704,3.15164,3.22146,3.74997,3.53519,3.68143,3.77515,-9999,-9999
200711,5.915,0.990278,120.328,33.046,0.990972,302.631,0.0,1.116,0.989583,99.686,0.959722,1.53,0.959722,3.061,0.790972,0.193540505293,0.500694444444,-10.5068996984,0.946527777778,421.772,0.9875,5.654,0.990278,32.786,32.541,0.990278,0.990278,-5.58888,3.0,16.3454,0.9875,-0.114039,0.323372,-11.265,0.988194,0.0785939,0.284053,2.0263,0.9625,0.0211615,1.93466,2.00783,2.02984,0.969444,0.965972,0.956944,2.06064,2.06061,2.08647,2.13971,0.0668991,0.0715662,0.120806,0.182414,2.11958,2.07357,2.13777,2.3516,0.277665,0.210846,0.221759,0.261629,-9999,-9999
200712,3.233,0.809812,84.3454,30.069,0.8125,282.221,0.0,1.102,0.809812,99.923,0.78293,1.323,0.785618,3.123,0.648522,-9999,-9999,-21.8371750703,0.780241935484,430.09,0.808468,2.474,0.809812,33.501,33.226,0.692204,0.692204,-8.87871,3.0,14.1027,0.807796,26.1042,0.269625,-11.1635,0.811156,-20.6638,0.246099,1.10517,0.678091,0.0165279,0.913563,1.03902,1.12915,0.758065,0.716398,0.668011,1.04306,1.04577,1.14785,1.24818,0.146609,0.106282,0.122464,0.13801,1.02699,0.89218,0.927288,0.942561,0.0535387,0.0555669,0.0672419,0.0737156,-9999,-9999
200801,6.003,0.764113,100.9,28.96,0.766129,298.1,0.0,1.703,0.764113,99.499,0.745968,1.043,0.747312,4.02,0.65121,0.266011932488,0.516801075269,-10.7366562674,0.729838709677,409.89,0.762769,5.157,0.764113,32.404,32.564,0.764113,0.764113,-0.416264,3.0,19.1217,0.762097,35.3944,0.286149,-27.9127,0.763441,-51.6667,0.327284,0.859852,0.745968,0.0164287,0.764394,0.807804,0.911071,0.758737,0.75672,0.745968,0.894303,0.894303,0.914295,0.949976,0.0808114,0.0344003,0.082156,0.123479,0.937568,0.910861,0.934724,0.986405,0.15131,0.155548,0.159775,0.16541,-9999,-9999
200802,4.941,0.994253,166.022,74.923,0.994253,275.673,0.0,1.864,0.994253,100.297,0.986351,1.008,0.986351,2.916,0.923851,0.197594129475,0.642959770115,-3.73738413113,0.986350574713,429.25,0.992098,4.202,0.994253,30.526,31.754,0.993534,0.993534,-1.2399,3.0,17.8343,0.992098,-8.34311,0.309955,-12.3691,0.997126,5.78642,0.335792,0.369962,0.962644,0.0152746,0.334463,0.364885,0.392956,0.98204,0.981322,0.862787,1.02263,1.02035,1.04952,1.11598,0.721848,0.67628,0.691229,0.721848,0.826415,0.826415,0.88063,0.92712,0.752911,0.620372,0.645489,0.693412,-9999,-9999
200803,5.688,0.997312,263.964,92.585,0.997312,292.998,0.0,2.026,0.997312,98.461,0.986559,2.376,0.99328,3.789,0.806452,0.283629673651,0.533602150538,18.7221221196,0.992607526882,402.037,0.99664,6.008,0.997312,32.297,32.717,0.997312,0.997312,0.283507,3.0,39.1103,0.99664,-18.2963,0.406357,-6.87153,0.997984,3.21459,0.364251,-0.973807,0.992608,0.0270014,-1.04373,-1.01083,-0.943165,0.992608,0.992608,0.991263,1.35263,1.33801,1.37234,1.43377,2.36182,2.37616,2.38166,2.38491,1.63568,1.63568,1.66,1.76751,2.63889,2.59803,2.63889,2.70959,-9999,-9999
200804,8.52,1.0,367.652,166.189,1.0,293.766,0.0,2.949,1.0,98.963,0.997917,1.804,0.998611,2.204,0.917361,0.21476589693,0.675,52.1133067511,0.994444444444,406.812,0.996528,9.147,1.0,31.515,32.167,1.0,1.0,1.63806,3.0,51.3523,0.996528,41.4789,0.481527,2.66815,0.997917,2.15516,0.339481,-4.66569,0.954167,0.0569422,-4.7213,-4.66569,-4.64524,0.970139,0.954167,0.96875,3.38577,3.29809,3.39671,3.5122,8.04124,8.04124,8.06531,8.15813,3.48485,3.27218,3.43459,3.84832,8.18187,8.09942,8.18187,8.56677,-9999,-9999
200805,15.499,1.0,447.802,238.518,1.0,327.804,0.0,5.679,1.0,99.397,1.0,2.835,1.0,1.623,0.986559,0.194072316437,0.775537634409,92.8729956818,0.997983870968,402.522,1.0,14.26,1.0,29.829,30.225,1.0,1.0,0.182478,3.0,87.6137,1.0,89.4255,0.531534,-3.49532,1.0,-3.5676,0.333621,-7.483,0.914651,0.0601846,-7.5189,-7.50387,-7.483,0.993952,0.96371,0.914651,5.41634,5.21743,5.55861,6.03908,13.2419,12.7297,13.2149,13.5178,5.69337,5.35933,5.92736,6.40171,13.4806,12.7707,13.1198,13.4388,-9999,-9999
200806,16.441,1.0,483.631,253.251,1.0,336.549,0.0,4.639,1.0,99.502,0.999306,1.707,0.999306,1.609,0.947222,0.234856476055,0.765972222222,110.303934769,0.997222222222,396.292,0.999306,15.879,1.0,30.049,29.319,1.0,1.0,-0.44106,3.0,106.652,0.996528,108.858,0.856411,2.26985,0.998611,2.31679,0.474676,-6.7828,0.988889,0.0830792,-6.90447,-6.84512,-6.77478,0.997222,0.997222,0.931944,8.00162,7.63451,8.10049,8.31392,15.0106,14.4694,14.9482,15.0457,7.28951,7.17401,7.5965,7.90498,14.7448,14.3181,14.5712,14.7448,-9999,-9999
200807,17.812,1.0,464.146,220.471,1.0,349.564,0.0,5.288,1.0,99.376,0.997312,2.848,0.997312,1.722,0.919355,0.254235507432,0.614247311828,94.8520106625,0.995967741935,395.414,0.998656,16.949,1.0,32.941,28.874,1.0,1.0,-0.111707,3.0,79.5604,0.99664,78.0606,0.728981,17.8138,0.998656,17.478,0.589316,1.22336,0.97043,0.0519043,1.15578,1.19626,1.21156,0.983871,0.948253,0.978495,5.94021,5.8969,5.9895,6.71722,5.24442,4.74686,4.76802,5.53402,6.0402,5.99045,6.1743,6.29162,4.93926,4.72702,4.85856,4.94335,-9999,-9999
200808,18.245,1.0,395.444,186.263,1.0,348.916,0.0,6.276,1.0,99.179,0.99664,1.269,0.997984,2.406,0.971774,0.2372784061,0.733870967742,66.2041407392,0.997983870968,378.232,0.998656,19.404,1.0,31.459,28.995,1.0,1.0,7.78224,3.0,39.0422,0.995968,29.0964,0.561708,37.0047,0.99664,27.5779,0.547634,3.09993,0.977151,0.0258428,3.05002,3.09828,3.13263,0.987231,0.977823,0.977151,3.34832,3.28472,3.35766,3.45241,0.341811,0.217754,0.255683,0.315756,3.4323,2.92257,3.4323,3.74092,0.19815,0.152058,0.17545,0.245837,-9999,-9999
200809,13.423,0.947222,298.906,124.639,0.950694,319.482,0.0,3.634,0.947222,99.643,0.933333,1.179,0.933333,2.297,0.865972,-9999,-9999,33.677589463,0.919444444444,395.295,0.946528,14.664,0.947917,30.499,28.346,0.947917,0.947917,-0.392055,3.0,34.6469,0.946528,26.141,0.503542,9.82951,0.945833,7.41636,0.378429,2.04891,0.811111,0.0151091,1.97769,2.00748,2.1387,0.813194,0.902083,0.764583,1.96331,1.91088,1.96495,2.3064,0.0582489,-0.0582265,-0.0328534,0.139117,2.05966,1.97743,2.01573,2.09857,0.0976813,0.0917025,0.114857,0.16521,-9999,-9999
200810,10.299,1.0,197.438,79.671,1.0,311.14,0.0,2.141,1.0,99.41,0.989247,1.198,0.999328,2.419,0.90457,-9999,-9999,8.06657769103,0.993951612903,401.367,0.997984,10.569,1.0,34.652,29.639,1.0,1.0,-2.03952,3.0,32.1221,0.997312,12.1957,0.44833,-2.99576,0.998656,-1.13739,0.321326,1.52903,0.891129,0.0122651,1.33942,1.44694,1.62814,0.985215,0.936156,0.858199,1.58063,1.61629,1.68283,1.80959,0.177442,0.166903,0.200957,0.264598,1.45906,1.26897,1.43009,1.5883,0.108322,0.109881,0.201593,0.225633,-9999,-9999
200811,6.561,1.0,118.363,25.966,1.0,307.199,0.0,1.23,1.0,99.131,0.995833,1.08,0.996528,2.888,0.758333,-9999,-9999,-8.01830699665,0.995138888889,412.78,1.0,6.136,0.95625,35.428,31.745,1.0,1.0,-5.23946,3.0,18.4873,0.998611,-7.27697,0.328127,-11.2716,0.998611,4.43671,0.301759,0.846876,0.947917,0.0122077,0.798702,0.821575,0.92287,0.995139,0.958333,0.910417,0.934565,0.9722,0.999647,1.01788,0.152932,0.0963454,0.147503,0.176197,1.07737,1.05587,1.11876,1.19217,0.215066,0.215066,0.223691,0.232756,-9999,-9999
200812,2.002,1.0,84.0299,28.525,1.0,278.874,0.0,0.676,1.0,99.563,0.997984,0.948,1.0,2.411,0.950941,-9999,-9999,-20.3924747483,0.999327956989,423.07,1.0,2.029,1.0,31.308,33.048,1.0,1.0,-7.83372,3.0,7.48971,1.0,-2.9481,0.158158,-7.30949,1.0,2.87716,0.219282,0.347731,0.986559,0.00913778,0.307106,0.320803,0.350045,1.0,0.983871,0.988575,0.544506,0.535375,0.544506,0.554894,0.205543,0.199816,0.218863,0.235024,0.582731,0.569412,0.610644,0.648886,0.220834,0.242631,0.251006,0.265156,-9999,-9999
200901,-0.532,1.0,100.9,46.815,1.0,261.393,0.0,1.082,1.0,99.232,0.999328,0.581,0.999328,2.515,0.961022,-9999,-9999,-18.7378801476,0.999327956989,430.096,1.0,0.105,1.0,23.013,30.355,1.0,1.0,-3.99925,3.0,7.26561,0.99328,2.34577,0.176742,-11.8626,0.998656,-3.82996,0.273291,0.0561671,0.963038,0.00895978,0.0362302,0.0624485,0.0706754,0.985887,0.97043,0.968414,0.284697,0.27526,0.28366,0.297515,0.23098,0.208464,0.227002,0.234877,0.271027,0.271027,0.312234,0.352062,0.313154,0.30781,0.318923,0.335036,-9999,-9999
200902,3.113,1.0,164.505,50.705,1.0,291.377,0.0,1.203,1.0,99.198,0.997024,1.291,0.998512,2.974,0.939732,0.207668492461,0.552827380952,3.45555461626,0.998511904762,412.155,0.999256,2.458,1.0,31.506,31.92,1.0,1.0,-0.141008,3.0,17.3452,0.993304,5.60008,0.247052,-6.0368,1.0,-1.94904,0.220331,0.0660386,0.988095,0.0110912,0.062825,0.0678374,0.0712523,0.994792,0.982143,0.994048,0.503068,0.501159,0.525018,0.569587,0.458979,0.438334,0.456967,0.494385,0.423823,0.423022,0.468012,0.501657,0.463202,0.440422,0.461416,0.510721,-9999,-9999
200903,6.104,1.0,260.473,103.661,1.0,288.14,0.0,2.121,1.0,99.263,0.997984,1.99,0.997984,3.099,0.964382,0.222769991903,0.601478494624,17.640743762,0.995967741935,408.662,0.998656,6.152,1.0,32.634,32.662,1.0,1.0,0.890421,3.0,34.9405,0.997312,18.8391,0.40805,-3.36518,0.997984,-1.81443,0.281033,-0.773877,0.979839,0.0229212,-0.827456,-0.776234,-0.746709,0.991935,0.980511,0.965726,1.0638,1.05402,1.08614,1.16361,1.86619,1.86967,1.88206,1.90177,1.17553,1.16701,1.20345,1.25336,2.0264,2.01311,2.02307,2.04097,-9999,-9999
200904,12.327,1.0,364.489,190.761,1.0,307.065,0.0,4.152,1.0,99.242,1.0,1.307,1.0,1.7,0.938889,0.183481299036,0.701388888889,67.9019784118,0.998611111111,409.101,1.0,12.454,1.0,29.106,33.223,1.0,1.0,7.43142,3.0,61.915,0.998611,58.5399,0.566586,2.11094,0.997917,1.99587,0.324647,-4.79464,0.922222,0.0678005,-4.88595,-4.84647,-4.72376,0.974306,0.929861,0.924306,3.65684,3.58651,3.65821,4.17364,8.51774,8.49013,8.52039,8.8974,3.91964,4.01791,4.14506,4.46713,9.02431,8.74288,8.82568,9.14653,-9999,-9999
200905,14.106,1.0,445.782,228.013,1.0,323.214,0.0,4.396,1.0,99.751,0.998656,1.348,0.998656,1.816,0.954973,0.237495278221,0.727822580645,93.9354592199,0.997983870968,399.288,1.0,13.399,1.0,26.486,32.477,1.0,1.0,4.1254,3.0,95.051,1.0,89.2084,0.765087,0.485654,0.997984,0.455801,0.419909,-7.59973,0.984543,0.0781093,-7.65,-7.60943,-7.5749,0.971102,0.983871,0.987903,5.88325,5.71908,5.90155,6.09858,13.6671,13.2824,13.4765,13.7209,5.74548,5.80296,6.0267,6.11923,13.3517,13.179,13.3166,13.7448,-9999,-9999
200906,15.381,0.970139,483.32,239.613,0.972222,328.761,0.0,4.857,0.970139,99.492,0.955556,2.28,0.955556,1.589,0.927778,0.253088711142,0.601388888889,105.583241625,0.954166666667,396.078,0.968056,15.294,0.970139,23.894,31.106,0.970139,0.970139,5.03117,3.0,80.8485,0.965972,78.7846,0.638858,23.1103,0.967361,22.5204,0.427622,-4.59553,0.90625,0.0622936,-4.56259,-4.53861,-4.51378,0.761111,0.95,0.959028,5.07234,5.02528,5.12601,5.40916,9.42316,9.54817,9.65021,9.95268,5.98857,5.74818,5.95023,6.13815,10.0319,10.0151,10.2002,10.2833,-9999,-9999
