TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201201,-1.017,0.0,122.473,46.03,0.0,292.329,0.0,0.727,0.0,94.836,0.0,2.752,0.0,1.687,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,104.943,0.0,203.238,-9999,62.6291,0.0,121.291,-9999,-1.46693,0.0,-9999,-1.46693,-1.46693,-1.45915,0.0,0.0,0.0,2.50216,2.34401,2.4041,2.48947,3.81898,3.81898,3.87144,4.02535,2.71322,2.71228,2.7892,2.85601,1.90347,1.90313,1.93362,1.95717,-9999,-9999
201202,-5.335,0.0,187.557,91.013,0.0,272.428,0.0,0.799,0.0,94.925,0.0,0.931,0.0,1.352,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,103.455,0.0,192.151,-9999,61.7294,0.0,114.653,-9999,-1.46967,0.0,-9999,-1.47168,-1.46967,-1.4655,0.0,0.0,0.0,1.93433,1.8031,1.85929,1.94083,3.26336,3.26336,3.33296,3.50018,2.38757,2.38675,2.45443,2.51323,3.18182,3.18133,3.22445,3.25823,-9999,-9999
201203,5.005,0.0,282.43,163.203,0.0,295.172,0.0,2.609,0.0,95.385,0.0,0.832,0.0,1.105,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,104.943,0.0,165.91,-9999,62.6291,0.0,99.0139,-9999,-1.46693,0.0,-9999,-1.46693,-1.46693,-1.45915,0.0,0.0,0.0,3.46866,3.30475,3.35797,3.42158,4.81491,4.78091,4.83346,4.95269,3.09146,3.09039,3.17802,3.25416,4.63449,4.63389,4.68627,4.72815,-9999,-9999
201204,6.704,0.0,379.926,175.306,0.0,314.593,0.0,3.282,0.0,93.893,0.0,2.258,0.0,1.345,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.10669,0.160417,104.224,0.0,164.773,-9999,62.1942,0.0,98.3264,-9999,-1.46825,0.0,-9999,-1.46847,-1.46825,-1.46222,0.0,0.0,0.0,3.75521,3.58794,3.64477,3.71451,5.11743,5.06004,5.13348,5.21151,3.18665,3.18554,3.27588,3.35436,4.77569,4.77504,4.83194,4.87751,-9999,-9999
201205,12.707,0.0,453.217,240.485,0.0,326.762,0.0,5.649,0.0,94.785,0.0,1.927,0.0,1.272,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.0544,0.0,103.949,0.0,135.609,-9999,62.0035,0.0,80.8877,-9999,-1.47487,0.0,-9999,-1.47508,-1.47487,-1.46778,0.0,0.0,0.0,4.77947,4.52943,4.61827,4.76302,6.20458,6.05055,6.20458,6.24038,3.51676,3.51554,3.61524,3.70185,5.88505,5.88429,5.95013,6.00361,-9999,-9999
201206,16.551,0.0,485.243,208.7,0.0,358.405,0.0,5.668,0.0,94.837,0.0,5.281,0.0,1.121,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.06094,0.0,104.224,0.0,143.102,1.07374,62.1942,0.0,85.3944,1.09284,-1.46825,0.0,0.153833,-1.46847,-1.46825,-1.46222,0.0,0.0,0.0,5.44578,5.2222,5.42945,5.4494,6.91255,6.68916,6.90636,6.91708,3.70797,3.70668,3.8118,3.90312,5.27269,5.27194,5.33695,5.38941,-9999,-9999
201207,17.484,0.877016,467.607,219.619,0.877016,371.803,0.877016,5.791,0.877016,94.844,0.847446,5.895,0.0,1.496,0.620296,-9999,-9999,167.249892528,0.868279569892,18.7202327173,0.870967741935,403.478003858,0.870967741935,407.878,0.84879,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.37042,0.877016,81.4277,0.84543,111.803,0.578329,47.1447,0.846774,64.7311,0.583659,-1.54117,0.839382,0.078858,-1.59534,-1.58384,-1.45219,0.839382,0.839382,0.834677,4.04866,3.89558,3.97351,4.21071,5.56771,5.54814,5.58401,5.67161,4.94334,4.26415,4.85443,5.0178,6.12247,5.7418,6.13022,6.16294,-9999,-9999
201208,17.98,1.0,405.065,231.275,1.0,366.635,1.0,6.553,1.0,94.966,0.864919,4.323,0.0,1.346,0.997312,0.226633410114,0.773521505376,169.552873612,0.999327956989,19.9480798052,1.0,407.924825269,1.0,418.563,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.2657,1.0,75.9074,0.999328,100.406,0.645867,50.0419,0.998656,66.1926,0.560365,-1.44145,0.990591,0.0851048,-1.51425,-1.49426,-1.43676,0.989919,0.989919,0.987903,3.44407,3.2671,3.3416,3.44407,4.79207,4.77627,4.81748,4.8976,4.09561,4.08534,4.1528,4.36885,5.49529,5.44977,5.48667,5.56176,-9999,-9999
201209,12.811,1.0,315.149,140.996,1.0,353.497,1.0,3.077,1.0,94.845,0.947917,3.208,0.0,1.22,0.986806,0.176600479824,0.788194444444,103.034399116,0.998611111111,12.048401199,1.0,378.564372917,1.0,414.877,0.997917,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0133324,1.0,38.4525,0.995833,59.309,0.450489,28.6901,0.997222,44.2515,0.46191,-1.47367,0.989583,0.0675187,-1.43885,-1.4088,-1.38633,0.990972,0.990972,0.990972,2.2973,2.2518,2.27354,2.30468,3.67841,3.63644,3.68458,3.74327,1.94381,1.90114,1.94381,1.98756,3.34492,3.32258,3.33757,3.36178,-9999,-9999
201210,8.033,1.0,217.975,85.174,1.0,331.379,1.0,1.891,1.0,94.53,0.993952,2.303,0.0,1.186,0.985887,0.166042001774,0.764784946237,55.0721130335,0.999327956989,9.10541681037,0.999327956989,352.407015643,0.999327956989,426.053,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.89613,1.0,19.1414,0.998656,32.4948,0.38667,14.4131,0.999328,24.468,0.4328,-0.852931,0.992608,0.0544413,-0.916279,-0.808286,-0.752953,0.990591,0.992608,0.992608,0.957705,0.906064,0.947683,0.96236,1.7304,1.69916,1.73049,1.84357,1.82087,1.61235,1.74706,1.82121,2.11346,2.06213,2.08709,2.11655,-9999,-9999
