TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201001,-4.152,0.0,93.8098,29.709,0.0,275.838,0.0,0.82,0.0,103.077,0.0,1.497,0.0,2.404,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.51,1.776,2.522,1.0,1.0,1.0,-9999,1.0,39.0434,0.0,-9999,-9999,84.3002,0.0,-9999,-9999,-3.85013,0.0,-9999,-4.44293,-3.85615,-3.62176,0.0,0.0,0.0,4.09463,3.9684,4.08123,4.35917,7.9212,7.46891,7.93737,8.62562,2.49369,2.30153,2.54601,3.02065,1.92998,1.71619,1.92998,2.29733,-9999,-9999
201002,0.235,0.0,157.27,59.761,0.0,284.414,0.0,1.506,0.0,102.024,0.0,0.964,0.0,2.419,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.131,1.295,1.497,1.0,1.0,1.0,-9999,1.0,38.8906,0.0,-9999,-9999,84.0766,0.0,-9999,-9999,-3.8916,0.0,-9999,-4.50289,-3.90321,-3.66322,0.0,0.0,0.0,4.99848,4.84094,4.92894,5.12097,8.86561,8.36451,8.80434,9.40812,3.27055,3.02594,3.3343,3.93121,3.61058,3.23233,3.61058,4.39282,-9999,-9999
201003,5.051,0.0,254.101,111.832,0.0,291.299,0.0,2.734,0.0,103.037,0.0,1.499,0.0,2.736,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.071,4.07,4.012,1.0,1.0,1.0,-9999,1.0,38.8131,0.0,-9999,-9999,84.0624,0.0,-9999,-9999,-3.85832,0.0,-9999,-4.45446,-3.8755,-3.63051,0.0,0.0,0.0,5.98086,5.75673,5.83782,5.97168,9.81215,9.26999,9.67489,10.2333,4.19333,3.90015,4.26898,4.69829,6.06241,5.50486,6.06351,7.18074,-9999,-9999
201004,10.048,0.244444,360.12,199.439,0.245139,297.927,0.0,5.515,0.244444,103.378,0.0,0.58,0.0,2.351,0.209028,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.107,8.039,7.921,1.0,1.0,1.0,-9999,1.0,39.0404,0.244444,-9999,0.792305,80.8767,0.244444,-9999,0.89938,-3.83972,0.0,-9999,-4.29979,-3.87649,-3.66691,0.0,0.0,0.0,6.98889,6.63851,6.73349,6.87921,10.8155,10.2706,10.6078,11.0467,5.16678,4.89137,5.25059,5.48504,9.54759,8.84799,9.55296,11.0116,-9999,-9999
201005,12.24,1.0,443.753,152.619,1.0,339.186,0.310484,3.421,1.0,102.684,0.0,2.895,0.0,2.33,0.957661,0.441393422928,0.838037634409,98.4415699254,1.0,277.004019684,1.0,12.4916085632,1.0,22.2436917339,1.0,-9999,-9999,-9999,-9999,10.877,10.805,10.674,1.0,1.0,1.0,-9999,1.0,32.5939,0.999328,-9999,0.488258,35.4669,1.0,-9999,0.584515,-2.96392,0.0,0.407948,-3.24137,-3.12198,-3.00562,0.0,0.0,0.0,7.42682,7.01346,7.07607,7.33971,10.4177,10.1144,10.198,10.4432,5.60447,5.34677,5.68835,5.82662,7.82904,7.14727,7.83143,9.19604,-9999,-9999
201006,18.561,0.988889,482.662,261.894,0.988889,345.467,0.988889,9.505,0.988889,102.94,0.0,0.508,0.0,2.07,0.966667,0.366669523294,0.936805555556,161.992763481,0.9875,456.944769906,0.9875,17.2068274624,0.9875,36.5728518319,0.9875,403.75755,0.9875,372.544,0.814583,14.444,14.254,14.02,1.0,1.0,1.0,-9999,1.0,78.9762,0.9875,-9999,0.981028,47.982,0.9875,-9999,0.738676,-4.60107,0.809722,0.106514,-4.75825,-4.70463,-4.63818,0.8125,0.802778,0.795833,7.95567,7.522,8.21578,8.66723,12.6098,12.2931,12.8168,13.3207,6.45984,6.43843,6.7843,7.10868,11.7202,11.6034,11.791,11.9928,-9999,-9999
201007,22.815,0.877688,464.387,260.905,0.879032,370.562,0.877688,13.064,0.877688,103.059,0.0,2.392,0.0,1.927,0.772849,0.309286321313,0.725806451613,173.655128389,0.85685483871,494.861832767,0.85752688172,17.024429712,0.858198924731,37.072358563,0.85752688172,428.507704848,0.858198924731,373.506,0.86828,17.968,17.74,17.441,1.0,1.0,1.0,-9999,1.0,103.222,0.86828,-9999,1.30821,28.8141,0.86828,-9999,0.611475,-4.26494,0.840726,0.110044,-4.39842,-4.27449,-4.08227,0.830645,0.83871,0.842742,7.16516,7.05104,7.09223,7.16516,11.3412,11.2138,11.354,11.4906,6.59383,6.31904,6.73051,6.9838,10.987,10.797,10.9829,11.2331,-9999,-9999
201008,18.788,1.0,394.925,172.576,0.999328,369.671,1.0,5.273,1.0,102.709,0.0,4.795,0.0,2.097,0.731855,0.4011070444,0.643817204301,119.188570156,0.950268817204,302.698352039,0.999327956989,11.1651951983,1.0,23.3072595676,0.998655913978,405.751866935,1.0,366.005,0.995968,16.828,16.759,16.631,1.0,1.0,1.0,-9999,1.0,61.3965,0.995968,-9999,0.765283,15.657,0.995968,-9999,0.584264,-4.19938,0.971774,0.0844067,-4.37496,-4.30602,-3.9776,0.953629,0.964382,0.981855,5.83673,5.50468,5.58988,6.11317,9.96479,9.82483,9.94563,10.1333,5.78447,5.65686,5.83408,5.98535,9.94078,9.6663,9.88895,9.93829,-9999,-9999
201009,13.72,0.815278,296.754,126.918,0.817361,335.249,0.815278,3.494,0.815278,102.982,0.0,4.354,0.0,2.367,0.861111,0.395291061242,0.813888888889,78.2038004309,0.509722222222,218.694847988,0.780555555556,9.42661023313,0.782638888889,14.5659378975,0.997222222222,376.280997884,0.782638888889,376.438,0.974306,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,36.5171,0.954861,-9999,0.533001,18.8236,0.954861,-9999,0.626493,-1.85458,0.889583,0.0685729,-1.99675,-1.92561,-1.76895,0.878472,0.886111,0.910417,3.98247,3.89985,3.91757,3.99898,5.81105,5.76367,5.82212,5.89394,4.18748,3.81554,4.12446,4.30736,5.95525,5.72918,5.95729,6.06662,-9999,-9999
201010,8.586,0.989919,193.64,90.085,0.991263,304.838,0.989919,2.555,0.989919,103.077,0.0,0.462,0.0,2.584,0.558468,-9999,-9999,34.3020078673,0.959005376344,154.251543177,0.972446236559,8.36493106371,0.972446236559,11.9507185348,0.999327956989,351.087334946,0.972446236559,387.499,0.797715,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,13.755,0.792339,-9999,0.252177,12.85,0.797715,-9999,0.478952,-0.227513,0.745296,0.0455442,-0.254563,-0.235188,-0.107715,0.745296,0.74664,0.75336,2.26275,2.10935,2.13612,2.54117,2.47751,2.35298,2.40186,2.61431,3.17024,2.99106,3.06449,3.13855,2.92365,2.83356,2.86999,2.9024,-9999,-9999
