TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,-4.554,1.0,100.252,41.658,0.99328,259.827,0.0,0.657,0.998656,97.72,0.0,0.344,0.0,2.784,0.0,-9999,-9999,-2.41147177419,1.0,66.3324495253,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,4.26553091398,1.0,-9999,-9999,-9999,-9999,-1.735,0.435,-9999,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.1788,0.0,3.92482,-9999,29.6553,0.0,10.4118,-9999,-3.44917,0.0,-9999,-3.71255,-3.44917,-3.30369,0.0,0.0,0.0,0.365472,0.347583,0.362948,0.374191,3.80936,3.57335,3.80414,4.03219,0.433897,0.434283,0.477079,0.55995,1.77955,1.79072,1.80454,1.89008,0.852441,1.0
199602,-3.268,1.0,165.365,67.012,1.0,264.519,0.0,0.846,1.0,97.026,0.0,1.373,0.0,2.997,0.0,-9999,-9999,18.4997701149,1.0,117.688757184,1.0,-9999,-9999,-9999,-9999,-9999,-9999,6.18493534483,1.0,-9999,-9999,-9999,-9999,-1.432,-0.429,-9999,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.3948,0.0,7.24763,-9999,29.0684,0.0,18.4889,-9999,-3.48685,0.0,-9999,-3.76009,-3.48685,-3.34703,0.0,0.0,0.0,0.396635,0.378671,0.394106,0.405357,3.87782,3.64841,3.87277,4.11037,0.499378,0.499378,0.546521,0.640772,2.50027,2.50821,2.52178,2.64713,0.875667,1.0
199603,-0.839,1.0,263.392,108.473,1.0,269.972,0.0,0.964,1.0,97.478,0.0,1.189,0.0,2.885,0.112231,-9999,-9999,52.2469086022,1.0,199.279500686,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,9.26342756234,0.999327956989,-9999,-9999,-9999,-9999,-0.717,-0.133,-9999,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.1788,0.0,8.58687,-9999,29.6553,0.0,22.7793,-9999,-3.44917,0.0,-9999,-3.71255,-3.44917,-3.30369,0.0,0.0,0.0,0.457901,0.440283,0.45543,0.466402,3.90178,3.66496,3.89671,4.12489,0.650177,0.650177,0.703844,0.822081,3.47111,3.47006,3.50905,3.66805,0.933216,1.0
199604,7.977,1.0,367.265,177.575,0.986111,291.668,0.0,5.285,1.0,97.457,0.0,1.393,1.0,3.227,0.997917,-9999,-9999,98.2772638889,1.0,377.271097222,1.0,-9999,-9999,-9999,-9999,-9999,-9999,12.2987375,0.997916666667,-9999,-9999,-9999,-9999,3.875,2.758,-9999,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.845611,0.185417,12.2477,0.0,12.7308,-9999,37.4302,0.0,38.9066,-9999,-3.55591,0.0,-9999,-3.78762,-3.55777,-3.34938,0.0,0.0,0.0,0.703271,0.693446,0.701901,0.707962,4.25677,3.94501,4.25126,4.46149,1.61831,1.61465,1.66835,1.87076,4.62666,4.59512,4.69068,4.90191,1.54021,1.0
199605,10.274,1.0,447.626,149.382,1.0,328.779,0.0,3.013,1.0,97.033,0.0,3.571,0.903226,3.004,1.0,-9999,-9999,76.1035413807,0.999327956989,278.490155285,0.997311827957,-9999,-9999,-9999,-9999,-9999,-9999,9.97539650538,1.0,-9999,-9999,-9999,-9999,8.273,7.069,-9999,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.566598,0.0,8.93563,0.0,9.60122,-9999,44.8251,0.0,48.164,-9999,-2.00711,0.0,-9999,-2.02791,-2.0177,-1.95266,0.0,0.0,0.0,0.766718,0.758433,0.76557,0.770634,2.78177,2.68358,2.77904,2.79402,1.8293,1.82226,1.88286,2.11341,4.40629,4.40044,4.45657,4.6583,2.20302,1.0
199606,13.69,0.995833,483.574,203.467,0.997222,334.156,0.0,4.708,0.995833,97.633,0.0,3.162,0.233333,2.509,0.499306,-9999,-9999,127.379071998,0.932638888889,433.721103723,0.999305555556,-9999,-9999,-9999,-9999,-9999,-9999,14.5622383274,0.997916666667,-9999,-9999,-9999,-9999,12.044,10.483,-9999,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.359483,0.0708333,13.3599,0.070139,23.4949,0.581514,54.918,0.070833,96.5796,1.18885,-3.1349,0.0659722,0.123582,-3.15249,-3.14012,-3.01255,0.0659722,0.0659722,0.0659722,0.864821,0.861007,0.864295,0.86661,4.005,3.80985,4.00001,4.01611,2.31292,2.27944,2.35524,2.66082,5.38868,5.35846,5.46043,5.7066,3.15051,1.0
199607,14.813,0.999328,464.031,195.319,1.0,336.52,0.0,4.413,0.999328,97.405,0.0,4.503,1.0,3.327,0.975134,0.512699973028,0.799059139785,122.973602151,1.0,374.866023221,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,13.7031115591,1.0,-9999,-9999,-9999,-9999,12.264,10.932,-9999,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0201279,0.984543,16.12,0.978495,28.3488,0.376036,53.4087,0.983199,93.9254,0.760065,-2.80262,0.952285,0.0744657,-2.90758,-2.86138,-2.76147,0.962366,0.959005,0.942204,2.32948,2.22097,2.2927,2.43081,5.31829,5.02693,5.23069,5.28929,2.97462,2.83847,2.98678,3.06033,5.74749,5.47279,5.56401,5.71149,3.17803,1.0
199608,16.893,0.952285,395.138,175.48,0.948253,341.356,0.0,6.396,0.952285,97.42,0.0,3.303,1.0,2.683,0.846774,0.358355839588,0.543010752688,98.5727694746,0.893817204301,362.251964638,0.870295698925,-9999,-9999,-9999,-9999,-9999,-9999,12.0360267857,0.895161290323,-9999,-9999,-9999,-9999,13.93,12.602,-9999,-9999,-9999,-9999,0.952285,0.952285,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0401016,0.949597,23.3529,0.930108,39.7599,0.384983,35.8878,0.966398,61.1014,0.653866,-3.70699,0.849462,0.0835352,-3.88791,-3.71249,-3.64687,0.788978,0.850806,0.896505,3.26847,2.86019,3.26847,3.63108,7.3047,6.77237,6.97282,7.32561,3.90596,3.75051,3.92569,4.26894,7.59496,7.1727,7.36533,7.46321,3.6945,1.0
199609,9.224,0.990278,298.4,88.467,0.991667,321.299,0.0,2.14,0.990278,97.274,0.0,2.713,1.0,3.16,0.65,-9999,-9999,47.9691174493,0.965972222222,166.276030967,0.9625,-9999,-9999,-9999,-9999,-9999,-9999,6.31064655172,0.966666666667,-9999,-9999,-9999,-9999,9.225,9.601,-9999,-9999,-9999,-9999,0.990972,0.990972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.00846579,0.990278,18.8034,0.588194,30.2529,0.385862,5.57216,0.940278,8.96509,0.519612,-1.41626,0.435417,0.0595406,-1.43412,-1.4006,-1.36234,0.436111,0.529861,0.44375,2.91358,2.70512,2.82356,3.00291,4.18451,4.1775,4.22569,4.36656,3.76483,3.12684,3.9449,4.2866,5.29925,4.72522,5.23586,5.40855,2.38952,1.0
199610,9.222,1.0,196.808,70.117,1.0,317.01,0.0,2.377,1.0,97.45,0.0,1.874,1.0,3.167,0.91129,0.483894225725,0.79502688172,20.3076552848,0.999327956989,131.336370396,0.997311827957,-9999,-9999,-9999,-9999,-9999,-9999,5.20510752688,1.0,-9999,-9999,373.557,0.895833,8.758,8.904,-9999,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.113468,1.0,22.3845,0.997312,13.9003,0.425816,10.1625,0.998656,6.31066,0.612317,-0.839546,0.99328,0.0492478,-0.832376,-0.822589,-0.815197,0.992608,0.99328,0.993952,2.44542,2.44542,2.4896,2.54441,3.27066,3.28537,3.30896,3.37678,2.95757,2.62553,2.76324,2.94874,3.61179,3.51108,3.56799,3.61562,2.28328,1.0
