TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201301,-0.253,0.0,80.2405,20.874,0.0,297.051,0.0,0.351,0.0,101.177,0.0,2.458,0.0,3.029,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,91.9715,0.0,108.311,-9999,14.782,0.0,17.4081,-9999,-0.693284,0.0,-9999,-1.15019,-0.693284,-0.693284,0.0,0.0,0.0,1.45259,1.39843,1.43913,1.48824,2.18153,2.12179,2.15307,2.28654,1.81237,1.81237,1.81237,3.43733,0.475256,0.475256,0.475256,0.925074,-9999,-9999
201302,-1.021,0.0,143.184,47.762,0.0,289.84,0.0,0.307,0.0,101.455,0.0,1.419,0.0,2.585,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,90.6384,0.0,135.467,-9999,14.8897,0.0,22.254,-9999,-0.676942,0.0,-9999,-1.13626,-0.676942,-0.676942,0.0,0.0,0.0,1.3564,1.30089,1.34204,1.38866,2.07136,2.00315,2.04101,2.16811,1.78522,1.78522,1.78522,3.38584,0.991832,0.991832,0.991832,1.79459,-9999,-9999
201303,-1.744,0.0,241.508,112.924,0.0,267.473,0.0,1.077,0.0,101.275,0.0,0.936,0.0,3.1,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.9303,0.696909,91.6475,0.0,166.022,-9999,14.8721,0.0,26.9412,-9999,-0.699783,0.0,-9999,-1.14506,-0.699783,-0.699783,0.0,0.0,0.0,1.294,1.23962,1.27977,1.32534,2.03149,1.96291,2.00138,2.12655,1.7508,1.7508,1.7508,3.32056,1.95967,1.95967,1.95967,3.17846,-9999,-9999
201304,6.121,0.0,351.365,179.623,0.0,298.228,0.0,2.435,0.0,101.469,0.0,0.909,0.0,2.509,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.7153,0.0,91.4451,0.0,154.949,4.44464,14.8465,0.0,25.1566,3.55352,-0.690438,0.0,0.458922,-1.14409,-0.690438,-0.690438,0.0,0.0,0.0,2.13758,2.08565,2.12668,2.16261,2.85359,2.81567,2.8493,2.96008,2.0717,2.0717,2.0717,3.92917,2.8147,2.8147,2.8147,4.33895,-9999,-9999
201305,13.117,0.572581,439.619,202.161,0.572581,335.846,0.572581,3.758,0.572581,100.914,0.56586,2.765,0.0,2.196,0.565188,0.233520058035,0.516129032258,121.560699851,0.565188172043,329.399561292,0.548387096774,20.0325940527,0.548387096774,14.1043418121,0.565860215054,398.887713408,0.565860215054,389.595,0.572581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.135,0.0,69.3434,0.571237,111.514,0.677901,16.6263,0.571909,26.7373,0.300204,-0.683246,0.56922,0.0464414,-0.91557,-0.681697,-0.681642,0.563844,0.56922,0.56922,2.88723,2.87562,2.87826,2.89219,3.56138,3.55887,3.56289,3.78842,2.69585,2.69585,2.70756,3.73893,3.58431,3.53474,3.54855,4.37881,-9999,-9999
201306,15.975,1.0,481.281,248.79,1.0,345.3,1.0,5.078,1.0,101.503,1.0,1.591,0.0,2.456,1.0,0.239361170843,0.865277777778,159.222299509,1.0,428.916770629,0.999305555556,30.9424447413,1.0,25.7144332561,1.0,408.701681944,1.0,405.083,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.01084,0.470139,83.7113,0.998611,107.613,0.905145,23.1787,1.0,29.7967,0.34115,0.0249989,0.972917,0.0595868,-0.518041,0.0432036,0.278123,0.951389,0.974306,0.980556,4.43354,4.0683,4.79474,4.9257,4.75151,4.58119,4.6327,4.68736,4.4407,3.74072,4.39621,4.54105,4.60802,4.30172,4.60802,4.70011,-9999,-9999
201307,18.693,0.94086,461.841,249.921,0.942204,357.51,0.94086,6.306,0.94086,101.775,0.9375,1.424,0.0,2.014,0.932124,0.23907254196,0.548387096774,154.91359561,0.935483870968,443.444593761,0.935483870968,36.2404207459,0.935483870968,33.1414606731,0.935483870968,422.193323994,0.935483870968,413.933,0.797043,18.114,17.019,16.2,15.392,14.79,0.94086,0.94086,0.94086,0.94086,0.94086,-7.24873,0.94086,98.8249,0.796371,127.042,0.697302,29.4591,0.799731,37.8703,0.323858,0.430835,0.790995,0.0516411,0.113952,0.446859,0.50254,0.771505,0.793683,0.793683,6.36589,5.25382,6.32214,6.38802,5.85495,5.16144,5.86675,5.91525,5.52102,5.18526,5.48011,5.5398,4.90524,4.88584,4.92389,4.94844,-9999,-9999
201308,17.76,0.990591,388.233,189.952,0.991263,353.747,0.990591,5.665,0.990591,101.647,0.984543,1.444,0.0,2.015,0.984543,-9999,-9999,107.000391574,0.983198924731,327.485291221,0.983870967742,27.1951497191,0.984543010753,21.9164651992,0.984543010753,414.359973737,0.984543010753,403.556,0.975806,18.56,17.871,17.288,16.649,16.118,0.990591,0.990591,0.990591,0.990591,0.990591,-3.96744,0.989247,74.7268,0.973118,96.446,0.771915,12.2293,0.975806,15.7837,0.248301,0.11749,0.956989,0.0505988,-0.117695,0.0852493,0.11749,0.895161,0.948925,0.956989,4.65155,4.4306,4.46702,4.63106,4.52425,4.36623,4.42782,4.53081,3.44423,3.253,3.44201,3.60491,3.35867,3.30269,3.35867,3.53939,-9999,-9999
201309,12.631,1.0,285.741,114.316,1.0,338.697,1.0,2.894,1.0,101.342,1.0,1.598,0.0,2.086,0.997222,0.210883610914,0.861805555556,55.9644184718,0.997916666667,191.319624591,1.0,16.6379085778,1.0,11.2989505545,1.0,383.829175,1.0,402.839,1.0,15.476,15.416,15.36,15.19,15.018,1.0,1.0,1.0,1.0,1.0,1.12965,1.0,30.044,1.0,50.0657,0.461761,3.30596,1.0,5.50908,0.267506,0.782646,0.992361,0.0509742,0.613,0.788757,0.979122,0.939583,0.992361,0.995139,3.30654,3.2819,3.44149,3.6386,2.62949,2.62428,2.65716,2.67149,2.03896,2.01197,2.06741,2.11207,2.06768,2.09705,2.12067,2.20777,-9999,-9999
201310,10.871,1.0,180.076,73.106,1.0,324.703,1.0,2.36,1.0,101.417,1.0,1.446,0.0,2.741,1.0,0.219269435472,0.852150537634,19.725916662,1.0,121.071489657,1.0,28.7218280887,1.0,9.12724630558,1.0,367.642898522,1.0,398.823,1.0,11.885,12.042,12.326,12.444,12.587,1.0,1.0,1.0,1.0,1.0,1.87465,1.0,11.6905,1.0,18.757,0.300775,-6.24148,1.0,-10.0143,0.276483,0.8161,0.999328,0.0252515,0.700504,0.808919,0.990352,0.983199,0.999328,0.999328,1.36286,1.33525,1.36695,1.41709,0.553795,0.447624,0.553845,0.622222,1.06256,1.05423,1.07936,1.10694,0.574004,0.61008,0.616459,0.673722,-9999,-9999
201311,5.575,1.0,99.3822,30.329,1.0,309.865,1.0,1.17,1.0,101.203,1.0,2.124,0.0,2.9,0.995139,0.19954935175,0.842361111111,-5.28868853248,0.999305555556,47.5379215565,0.999305555556,27.5573092634,0.999305555556,5.08965969721,0.999305555556,339.2655093,0.998611111111,393.447,1.0,7.854,8.605,9.4,9.922,10.396,1.0,1.0,1.0,1.0,1.0,5.91541,1.0,2.18742,1.0,3.37414,0.117467,-9.44209,1.0,-14.5646,0.269894,0.715732,0.997917,0.0128409,0.71166,0.714179,0.768448,1.0,0.999306,0.994444,0.773984,0.774307,0.77527,0.793069,0.0635657,0.0379327,0.0612348,0.0625841,0.869807,0.875153,0.884163,0.986114,0.141361,0.128098,0.138565,0.144271,-9999,-9999
201312,4.734,1.0,64.3224,15.707,1.0,309.233,1.0,1.369,1.0,101.491,1.0,1.753,0.0,3.805,0.995968,0.241426611408,0.819892473118,-11.2853725028,1.0,24.886733213,1.0,8.4114468459,1.0,2.69804237451,1.0,332.564422043,1.0,409.958,1.0,5.372,5.952,6.702,7.295,7.873,1.0,1.0,1.0,1.0,1.0,3.73439,1.0,2.81169,1.0,3.31121,0.148783,-15.5298,1.0,-18.2887,0.402983,0.798494,0.999328,0.0175822,0.790462,0.793092,0.894147,0.999328,0.999328,0.993952,0.840792,0.829705,0.836706,0.928245,0.0439535,0.0368542,0.0394243,0.0424668,0.904147,0.880711,0.904746,1.02647,0.0588531,0.0612806,0.0704805,0.0802394,-9999,-9999
