TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,2.197,0.0,68.1161,21.297,0.0,261.418,0.0,1.13,0.0,100.965,0.0,2.314,0.0,4.869,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.6658,0.0,18.6067,-9999,24.3547,0.0,10.6212,-9999,-2.06088,0.0,-9999,-2.29189,-2.13032,-2.00885,0.0,0.0,0.0,1.83576,1.81434,1.85546,2.10546,4.12765,3.87253,4.12765,4.23646,1.38707,0.918903,1.24648,4.50671,1.29105,0.680407,1.29085,1.31379,-9999,-9999
200502,-0.636,0.0,130.281,45.438,0.0,246.747,0.0,1.021,0.0,101.683,0.0,1.632,0.0,3.817,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.89966,0.380208,42.4403,0.0,45.2615,-9999,24.0653,0.0,25.6651,-9999,-2.07164,0.0,-9999,-2.30929,-2.13773,-2.01555,0.0,0.0,0.0,1.55931,1.53017,1.56448,1.90555,3.8686,3.58166,3.85705,4.04154,0.870692,0.51202,0.69455,4.2322,2.24984,1.32487,2.24984,2.28094,-9999,-9999
200503,0.195,0.0,229.747,106.279,0.0,247.458,0.0,1.382,0.0,101.532,0.0,1.544,0.0,3.171,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.71334,0.0,42.5822,0.0,67.6935,-9999,24.3219,0.0,38.6649,-9999,-2.05856,0.0,-9999,-2.30136,-2.13385,-2.00494,0.0,0.0,0.0,1.64825,1.62268,1.65822,1.96218,3.94961,3.65858,3.9445,4.094,1.09366,0.698058,0.946909,4.30265,3.82768,2.64084,3.82768,3.86029,-9999,-9999
200504,6.871,0.0,343.059,188.051,0.0,275.931,0.0,3.242,0.0,101.627,0.0,0.639,0.0,3.084,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.73622,0.0,42.5668,0.0,59.0519,0.925914,24.2534,0.0,33.6461,1.32179,-2.06343,0.0,-9999,-2.30056,-2.13384,-2.00959,0.0,0.0,0.0,2.2979,2.2911,2.30502,2.42949,4.59846,4.40568,4.57355,4.64518,2.41815,1.79806,2.4156,4.94439,5.49399,4.1651,5.49399,5.52422,-9999,-9999
200505,10.831,0.624328,435.65,225.535,0.624328,309.785,0.0,3.489,0.624328,101.401,0.623656,2.474,0.0,2.847,0.623656,0.264698353577,0.603494623656,105.664816523,0.612903225806,457.435274216,0.612231182796,36.1223495614,0.612903225806,391.754,0.624328,12.777,0.624328,36.408,0.624328,10.4417,0.624328,46.377,0.624328,64.3376,0.296041,22.1768,0.624328,30.7653,0.299596,-2.48671,0.620296,0.0333043,-2.60773,-2.49785,-2.47442,0.609543,0.623656,0.616263,3.05706,3.06588,3.07917,3.11172,5.65082,5.58216,5.62358,5.69226,3.68968,3.02332,3.68634,5.28033,6.19921,4.80852,6.19921,6.23736,-9999,-9999
200506,13.895,1.0,479.958,250.248,1.0,328.253,0.0,4.173,1.0,101.577,0.999306,1.877,0.0,3.047,0.999306,0.314662382054,0.979861111111,117.620336589,0.999305555556,480.534957063,0.999305555556,34.1107978221,0.999305555556,383.073,0.998611,16.338,1.0,36.732,1.0,9.39271,1.0,52.5013,0.998611,74.3519,0.325168,24.0786,0.998611,34.0999,0.319565,-1.56037,0.986111,0.0341666,-1.56027,-1.55456,-1.53682,0.986111,0.990972,0.98125,4.57666,4.4211,4.5634,4.58605,6.11387,5.97462,6.0982,6.13838,5.73759,4.23781,5.24452,5.26153,6.2503,5.15941,6.24858,6.27968,-9999,-9999
200507,17.294,1.0,459.393,229.667,1.0,344.071,0.0,5.867,1.0,101.232,0.998656,2.8,0.0,2.551,0.998656,0.265422901562,0.971102150538,108.460942068,0.998655913978,441.386189216,0.998655913978,36.7844561181,0.998655913978,376.144,0.999328,19.161,1.0,24.341,1.0,6.33122,1.0,39.2618,0.998656,54.638,0.288954,34.2077,0.999328,47.6045,0.320758,0.7611,0.983199,0.0237502,0.7611,0.766596,0.771308,0.983199,0.975806,0.983199,2.93639,2.86966,2.93623,2.95509,2.16509,2.09636,2.16509,2.18516,4.0404,3.90695,4.14694,5.88559,3.3571,2.93029,3.10583,4.80244,-9999,-9999
200508,15.325,0.995296,381.848,191.059,0.995296,330.687,0.0,4.636,0.995296,101.38,0.993952,2.533,0.0,2.77,0.993952,0.272544691349,0.979838709677,79.4028599419,0.993951612903,361.876079319,0.993279569892,41.1997465881,0.993951612903,364.982,0.995296,17.066,0.995296,35.042,0.995296,3.02632,0.995296,35.972,0.995296,48.6563,0.260374,21.7331,0.995296,29.3965,0.260463,0.628619,0.97043,0.021644,0.617241,0.626515,0.629989,0.969758,0.97043,0.969758,3.80673,3.75805,3.79429,3.8513,3.18425,3.1406,3.17415,3.2234,3.8769,3.93844,4.01678,4.66855,3.3644,3.43045,3.66827,4.12675,-9999,-9999
200509,13.913,1.0,275.38,134.604,1.0,311.289,0.0,3.779,1.0,101.778,1.0,0.579,0.0,2.575,1.0,0.238807008635,0.977777777778,42.7839020667,1.0,258.457899245,0.999305555556,33.2407289583,1.0,366.261,1.0,14.306,1.0,22.209,1.0,0.279756,1.0,19.687,1.0,26.4802,0.200824,11.909,0.999306,16.0183,0.31817,0.0215687,0.961806,0.0209011,-0.00157361,0.0104724,0.027353,0.961111,0.961111,0.961806,2.23889,2.23882,2.25599,2.27108,2.22762,2.21969,2.24733,2.26304,2.3204,2.3204,2.35272,2.37152,2.53054,2.53506,2.58309,2.64139,-9999,-9999
200510,9.709,1.0,167.539,87.231,1.0,281.82,0.0,1.971,1.0,102.011,0.999328,1.852,0.0,2.922,0.999328,0.26485769034,0.983870967742,9.08612285504,0.999327956989,167.478318477,0.999327956989,29.4674747054,0.999327956989,372.021,0.989247,9.796,1.0,33.045,1.0,-2.06822,1.0,9.7789,0.989247,17.7019,0.174298,-3.60071,0.988575,-6.51807,0.328141,0.513269,0.974462,0.0162063,0.504032,0.509562,0.511645,0.972446,0.972446,0.972446,1.7027,1.69449,1.7029,1.73262,1.19513,1.19087,1.19614,1.22098,1.97904,1.88226,1.97141,2.0215,1.6289,1.57839,1.60615,1.6289,-9999,-9999
200511,4.82,1.0,86.9359,38.716,1.0,269.191,0.0,1.044,1.0,101.303,0.999306,1.599,0.0,2.89,0.999306,0.245505477001,0.970833333333,-12.0370897995,0.999305555556,74.4324168144,0.999305555556,23.3867448286,0.999305555556,384.714,0.998611,5.975,1.0,43.99,1.0,-5.31005,1.0,5.33915,0.998611,4.29136,0.166994,-13.6801,0.998611,-10.9954,0.299792,0.574438,0.959722,0.0150928,0.552631,0.562696,0.598362,0.963889,0.959028,0.967361,1.20711,1.19755,1.21864,1.25912,0.651872,0.636381,0.652031,0.665335,1.51872,1.49338,1.56462,1.64076,1.38533,1.09385,1.36074,1.37103,-9999,-9999
