TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,-2.987,0.0,69.467,20.335,0.0,285.843,0.0,0.168,0.0,101.753,0.0,0.759,0.0,5.309,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,56.5656,0.0,-9999,-9999,7.80039,0.0,-9999,-9999,-3.70259,0.0,-9999,-4.60166,-3.70259,-3.2313,0.0,0.0,0.0,4.34072,4.2963,4.65206,4.87157,8.14004,7.87116,7.97457,9.19292,7.35366,2.69117,7.30313,8.90425,2.58508,1.61801,2.40412,2.61431,-9999,-9999
199602,-4.968,0.0,133.276,43.895,0.0,264.366,0.0,0.125,0.0,100.828,0.0,1.761,0.0,5.328,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,56.8115,0.0,-9999,-9999,7.32457,0.0,-9999,-9999,-3.67488,0.0,-9999,-4.60348,-3.67488,-3.1962,0.0,0.0,0.0,3.84752,3.82772,4.16869,4.39538,7.62968,7.36135,7.46763,8.66791,6.94162,2.36096,6.89392,8.40213,4.36095,3.0091,4.19842,4.69559,-9999,-9999
199603,-2.107,0.0,234.79,109.515,0.0,259.601,0.0,0.524,0.0,101.564,0.0,0.341,0.0,4.791,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,56.5656,0.0,-9999,-9999,7.80039,0.0,-9999,-9999,-3.70259,0.0,-9999,-4.60166,-3.70259,-3.2313,0.0,0.0,0.0,4.56575,4.52228,4.86933,5.11199,8.35779,8.08843,8.18546,9.42891,7.53153,2.84327,7.47978,9.11963,7.82943,6.05273,7.6107,9.05569,-9999,-9999
199604,4.564,0.0,347.525,176.854,0.0,279.347,0.0,2.251,0.0,101.294,0.0,0.152,0.0,3.345,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,56.6844,0.0,-9999,-9999,7.57041,0.0,-9999,-9999,-3.68919,0.0,-9999,-4.60254,-3.68919,-3.21434,0.0,0.0,0.0,6.36833,6.34146,6.55433,6.74702,10.0345,9.68837,9.85265,11.3132,8.7325,4.09965,8.67249,10.5738,10.444,8.47923,10.1956,12.4886,-9999,-9999
199605,7.962,0.00403226,438.443,183.736,0.0047043,310.672,0.0,2.189,0.00403226,100.672,0.0,1.575,0.0,4.311,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,57.0576,0.004032,-9999,1.2394,6.64498,0.004032,-9999,0.732789,-3.58132,0.0,0.185418,-4.56388,-3.58132,-3.12143,0.0,0.0,0.00403226,7.301,7.28459,7.44613,7.53226,10.787,10.3683,10.6649,12.1758,9.3113,4.7577,9.24732,11.2747,10.9369,8.82155,10.6626,12.9657,-9999,-9999
199606,13.568,0.879861,480.484,213.367,0.881944,322.207,0.0,3.848,0.879861,101.14,0.870139,0.803,0.870139,4.492,0.870139,0.489573857879,0.844444444444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,349.065,0.879861,10.646,11.25,-9999,-9999,-9999,-9999,-9999,0.879861,0.879861,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,89.2228,0.879861,-9999,1.00668,29.6609,0.878472,-9999,1.41349,-4.54192,0.829861,0.0935661,-4.58748,-4.53925,-4.51152,0.876389,0.876389,0.872222,9.49743,8.6358,8.80212,9.23422,13.746,13.2361,13.344,13.7651,9.68241,9.05522,9.63346,9.88197,13.6705,13.5354,13.6969,14.0118,-9999,-9999
199607,14.767,0.754704,457.958,217.967,0.759409,330.792,0.0,4.549,0.754704,100.835,0.716398,0.93,0.71707,4.945,0.71707,0.610450558477,0.686827956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,332.074,0.751344,11.712,12.303,-9999,-9999,-9999,-9999,-9999,0.754704,0.754704,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,90.5005,0.751344,-9999,0.817267,11.1604,0.75336,-9999,1.28372,-4.1658,0.748656,0.0890182,-4.18051,-4.1658,-4.14226,0.748656,0.748656,0.748656,8.08281,8.02119,8.04263,8.0579,12.2188,12.137,12.2072,12.2226,8.27528,8.22565,8.44494,8.55891,12.4904,12.4904,12.9134,12.9406,-9999,-9999
199608,17.79,0.942876,379.425,186.571,0.94422,342.698,0.0,5.74,0.942876,101.14,0.920699,1.591,0.912634,4.838,0.912634,0.573508026856,0.897849462366,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,328.075,0.942876,13.529,14.259,-9999,-9999,-9999,-9999,-9999,0.942876,0.942876,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,56.9236,0.94086,-9999,0.741273,53.581,0.941532,-9999,0.926388,-1.72589,0.9375,0.0616994,-1.74262,-1.73616,-1.7067,0.938172,0.938172,0.9375,5.23552,5.19412,5.23481,5.27227,6.9388,6.90309,6.96221,7.01764,6.2653,6.11578,6.15552,6.20716,7.6616,7.62218,7.66287,7.73263,-9999,-9999
199609,11.433,0.982639,272.898,121.557,0.984028,326.06,0.0,3.231,0.982639,101.126,0.94375,1.45,0.938194,5.0,0.938194,0.536060097073,0.910416666667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,333.911,0.98125,10.883,10.749,-9999,-9999,-9999,-9999,-9999,0.982639,0.982639,-9999,-9999,-9999,-9999,-9999,-9999,14.283,-9999,-9999,-9999,-9999,-9999,-9999,0.981944,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.5858,0.98125,-9999,0.636519,4.99303,0.982639,-9999,0.955129,-1.1395,0.979167,0.0584477,-1.15676,-1.11976,-1.11301,0.979167,0.979167,0.979167,4.16471,4.12492,4.15765,4.17003,5.26103,5.27662,5.28052,5.28831,4.26574,4.25305,4.27038,4.33914,5.43918,5.40056,5.41357,5.49525,-9999,-9999
199610,9.355,0.997312,165.741,51.949,0.997312,322.008,0.0,1.057,0.997312,100.881,0.984543,1.835,0.975134,4.981,0.975134,0.51403003932,0.936827956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,316.124,0.972446,9.479,9.342,-9999,-9999,-9999,-9999,-9999,0.997312,0.997312,-9999,-9999,-9999,-9999,-9999,-9999,19.456,-9999,-9999,-9999,-9999,-9999,-9999,0.997312,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.2913,0.997312,-9999,0.456113,-22.0222,0.997312,-9999,1.09582,1.41661,0.993952,0.0480723,1.30553,1.41722,1.45621,0.99328,0.993952,0.995296,3.21252,3.06999,3.19113,3.21252,1.7729,1.74481,1.74981,1.76564,3.47891,3.41961,3.43635,3.48113,1.94402,1.91803,1.93181,1.94151,-9999,-9999
