TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,12.033,0.0,201.01,113.71,0.0,263.118,0.0,5.325,0.0,101.638,0.0,1.014,0.0,2.698,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.04932,0.0,2.64739,-9999,124.7,0.0,108.264,-9999,1.79064,0.0,-9999,1.72211,1.74758,1.80957,0.0,0.0,0.0,0.200122,0.0359487,0.209411,0.292447,-1.53062,-1.69695,-1.52199,-1.49627,0.570164,0.293919,0.5312,0.570164,0.0,0.0,0.0,0.0,-9999,-9999
200702,13.975,0.0,260.233,141.967,0.0,299.355,0.0,5.165,0.0,101.052,0.0,0.923,0.0,3.798,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.08689,0.0,2.68001,-9999,124.723,0.0,108.283,-9999,1.8007,0.0,-9999,1.73286,1.75803,1.81919,0.0,0.0,0.0,0.223126,0.0398676,0.229289,0.326065,-1.52092,-1.70365,-1.50351,-1.47877,0.700047,0.360874,0.652207,0.700047,0.0,0.0,0.0,0.0,-9999,-9999
200703,14.656,0.0,339.041,224.015,0.0,283.763,0.0,6.556,0.0,101.033,0.0,0.519,0.0,3.599,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.43281,0.928091,3.00454,0.0,1.85958,-9999,124.844,0.0,77.2689,-9999,1.79286,0.0,-9999,1.72163,1.74672,1.81281,0.0,0.0,0.0,0.231983,0.0413586,0.236642,0.339008,-1.50165,-1.68988,-1.48273,-1.45983,0.762553,0.393096,0.710441,0.762553,0.0,0.0,0.0,0.0,-9999,-9999
200704,15.785,0.0,413.651,240.493,0.0,315.075,0.0,6.032,0.0,100.606,0.0,1.405,0.0,3.509,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.28695,0.0,3.04558,0.0,1.88499,-9999,124.757,0.0,77.215,-9999,1.79453,0.0,-9999,1.72529,1.75053,1.81368,0.0,0.0,0.0,0.245881,0.0437145,0.248453,0.359318,-1.49264,-1.6914,-1.47389,-1.44781,0.84907,0.437696,0.791047,0.84907,0.0,0.0,0.0,0.0,-9999,-9999
200705,20.1,0.0,464.269,310.718,0.0,349.482,0.0,9.454,0.0,100.645,0.0,0.487,0.0,3.484,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.32049,0.0,3.04932,0.0,1.8873,-9999,124.7,0.0,77.1801,-9999,1.79064,0.0,-9999,1.72211,1.74758,1.80957,0.0,0.0,0.0,0.303901,0.0534316,0.303901,0.444105,-1.43694,-1.67765,-1.41821,-1.36633,1.30507,0.672765,1.21589,1.30507,0.0,0.0,0.0,0.0,-9999,-9999
200706,23.079,0.107639,484.879,328.406,0.0,382.691,0.0,11.159,0.107639,100.604,0.0923611,0.0,0.106944,3.407,0.0923611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.08841,0.107639,3.12235,0.088194,2.48918,0.455549,124.81,0.094444,99.5001,0.844668,1.79948,0.05,0.0390692,1.72821,1.7545,1.81816,0.0576389,0.0645833,0.0444444,0.345514,0.0728905,0.345514,0.504916,-1.40544,-1.66864,-1.3827,-1.31708,1.66905,0.860394,1.55499,1.66905,0.0,0.0,0.0,0.0,-9999,-9999
200707,25.322,1.0,474.271,356.627,0.926747,393.988,0.0,13.237,1.0,100.8,1.0,0.03,1.0,3.317,1.0,0.333524877307,0.981182795699,106.171874426,1.0,687.591511656,0.903225806452,103.93224077,0.903225806452,372.571,0.995968,33.582,1.0,-9999,-9999,6.93741,1.0,5.0614,1.0,4.03502,0.316063,119.415,1.0,95.1994,0.508933,1.66467,0.938172,0.0241982,1.63315,1.65521,1.6871,0.961694,0.946909,0.938844,0.0966307,0.0958137,0.0996268,0.12534,-1.5466,-1.56176,-1.54907,-1.54229,1.71078,1.6166,1.72453,1.86984,0.0,0.0,0.0,0.0,-9999,-9999
200708,26.05,1.0,433.419,301.892,1.0,390.925,0.0,12.411,1.0,100.569,1.0,0.007,1.0,3.82,0.995968,0.383466641373,0.977822580645,85.0276259731,1.0,580.561624856,1.0,89.5285608333,1.0,368.194,0.632392,33.119,1.0,-9999,-9999,4.18548,1.0,5.38156,0.993952,3.97207,0.356994,104.164,1.0,76.882,0.541463,1.27453,0.551075,0.0153273,1.23447,1.24271,1.30183,0.559812,0.559812,0.553091,0.0575933,0.0352947,0.0505853,0.0613851,-1.17826,-1.22646,-1.19599,-1.18871,1.18945,1.1277,1.21583,1.58091,0.0,0.0,0.0,0.0,-9999,-9999
200709,23.419,1.0,368.246,237.739,1.0,367.878,0.0,9.992,1.0,100.936,1.0,0.0,1.0,3.74,0.993056,0.372490185572,0.986111111111,62.5535483429,0.997916666667,457.190604069,1.0,67.6465295625,1.0,372.634,0.7875,27.845,1.0,-9999,-9999,0.0313379,1.0,14.0596,0.996528,10.1829,0.486646,70.8076,1.0,51.2837,0.552453,1.32547,0.768056,0.0195697,1.32801,1.35011,1.36344,0.734722,0.770139,0.776389,0.287696,0.2326,0.286845,0.303385,-1.05411,-1.08555,-1.06384,-1.05269,2.03178,2.03622,2.1105,2.12802,0.0,0.0,0.0,0.0,-9999,-9999
200710,19.333,1.0,289.441,168.518,1.0,328.13,0.0,6.71,1.0,100.981,0.987903,0.741,0.609543,2.993,0.976478,0.330882265556,0.946908602151,29.4204227533,0.99126344086,324.073918461,1.0,45.4258174395,1.0,378.836,1.0,21.419,1.0,-9999,-9999,-6.77622,1.0,23.5,1.0,14.8174,0.496598,32.863,1.0,20.721,0.660685,0.819391,0.990591,0.0289962,0.741376,0.783231,0.83721,0.99664,0.994624,0.985887,1.03175,0.991436,1.02962,1.04698,0.266788,0.200492,0.244961,0.257282,0.886296,0.82506,0.864392,0.929171,0.208581,0.136494,0.196445,0.208936,-9999,-9999
