TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,5.077,0.0,200.348,112.972,0.0,268.082,0.0,4.782,0.0,84.268,0.0,0.494,0.0,1.926,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.3944,3.0,54.5912,0.0,60.9852,-9999,60.1735,0.0,67.2213,-9999,-1.84236,0.0,-9999,-1.9429,-1.91263,-1.84377,0.0,0.0,0.0,0.501784,0.45168,0.529876,0.59392,2.41509,2.3843,2.42792,2.45947,1.21809,1.22743,1.91214,2.23021,2.17112,1.71455,2.0217,2.23335,-9999,-9999
200402,5.695,0.0,260.941,138.696,0.0,281.557,0.0,4.736,0.0,84.271,0.0,1.875,0.0,2.309,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.5671,3.0,54.5684,0.0,60.9597,-9999,59.8301,0.0,66.8377,-9999,-1.84359,0.0,-9999,-1.94423,-1.91452,-1.84518,0.0,0.0,0.0,0.520784,0.465785,0.546079,0.611401,2.43559,2.40159,2.44741,2.47722,1.23383,1.24329,1.93685,2.25904,2.44462,1.93361,2.28644,2.51179,-9999,-9999
200403,7.028,0.0,341.267,185.482,0.0,294.78,0.0,5.142,0.0,84.27,0.0,4.297,0.0,2.214,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.3944,3.0,54.5912,0.0,66.0548,-9999,60.1735,0.0,72.8094,-9999,-1.84236,0.0,-9999,-1.9429,-1.91263,-1.84377,0.0,0.0,0.0,0.573358,0.508762,0.585193,0.651331,2.48216,2.44044,2.48819,2.51221,1.2634,1.27309,1.98327,2.31318,2.82316,2.2677,2.66177,2.8946,-9999,-9999
200404,8.649,0.00555556,415.503,247.857,0.00625,298.089,0.0,6.138,0.00555556,83.804,0.0,3.897,0.0,2.611,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.6059,3.0,54.5746,0.0,65.3241,-9999,59.9816,0.0,71.7962,-9999,-1.84308,0.0,-9999,-1.9415,-1.91385,-1.84458,0.0,0.0,0.0,0.638597,0.564195,0.632431,0.700079,2.5419,2.49065,2.53936,2.56752,1.29888,1.30884,2.03896,2.37813,3.26873,2.67159,3.10613,3.34445,-9999,-9999
200405,8.754,1.0,465.384,226.614,0.998656,331.124,0.0,1.176,0.99328,83.882,0.399866,3.671,0.0,2.113,0.977151,0.247201560694,0.963709677419,112.888887437,0.994623655914,411.824424638,0.971102150538,29.9742630324,0.834677419355,362.996,0.663978,11.981,1.0,-9999,-9999,-0.677644,3.0,51.4343,0.266129,62.4574,0.621143,43.7393,0.200941,53.1132,0.68844,-1.22792,0.193548,0.0286395,-1.34516,-1.32331,-1.25145,0.156586,0.196909,0.193548,0.641449,0.566703,0.635039,0.702984,1.93013,1.89013,1.95055,1.97572,1.29679,1.30634,2.01698,2.34489,3.20984,2.585,3.02244,3.29187,-9999,-9999
200406,18.609,1.0,485.073,330.727,0.997917,382.815,0.0,6.506,0.990972,84.447,0.869444,0.179,0.0,1.798,1.0,0.214678661917,0.998611111111,176.871137694,0.995833333333,616.415085938,0.977083333333,40.5552682637,0.6875,376.706,0.979861,21.065,1.0,-9999,-9999,5.71173,3.0,63.5022,0.979861,77.1116,0.464013,77.6826,0.979167,94.3311,0.584886,-1.17056,0.975,0.0180475,-1.21283,-1.17558,-1.16907,0.976389,0.975,0.975,0.917928,0.776997,0.920444,0.942175,2.10119,1.98983,2.0967,2.10611,0.8377,0.924416,1.01792,1.18954,2.16361,1.89827,2.14899,2.25697,-9999,-9999
200407,21.255,1.0,473.414,324.581,0.540323,387.863,0.0,15.406,1.0,84.203,0.521505,0.016,0.0,1.821,0.997984,0.224700347267,0.997311827957,166.957473448,0.995967741935,673.58662726,0.502688172043,-9999,-9999,375.355,0.537634,25.124,1.0,-9999,-9999,2.69621,3.0,29.3915,0.537634,36.1835,0.378623,103.378,0.537634,127.267,0.595985,-0.537272,0.535618,0.0132966,-0.534301,-0.528835,-0.521332,0.53629,0.53629,0.535618,0.476615,0.374138,0.460493,0.557451,0.990241,0.90244,0.991472,1.07732,0.638406,0.236552,0.284201,0.638178,0.741681,0.723177,0.741681,1.00985,-9999,-9999
200408,21.673,1.0,431.467,296.345,1.0,392.367,0.0,16.828,1.0,84.329,0.999328,0.009,0.0,2.487,0.997984,0.278312340887,0.997983870968,129.974315871,0.999327956989,562.30253005,0.991935483871,-9999,-9999,378.256,1.0,25.458,1.0,-9999,-9999,1.37694,3.0,15.6024,1.0,20.2751,0.285491,83.2767,1.0,108.217,0.576551,0.164479,0.998656,0.0126757,0.165412,0.167313,0.169416,0.998656,0.998656,0.998656,0.0722385,0.0668869,0.0692589,0.0715504,-0.0968999,-0.0999937,-0.0977599,-0.0966669,0.404578,0.168372,0.175956,0.355851,0.0946206,0.0926481,0.0972336,0.275073,-9999,-9999
200409,18.291,1.0,365.412,220.682,1.0,366.034,0.0,11.784,1.0,84.422,0.890278,0.717,0.0,2.066,0.999306,0.241604407312,0.997916666667,83.3340804474,0.995833333333,418.833598378,0.989583333333,35.8885687892,0.782638888889,372.882,0.995833,20.746,1.0,-9999,-9999,-3.89289,3.0,11.1608,0.99375,12.7197,0.325647,66.0866,0.996528,75.3173,0.566164,0.391123,0.984028,0.00980689,0.406362,0.423305,0.426535,0.984028,0.984028,0.984722,0.0410031,0.031471,0.0337757,0.0410031,-0.379732,-0.394032,-0.38285,-0.367569,0.405884,0.394605,0.408601,0.44026,0.0,0.0,0.0,0.0,-9999,-9999
200410,13.424,1.0,286.304,186.871,0.997984,327.311,0.0,8.264,1.0,83.964,0.964382,0.214,0.0,3.739,0.951613,0.377783401384,0.944220430108,52.0890368834,0.985215053763,342.851840429,0.981182795699,29.4530036667,0.854838709677,373.304,1.0,14.72,1.0,-9999,-9999,-9.33743,3.0,8.95358,0.999328,10.2368,0.235579,45.558,1.0,52.0873,0.522427,0.189378,1.0,0.0106951,0.189417,0.191411,0.194305,1.0,1.0,1.0,0.0016074,0.00123924,0.00168131,0.00231382,-0.189938,-0.192745,-0.190336,-0.186833,0.363969,0.306452,0.342698,0.363816,0.0,0.0,0.0,0.000218302,-9999,-9999
