TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,1.007,1.0,199.128,141.771,1.0,254.854,0.0,3.993,1.0,91.891,0.0,0.645,0.999328,2.388,0.838038,0.338742794798,0.820564516129,25.7344034546,0.999327956989,272.831289894,0.999327956989,77.2951099577,0.999327956989,381.541,0.999328,-0.073,1.0,13.859,1.0,-2.12713,1.0,20.6997,0.992608,27.4715,0.349904,0.383964,0.999328,0.509575,0.720559,-0.0749413,0.939516,0.0142611,-0.075144,-0.0672714,-0.061436,0.959677,0.932796,0.898522,0.358476,0.33417,0.353823,0.386361,0.422001,0.40436,0.419447,0.44638,0.470593,0.462913,0.479212,0.522741,0.499682,0.514168,0.578276,0.615131,-9999,-9999
200702,1.059,1.0,258.524,164.195,1.0,288.545,0.0,2.241,1.0,91.355,0.0,1.121,1.0,3.802,0.752976,0.614300017663,0.723214285714,57.347827381,1.0,315.75905506,1.0,111.472016369,1.0,380.01,0.985119,0.836,1.0,18.806,1.0,0.266176,-9999,26.2562,0.981399,37.8925,0.561385,13.3879,0.985119,19.3212,0.853768,0.208208,0.97619,0.0205697,0.20325,0.20742,0.24998,0.978423,0.982143,0.973958,0.556413,0.546732,0.552677,0.566675,0.352988,0.324555,0.337496,0.345907,0.683515,0.713032,0.80328,0.831067,0.575199,0.562681,0.589192,0.610323,-9999,-9999
200703,-0.061,1.0,337.733,230.642,1.0,265.652,0.0,2.6,1.0,91.362,0.0,0.9,1.0,2.966,0.776882,0.552092461497,0.730510752688,107.849959677,1.0,441.602417017,0.998655913978,83.0047715054,1.0,375.385,0.99328,2.448,1.0,14.546,1.0,0.309489,-9999,19.972,0.989247,27.32,0.345087,58.1173,0.99328,79.4995,0.926372,-0.0118028,0.980511,0.0203703,-0.0327177,-0.0169335,-0.00726053,0.980511,0.980511,0.975806,0.617484,0.62084,0.624782,0.643086,0.642707,0.6375,0.648012,0.656817,0.573965,0.542509,0.57449,0.644435,0.743311,0.718593,0.743311,0.807421,-9999,-9999
200704,0.723,1.0,412.928,194.335,1.0,300.801,0.0,0.813,1.0,91.0,0.0,2.24,1.0,2.346,0.511111,-9999,-9999,61.9112777778,1.0,371.247343766,0.997916666667,211.787465278,1.0,366.569,0.997222,2.029,1.0,20.0,1.0,0.84375,-9999,15.4186,0.997222,21.2868,0.325282,11.8668,0.997222,16.3832,0.56963,0.293089,0.988194,0.0208697,0.267958,0.27583,0.320308,0.989583,0.988194,0.960417,0.933115,0.931973,0.944158,1.0738,0.664909,0.664433,0.679767,0.766214,0.861898,0.707652,0.778668,0.845193,0.617407,0.567425,0.60085,0.665225,-9999,-9999
200705,6.56,1.0,464.108,303.331,1.0,315.908,0.0,3.851,1.0,91.106,0.0,1.684,1.0,2.535,0.893817,0.445985488538,0.869623655914,179.951619624,1.0,583.329153226,1.0,42.1737634409,1.0,370.249,0.999328,9.481,1.0,15.819,1.0,8.53121,-9999,44.9098,0.997984,62.5713,0.384611,77.7838,0.999328,108.373,0.750838,-0.896514,0.994624,0.0247474,-0.913024,-0.903492,-0.896514,0.991935,0.995968,0.994624,1.19992,1.17782,1.20307,1.2179,2.10066,2.07856,2.10418,2.1179,1.10974,1.00882,1.05884,1.12888,2.06784,2.03328,2.05607,2.0773,-9999,-9999
200706,11.315,1.0,485.015,337.663,1.0,348.065,0.0,5.753,1.0,91.106,0.0,0.003,1.0,2.033,0.933333,0.367020699776,0.933333333333,188.985,1.0,648.577149823,0.999305555556,45.1295,1.0,364.418,0.998611,16.212,1.0,8.304,1.0,11.3322,-9999,49.8556,0.989583,66.2422,0.520283,83.6712,0.998611,111.172,0.741015,-1.81276,0.965972,0.0253731,-1.83584,-1.82238,-1.81276,0.973611,0.960417,0.965972,1.65598,1.63912,1.65641,1.67038,3.48958,3.46552,3.48341,3.49188,2.1586,1.99739,2.14384,2.19893,3.8337,3.83449,3.85922,3.90409,-9999,-9999
200707,16.178,1.0,474.283,374.851,1.0,362.57,0.0,11.641,1.0,91.291,0.0,0.0,1.0,2.215,0.914651,0.405317290197,0.974462365591,191.607983871,1.0,720.056722575,0.999327956989,60.0623319892,1.0,359.614,0.999328,21.605,1.0,6.0,1.0,11.8937,-9999,47.0529,0.741263,61.3911,0.610776,91.6112,0.997984,119.528,0.71303,-0.704203,0.977151,0.0244366,-0.717448,-0.711039,-0.7073,0.980511,0.975806,0.977151,1.40897,1.39828,1.41144,1.41667,2.1258,2.10684,2.12652,2.13182,1.33459,1.32554,1.3619,1.42174,2.11543,2.10928,2.12717,2.14553,-9999,-9999
200708,14.816,1.0,432.955,295.566,1.0,365.103,0.0,9.221,1.0,91.113,0.0,1.252,1.0,2.148,0.922715,0.411421031118,0.965053763441,152.536276882,1.0,566.874689001,0.998655913978,53.1429637097,1.0,356.983,1.0,18.419,1.0,7.303,1.0,5.46555,-9999,32.2112,0.0,47.5355,2.09693,66.5441,0.997984,98.2021,0.724385,-0.0795474,0.992608,0.0177479,-0.0763856,-0.0679613,-0.054582,0.992608,0.995968,0.986559,1.41059,1.39872,1.40994,1.42598,1.49099,1.4653,1.48514,1.49152,1.11478,0.928465,1.03194,1.0881,1.36817,1.2676,1.30324,1.36846,-9999,-9999
200709,11.015,1.0,367.193,237.042,1.0,345.658,0.0,4.791,1.0,91.383,0.0,1.837,1.0,2.285,0.932639,0.411669472149,0.941666666667,137.332430556,1.0,452.470040832,0.997222222222,44.1304861111,1.0,349.003,0.999306,14.899,1.0,8.524,1.0,1.80584,-9999,27.5852,0.745833,45.4263,0.516167,56.023,0.999306,92.2566,0.678837,-0.28867,0.988194,0.019818,-0.291851,-0.288366,-0.279367,0.990278,0.988194,0.9875,1.07667,1.06046,1.06889,1.07675,1.35322,1.3523,1.35708,1.36293,1.02571,1.02409,1.05925,1.43534,1.43937,1.46598,1.4872,1.55515,-9999,-9999
200710,5.435,1.0,287.896,154.07,1.0,311.59,0.0,2.146,1.0,91.372,0.0,1.645,1.0,2.161,0.899866,0.366298313326,0.899865591398,97.9024240229,0.898521505376,293.996951613,0.997983870968,29.6383467742,1.0,352.951,1.0,7.655,1.0,14.875,1.0,-4.10876,-9999,26.0408,1.0,49.5735,0.483959,27.7696,1.0,52.8646,0.583089,-0.0434335,0.998656,0.0215842,-0.0436904,-0.030744,-0.0050779,0.998656,0.986559,0.999328,0.923688,0.887224,0.908371,0.9233,0.925729,0.912283,0.927026,0.945701,0.737501,0.372059,0.521246,0.736754,0.748292,0.570822,0.729469,0.804279,-9999,-9999
200711,1.714,1.0,217.126,150.437,1.0,265.66,0.0,3.261,1.0,91.33,0.0,1.837,1.0,2.107,0.854167,0.327733388609,0.823611111111,-9999,-9999,289.302638889,1.0,34.6026736111,1.0,356.579,1.0,3.186,0.654861,14.933,1.0,-7.80944,-9999,15.6676,0.999306,29.8262,0.323183,24.2731,1.0,46.2085,0.692327,-0.215591,0.984722,0.0135214,-0.246251,-0.215591,-0.210689,0.972222,0.984722,0.9875,0.411081,0.359039,0.402339,0.411081,0.623693,0.60546,0.617644,0.624153,0.330836,0.319291,0.371314,0.466181,0.63434,0.587967,0.618399,0.636259,-9999,-9999
200712,-0.225,1.0,182.2,123.207,1.0,259.443,0.0,2.999,1.0,91.746,0.0,0.094,1.0,2.687,0.829301,0.367361609498,0.797715053763,-9999,-9999,236.936928763,1.0,69.9929771505,1.0,357.921,0.998656,2.777,0.0,12.766,1.0,-11.4992,-9999,13.1869,0.991263,18.1815,0.350993,-0.0498991,1.0,-0.068799,0.692867,-0.262675,0.977823,0.0120318,-0.276618,-0.263036,-0.249548,0.966398,0.977823,0.985887,0.102941,0.0899874,0.099551,0.105692,0.353083,0.352511,0.361449,0.36541,0.537031,0.355949,0.433009,0.462242,0.460126,0.32069,0.329859,0.351416,-9999,-9999
200801,0.767,1.0,199.128,156.67,1.0,264.053,0.0,2.908,1.0,91.767,0.0,0.474,1.0,2.55,0.899866,0.356672108715,0.843413978495,-9999,-9999,300.724120768,0.999327956989,144.73188172,1.0,363.243,0.999328,3.007,0.0,-9999,-9999,-7.09355,-9999,16.0908,0.998656,22.1854,0.47256,-7.63358,0.998656,-10.5249,0.886006,0.18619,0.976478,0.0115346,0.167261,0.18619,0.206059,0.982527,0.976478,0.974462,0.262613,0.260773,0.263616,0.265501,0.0947043,0.0526333,0.0749794,0.096486,0.429574,0.433484,0.450319,0.471247,0.135357,0.102892,0.127099,0.142773,-9999,-9999
200802,0.776,1.0,259.836,145.709,1.0,284.559,0.0,1.869,1.0,91.734,0.0,1.9,1.0,2.541,0.96408,0.403641258202,0.780890804598,-9999,-9999,278.740603448,0.998563218391,35.956408046,1.0,358.185,1.0,3.938,0.0,-9999,-9999,-1.08523,-9999,18.0431,1.0,24.8771,0.395984,15.3379,1.0,21.1474,0.71296,-0.216999,0.99569,0.0139838,-0.234079,-0.215815,-0.194584,0.993534,0.994971,0.997126,0.140594,0.120348,0.136238,0.139372,0.338405,0.329866,0.351724,0.355819,0.397291,0.348517,0.405226,0.424716,0.38197,0.359207,0.382684,0.418,-9999,-9999
200803,1.84,1.0,340.429,250.392,1.0,275.22,0.0,3.364,1.0,91.093,0.0,0.197,1.0,3.49,0.933468,0.59997023908,0.858198924731,147.80416252,0.999327956989,479.074661691,0.997983870968,65.243313172,1.0,334.816,1.0,3.931,0.0,-9999,-9999,-1.09248,-9999,37.8118,0.999328,52.1334,0.597017,65.457,1.0,90.2497,1.15358,-0.0650665,0.994624,0.0157343,-0.0770652,-0.0719446,-0.0655878,0.994624,0.991263,0.994624,0.5768,0.57256,0.576655,0.585992,0.653826,0.644422,0.648741,0.65179,0.587106,0.562501,0.585771,0.592707,0.708618,0.683887,0.704693,0.709095,-9999,-9999
200804,5.071,0.0222222,415.047,274.448,0.0236111,295.566,0.0,4.279,0.0222222,90.962,0.0,1.495,0.0159722,3.281,0.926389,0.528920487044,0.752777777778,-9999,-9999,-9999,-9999,-9999,-9999,362.962,0.842361,3.935,0.0,-9999,-9999,-1.08898,-9999,40.8154,0.784028,43.067,0.87607,63.4794,0.784722,66.9812,1.85543,-0.273646,0.575,0.0282388,-0.282837,-0.273646,-0.266831,0.640972,0.575,0.557639,0.685673,0.668352,0.684994,0.692416,0.970852,0.937285,0.961894,0.976899,0.615973,0.597752,0.611051,0.773057,1.03426,0.930509,0.944452,0.987178,-9999,-9999
