TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,-6.504,0.0,30.2499,6.987,0.0,269.075,0.0,0.47,0.0,100.801,0.0,0.349,0.0,2.601,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.16737803134,0.998655913978,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,13.2486,0.0,-9999,-9999,35.7207,0.0,-9999,-9999,-5.05312,0.0,-9999,-5.11159,-5.07486,-5.05312,0.0,0.0,0.0,2.12064,2.01652,2.12064,2.3732,7.19954,7.08287,7.19954,7.45817,2.58769,2.50669,2.51323,2.54994,0.499486,0.457316,0.459818,0.466849,-9999,0.0
199602,-11.479,0.0,88.3926,27.855,0.0,236.32,0.0,0.556,0.0,99.512,0.0,0.745,0.0,3.443,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,43.1399333578,0.999281609195,-9999,-9999,-9999,-9999,-9999,-9999,359.152,0.155891,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,13.3577,0.0,-9999,-9999,35.9324,0.0,-9999,-9999,-5.04937,0.0,-9999,-5.10722,-5.07035,-5.04937,0.0,0.0,0.0,1.56601,1.48419,1.56601,1.84122,6.63955,6.55818,6.63955,6.91951,2.13945,2.07247,2.07789,2.10824,1.75787,1.64817,1.65733,1.66873,-9999,0.0
199603,-3.49,0.00672043,192.251,86.502,0.00739247,246.892,0.0,1.213,0.00672043,100.465,0.0,0.805,0.0,2.816,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,363.106,0.992608,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,13.2408,0.0,-9999,-9999,35.8118,0.0,-9999,-9999,-5.05312,0.0,-9999,-5.11159,-5.07486,-5.05312,0.0,0.0,0.0,2.47855,2.35118,2.47855,2.69539,7.55925,7.41753,7.55925,7.78533,2.83977,2.75087,2.75805,2.79834,4.37037,4.24253,4.24971,4.2776,0.9485,0.483871
199604,2.486,1.0,317.065,142.905,1.0,271.264,0.0,2.451,1.0,99.846,0.984028,0.0,1.0,3.013,0.993056,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,93.55,1.0,-9999,-9999,-9999,-9999,364.493,0.792361,2.248,2.286,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,20.5729,0.586111,-9999,0.319987,39.9844,0.586806,-9999,0.539848,-2.69425,0.0,-9999,-2.78779,-2.76243,-2.69425,0.0,0.0,0.0,3.21373,3.0343,3.21373,3.31016,5.88097,5.73344,5.88097,6.08236,3.28076,3.17806,3.18636,3.2329,6.33221,6.24558,6.26075,6.28433,0.959068,1.0
199605,8.03,1.0,424.494,189.204,1.0,298.094,0.0,5.245,0.997984,99.429,0.993952,2.155,1.0,3.024,0.993952,0.449141034069,0.796370967742,-9999,-9999,393.331474688,0.98185483871,-9999,-9999,-9999,-9999,96.1747311828,1.0,-9999,-9999,-9999,-9999,361.789,0.0,3.661,3.416,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,41.1164,0.997984,-9999,0.43693,55.4202,0.997984,-9999,0.733969,-3.51191,0.0,-9999,-3.52754,-3.46008,-3.4431,0.0,0.0,0.0,3.88483,3.65533,3.84539,3.88043,7.28468,7.18287,7.29812,7.32109,3.64472,3.53062,3.53984,3.59154,7.85101,7.79617,7.81845,7.84061,1.21836,1.0
199606,12.457,1.0,476.928,192.201,1.0,323.116,0.0,5.499,1.0,99.286,0.995833,2.467,1.0,3.055,0.993056,0.466420207211,0.848611111111,-9999,-9999,384.443072141,0.947222222222,-9999,-9999,-9999,-9999,85.6534722222,1.0,-9999,-9999,-9999,-9999,359.46,0.53125,9.582,8.033,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.3695,1.0,-9999,0.565469,36.6958,0.999306,-9999,0.727489,-3.43489,0.536111,0.0526446,-3.43631,-3.37816,-3.33129,0.536111,0.54375,0.552778,4.55599,4.36281,4.41795,4.56378,7.89345,7.76665,7.79353,7.93415,4.3732,4.29512,4.3732,4.44097,8.41144,8.36601,8.41144,8.56506,2.7294,1.0
199607,13.539,1.0,449.215,166.107,1.0,335.165,0.0,4.307,1.0,99.004,0.971102,4.51,1.0,2.884,0.99328,0.411109084865,0.92002688172,-9999,-9999,356.39745868,0.989247311828,-9999,-9999,-9999,-9999,82.2862903226,1.0,-9999,-9999,-9999,-9999,361.66,0.999328,11.599,10.168,-9999,-9999,-9999,0.995968,0.995968,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.4672,0.991935,-9999,0.626581,23.8742,0.990591,-9999,0.708817,-2.39195,0.971774,0.0517672,-2.40762,-2.39081,-2.35152,0.973118,0.971102,0.975806,5.64145,5.28268,5.46673,5.57464,7.85023,7.67349,7.79051,7.99752,5.48967,5.2479,5.42037,5.48967,7.71043,7.60293,7.69481,7.71043,3.62993,1.0
199608,17.046,1.0,355.057,176.093,1.0,334.257,0.0,7.204,1.0,100.288,0.989919,0.284,1.0,2.514,0.980511,0.374750274243,0.527553763441,-9999,-9999,406.367095596,0.987231182796,-9999,-9999,-9999,-9999,67.3830645161,1.0,-9999,-9999,-9999,-9999,363.114,1.0,13.386,11.602,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,55.8238,0.992608,-9999,0.549385,45.0665,0.998656,-9999,0.831518,-1.80916,0.750672,0.0438599,-1.80916,-1.72129,-1.62048,0.750672,0.789651,0.761425,5.18887,4.9082,5.07343,5.26273,6.71902,6.71902,6.74572,6.86277,4.49727,3.93811,4.85989,4.95827,6.39902,6.04104,6.51155,6.80659,4.68086,1.0
199609,7.792,1.0,234.339,65.801,1.0,303.77,0.0,1.953,1.0,99.797,0.965278,1.007,1.0,2.939,0.959028,0.423062964034,0.659722222222,41.415904677,0.926388888889,203.9375,1.0,-9999,-9999,201.937908836,0.998611111111,43.85,1.0,-9999,-9999,-9999,-9999,362.567,1.0,9.55,9.693,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,20.7354,1.0,-9999,0.330606,14.343,1.0,-9999,0.646448,-0.245861,0.986111,0.0311501,-0.281755,-0.276035,-0.227391,0.990278,0.990972,0.986111,3.12261,3.00251,3.07311,3.12155,3.33357,3.2794,3.32939,3.35403,3.53348,3.4175,3.53348,3.70058,3.73296,3.69158,3.73296,3.81846,2.8005,1.0
199610,5.511,1.0,121.13,23.53,1.0,312.492,0.0,0.765,1.0,99.283,0.965726,1.639,1.0,3.286,0.991263,0.475795218506,0.952284946237,10.0484134207,0.956317204301,72.9933406647,0.994623655914,-9999,-9999,67.7592876344,1.0,21.0191464238,0.831989247312,7.26515700483,0.966397849462,-9999,-9999,370.609,1.0,6.945,7.237,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,7.53329,1.0,-9999,0.202932,-11.2577,1.0,-9999,0.467091,0.887577,0.999328,0.0199874,0.883206,0.890756,0.897216,0.995296,0.995296,1.0,1.90559,1.90179,1.90819,1.93458,1.03332,1.0113,1.0223,1.03737,2.36275,2.30614,2.36275,2.37696,1.40502,1.40502,1.41908,1.43525,1.91077,1.0
