TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,-4.062,0.145161,35.6368,8.862,0.146505,250.876,0.0,0.373,0.145161,98.882,0.0,1.67,0.0,3.089,0.137097,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.36304,0.145161,-0.063729,0.143817,-0.0260764,0.0345725,-7.96772,0.144489,-3.2602,0.489041,0.117498,0.142473,0.00294341,0.122675,0.125997,0.129494,0.142473,0.139785,0.138441,0.079316,0.075245,0.0790084,0.133676,-0.0465078,-0.0500385,-0.0422732,0.00552107,0.223445,0.221702,0.22485,0.243705,0.0,0.0,0.0,0.0,-9999,-9999
200002,-3.225,1.0,95.0102,27.42,0.994971,251.925,0.0,0.403,1.0,98.881,0.0,1.652,0.0,2.43,1.0,0.143534713359,0.903017241379,-6.06834788328,0.998563218391,57.2783608257,1.0,50.3754059701,1.0,26.3182456897,1.0,388.887,1.0,-0.477,-0.391,1.218,1.0,1.0,1.0,52.981,48.908,1.0,1.0,-1.4202,1.0,-0.319852,1.0,-0.130875,0.0379646,-11.0534,1.0,-4.52278,0.279791,0.267181,0.961207,0.00234817,0.263123,0.267954,0.279022,0.985632,0.961207,0.960489,0.254357,0.252674,0.258517,0.303239,-0.00845572,-0.0104975,-0.00849098,0.023555,0.272423,0.260496,0.268713,0.289724,0.0202236,0.0137737,0.0181646,0.0291612,-9999,-9999
200003,-2.353,1.0,198.747,101.069,0.987903,238.126,0.0,1.283,1.0,99.047,0.0,1.229,0.0,2.866,1.0,0.152423183604,0.911962365591,0.340562536699,0.994623655914,191.489350902,1.0,148.248294577,1.0,75.9090221774,1.0,382.427,0.99664,-0.48,-0.312,1.019,1.0,1.0,1.0,54.919,49.363,1.0,1.0,-2.33596,1.0,2.17829,0.99664,-0.458612,0.0620284,-13.6572,1.0,2.87535,0.261402,0.249461,0.953629,0.00205493,0.240833,0.250939,0.262543,0.953629,0.952957,0.948253,0.209206,0.207593,0.213084,0.230242,-0.0338806,-0.0384624,-0.0358113,-0.0326599,0.252762,0.228614,0.236648,0.242282,0.011718,0.00912283,0.00969931,0.011718,-9999,-9999
200004,5.088,0.718056,321.774,153.157,0.720833,279.367,0.0,2.63,0.718056,99.819,0.0,1.069,0.0,2.234,0.702778,0.158380057513,0.925,79.6251636468,0.686111111111,279.917050224,0.685416666667,45.9833884376,0.686111111111,29.3497084751,0.686111111111,371.146,0.7,2.815,2.035,1.97,0.718056,0.718056,0.718056,52.838,58.855,0.718056,0.718056,1.22059,0.718056,13.5635,0.710417,10.3997,0.187594,4.13349,0.998611,3.16932,0.369498,0.519979,0.692361,0.0036733,0.521228,0.524143,0.527102,0.693056,0.690972,0.690972,0.609414,0.6032,0.626535,0.651296,0.0907658,0.0772447,0.103967,0.128489,0.926973,0.59249,0.724872,0.888836,0.117897,0.0062607,0.0535926,0.117897,-9999,-9999
200005,9.928,0.994624,426.545,222.833,0.994624,289.562,0.0,5.841,0.994624,99.98,0.0,1.106,0.0,3.403,0.989919,0.222248020721,0.57997311828,123.914311334,0.990591397849,410.094151876,0.989919354839,22.7683248018,0.990591397849,26.7363289935,0.990591397849,379.229,0.990591,9.785,8.519,6.079,0.994624,0.994624,0.994624,45.869,47.041,0.994624,0.994624,4.81646,0.994624,18.306,0.946909,31.9259,0.268504,51.8129,0.971102,90.3627,0.540574,0.797246,0.897849,0.00839038,0.788946,0.796361,0.800991,0.894489,0.897849,0.916667,1.02189,1.00443,1.01869,1.03213,0.221407,0.210943,0.22176,0.235029,1.66688,1.35369,1.4031,1.43728,0.977612,0.520037,0.658689,0.753324,-9999,-9999
200006,13.167,0.963889,477.206,220.39,0.965278,318.22,0.0,5.498,0.963194,99.653,0.0,2.009,0.0,3.065,1.0,-9999,-9999,124.450926822,0.95625,423.453167538,0.955555555556,25.9356267723,0.95625,38.1828496604,0.95625,370.883,0.332639,12.88,11.53,8.701,0.985417,0.985417,0.985417,38.074,45.076,0.985417,0.985417,4.84843,0.985417,21.0334,0.335417,36.6827,0.355277,52.9631,0.334722,92.3687,0.709395,0.389365,0.333333,0.0138778,0.373366,0.385643,0.387288,0.335417,0.335417,0.335417,1.95725,1.72791,1.94519,1.96755,1.57062,1.37339,1.55866,1.57946,2.93271,1.60966,1.93212,1.95804,2.40648,1.49215,1.71255,1.72764,-9999,-9999
200007,15.108,0.859543,450.392,175.95,0.641129,342.63,0.0,3.408,0.637769,99.34,0.0,3.645,0.0,2.124,0.769489,-9999,-9999,83.3134934591,0.630376344086,288.618295133,0.630376344086,13.6777812195,0.630376344086,36.4529923077,0.630376344086,371.608,0.0,15.138,13.545,10.62,0.639785,0.639785,0.639785,21.156,26.251,0.639785,0.639785,5.19402,0.639785,27.1079,0.0,56.7256,-9999,28.7388,0.0,60.1383,-9999,0.233107,0.0,-9999,0.204753,0.218076,0.319678,0.0,0.0,0.0,2.58679,2.18788,2.51968,2.64449,2.33535,1.98797,2.29401,2.3353,3.17277,2.259,2.41731,2.50441,2.45885,1.89847,1.99978,2.06875,-9999,-9999
200008,13.391,0.997312,358.807,160.776,0.997312,323.553,0.0,2.948,0.997312,99.765,0.0,2.675,0.0,1.606,0.995296,-9999,-9999,87.8697650689,0.995967741935,302.656309301,0.995295698925,18.2780302,0.995967741935,34.3249394201,0.995967741935,386.638,0.616935,13.121,12.564,11.118,0.997312,0.997312,0.997312,38.327,22.377,0.997312,0.997312,1.68245,0.997312,28.0359,0.590054,58.6675,0.221028,14.0122,0.58871,29.3216,0.338662,0.316894,0.501344,0.0198633,0.269712,0.287288,0.365786,0.501344,0.513441,0.512769,2.76169,2.45548,2.67127,2.81392,2.43247,2.18797,2.38063,2.44863,2.8322,2.39105,2.71282,2.73203,2.32982,2.24603,2.29207,2.33223,-9999,-9999
200009,7.794,0.949306,240.271,120.814,0.950694,283.86,0.0,2.431,0.949306,100.465,0.0,0.599,0.0,1.507,0.93125,-9999,-9999,57.444460195,0.899305555556,228.555863225,0.899305555556,21.7768484094,0.899305555556,29.8488220876,0.899305555556,398.022,0.947917,7.59,7.898,9.0,0.949306,0.949306,0.949306,49.561,24.382,0.949306,0.949306,-2.65197,0.949306,9.63779,0.940278,21.0646,0.136065,16.6195,0.947222,36.3241,0.354747,0.827271,0.9125,0.0136155,0.766304,0.841299,0.848857,0.921528,0.919444,0.913194,1.72297,1.70831,1.75428,1.77794,0.947852,0.91926,0.943873,0.953678,0.909316,0.85897,0.941339,1.26579,0.720215,0.717757,0.791002,0.911529,-9999,-9999
200010,7.873,0.834677,127.814,34.524,0.83871,313.02,0.0,1.168,0.834677,100.256,0.0,2.514,0.0,2.726,0.807124,-9999,-9999,15.1296387823,0.76747311828,71.6820934814,0.76747311828,6.88019610791,0.76814516129,6.93381081046,0.76814516129,380.624,0.833333,7.57,8.082,8.153,0.834677,0.834677,0.834677,54.423,43.681,0.834677,0.834677,-1.66609,0.834677,5.41011,0.833333,11.8245,0.080536,-5.00596,0.834005,-10.9412,0.223358,1.34283,0.830645,0.0110304,1.32764,1.34013,1.35584,0.831317,0.831317,0.821237,1.32672,1.32453,1.35498,1.36684,-0.00184634,-0.00303005,0.00732271,0.0157728,1.30229,1.32126,1.3935,1.4407,0.0915144,0.112541,0.124501,0.131297,-9999,-9999
