TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,-4.528,0.0,37.1297,8.547,0.0,254.709,0.0,0.327,0.0,99.696,0.0,0.793,0.0,2.516,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.27695,3.0,52.8998,0.0,35.2331,-9999,12.4736,0.0,8.30784,-9999,1.2237,0.0,-9999,0.994856,1.2237,1.70727,0.0,0.0,0.0,3.64269,2.99971,3.43645,3.66931,1.90597,1.76497,1.84458,2.25619,1.47248,0.684169,2.26371,3.89334,0.693109,0.548891,0.72835,1.11814,-9999,0.0
200902,-5.762,0.0,95.2807,29.856,0.0,253.952,0.0,0.279,0.0,99.828,0.0,0.638,0.0,2.15,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.24205,3.0,52.74,0.0,44.2393,-9999,12.5136,0.0,10.4966,-9999,1.17385,0.0,-9999,0.947053,1.17385,1.65745,0.0,0.0,0.0,3.40309,2.7043,3.15334,3.44204,1.69086,1.53309,1.61934,2.06121,1.23181,0.572343,2.18725,3.4488,2.04898,1.60776,2.04898,3.11179,-9999,0.0
200903,-2.767,0.0,196.588,80.254,0.0,257.399,0.0,0.83,0.0,99.663,0.0,0.945,0.0,2.198,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.27762,3.0,53.1941,0.0,61.1919,-9999,13.8607,0.0,15.9447,-9999,1.16018,0.0,-9999,0.908679,1.16018,1.65808,0.0,0.0,0.0,3.97618,3.37337,3.81897,3.98805,2.33385,2.18147,2.29583,2.65047,1.73183,0.80467,2.44068,4.43272,4.40089,3.41848,4.31814,6.27406,-9999,0.0
200904,3.501,0.0,319.112,164.326,0.0,268.672,0.0,2.751,0.0,100.422,0.0,0.236,0.0,2.096,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.26633,3.0,52.9515,0.0,51.4072,-9999,12.9638,0.0,12.5857,-9999,1.18631,0.0,-9999,0.950301,1.18631,1.67483,0.0,0.0,0.0,5.17365,4.85299,5.11738,5.20795,3.66693,3.51645,3.66922,3.99806,3.07372,1.42816,3.07372,6.75999,7.49738,5.78324,6.59781,10.246,-9999,0.0
200905,10.198,0.0,424.364,224.291,0.0,292.109,0.0,5.024,0.0,100.145,0.0,1.074,0.0,2.166,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.27695,3.0,52.8998,0.0,49.5951,-9999,12.4736,0.0,11.6943,-9999,1.2237,0.0,-9999,0.994856,1.2237,1.70727,0.0,0.0,0.0,6.43411,6.29425,6.53808,6.67072,5.22058,4.95668,5.22058,5.44903,4.91711,2.28467,4.31004,9.57679,9.53744,7.33984,8.1645,12.8555,-9999,0.0
200906,13.589,0.0,476.841,209.674,0.0,323.995,0.0,6.15,0.0,99.907,0.0,1.475,0.0,2.019,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.26633,3.0,52.9515,0.0,46.5043,-9999,12.9638,0.0,11.3854,-9999,1.18631,0.0,-9999,0.950301,1.18631,1.67483,0.0,0.0,0.0,7.0465,7.04619,7.39897,7.40573,6.11324,5.72533,5.85138,6.17917,6.03905,2.80596,4.52899,11.1143,9.15719,7.05685,7.98839,12.4521,-9999,0.0
200907,16.2,0.0,452.75,196.988,0.0,338.603,0.0,5.075,0.0,99.599,0.0,2.864,0.0,2.047,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.2444,3.0,52.7604,0.0,44.9264,-9999,12.5572,0.0,10.6926,-9999,1.17506,0.0,-9999,0.947367,1.17506,1.65913,0.0,0.0,0.0,7.52619,7.5196,7.95984,8.06209,6.7664,6.3091,6.54713,6.85323,6.86735,3.19082,4.70362,12.2851,8.98169,6.92805,7.89622,12.2721,-9999,0.0
200908,15.619,0.0,363.401,159.015,0.0,330.848,0.0,4.471,0.0,100.025,0.0,2.225,0.0,1.891,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.27736,3.0,53.191,0.0,45.8241,1.15694,13.8586,0.0,11.9392,1.41938,1.16018,0.0,0.242485,0.908679,1.16018,1.65808,0.0,0.0,0.0,7.42394,7.41906,7.83872,7.91388,6.65921,6.19323,6.39276,6.74052,6.65999,3.09447,4.66857,12.0141,7.59711,5.86931,6.83731,10.4785,20.0083,0.419355
200909,12.136,0.374306,245.824,103.079,0.377778,312.991,0.0,2.8,0.374306,99.843,0.334722,1.841,0.343056,2.463,0.340972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,405.374,0.372222,10.98,11.033,10.593,10.03,0.374306,0.374306,0.374306,0.374306,-0.156664,3.0,24.5334,0.374306,21.1356,0.501117,9.91237,0.374306,8.53953,0.754502,1.91741,0.372222,0.129915,1.79373,2.03388,2.22931,0.372222,0.372222,0.372222,7.42656,7.42597,7.63149,7.87207,5.43083,5.40619,5.61117,5.67236,7.3002,6.80516,7.65764,7.95421,6.28388,6.33071,6.39884,6.52287,11.3775,1.0
200910,2.416,0.705645,132.882,47.252,0.707661,279.652,0.0,1.075,0.705645,99.91,0.674059,1.652,0.68414,2.332,0.601478,0.454849838201,0.555107526882,-1.03671398046,0.671370967742,106.824847375,0.671370967742,4.15351800977,0.671370967742,6.04327686203,0.671370967742,376.485,0.69086,4.763,6.078,6.864,7.332,0.705645,0.705645,0.705645,0.705645,-4.84473,3.0,6.23289,0.690188,1.89428,0.168155,-9.50618,0.69086,-2.88909,0.495546,0.842255,0.668683,0.0624295,0.741404,0.768846,0.806085,0.677419,0.68078,0.668011,2.27129,2.18488,2.23244,2.27018,1.42527,1.42527,1.44841,1.49852,2.97158,2.1843,2.51419,2.6286,2.0965,1.86016,2.12687,2.16954,1.76215,1.0
