TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,-13.751,1.0,3.79183,1.062,1.0,240.95,1.0,0.274,1.0,94.746,1.0,0.716,1.0,1.793,0.999328,-9999,-9999,-7.31035282258,1.0,2.00737407058,0.999327956989,-9999,-9999,1.42937331989,1.0,267.8815268,0.995967741935,400.53,1.0,0.165,0.531,1.365,0.992608,0.992608,0.992608,-2.04286,-9999,-0.86081,0.995968,-0.630094,0.0726797,-6.24961,0.995296,-4.57458,0.328985,0.335049,0.926747,0.0107525,0.335049,0.342485,0.344087,0.926747,0.936828,0.93414,0.293681,0.258599,0.269478,0.293681,-0.0515951,-0.0769234,-0.0664769,-0.0498314,0.136885,0.116516,0.136885,0.146186,0.00320555,0.0,0.000257579,0.00149616,-9999,-9999
200702,-16.807,1.0,45.7767,9.621,1.0,227.854,1.0,0.294,1.0,97.055,1.0,0.382,1.0,1.733,0.99628,-9999,-9999,-5.59040029762,1.0,24.8866354167,1.0,-9999,-9999,17.0926930804,1.0,249.501955658,0.998511904762,403.22,1.0,0.145,0.493,1.215,1.0,1.0,1.0,-2.06931,-9999,-0.380534,0.965774,-0.339834,0.046205,-3.51122,0.969494,-3.13568,0.285263,0.16769,0.917411,0.00818165,0.145304,0.162739,0.172375,0.892857,0.977679,0.976935,0.122646,0.126158,0.128072,0.156688,-0.0394778,-0.045028,-0.0363923,0.00685154,0.118,0.0600187,0.107521,0.125253,0.0240692,8.90945e-06,0.00233221,0.0113331,-9999,-9999
200703,-2.232,1.0,144.998,69.254,0.995968,259.85,1.0,1.499,1.0,96.462,1.0,0.597,1.0,2.407,0.995968,-9999,-9999,-19.5362197516,0.993951612903,132.614244766,0.973790322581,-9999,-9999,61.868780578,1.0,302.703260081,1.0,393.056,1.0,0.133,0.522,1.157,1.0,1.0,1.0,-1.49758,-9999,2.97753,0.953629,5.7827,0.108004,-12.0865,0.950941,-23.4733,0.330152,0.0182106,0.790995,-9999,0.0135097,0.0235753,0.050472,0.795027,0.791667,0.830645,0.0725402,0.072828,0.0753954,0.102649,0.0278891,0.0219295,0.0638466,0.0968212,0.204541,0.198573,0.22022,0.248884,0.0993753,0.0167482,0.0517334,0.0692406,-9999,-9999
200704,-0.461,1.0,281.131,155.135,0.985417,255.722,1.0,2.186,1.0,96.302,1.0,0.515,1.0,2.982,0.986111,-9999,-9999,-5.95804378852,0.647916666667,317.330156262,0.615972222222,-9999,-9999,91.7645413194,1.0,309.800225,1.0,388.071,1.0,0.116,0.387,0.99,0.923611,0.923611,0.923611,-0.208836,-9999,14.9549,0.888889,24.2689,0.228398,-14.1194,0.893056,-22.913,0.310034,0.203045,0.777083,0.0102839,0.201606,0.201845,0.205113,0.780556,0.756944,0.759028,0.339311,0.339272,0.349313,0.356467,0.137705,0.137666,0.142143,0.153396,0.440827,0.359532,0.397063,0.480666,0.187277,0.125303,0.140591,0.17422,-9999,-9999
200705,3.891,1.0,410.449,172.007,1.0,293.123,1.0,2.586,1.0,96.425,0.997312,2.613,1.0,2.214,1.0,-9999,-9999,66.7212964139,0.999327956989,346.179246582,0.99126344086,-9999,-9999,47.5099579973,1.0,331.151907258,1.0,388.105,1.0,2.867,1.49,1.195,1.0,1.0,1.0,3.72188,-9999,27.8305,0.99328,36.2773,0.341395,20.1654,0.992608,26.2857,0.413762,0.573254,0.929435,0.00982523,0.567016,0.582261,0.582332,0.919355,0.93078,0.93078,0.810792,0.706727,0.767287,0.810528,0.22846,0.132167,0.189259,0.228031,0.884732,0.866267,0.884733,0.919595,0.340816,0.256719,0.271537,0.291179,-9999,-9999
200706,10.731,1.0,483.447,221.257,1.0,313.917,1.0,5.359,1.0,97.029,0.994444,1.703,1.0,1.983,1.0,-9999,-9999,105.979240882,0.998611111111,435.815219313,0.979861111111,232.739322771,0.81875,8.26080839372,0.980555555556,369.014104861,1.0,385.138,1.0,10.885,8.9,5.829,1.0,1.0,1.0,5.46384,-9999,68.5212,0.997917,57.1683,0.459036,51.8487,0.997222,43.2581,0.471501,-1.16743,0.9875,0.0196991,-1.17342,-1.16615,-1.13881,0.9875,0.9875,0.988194,2.23949,2.18427,2.23802,2.24038,3.37853,3.36612,3.37633,3.38963,2.30214,2.30214,2.3293,2.37922,3.61718,3.43062,3.50947,3.61718,-9999,-9999
200707,12.917,1.0,449.722,169.979,1.0,342.428,1.0,3.553,1.0,96.646,1.0,2.824,1.0,1.714,1.0,-9999,-9999,82.0893305308,0.999327956989,344.561407716,0.998655913978,200.47764213,0.999327956989,25.4030196179,0.999327956989,378.880025947,0.998655913978,391.658,1.0,12.992,11.394,8.66,1.0,1.0,1.0,5.47952,-9999,54.2409,0.99328,45.6906,0.403328,36.6901,0.99328,30.9064,0.321086,-2.59616,0.954301,0.027522,-2.59855,-2.59546,-2.59193,0.977823,0.977823,0.965054,3.42526,3.4243,3.44563,3.54347,6.02003,6.02151,6.05261,6.13911,3.37321,3.35868,3.37364,3.42904,6.1961,6.06633,6.13299,6.18076,-9999,-9999
200708,11.755,1.0,335.116,133.302,1.0,330.625,1.0,3.131,1.0,96.744,0.995968,2.088,1.0,2.027,0.989919,-9999,-9999,50.03521444,0.993951612903,263.491477271,0.991935483871,157.409832104,0.993951612903,20.7026701102,0.993951612903,373.317917152,0.994623655914,389.383,1.0,12.958,12.22,10.15,1.0,1.0,1.0,1.01815,-9999,37.9433,0.992608,30.3534,0.372974,21.8153,0.991935,17.4515,0.294795,-1.00952,0.928763,0.0231411,-1.00614,-0.9911,-0.982909,0.933468,0.935484,0.935484,2.78845,2.7092,2.75591,2.7886,3.78042,3.71839,3.72605,3.77919,2.90218,2.87298,3.01659,3.13082,4.26145,4.03079,4.12947,4.26145,-9999,-9999
200709,5.003,1.0,198.966,71.561,1.0,302.279,1.0,1.461,1.0,96.42,1.0,2.631,1.0,2.264,1.0,-9999,-9999,10.5910557033,0.999305555556,130.422880615,0.999305555556,90.5959930556,1.0,10.7453819444,1.0,338.196283333,1.0,383.668,1.0,6.621,7.561,7.902,1.0,1.0,1.0,-2.66322,-9999,15.1477,0.997222,7.13653,0.31651,12.5329,0.997917,5.90465,0.291591,0.75274,0.955556,0.0130893,0.752643,0.769118,0.785792,0.955556,0.954167,0.952778,1.37264,1.37278,1.37737,1.38355,0.6211,0.600899,0.616942,0.621534,1.27955,1.28159,1.30567,1.32271,0.654052,0.656413,0.663691,0.673113,-9999,-9999
200710,2.904,1.0,81.2534,28.162,0.994624,295.002,1.0,0.916,1.0,96.911,1.0,1.661,1.0,2.903,1.0,-9999,-9999,-12.4369086022,1.0,44.6684107951,0.993279569892,41.5659937471,0.998655913978,4.67860215054,1.0,325.598093886,0.999327956989,392.093,1.0,3.025,4.233,5.343,1.0,1.0,1.0,-2.93776,-9999,5.91445,0.993952,2.78648,0.175255,-4.03143,0.993952,-1.89933,0.296348,0.795015,0.981855,0.0102534,0.791454,0.793017,0.794409,0.981855,0.982527,0.982527,0.848054,0.837765,0.845183,0.848054,0.0530745,0.0438283,0.0535151,0.0570836,0.912959,0.870608,0.891935,0.908578,0.0797993,0.0720127,0.0790617,0.091884,-9999,-9999
