TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200101,-7.067,1.0,5.34461,1.916,1.0,262.675,0.0,0.422,1.0,98.098,0.0,0.791,0.0,2.137,0.924731,-9999,-9999,-9999,-9999,3.42846753442,0.926075268817,378.505,1.0,-2.24,-2.223,1.0,1.0,1.909,2.215,1.0,1.0,-0.797412,-9999,-0.128263,0.915323,-0.00914416,0.0218611,-16.4587,0.954301,-1.17338,0.324949,0.00753516,0.922715,0.0141202,-0.0383005,0.00655398,0.0294823,0.920699,0.922715,0.922715,0.0401991,0.0377082,0.0409518,0.0432263,0.00551144,0.010317,0.0349439,0.0777617,0.236106,0.0323786,0.177919,0.236505,0.00122784,0.0,8.5735e-05,0.000418642,-9999,-9999
200102,-14.456,1.0,49.8178,23.948,0.99628,225.244,0.0,0.377,1.0,98.018,0.0,1.057,0.0,2.344,0.970238,-9999,-9999,-9999,-9999,43.101077311,0.893601190476,372.88,0.987351,-3.274,-3.535,1.0,0.994048,1.555,2.162,1.0,1.0,-1.2906,-9999,-0.186574,0.915923,-0.0114779,0.0169849,-20.4405,0.988839,-1.25748,0.468136,-0.0248585,0.927083,0.00912534,-0.0249214,-0.0216273,-0.012323,0.918899,0.918899,0.926339,0.0351705,0.0338388,0.0347519,0.0492894,0.0637201,0.0563648,0.0587813,0.0657106,0.135165,0.0236554,0.131042,0.236968,0.0152626,0.0,0.00915755,0.0256683,-9999,-9999
200103,-11.892,0.992608,149.54,86.281,0.975134,216.296,0.0,0.656,0.992608,97.77,0.0,0.376,0.0,1.781,0.842742,-9999,-9999,-9999,-9999,159.950280692,0.985215053763,373.677,0.998656,-4.119,-3.382,1.0,0.984543,1.294,2.148,1.0,1.0,-1.15869,-9999,1.72021,0.910618,1.32604,0.0718953,21.1979,0.942876,16.3407,0.488694,0.106423,0.879032,0.00942895,0.0789758,0.100465,0.106404,0.913978,0.881048,0.827285,0.0822807,0.0797086,0.100149,0.108505,-0.00788766,-0.00627374,-0.00270672,0.00806852,0.121084,0.103379,0.114954,0.157954,0.0359269,0.00946356,0.0359269,0.0657388,-9999,-9999
200104,-0.924,1.0,284.464,133.415,1.0,254.508,0.0,1.551,1.0,97.897,0.0,1.52,0.0,1.831,0.651389,-9999,-9999,-9999,-9999,288.815370545,0.858333333333,371.043,1.0,-1.687,-1.567,0.997917,1.0,3.874,4.014,0.997917,0.997917,1.06054,-9999,15.7042,0.980556,17.3495,0.32205,35.3126,0.986806,39.0123,0.697074,0.491739,0.954861,0.0106904,0.465993,0.496244,0.511772,0.970833,0.954861,0.953472,0.698776,0.671991,0.675216,0.696029,0.209991,0.177183,0.199906,0.210248,0.554655,0.552668,0.564908,0.578482,0.147071,0.131656,0.138783,0.146539,-9999,-9999
200105,4.176,1.0,411.176,173.569,1.0,271.932,0.0,3.197,1.0,98.023,0.0,0.986,0.0,2.767,0.471102,-9999,-9999,-9999,-9999,354.359711456,0.998655913978,372.055,1.0,2.684,1.808,1.0,1.0,12.653,9.23,1.0,1.0,4.7158,-9999,33.654,0.992608,36.8227,0.422351,50.2058,0.997312,54.9329,0.751614,-0.405605,0.976478,0.018775,-0.409736,-0.407319,-0.404596,0.971102,0.977823,0.977151,1.6151,1.59692,1.61717,1.66012,2.00333,2.00874,2.0216,2.06186,1.29341,1.10722,1.24709,1.30637,1.80442,1.7241,1.81324,1.85923,-9999,-9999
200106,13.141,0.977778,481.627,213.543,0.998611,317.12,0.0,6.594,0.977778,98.053,0.0,1.483,0.0,2.331,0.594444,0.492155856885,0.821527777778,-9999,-9999,450.679409357,0.957638888889,363.255,1.0,13.768,11.06,1.0,1.0,8.164,5.373,1.0,1.0,9.31563,-9999,63.8435,0.995833,67.6791,0.570056,65.759,1.0,69.7096,0.722915,-1.63464,0.990278,0.0322003,-1.67057,-1.63579,-1.6094,0.99375,0.990278,0.990972,4.26426,4.11157,4.17678,4.24365,5.91594,5.64601,5.82159,5.90353,3.06458,3.03951,3.20563,3.27432,4.85809,4.72621,4.85576,4.90478,-9999,-9999
200107,14.681,1.0,449.015,175.657,1.0,334.756,0.0,4.62,1.0,98.033,0.0,3.658,0.0,2.944,1.0,0.604733150878,0.530913978495,-9999,-9999,369.296310981,0.970430107527,358.017,1.0,16.635,14.661,1.0,1.0,6.456,5.045,1.0,1.0,4.16726,-9999,81.5263,0.974462,86.4607,0.775603,26.7371,0.980511,28.3554,0.64126,0.207067,0.96707,0.0481815,0.136265,0.207067,0.227099,0.969086,0.96707,0.966398,6.75839,6.58578,6.72752,6.82058,6.46331,6.45237,6.5117,6.59742,7.21498,6.35152,6.7503,7.08479,6.99031,6.45308,6.76873,6.96304,-9999,-9999
200108,11.555,0.99664,337.478,143.291,1.0,320.546,0.0,3.132,0.99664,98.103,0.0,1.745,0.0,2.445,0.764113,-9999,-9999,-9999,-9999,297.893384468,0.996639784946,368.766,1.0,11.652,12.336,0.997984,1.0,9.396,5.644,0.997984,0.997984,0.956504,-9999,53.6374,0.986559,53.1958,0.640816,25.8725,0.99328,25.6595,0.553737,0.719695,0.968414,0.0455847,0.686596,0.708475,0.738323,0.971102,0.978495,0.977823,6.46637,6.36937,6.54144,6.59943,5.66022,5.66022,5.84468,5.89674,4.98211,4.72539,4.9817,5.11062,4.80477,4.69813,4.81203,4.89666,-9999,-9999
200109,8.008,1.0,203.128,63.994,0.997222,309.876,0.0,1.462,1.0,98.436,0.0,1.492,0.0,2.479,1.0,0.461474013598,0.518055555556,-9999,-9999,132.011907569,1.0,370.978,1.0,8.945,9.013,1.0,1.0,10.394,6.124,1.0,1.0,-1.99127,-9999,28.9664,0.998611,34.0462,0.439638,-4.77817,0.999306,-5.61611,0.436193,1.33363,0.984722,0.0307908,1.26844,1.33081,1.37754,0.990278,0.984722,0.983333,3.35533,3.2811,3.37122,3.41231,2.02331,2.01035,2.03258,2.04894,3.6548,3.69009,3.845,4.13786,2.54653,2.40944,2.5294,2.65392,-9999,-9999
200110,-0.016,1.0,85.6623,20.263,1.0,288.437,0.0,0.42,1.0,97.771,0.0,1.801,0.0,2.26,1.0,0.411824157783,0.532930107527,-9999,-9999,52.2760168552,0.725806451613,373.445,1.0,3.136,2.878,1.0,1.0,11.666,7.698,1.0,1.0,-3.05851,-9999,10.7564,0.993952,6.43288,0.259397,-9.65519,0.995296,-5.77427,0.353408,0.654162,0.959005,0.0149076,0.642569,0.656912,0.675045,0.96371,0.959677,0.945565,1.27016,1.22491,1.27762,1.28975,0.581799,0.573853,0.606231,0.620537,1.26216,1.2581,1.27281,1.41387,0.732882,0.716141,0.725823,0.767264,-9999,-9999
