TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,4.584,0.0,117.724,38.192,0.0,290.643,0.0,0.955,0.0,101.084,0.0,1.758,0.0,2.937,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.7291,0.0,-9999,-9999,14.6379,0.0,-9999,-9999,1.33521,0.0,-9999,1.23386,1.29053,1.3826,0.0,0.0,0.0,1.83357,1.82608,1.83051,1.83514,0.599707,0.436301,0.504293,0.595878,2.20651,1.81844,1.92377,2.20651,0.264975,0.264975,0.280411,0.284727,-9999,-9999
200502,2.593,0.0,181.376,77.793,0.0,273.108,0.0,1.118,0.0,100.583,0.0,1.744,0.0,2.801,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.9957,0.0,-9999,0.680067,14.2441,0.0,-9999,1.34734,1.33616,0.0,0.0716811,1.23657,1.29174,1.38338,0.0,0.0,0.0,1.71519,1.69836,1.70797,1.71889,0.478618,0.320483,0.392962,0.471934,2.11927,1.74654,1.84771,2.11927,0.535261,0.535261,0.564121,0.573082,-9999,-9999
200503,7.255,0.702957,275.089,108.783,0.704301,292.366,0.0,2.597,0.702957,100.463,0.693548,1.995,0.693548,2.473,0.693548,0.393560571726,0.677419354839,55.3340000385,0.677419354839,253.789050595,0.677419354839,382.562,0.702957,-9999,1.0,17.7965,0.702957,-9999,0.5351,22.4455,0.702957,-9999,0.560143,1.43585,0.701613,0.0663785,1.28604,1.42093,1.5321,0.701613,0.701613,0.698925,2.1816,2.14313,2.25183,2.33568,0.85396,0.819923,0.839472,0.855934,2.28657,2.13635,2.19805,2.3138,0.85725,0.823361,0.85725,0.883101,-9999,-9999
200504,10.887,1.0,374.34,160.377,1.0,310.385,0.0,4.243,1.0,100.308,1.0,1.644,1.0,2.659,1.0,0.474228576806,1.0,104.644157841,1.0,349.994371223,0.852777777778,379.932,0.999306,-9999,1.0,35.8852,1.0,-9999,0.797228,47.625,1.0,-9999,0.780672,1.11034,0.998611,0.0972435,1.07819,1.09844,1.13452,0.998611,0.998611,1.0,3.8158,3.72375,3.80841,3.84206,2.67479,2.63226,2.67468,2.75774,3.20963,3.20963,3.43712,3.50946,2.26704,2.26704,2.35241,2.41509,-9999,-9999
200505,13.973,1.0,450.233,219.931,1.0,318.764,0.0,5.828,1.0,100.612,1.0,2.05,1.0,2.599,1.0,0.434905051613,1.0,151.162142473,1.0,466.767173702,0.999327956989,374.873,1.0,-9999,1.0,71.3322,1.0,-9999,0.811614,45.677,1.0,-9999,0.679189,-4.2881,0.995296,0.111323,-4.28217,-4.25836,-4.24897,0.995296,0.99664,0.994624,5.19178,5.19144,5.21721,5.38706,9.45258,9.46469,9.48552,9.61297,4.54205,4.43623,4.50955,4.61679,9.05234,9.00579,9.04419,9.15393,-9999,-9999
200506,18.196,1.0,484.658,246.534,1.0,341.27,0.0,7.349,1.0,100.757,1.0,2.964,1.0,2.287,1.0,0.372753060694,1.0,168.218091042,1.0,529.675013889,1.0,371.2,1.0,-9999,1.0,95.3271,0.999306,-9999,0.957466,32.1922,1.0,-9999,0.653699,-6.76827,0.986111,0.146199,-6.77064,-6.74108,-6.68211,0.986111,0.980556,0.988889,5.68812,5.60479,5.65087,5.71844,12.3754,12.3249,12.3754,12.4126,6.95656,6.58894,6.70415,6.87084,13.4936,13.1851,13.3256,13.4936,-9999,-9999
200507,19.107,1.0,468.271,213.98,1.0,357.107,0.0,6.939,1.0,100.504,1.0,2.711,1.0,2.483,1.0,0.416252703629,1.0,136.428663038,1.0,432.382469892,1.0,361.134,1.0,-9999,1.0,96.6509,0.999328,-9999,0.919074,6.88046,1.0,-9999,0.590393,-6.06364,0.987231,0.127571,-6.16958,-6.0598,-6.00983,0.985887,0.989919,0.991263,5.87695,5.81319,5.89624,6.04886,11.9373,11.8119,11.9701,12.2048,6.17097,6.09293,6.1829,6.25783,11.948,11.8932,11.9616,12.0098,-9999,-9999
200508,17.59,1.0,405.659,211.695,0.997312,339.64,0.0,7.069,1.0,100.731,1.0,1.565,1.0,2.204,1.0,0.335034469691,1.0,122.555119624,1.0,426.804161891,0.999327956989,361.192,1.0,-9999,1.0,79.8506,1.0,-9999,0.803466,16.0663,1.0,-9999,0.592358,-5.13368,0.961022,0.0945246,-5.12269,-5.05428,-4.97932,0.961022,0.97379,0.977151,4.52691,4.50101,4.52989,4.77456,9.60099,9.50092,9.62166,9.79016,4.18446,4.04245,4.14776,4.2312,9.226,9.04814,9.20621,9.27856,-9999,-9999
200509,16.564,1.0,314.909,147.42,1.0,339.647,0.0,5.278,1.0,100.755,1.0,1.21,1.0,2.244,1.0,0.325787108625,1.0,77.2217333333,1.0,296.517824306,1.0,373.952,0.999306,-9999,1.0,52.5979,1.0,-9999,0.787539,10.7845,1.0,-9999,0.575386,-3.05834,0.988889,0.111513,-3.03835,-2.97774,-2.87353,0.988889,0.995139,0.984722,3.1654,3.01868,3.12799,3.18686,6.17461,5.83502,6.16562,6.19562,2.49911,2.6229,3.00625,3.34968,5.91075,5.95226,6.11491,6.31303,-9999,-9999
200510,14.586,1.0,216.579,90.99,1.0,334.416,0.0,3.744,1.0,100.566,1.0,0.864,1.0,2.734,1.0,0.448170495094,1.0,31.7634408602,1.0,181.530680108,1.0,381.047,0.999328,-9999,1.0,36.253,1.0,-9999,0.639773,-6.547,1.0,-9999,0.561706,-0.349951,0.997984,0.0855972,-0.361556,-0.348274,-0.325407,0.999328,0.998656,0.998656,3.23478,3.20907,3.22657,3.23685,3.57314,3.55002,3.57233,3.59073,4.01471,3.63814,3.99086,4.10334,3.9927,3.83826,3.96722,3.9927,-9999,-9999
