TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,4.323,0.0,115.124,26.094,0.0,316.098,0.0,0.82,0.0,99.467,0.0,2.965,0.0,3.756,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,118.165,0.0,93.2148,-9999,16.6525,0.0,13.1364,-9999,-11.6241,0.0,-9999,-11.7881,-11.6736,-11.5415,0.0,0.0,0.0,2.33839,2.33051,2.34671,2.35285,13.8949,13.8077,13.9795,14.0444,1.69785,1.92716,2.01792,2.35357,1.35018,1.35059,1.44002,1.52722,-9999,-9999
200402,4.768,0.0,180.291,73.876,0.725575,293.591,0.724138,2.01,0.0,100.393,0.0,0.43,0.0,3.268,0.0,-9999,-9999,-9999,-9999,165.627230726,0.709770114943,-9999,-9999,-9999,-9999,43.2087634637,0.709770114943,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.77723,0.850575,118.414,0.0,111.57,-9999,16.658,0.0,15.6952,-9999,-11.6349,0.0,-9999,-11.7892,-11.6725,-11.5488,0.0,0.0,0.0,2.45939,2.45035,2.46614,2.47113,14.0205,13.9655,14.1143,14.1745,1.73354,1.96233,2.06091,2.40284,3.68401,3.68845,3.88262,4.08928,-9999,-9999
200403,6.046,0.0,276.261,126.648,1.0,298.215,1.0,2.392,0.0,100.398,0.0,1.191,0.0,3.116,0.0,-9999,-9999,-9999,-9999,257.410890457,1.0,-9999,-9999,-9999,-9999,57.3056418011,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.43566,0.0,44.5291,0.0,43.6396,-9999,-3.83196,0.0,-3.75542,-9999,-4.03996,0.0,-9999,-4.26663,-4.03684,-3.91638,0.0,0.0,0.0,2.7401,2.72878,2.74426,2.74735,6.70929,6.66229,6.73626,6.92457,1.83339,2.06321,2.1809,2.54078,6.07289,6.08574,6.32478,6.61064,-9999,-9999
200404,10.112,0.0,375.872,180.361,1.0,318.493,1.0,3.699,0.0,99.594,0.0,1.957,0.0,2.978,0.0,-9999,-9999,-9999,-9999,365.753489657,0.999305555556,-9999,-9999,-9999,-9999,84.4106979167,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.679335,0.0,61.3492,0.0,65.6167,-9999,1.0873,0.0,1.16293,-9999,-5.1331,0.0,-9999,-5.20105,-5.11332,-5.04486,0.0,0.0,0.0,3.65581,3.64714,3.6498,3.65581,8.7117,8.691,8.77526,8.85277,2.15188,2.38418,2.56372,2.98077,8.43928,8.46176,8.72785,9.08085,-9999,-9999
200405,11.619,0.542339,451.467,234.566,1.0,323.019,1.0,4.54,0.542339,99.992,0.594758,1.655,0.203629,2.345,0.331317,-9999,-9999,-9999,-9999,473.730020876,0.999327956989,-9999,-9999,-9999,-9999,89.2421202957,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.47418,0.403898,81.2414,0.68078,94.5565,0.53365,6.95353,0.68078,8.09318,0.613346,-7.48037,0.583333,0.0524125,-7.5023,-7.4784,-7.46542,0.571237,0.567876,0.597446,4.06088,4.01702,4.06451,4.07872,11.5106,11.4257,11.542,11.5675,2.51875,2.66584,2.85557,3.18575,10.8303,10.8792,10.995,11.3332,-9999,-9999
200406,16.807,1.0,484.758,257.949,0.999306,346.649,1.0,6.603,1.0,100.419,0.999306,0.833,0.999306,1.929,0.999306,0.252642742507,0.853472222222,130.648362278,0.997916666667,524.545413194,1.0,-9999,-9999,-9999,-9999,107.553343254,0.890972222222,58.1547816933,0.999305555556,-9999,-9999,368.252,1.0,16.199,15.256,14.102,15.725,15.039,-9999,-9999,-9999,-9999,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.38806,1.0,75.4513,1.0,87.8174,0.581562,34.6638,1.0,40.345,0.603005,-2.75085,0.974306,0.0635107,-2.81724,-2.76522,-2.74853,0.979861,0.960417,0.976389,4.34326,4.42448,4.50184,4.93781,7.20089,7.19286,7.37064,7.70219,3.68813,3.56028,3.61124,3.70212,6.85974,6.83942,6.87304,6.91356,-9999,-9999
200407,18.038,1.0,466.508,208.977,0.997984,360.352,1.0,7.556,1.0,100.22,0.99664,2.213,0.997984,2.044,0.99664,-9999,-9999,96.4165064343,0.995295698925,433.852150538,1.0,-9999,-9999,-9999,-9999,100.637473118,1.0,43.3904058497,0.996639784946,-9999,-9999,361.15,0.667339,20.472,18.622,17.486,19.068,18.524,-9999,-9999,-9999,-9999,0.512097,0.512097,0.512097,0.512769,0.512769,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.42732,0.512097,24.9473,0.658602,27.281,0.351682,52.1796,0.666667,57.0607,0.519718,1.80171,0.604839,0.0255052,1.76959,1.79333,1.82008,0.623656,0.596774,0.608871,2.08898,2.08759,2.11635,2.18098,0.297835,0.297835,0.327285,0.375635,2.87797,2.39367,2.51789,2.86492,0.91388,0.557877,0.639243,0.91388,-9999,-9999
200408,19.014,0.995968,401.905,187.463,0.998656,367.015,1.0,7.306,0.995968,99.788,0.971774,2.742,0.998656,2.893,0.971102,0.228379012343,0.852822580645,85.3699520327,0.909946236559,386.00584692,0.998655913978,-9999,-9999,-9999,-9999,91.8982056452,1.0,44.0869444444,0.58064516129,-9999,-9999,358.914,0.999328,21.049,19.715,19.07,19.97,19.462,-9999,-9999,-9999,-9999,0.965726,0.965726,0.965726,0.965726,0.965726,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.77908,0.965726,57.2457,0.997312,58.5734,0.667298,23.9178,0.998656,24.4726,0.447077,2.63133,0.942876,0.0389218,2.54129,2.60169,2.66319,0.985887,0.980511,0.930108,3.69568,3.63997,3.67977,3.74923,1.05134,1.04842,1.08728,1.14354,4.06087,3.57676,3.86147,4.05157,1.66706,1.27036,1.52943,1.65921,-9999,-9999
200409,16.71,1.0,309.744,160.24,1.0,346.3,1.0,6.559,1.0,100.539,1.0,0.647,1.0,2.855,1.0,0.21746439734,0.913194444444,60.6040059909,0.994444444444,323.275187574,0.999305555556,-9999,-9999,-9999,-9999,57.5454618056,1.0,-9999,-9999,-9999,-9999,355.27,0.990972,17.778,17.074,17.026,17.147,16.929,-9999,-9999,-9999,-9999,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.46393,1.0,30.4042,0.991667,34.3911,0.463534,23.175,0.999306,26.2139,0.378568,2.07489,0.979861,0.0262548,2.03325,2.0829,2.11234,0.985417,0.980556,0.977083,3.28004,3.22386,3.26927,3.29152,1.18637,1.17485,1.18725,1.20322,3.17096,3.03731,3.17815,3.41499,1.20498,1.12593,1.32563,1.42249,-9999,-9999
200410,12.144,1.0,211.072,85.745,1.0,331.365,1.0,2.837,1.0,99.504,0.976478,2.4,1.0,3.11,0.932124,-9999,-9999,13.9039673826,0.995967741935,172.503339982,0.999327956989,-9999,-9999,-9999,-9999,46.5394892473,1.0,-9999,-9999,-9999,-9999,362.858,0.536962,11.71,12.393,13.4,12.032,12.734,-9999,-9999,-9999,-9999,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.25407,1.0,36.1994,0.551747,22.9905,0.349696,-5.54109,0.55914,-3.51918,0.299117,-1.22072,0.548387,0.0309358,-1.2263,-1.21813,-1.21083,0.548387,0.547715,0.549731,2.31325,2.29925,2.30556,2.31142,3.53509,3.51589,3.52682,3.53885,3.25318,2.20577,2.96971,3.25318,4.22589,3.78605,4.07054,4.22589,-9999,-9999
