TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,9.772,0.0,144.524,64.504,0.0,293.903,0.0,2.293,0.0,100.488,0.0,3.089,0.0,3.864,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.54922,3.0,76.516,0.0,104.371,-9999,55.965,0.0,76.3387,-9999,-3.42242,0.0,-9999,-3.42242,-3.39969,-3.39786,0.0,0.0,0.0,4.61986,4.60961,4.63381,4.92881,8.02143,8.01912,8.04785,8.29723,5.73109,5.67228,5.70574,5.73378,3.84683,3.83761,3.84285,3.84804,-9999,-9999
199602,6.312,0.0,208.964,90.187,0.0,282.959,0.0,2.341,0.0,101.335,0.0,3.519,0.0,4.242,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.73471,3.0,76.5731,0.0,120.001,-9999,56.6725,0.0,88.8136,-9999,-3.43402,0.0,-9999,-3.43402,-3.41189,-3.40862,0.0,0.0,0.0,3.82416,3.81056,3.84272,4.24524,7.23855,7.23188,7.268,7.6506,5.10928,5.01068,5.06826,5.11358,4.96144,4.94985,4.95827,4.96403,-9999,-9999
199603,9.625,0.0,300.248,173.065,0.0,286.635,0.0,4.679,0.0,101.209,0.0,0.771,0.0,2.77,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.54922,3.0,76.516,0.0,119.911,-9999,55.965,0.0,87.7049,-9999,-3.42242,0.0,-9999,-3.42242,-3.39969,-3.39786,0.0,0.0,0.0,4.61971,4.61032,4.6325,4.90793,8.02111,8.01939,8.04723,8.27361,5.69723,5.64014,5.67258,5.69986,7.54097,7.52266,7.53938,7.5536,-9999,-9999
199604,12.601,0.0,391.342,229.607,0.0,305.094,0.0,5.556,0.0,101.341,0.0,1.785,0.0,2.837,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.63888,3.0,76.5436,0.0,85.8864,-9999,56.3069,0.0,63.1796,-9999,-3.42803,0.0,-9999,-3.42803,-3.40559,-3.40306,0.0,0.0,0.0,5.34731,5.34762,5.35448,5.51568,8.75386,8.75271,8.77564,8.84462,6.22388,6.20655,6.21189,6.22495,9.03489,9.01118,9.03489,9.05286,-9999,-9999
199605,15.249,0.0,457.869,258.773,0.0,327.98,0.0,6.495,0.0,101.103,0.0,2.538,0.0,3.438,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.659,3.0,76.5238,0.0,88.7267,-9999,56.3896,0.0,65.3818,-9999,-3.43213,0.0,-9999,-3.43213,-3.41057,-3.40703,0.0,0.0,0.0,6.01861,6.01861,6.02192,6.04782,9.42933,9.42806,9.44229,9.45183,6.68503,6.68457,6.68786,6.71565,9.73279,9.70625,9.73279,9.75525,-9999,-9999
199606,20.145,0.0,486.236,293.455,0.0,346.37,0.0,10.972,0.0,101.792,0.0,1.522,0.0,2.938,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.63888,3.0,76.5436,0.0,86.8145,1.52911,56.3069,0.0,63.8624,1.641,-3.42803,0.0,0.171943,-3.42803,-3.40559,-3.40306,0.0,0.0,0.0,7.33206,7.03372,7.32659,7.34219,10.7358,10.4494,10.7141,10.7595,7.50995,7.50995,7.54728,7.62408,8.74963,8.70682,8.7462,8.78528,-9999,-9999
199607,20.194,0.671371,470.375,253.961,0.672715,355.003,0.0,9.581,0.671371,101.599,0.0,1.34,0.662634,2.412,0.660618,-9999,-9999,189.431471306,0.662634408602,541.997863248,0.662634408602,-9999,-9999,-9999,-9999,-9999,-9999,28.8868284493,0.662634408602,-9999,-9999,365.329,0.671371,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.7935,3.0,75.2209,0.671371,86.4559,0.684201,63.8221,0.671371,73.3546,0.708967,-2.39094,0.665995,0.0509068,-2.39905,-2.3887,-2.36939,0.665995,0.667339,0.665995,6.13311,6.09338,6.15931,6.2834,8.58505,8.48931,8.54593,8.66052,6.54844,6.37338,6.50393,6.51872,8.30059,8.23119,8.29158,8.34329,-9999,-9999
199608,19.173,1.0,413.845,201.296,1.0,351.771,0.0,8.316,1.0,101.448,0.0,3.619,0.972446,1.847,0.972446,0.350163250797,0.752016129032,134.608470602,0.998655913978,386.011317594,0.990591397849,-9999,-9999,-9999,-9999,-9999,-9999,21.375672043,1.0,-9999,-9999,351.393,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.97341,3.0,54.6455,0.999328,62.8074,0.665288,59.3945,1.0,68.2657,0.847038,-0.838054,0.981855,0.0746936,-0.862778,-0.841426,-0.816081,0.987903,0.989919,0.977151,5.35252,5.21382,5.35252,5.54006,6.16504,6.05961,6.17744,6.36253,5.04663,4.70248,4.87309,4.99139,5.99604,5.85317,5.98981,6.06015,-9999,-9999
199609,15.522,1.0,330.636,188.033,1.0,320.405,0.0,5.975,1.0,101.254,0.0,1.88,1.0,1.988,1.0,0.348196738079,0.869444444444,117.707018322,0.999305555556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.14861111111,1.0,-9999,-9999,346.008,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.16131,3.0,55.9541,1.0,70.4994,0.689058,38.6482,1.0,48.6949,0.917214,-1.95268,0.9875,0.0690654,-1.9687,-1.93489,-1.9084,0.98125,0.988889,0.988889,3.07904,3.04581,3.06977,3.09064,5.0208,4.96939,5.01705,5.04575,2.65845,2.41775,2.63798,2.69346,4.79636,4.71695,4.79636,4.84938,-9999,-9999
199610,13.203,1.0,238.168,119.726,1.0,317.652,0.0,2.683,1.0,101.731,0.0,2.161,1.0,1.88,1.0,0.306852317938,0.956317204301,67.2271505376,1.0,223.597833466,0.980510752688,-9999,-9999,-9999,-9999,-9999,-9999,13.1989247312,1.0,-9999,-9999,354.824,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.14906,3.0,32.4974,1.0,40.9451,0.577236,4.75602,1.0,5.99235,0.629847,-0.316182,0.986559,0.0940441,-0.368018,-0.35521,-0.313487,0.988575,0.988575,0.983199,4.12732,4.11792,4.17366,4.18454,4.50926,4.47559,4.5011,4.51808,4.28807,4.20875,4.26382,4.36946,4.64685,4.64321,4.65526,4.70856,-9999,-9999
199611,8.491,1.0,161.827,55.743,1.0,308.22,0.0,1.117,1.0,101.204,0.518056,7.1,1.0,2.223,0.999306,-9999,-9999,30.1096491228,0.633333333333,102.152076242,0.979166666667,-9999,-9999,-9999,-9999,-9999,-9999,6.40277777778,1.0,-9999,-9999,363.431,0.781944,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.16125,3.0,11.3864,0.775694,14.7299,0.334545,-20.6729,0.999306,-26.7432,0.797462,0.847742,0.78125,0.0542533,0.847742,0.852964,0.858043,0.78125,0.781944,0.78125,3.19473,3.0574,3.11814,3.14879,2.34765,2.19883,2.26355,2.30247,4.51707,4.35288,4.43786,4.45172,2.44842,2.43438,2.44842,2.45704,-9999,-9999
199612,5.551,1.0,127.046,45.751,0.997984,280.961,0.0,0.964,1.0,100.396,1.0,1.342,1.0,1.832,1.0,0.352911889353,0.853494623656,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.36962365591,1.0,-9999,-9999,363.5,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.86228,3.0,8.31833,0.0,11.4798,0.584278,-19.6485,0.245968,-27.1161,0.903281,0.949536,0.0,0.132455,0.924949,0.959805,0.969053,0.0,0.0,0.0,2.90238,2.64551,2.71739,2.80717,1.9389,1.72439,1.77701,1.86029,5.17459,5.09743,5.14891,5.19664,2.32519,2.29679,2.31529,2.32494,-9999,-9999
199701,4.833,1.0,144.524,55.176,1.0,279.894,0.0,1.403,1.0,100.967,0.999328,1.49,1.0,1.937,0.948925,-9999,-9999,20.625,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.05040322581,1.0,-9999,-9999,363.975,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.34525,3.0,13.2023,0.0,20.6898,1.22378,-1.89106,1.0,-2.96355,0.435126,0.979216,0.0,0.213017,0.777576,0.988003,1.0229,0.0,0.0,0.0,1.80148,1.77282,1.80811,1.85763,0.811838,0.779194,0.801266,0.937252,1.71834,1.66847,1.71834,1.93077,1.17425,1.17615,1.195,1.23677,-9999,-9999
199702,9.562,1.0,207.517,89.683,0.984375,302.739,0.0,2.431,1.0,101.802,1.0,2.571,1.0,2.308,1.0,-9999,-9999,44.337797619,1.0,199.266602481,0.970982142857,-9999,-9999,-9999,-9999,-9999,-9999,10.9828869048,1.0,-9999,-9999,364.928,0.709821,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.759685,3.0,29.3331,0.713542,45.969,0.448593,-7.63302,0.994048,-11.962,0.693504,0.930483,0.693452,0.0471048,0.849978,0.927152,1.05235,0.699405,0.693452,0.695685,3.33544,3.301,3.33539,3.37009,2.41263,2.34715,2.40448,2.42476,4.15721,3.89774,4.22064,4.2968,2.76507,2.56785,2.76851,2.85035,-9999,-9999
