TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,5.165,0.999328,151.521,70.605,0.0,272.865,0.0,2.977,0.999328,99.03,0.0,1.052,0.998656,2.443,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.249,0.999328,-9999,1.0,65.7784,0.0,-9999,-9999,60.4872,0.0,-9999,-9999,-1.00848,0.0,-9999,-1.00848,-0.995538,-0.988076,0.0,0.0,0.0,1.60266,1.56256,1.59945,1.66498,2.59646,2.56359,2.59403,2.65272,1.97855,1.56183,1.97855,3.67729,1.70258,1.64808,1.70274,2.47475,-9999,-9999
200002,8.645,1.0,215.645,108.967,0.974856,289.384,0.0,4.446,1.0,99.126,0.0,1.021,0.999282,2.732,0.0,-9999,-9999,35.7527288793,0.983477011494,214.308490327,0.965517241379,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.119,1.0,-9999,1.0,65.5918,0.0,-9999,-9999,60.452,0.0,-9999,-9999,-1.0036,0.0,-9999,-1.0036,-0.990078,-0.981781,0.0,0.0,0.0,2.09372,2.04087,2.0841,2.15288,3.08162,3.04887,3.07974,3.13362,2.10807,1.66408,2.10807,3.91802,2.24726,2.17879,2.24738,3.04563,-9999,-9999
200003,9.785,1.0,305.701,162.89,1.0,282.257,0.0,5.991,1.0,98.672,0.0,1.006,1.0,2.762,0.0,-9999,-9999,75.0155630347,0.997311827957,316.24750672,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.235,1.0,-9999,1.0,65.7784,0.0,-9999,-9999,60.4872,0.0,-9999,-9999,-1.00848,0.0,-9999,-1.00848,-0.995538,-0.988076,0.0,0.0,0.0,2.30224,2.25397,2.29005,2.35564,3.29603,3.26684,3.29501,3.34765,2.14512,1.69332,2.14512,3.98687,3.03122,2.9419,3.03129,3.91073,-9999,-9999
200004,11.013,1.0,394.738,180.706,1.0,307.304,0.0,4.602,1.0,97.666,0.0,3.173,1.0,2.563,0.0,-9999,-9999,99.4348962204,0.993055555556,348.478725694,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.363,1.0,-9999,1.0,65.6882,0.0,-9999,-9999,60.4702,0.0,-9999,-9999,-1.00612,0.0,-9999,-1.00612,-0.992899,-0.985034,0.0,0.0,0.0,2.4779,2.43022,2.46588,2.53139,3.46884,3.44071,3.46664,3.52333,2.19049,1.72914,2.19049,4.0712,3.18231,3.08981,3.18235,4.07684,-9999,-9999
200005,16.569,1.0,459.152,238.478,1.0,329.866,0.0,7.351,1.0,98.384,0.0,3.071,1.0,1.993,0.0,-9999,-9999,142.42436123,0.999327956989,456.390274194,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.603,1.0,-9999,1.0,56.1774,0.0,-9999,-9999,49.2191,0.0,-9999,-9999,-1.03684,0.0,-9999,-1.07263,-1.05285,-0.999302,0.0,0.0,0.0,3.52443,3.50452,3.51948,3.55419,4.58667,4.5288,4.58279,4.59144,2.36768,1.86901,2.36768,4.40052,3.95974,3.84941,3.95973,4.92629,-9999,-9999
200006,19.332,0.997222,486.394,280.96,0.999306,341.861,0.0,9.883,0.997222,98.665,0.0,1.693,1.0,2.577,0.0,-9999,-9999,171.66321807,0.999305555556,551.754423611,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.138,1.0,-9999,1.0,49.084,0.0,-9999,-9999,44.9318,0.0,-9999,-9999,-1.00296,0.0,-9999,-1.14747,-1.11062,-0.883885,0.0,0.0,0.0,4.10556,4.10322,4.10462,4.10616,5.2438,4.94381,5.21229,5.28303,2.44912,1.9333,2.44912,4.55188,4.53399,4.41202,4.53394,5.54817,-9999,-9999
200007,20.124,1.0,471.078,268.477,1.0,340.225,0.0,11.42,1.0,98.251,0.0,1.445,1.0,2.58,0.105511,-9999,-9999,160.95224328,1.0,539.504520833,1.0,129.407613636,0.708333333333,-9999,-9999,-9999,-9999,-9999,-9999,17.916,1.0,-9999,1.0,46.7575,0.25,-9999,0.714003,42.86,0.247984,-9999,1.15083,-0.714819,0.225134,0.0607647,-1.01174,-0.931324,-0.613414,0.236559,0.234543,0.250672,4.20464,4.19944,4.20417,4.21332,5.17093,4.82216,5.1105,5.24069,2.47116,1.95069,2.47116,4.59662,4.40977,4.28925,4.40974,5.41642,-9999,-9999
200008,22.52,1.0,416.415,221.847,1.0,355.347,0.0,12.296,1.0,98.512,0.0,1.71,0.997984,2.533,0.99664,0.40197827033,0.666666666667,129.732340412,0.997983870968,435.967375463,0.965725806452,-9999,-9999,-9999,-9999,-9999,-9999,377.531,0.998656,19.577,1.0,-9999,1.0,26.9843,0.982527,-9999,0.500273,69.462,0.97379,-9999,0.87687,-0.497039,0.936828,0.0416475,-0.576801,-0.537986,-0.496829,0.953629,0.953629,0.939516,2.10613,2.1401,2.20917,2.47682,2.72777,2.72489,2.73794,3.01792,1.39741,1.1304,1.42738,1.87008,2.34996,2.03289,2.14867,2.38117,-9999,-9999
200009,18.618,0.770139,335.334,187.608,0.755556,333.434,0.0,8.789,0.770139,98.324,0.0,4.022,0.765972,2.353,0.788889,-9999,-9999,103.41316487,0.73125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,385.036,0.763194,17.685,1.0,-9999,1.0,36.4523,0.638889,-9999,0.551929,35.4615,0.631944,-9999,0.757447,-0.370996,0.616667,0.0419691,-0.356553,-0.321825,-0.307983,0.614583,0.614583,0.615972,1.20361,1.07296,1.46679,1.47553,1.59185,1.52675,1.7849,1.82286,1.33081,1.33389,1.66006,2.24505,2.35667,1.0095,1.94521,2.65991,-9999,-9999
200010,13.442,1.0,244.426,99.67,1.0,324.781,0.0,3.981,1.0,98.351,0.0,2.316,1.0,2.496,1.0,0.437309486108,0.735887096774,44.8517110215,1.0,205.839725121,0.966397849462,-9999,-9999,-9999,-9999,-9999,-9999,390.702,1.0,14.378,1.0,-9999,1.0,33.6853,1.0,-9999,0.521969,-3.57838,0.998656,-9999,0.777602,-0.0942827,0.96707,0.0444356,-0.443532,-0.38491,0.0641894,0.990591,0.978495,0.942204,2.35613,2.38399,2.45654,2.47576,2.74104,2.44858,2.59207,2.88584,2.11433,2.16556,2.39861,2.84679,3.42993,3.34061,3.44594,3.67454,-9999,-9999
