TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,25.422,1.0,398.243,183.973,1.0,412.706,0.0,5.54,1.0,100.512,1.0,7.832,1.0,2.945,1.0,0.367007501797,0.752688172043,133.207721774,1.0,363.589704301,1.0,-9999,-9999,19.8017204301,1.0,-9999,-9999,370.426,0.999328,25.097,24.867,1.0,1.0,20.965,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,96.8359,1.0,-9999,1.49082,10.3046,1.0,-9999,0.688554,-0.681666,0.995968,0.163796,-0.681666,-0.631267,-0.566028,0.995968,0.99664,0.995968,9.54646,9.5775,9.67452,9.86316,10.2656,10.2402,10.3335,10.4348,11.7769,11.9153,11.9736,12.1437,11.661,11.5841,11.661,11.7415,-9999,-9999
200402,25.642,1.0,421.15,200.7,1.0,413.392,0.0,7.037,1.0,100.649,1.0,4.483,1.0,3.616,1.0,0.505330254922,0.844827586207,142.495761494,1.0,390.035538793,1.0,-9999,-9999,21.5584267241,1.0,-9999,-9999,364.223,0.999282,24.985,24.803,1.0,1.0,19.648,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,114.54,0.999282,-9999,1.58597,5.41371,0.999282,-9999,0.785911,-1.76809,0.998563,0.155829,-1.9077,-1.81893,-1.75929,0.998563,0.998563,0.998563,9.20938,9.096,9.15365,9.21452,10.9392,10.9143,10.9775,11.0271,8.09501,7.97979,8.13468,8.56406,10.641,10.5793,10.6491,10.8259,-9999,-9999
200403,25.505,1.0,437.701,165.818,1.0,413.515,0.0,5.835,1.0,100.571,1.0,11.077,1.0,3.586,1.0,0.518890401757,0.712365591398,123.665571237,1.0,321.890846774,1.0,-9999,-9999,17.0258064516,1.0,-9999,-9999,374.067,1.0,25.042,25.188,1.0,1.0,22.797,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,115.637,1.0,-9999,1.3528,-8.75238,1.0,-9999,0.658692,-1.26846,0.998656,0.152689,-1.2668,-1.24887,-1.18808,0.998656,0.998656,0.998656,8.588,8.62013,8.67123,8.71761,9.84947,9.881,9.90166,9.95573,8.71229,8.70893,8.74176,8.90668,10.1321,10.1081,10.1383,10.2348,-9999,-9999
200404,25.371,1.0,436.651,181.671,1.0,411.605,0.0,4.285,1.0,100.571,1.0,22.913,1.0,2.723,1.0,-9999,-9999,141.6489375,1.0,355.655683806,0.999305555556,-9999,-9999,17.3606944444,1.0,-9999,-9999,383.688,0.996528,25.204,25.289,1.0,1.0,25.671,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,100.584,0.996528,-9999,1.41735,16.0489,0.997917,-9999,0.637433,-0.0237944,0.99375,0.175216,-0.0903606,0.0511401,0.0996149,0.99375,0.99375,0.993056,9.50867,9.47252,9.55973,9.62574,9.5757,9.47238,9.5325,9.60699,8.55113,8.56244,8.8877,9.11236,9.31475,9.31761,9.37514,9.49689,-9999,-9999
200405,25.031,1.0,423.229,174.225,0.999328,410.594,0.0,3.814,1.0,100.647,1.0,12.723,1.0,2.439,1.0,0.309893490571,0.621639784946,134.186505376,1.0,344.521471774,1.0,-9999,-9999,16.5729166667,1.0,-9999,-9999,386.721,0.99664,25.292,25.353,1.0,1.0,28.125,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,98.6558,0.99664,-9999,1.45477,14.6615,0.99664,-9999,0.602687,0.162083,0.993952,0.188655,-0.00876759,0.162337,0.332838,0.99328,0.993952,0.993952,10.5809,10.5117,10.5976,10.8546,10.3278,10.3648,10.4629,10.6313,9.16558,9.94391,10.2644,10.8431,9.85277,9.95172,10.1997,10.5741,-9999,-9999
200406,24.911,1.0,412.859,179.64,1.0,408.839,0.0,4.205,1.0,100.83,1.0,13.72,1.0,2.213,1.0,0.261616249779,0.622916666667,136.906041667,1.0,351.89525,1.0,-9999,-9999,17.0554375,1.0,-9999,-9999,387.981,0.999306,24.818,25.063,1.0,1.0,29.759,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,96.0077,0.999306,-9999,1.48076,18.9206,0.999306,-9999,0.58555,0.647525,0.991667,0.166507,0.448321,0.593349,0.775265,0.992361,0.992361,0.991667,11.2313,10.7551,11.2313,11.727,10.2546,10.3215,10.5751,11.0948,10.5199,10.4035,10.5766,10.8732,10.3167,10.3575,10.4369,10.5893,-9999,-9999
200407,25.446,1.0,415.897,223.737,1.0,408.152,0.0,6.411,1.0,100.708,1.0,7.677,1.0,2.386,1.0,0.298378268183,0.625672043011,163.291686828,1.0,434.48968414,1.0,-9999,-9999,21.4771438172,1.0,-9999,-9999,384.919,0.99664,25.051,25.156,1.0,1.0,26.769,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,116.42,0.997312,-9999,1.71296,30.834,0.997312,-9999,0.643998,0.592814,0.954973,0.16628,0.297065,0.572021,0.740471,0.956989,0.954973,0.913306,11.2425,10.7655,11.2836,12.1072,10.6298,10.5382,10.6691,11.2521,12.6397,12.2497,12.6631,13.0578,11.3235,11.2055,11.3629,11.5056,-9999,-9999
200408,25.958,1.0,427.611,254.351,1.0,407.808,0.0,7.404,1.0,100.807,1.0,2.955,1.0,2.636,1.0,0.299376128,0.890456989247,179.003702385,0.999327956989,488.67885481,0.999327956989,-9999,-9999,25.361780914,1.0,-9999,-9999,381.838,1.0,25.221,25.283,1.0,1.0,20.55,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,123.107,0.999328,-9999,1.71475,42.46,0.999328,-9999,0.692857,0.606208,0.972446,0.178461,0.542407,0.573993,0.649197,0.983199,0.976478,0.969086,12.5713,12.4296,12.564,12.7404,11.9224,11.8606,11.9698,12.0787,8.74014,8.716,8.81948,8.9718,9.86136,9.68867,9.79423,9.86124,-9999,-9999
200409,26.223,1.0,433.346,258.236,1.0,410.03,0.0,7.226,1.0,100.63,1.0,1.273,1.0,2.795,1.0,0.326838271716,0.925,176.880881944,1.0,498.466944444,1.0,-9999,-9999,28.1124930556,1.0,-9999,-9999,379.884,0.999306,25.493,25.518,1.0,1.0,13.27,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,115.229,0.999306,-9999,1.73901,43.6343,0.999306,-9999,0.773218,-0.432453,0.990972,0.170899,-0.524192,-0.446417,-0.409055,0.995139,0.992361,0.992361,11.1399,10.9198,11.0274,11.1679,11.5213,11.4119,11.4981,11.6591,8.56424,8.53371,8.6267,8.73507,10.0226,9.86013,9.98082,10.0429,-9999,-9999
200410,26.463,1.0,423.433,252.944,1.0,410.356,0.0,7.929,1.0,100.527,1.0,2.187,1.0,2.941,1.0,0.344872822819,0.906586021505,174.021754032,1.0,489.818709677,1.0,-9999,-9999,28.2747513441,1.0,-9999,-9999,381.791,0.997984,25.639,25.683,1.0,1.0,12.092,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,106.482,0.997984,-9999,1.55312,44.948,0.997984,-9999,0.724043,-0.395839,0.977151,0.152998,-0.477406,-0.326636,-0.137856,0.997984,0.977151,0.981183,10.6019,10.3531,10.6143,10.7092,11.0028,10.7709,10.8758,10.9742,7.23645,7.23624,7.32552,7.46393,8.6861,8.71387,8.77775,8.85948,-9999,-9999
200411,26.422,1.0,402.584,238.705,1.0,412.214,0.0,7.772,1.0,100.474,1.0,1.58,1.0,2.803,1.0,0.332500733474,0.940972222222,159.809243056,1.0,460.943625,1.0,-9999,-9999,27.9404513889,1.0,-9999,-9999,377.899,1.0,25.675,25.726,1.0,1.0,11.226,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,103.938,1.0,-9999,1.48589,40.4125,1.0,-9999,0.71161,-0.597227,0.975694,0.183006,-0.973891,-0.788557,-0.725188,0.988194,0.983333,0.977778,10.0371,9.7518,9.85307,10.0115,10.6433,10.5745,10.6718,10.777,8.36042,7.94293,8.00765,8.23851,9.65602,9.57328,9.63961,9.7428,-9999,-9999
