TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,25.735,0.0,398.294,153.773,0.88172,394.025,0.0,4.564,0.0,99.313,0.880376,1.188,0.954301,2.007,0.676747,0.209529961668,0.630376344086,86.0160403836,0.870295698925,237.093010802,0.870967741935,-9999,-9999,-9999,-9999,18.7009691358,0.870967741935,-9999,-9999,-9999,-9999,24.414,24.677,24.491,0.956317,0.956317,0.956317,-9999,-9999,-9999,-9999,-9999,-9999,-0.548306,0.956989,46.8508,0.0,59.3564,-9999,24.0404,0.882392,30.4573,-9999,-1.79194,0.0,-9999,-2.60854,-2.28198,-0.82181,0.0,0.0,0.0,11.5291,10.1544,11.6824,17.0152,14.5814,12.8046,14.3189,18.2601,5.99268,4.23691,10.4256,15.2855,9.3738,8.95651,10.2372,10.6873,-9999,-9999
201102,26.078,0.00744048,420.818,187.13,0.892857,404.97,0.0,3.916,0.00744048,99.361,0.863839,3.773,0.863839,2.218,0.758185,0.287524863808,0.706101190476,125.956964932,0.863095238095,326.489347779,0.863839285714,-9999,-9999,-9999,-9999,21.7514851847,0.863839285714,-9999,-9999,419.475,0.706845,24.739,25.096,24.894,0.887649,0.887649,0.887649,-9999,-9999,-9999,-9999,-9999,-9999,-0.382902,0.891369,59.6244,0.700893,75.5394,2.0238,35.7376,0.998512,45.2767,1.01113,-3.03648,0.69494,0.611896,-3.46869,-3.16342,-2.56264,0.701637,0.69494,0.651786,11.6778,10.2838,11.8726,17.173,15.7213,13.7959,15.1787,19.9755,7.85179,6.69113,10.3161,15.0058,11.6284,10.7079,11.6507,13.0558,-9999,-9999
201103,26.425,0.995296,437.427,205.799,1.0,408.245,0.0,5.186,0.995296,99.335,1.0,3.594,1.0,2.436,0.754032,0.328540357037,0.67002688172,134.761712138,0.991935483871,348.187727823,1.0,176.901847701,0.935483870968,-9999,-9999,23.1748608871,1.0,-9999,-9999,406.754,1.0,25.001,25.33,25.051,1.0,1.0,1.0,17.313,15.26,12.604,0.949597,0.994624,1.0,-0.363455,1.0,67.626,1.0,88.5591,1.06809,35.0526,1.0,45.9029,0.55418,-4.75882,0.999328,0.273451,-4.90107,-4.5225,-3.82829,1.0,0.999328,0.984543,8.17323,7.79576,8.42021,11.2367,13.1784,12.6814,13.1463,15.1211,6.93918,6.85046,7.12614,7.48506,12.2931,12.3777,12.4912,12.6511,-9999,-9999
201104,26.57,1.0,436.941,204.063,1.0,407.994,0.0,5.379,1.0,99.337,0.999306,5.617,0.999306,2.287,0.830556,0.299419753313,0.752083333333,122.275607044,0.998611111111,349.552777985,0.998611111111,271.802995139,0.999305555556,-9999,-9999,24.2475119238,0.999305555556,-9999,-9999,388.625,0.990278,25.19,25.495,25.189,1.0,1.0,1.0,19.344,16.49,13.492,1.0,1.0,1.0,-0.235143,1.0,86.5359,0.997222,90.8925,1.70456,30.4249,1.0,31.9566,0.640045,-4.40707,0.9625,0.290096,-4.46488,-4.26719,-3.72274,0.883333,0.970833,0.978472,6.29729,6.23667,6.63947,7.95263,10.4881,10.4092,10.7915,12.7592,8.15712,8.25703,8.73157,9.84509,12.0501,10.289,10.5512,11.4922,-9999,-9999
201105,25.623,1.0,423.674,168.523,1.0,407.878,0.0,3.248,1.0,99.492,1.0,6.284,1.0,2.181,0.983199,0.256890162699,0.945564516129,96.5445552685,0.995967741935,288.172384652,0.995295698925,231.873317876,1.0,-9999,-9999,21.2974576613,1.0,-9999,-9999,368.201,1.0,25.026,25.46,25.213,1.0,1.0,1.0,19.566,17.144,13.97,0.532258,1.0,1.0,-0.770017,1.0,74.7383,1.0,78.3252,1.929,19.1291,1.0,20.0471,0.649258,-2.1981,1.0,0.283663,-4.43776,-4.06018,-1.99497,0.987903,0.983871,1.0,7.07632,5.06676,6.19367,7.10592,9.37312,9.08128,9.21971,9.44778,5.13961,5.24016,6.53792,7.21342,9.07377,8.20512,8.85149,9.06278,-9999,-9999
201106,24.818,0.948611,412.964,139.164,0.95625,406.925,0.0,2.165,0.948611,99.682,0.885417,15.659,0.885417,2.22,0.577083,0.302322525608,0.517361111111,90.2647264426,0.869444444444,258.903048671,0.865972222222,198.74649662,0.869444444444,-9999,-9999,18.709108901,0.869444444444,-9999,-9999,358.97,0.5375,24.571,25.122,24.848,0.949306,0.949306,0.949306,19.255,20.03,15.089,0.949306,0.949306,0.949306,-0.717268,0.951389,53.0042,0.536806,59.2119,1.42716,17.1316,0.915972,19.138,0.636076,-0.971211,0.535417,0.40409,-5.10389,-3.06429,-0.757566,0.498611,0.513194,0.535417,7.48815,5.27999,7.13709,7.55601,8.47352,8.28888,8.53218,9.88908,6.0189,5.49362,6.1094,7.34968,8.20756,7.66014,8.34468,8.95738,-9999,-9999
201107,24.037,0.641129,415.56,121.203,0.639113,404.816,0.0,1.773,0.641129,99.742,0.596774,2.963,0.596774,2.473,0.436828,-9999,-9999,78.9784720149,0.557795698925,208.037556482,0.556451612903,177.306440497,0.557795698925,-9999,-9999,14.4924000955,0.557795698925,-9999,-9999,388.923,0.592742,24.499,25.417,24.778,0.641129,0.641129,0.641129,18.53,18.134,14.502,0.641129,0.641129,0.641129,-1.33639,0.641801,44.4715,0.59207,78.0855,0.753526,11.9236,0.624328,20.9362,0.395336,-2.09494,0.591398,0.195009,-2.67643,-2.32934,-2.07471,0.591398,0.591398,0.591398,6.22781,5.56291,5.8704,6.20797,8.38109,8.19974,8.29354,8.33649,4.77112,4.75316,4.98998,5.57402,7.65715,7.36743,7.50682,7.64862,-9999,-9999
201108,23.377,0.918683,427.223,112.933,0.926747,407.214,0.0,1.315,0.918683,99.776,0.840726,3.818,0.840726,2.585,0.254704,-9999,-9999,80.9887198969,0.836693548387,196.780482647,0.831317204301,159.687284169,0.836693548387,-9999,-9999,12.810595505,0.836693548387,-9999,-9999,414.02,0.435484,23.741,24.536,24.412,0.918683,0.918683,0.918683,15.887,16.589,13.969,0.918683,0.918683,0.918683,-1.55449,0.918683,30.6222,0.434812,53.5881,0.616156,8.8594,0.434812,15.5037,0.561895,-2.55477,0.429435,0.187578,-2.56073,-2.51823,-2.50341,0.414651,0.429435,0.409946,5.50729,5.4692,5.55866,6.52521,8.04205,8.00235,8.0753,9.0944,3.61913,4.17379,4.61104,4.68894,8.1786,7.73836,8.17534,8.19954,-9999,-9999
201109,24.021,0.927083,433.384,118.754,0.939583,410.905,0.0,1.425,0.927083,99.735,0.825,7.23,0.825,2.129,0.113889,-9999,-9999,96.4470177365,0.825,233.11328923,0.824305555556,161.952236737,0.825,-9999,-9999,12.9925361507,0.825,-9999,-9999,417.161,0.569444,24.018,24.652,24.362,0.928472,0.928472,0.928472,16.844,16.801,14.307,0.928472,0.928472,0.928472,-0.816015,0.931944,45.4881,0.563889,79.3355,1.20921,11.4974,0.566667,20.0526,0.602464,-2.49556,0.561111,0.206708,-2.97022,-2.80944,-2.47232,0.529167,0.525,0.561111,5.83301,5.2654,5.49746,5.77356,8.30228,8.15237,8.24662,8.347,5.15975,5.23897,6.25747,6.33149,9.0767,8.77624,9.09484,9.14136,-9999,-9999
201110,24.521,0.99664,424.028,141.41,0.991935,406.619,0.0,1.742,0.99664,99.499,0.995296,6.625,0.995296,1.98,0.674731,0.281467777095,0.60752688172,103.849469308,0.992607526882,258.372836299,0.986559139785,-9999,-9999,-9999,-9999,13.3137386157,0.994623655914,-9999,-9999,414.694,0.992608,24.399,24.993,24.635,0.997312,0.997312,0.997312,18.761,17.705,14.742,0.997312,0.997312,0.997312,-0.741522,0.997312,75.9468,0.992608,79.701,1.81908,22.6889,0.991263,23.8105,0.701143,-2.78699,0.989919,0.220289,-3.92699,-3.65699,-2.81202,0.982527,0.982527,0.992608,4.91571,5.00251,5.08812,5.17744,7.94888,7.89454,8.28444,8.95859,6.44681,5.44008,5.51782,5.98474,8.2096,8.12222,8.25631,8.6017,-9999,-9999
