TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,-12.105,1.0,18.3005,4.666,0.0,175.306,0.0,0.681,1.0,96.512,0.0,1.01,1.0,1.738,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.112,0.8,-9999,1.0,1.0,-9999,1.0,32.0437,0.0,-9999,-9999,70.1013,0.0,-9999,-9999,0.234348,0.0,-9999,0.2174,0.234348,0.234348,0.0,0.0,0.0,0.612946,0.34734,0.570033,0.60469,0.378598,0.119449,0.352632,0.364358,0.0477704,0.047632,0.0477702,0.0477704,0.153924,0.15381,0.153924,0.153924,-9999,-9999
200802,-13.495,1.0,72.6816,26.838,0.0,183.42,0.0,0.67,1.0,96.29,0.0,1.672,0.872126,1.676,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.196,-0.1,0.719,0.716236,1.0,1.0,-9999,1.0,31.9509,0.0,-9999,-9999,69.6999,0.0,-9999,-9999,0.234348,0.0,-9999,0.217346,0.234348,0.234348,0.0,0.0,0.0,0.570175,0.337526,0.531323,0.562649,0.335826,0.109848,0.313977,0.322372,0.0610497,0.0608728,0.0610494,0.0610497,0.608509,0.607462,0.608507,0.608509,-9999,-9999
200803,-7.885,0.821909,176.43,79.342,0.0,217.529,0.0,0.972,0.821909,97.139,0.0,1.402,0.337366,1.753,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.178,-0.1,0.66,0.821237,0.821237,0.821237,-9999,1.0,32.0437,0.0,-9999,-9999,70.1013,0.0,-9999,-9999,0.234348,0.0,-9999,0.2174,0.234348,0.234348,0.0,0.0,0.0,0.758159,0.544087,0.724681,0.751739,0.523811,0.316196,0.50728,0.513694,0.21117,0.210558,0.211169,0.21117,1.23794,1.23498,1.23793,1.23794,-9999,-9999
200804,0.545,0.0,305.557,160.539,0.0,245.546,0.0,1.965,0.0,98.069,0.0,0.647,1.0,1.445,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.009,0.017,0.712,0.0,0.0,0.0,-9999,1.0,31.9989,0.0,-9999,-9999,69.9073,0.0,-9999,-9999,0.234348,0.0,-9999,0.217374,0.234348,0.234348,0.0,0.0,0.0,1.04705,0.92209,1.03044,1.04393,0.812699,0.694301,0.803623,0.812699,0.520242,0.518736,0.52024,0.520242,1.89815,1.89288,1.89814,1.89815,-9999,-9999
200805,4.233,0.0,419.826,221.178,0.0,274.56,0.0,1.896,0.0,97.928,0.0,1.839,1.0,1.379,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.046,0.069,0.749,0.0,0.0,0.0,-9999,1.0,32.0351,0.0,-9999,-9999,69.8848,0.0,-9999,-9999,0.233169,0.0,-9999,0.216218,0.233169,0.233169,0.0,0.0,0.0,1.16491,1.12493,1.15978,1.16395,0.931746,0.89843,0.930786,0.941479,0.899286,0.896682,0.899283,0.899286,2.34209,2.33538,2.34208,2.34209,-9999,-9999
200806,7.591,0.0,477.108,258.009,0.175,309.443,0.0,2.351,0.0,98.401,0.0,0.75,1.0,1.642,0.381944,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,386.384,0.39375,11.457,11.235,9.24,0.0,0.0,0.0,-9999,1.0,34.5526,0.39375,-9999,-9999,69.8261,0.39375,-9999,-9999,-0.504614,0.336806,-9999,-0.514407,-0.504614,-0.504555,0.334028,0.336806,0.3375,1.26592,1.26709,1.27225,1.32056,1.77053,1.7717,1.78697,1.82663,1.56067,1.55861,1.56066,1.56067,2.66314,2.65842,2.66308,2.66314,-9999,-9999
200807,9.612,0.0,446.896,233.128,1.0,312.6,0.0,3.099,0.0,97.78,0.0,1.487,1.0,1.651,0.803763,0.190709261567,0.764112903226,-9999,-9999,571.681830143,0.966397849462,-9999,-9999,383.696,0.993952,11.816,11.436,9.474,0.0,0.0,0.0,-9999,1.0,34.2262,0.993952,-9999,0.611351,50.693,0.993952,-9999,1.68294,-1.25203,0.979839,0.0321756,-1.25928,-1.25577,-1.25203,0.979839,0.979839,0.979839,1.32492,1.3274,1.33833,1.44026,2.5722,2.5819,2.59888,2.6819,2.00252,1.99188,2.00188,2.00456,3.19006,3.17701,3.18374,3.18566,-9999,-9999
200808,7.64,0.969758,345.965,148.526,1.0,314.935,0.0,2.468,0.969758,97.477,0.0,2.397,1.0,1.715,0.912634,0.201432110022,0.908602150538,-9999,-9999,359.981353685,0.969758064516,-9999,-9999,379.19,0.990591,9.831,9.693,8.586,0.968414,0.968414,0.968414,-9999,1.0,22.0362,0.991935,-9999,0.289081,20.6535,0.997312,-9999,0.582335,-0.245967,0.978495,0.0160537,-0.265191,-0.251931,-0.248586,0.978495,0.978495,0.978495,1.29273,1.25668,1.28207,1.30097,1.53902,1.52206,1.53546,1.54968,1.39005,1.13968,1.23587,1.28083,1.67362,1.54075,1.58484,1.60876,-9999,-9999
200809,4.085,1.0,219.834,66.148,1.0,288.218,0.0,1.831,1.0,96.947,0.0,5.768,0.998611,1.902,0.506944,-9999,-9999,-9999,-9999,157.986113942,0.970138888889,-9999,-9999,379.693,0.963194,4.888,5.148,5.982,1.0,1.0,1.0,-9999,1.0,9.50399,0.965972,-9999,0.226117,-5.26838,0.972222,-9999,0.523688,0.320111,0.932639,0.00885759,0.306869,0.320051,0.32045,0.929167,0.932639,0.932639,0.733541,0.702288,0.73212,0.733055,0.413429,0.395389,0.41013,0.412266,0.971694,0.881635,0.960892,0.965539,0.527042,0.486187,0.527037,0.529153,-9999,-9999
200810,-0.099,1.0,105.06,21.475,0.992608,249.489,0.0,2.033,1.0,96.966,0.0,6.642,0.99328,2.633,0.675403,0.249541755714,0.623655913978,-9999,-9999,54.2149892697,0.969086021505,-9999,-9999,382.416,0.989919,0.404,0.902,2.935,1.0,1.0,1.0,-9999,1.0,4.57784,0.984543,-9999,0.175035,-27.4016,0.988575,-9999,0.470679,0.213039,0.985215,0.00519133,0.20889,0.212773,0.214638,0.985215,0.985215,0.985215,0.262657,0.258447,0.26254,0.263545,0.0496178,0.0488255,0.0495567,0.0503187,0.293417,0.271622,0.293417,0.294825,0.0575816,0.056435,0.0640091,0.0641271,-9999,-9999
200811,-1.859,1.0,31.6851,6.336,0.996528,258.437,0.0,1.094,1.0,97.06,0.0,9.52,1.0,2.46,0.0,-9999,-9999,-9999,-9999,15.5587620374,0.957638888889,-9999,-9999,383.765,0.0527778,-0.085,0.192,1.601,1.0,1.0,1.0,-9999,1.0,8.44757,0.052778,-9999,0.359877,-30.7093,0.052778,-9999,0.805222,0.170602,0.0527778,0.00766944,0.169229,0.170373,0.17062,0.0527778,0.0527778,0.0527778,0.244185,0.20357,0.237028,0.24316,0.0735829,0.0326973,0.0693443,0.0727874,0.137188,0.136182,0.136941,0.136985,0.0,0.0,0.0,0.0,-9999,-9999
200812,-8.058,1.0,7.61633,2.038,0.999328,204.588,0.0,1.032,1.0,96.311,0.0,4.157,0.377688,2.307,0.0,-9999,-9999,-9999,-9999,4.88251127558,0.969758064516,-9999,-9999,383.711,0.0,-0.072,0.137,1.225,1.0,1.0,1.0,-9999,1.0,2.96969,0.0,-9999,-9999,-32.1705,0.0,-9999,-9999,0.211678,0.0,-9999,0.20015,0.211041,0.211695,0.0,0.0,0.0,0.190094,0.133838,0.181897,0.188457,-0.0215844,-0.0772038,-0.0237837,-0.0212195,0.103316,0.100249,0.103074,0.10358,0.0,0.0,0.0,0.0,-9999,-9999
