TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,-19.579,0.0,0.0,0.0,1.0,169.558,0.0,0.428,0.0,96.078,0.0,0.206,1.0,3.205,0.0,-9999,-9999,-9999,-9999,0.0,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.700109,0.0,-9999,-9999,-11.7733,0.0,-9999,-9999,0.0758283,0.0,-9999,0.0706079,0.0758283,0.0813436,0.0,0.0,0.0,0.093119,0.092827,0.093119,0.0940293,0.00439506,0.00959647,0.0177946,0.0182825,0.0256954,0.00967427,0.01477,0.0256954,0.0,0.0,0.0,0.0,-9999,-9999
200802,-15.098,0.0,12.4777,3.483,0.907328,196.462,0.0,0.571,0.0,95.479,0.0,0.883,1.0,4.656,0.0,-9999,-9999,-9999,-9999,2.67398657436,0.872844827586,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.966033,0.0,-9999,-9999,-13.5314,0.0,-9999,-9999,0.0565667,0.0,-9999,0.0565667,0.056816,0.0583466,0.0,0.0,0.0,0.158534,0.154684,0.155834,0.158534,0.105989,0.0981172,0.0992669,0.101221,0.0444733,0.0248998,0.0357968,0.0458912,0.00186534,0.00156253,0.00177277,0.00185498,-9999,-9999
200803,-19.826,0.0,102.332,62.236,0.881048,149.05,0.0,0.647,0.0,96.85,0.0,0.21,1.0,2.745,0.0,-9999,-9999,-9999,-9999,109.205708984,0.772177419355,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.560012,0.0,-9999,0.201973,-9.33282,0.0,-9999,1.34224,0.0536401,0.0,0.0118565,0.0536401,0.0595749,0.0611082,0.0,0.0,0.0,0.0864207,0.0861498,0.0864207,0.0880854,0.0335419,0.018291,0.0260078,0.0340131,0.0237294,0.00779438,0.0121477,0.0237294,0.0312833,0.0276248,0.0279833,0.0306611,-9999,-9999
200804,-15.63,0.922917,253.779,173.443,0.897917,164.288,0.0,0.622,0.922917,97.832,0.0,0.237,1.0,2.811,0.668056,0.116597861572,0.653472222222,-9999,-9999,408.460772689,0.765972222222,-9999,-9999,-9999,-9999,395.691,0.840972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,0.805895,0.836806,-9999,0.086801,-4.60632,0.8375,-9999,0.500466,0.000510699,0.636806,0.00473335,0.000510699,0.00410577,0.00927364,0.636806,0.650694,0.657639,0.0652994,0.0652994,0.067878,0.0717825,0.0650797,0.051802,0.0603025,0.0679876,0.0405615,0.0196587,0.0294897,0.0416469,0.0813597,0.0713554,0.0759654,0.0813597,-9999,-9999
200805,-6.466,1.0,415.241,269.07,0.80914,220.741,0.0,0.938,1.0,97.836,0.0,0.213,1.0,1.814,0.986559,0.100585824929,0.962365591398,-9999,-9999,766.823990905,0.663306451613,-9999,-9999,-9999,-9999,396.777,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.73751,0.988575,-9999,0.107808,-2.19232,0.988575,-9999,0.323213,0.0426034,0.586694,0.00575339,0.0373125,0.039526,0.0420704,0.516801,0.577957,0.585349,0.254873,0.249543,0.254446,0.254873,0.21285,0.208533,0.213665,0.217084,0.0753564,0.0725031,0.0840377,0.130639,0.0598747,0.0334145,0.0658517,0.11074,-9999,-9999
200806,3.628,1.0,493.145,281.923,0.910417,261.952,0.0,1.927,0.963194,97.528,0.0,0.09,1.0,1.459,0.995833,0.103222606777,0.994444444444,-9999,-9999,719.743309247,0.729166666667,-9999,-9999,-9999,-9999,388.275,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.63434,1.0,-9999,0.242111,3.05803,1.0,-9999,0.350309,0.513616,0.634028,0.0117553,0.496805,0.514025,0.53869,0.675694,0.635417,0.55625,1.06127,1.01255,1.01758,1.06127,0.471327,0.474881,0.498521,0.564464,0.785643,0.666441,0.729247,0.759104,0.283986,0.190705,0.240718,0.269924,-9999,-9999
200807,7.467,0.990591,453.424,261.926,0.867608,272.602,0.0,3.262,0.990591,97.122,0.0,0.255,1.0,2.191,0.976478,0.168683520177,0.972446236559,-9999,-9999,719.313757539,0.659274193548,-9999,-9999,-9999,-9999,382.638,0.99664,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.2323,0.991263,-9999,0.402036,44.84,0.991263,-9999,0.472003,-1.45278,0.776882,0.0253075,-1.45712,-1.45211,-1.43694,0.770161,0.769489,0.786962,2.00466,1.89336,1.89759,2.00466,3.34547,3.34792,3.35827,3.43997,2.32057,1.70911,1.91039,2.98787,3.32721,2.84675,3.08962,3.94258,-9999,-9999
200808,5.214,0.999328,310.578,146.474,0.835349,267.868,0.0,2.135,0.999328,96.701,0.0,1.584,0.991935,2.573,0.946909,0.196636810066,0.942204301075,-9999,-9999,351.882403242,0.655913978495,-9999,-9999,-9999,-9999,371.467,0.987231,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,12.7827,0.985215,-9999,0.170331,13.7626,0.985887,-9999,0.500358,-1.05634,0.796371,0.0238425,-1.05322,-1.04749,-1.03638,0.794355,0.788978,0.800403,1.95656,1.90254,1.9026,1.95656,2.9529,2.94905,2.95576,2.9886,1.29799,1.62068,1.70975,1.76994,2.82814,3.08569,3.11393,3.15452,-9999,-9999
200809,-0.969,1.0,150.96,62.462,0.825694,253.77,0.0,1.118,1.0,96.29,0.0,1.553,1.0,2.517,0.0,-9999,-9999,-9999,-9999,109.592110433,0.698611111111,-9999,-9999,-9999,-9999,368.796,0.128472,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,6.35707,0.128472,-9999,0.157546,6.42077,0.128472,-9999,0.922677,0.744636,0.111111,0.0303091,0.744101,0.74565,0.761682,0.111111,0.111111,0.111111,1.33704,1.33057,1.33378,1.33704,0.598379,0.56284,0.584391,0.588134,0.0336684,0.0102861,0.0218246,0.0336684,0.0225874,0.0,0.0,0.0209054,-9999,-9999
200810,-11.036,0.97043,35.6181,16.528,0.885753,172.737,0.0,1.065,0.97043,96.159,0.0,0.084,1.0,3.914,0.0,-9999,-9999,-9999,-9999,18.2436459176,0.801075268817,-9999,-9999,-9999,-9999,369.12,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.04241,0.0,-9999,-9999,-4.58828,0.0,-9999,-9999,1.05187,0.0,-9999,1.05182,1.05187,1.06504,0.0,0.0,0.0,0.654682,0.654682,0.678141,0.692003,-0.359589,-0.410355,-0.379879,-0.359863,0.0039266,0.00253367,0.0039266,0.00530481,0.00921955,0.0,0.0,0.00877905,-9999,-9999
200811,-17.997,0.0131944,0.116117,0.122,1.0,167.629,0.0,0.667,0.0131944,96.633,0.0,0.163,1.0,3.426,0.0,-9999,-9999,-9999,-9999,0.283333333333,1.0,-9999,-9999,-9999,-9999,368.548,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.16713,0.0,-9999,-9999,-3.04636,0.0,-9999,-9999,1.0628,0.0,-9999,1.06852,1.08147,1.08147,0.0,0.0,0.0,0.325147,0.325147,0.331623,0.359576,-0.723807,-0.749581,-0.733978,-0.721897,0.000791714,0.000794379,0.000810954,0.00149519,0.000151534,0.0,0.0,0.000151534,-9999,-9999
200812,-16.566,0.0,0.0,0.0,1.0,181.851,0.0,0.676,0.0,95.878,0.0,1.165,1.0,4.06,0.0,-9999,-9999,-9999,-9999,0.0,1.0,-9999,-9999,-9999,-9999,367.914,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,6.8443,0.0,-9999,-9999,10.4442,0.0,-9999,-9999,0.763808,0.0,-9999,0.766384,0.800112,0.800112,0.0,0.0,0.0,0.384427,0.384427,0.392895,0.420093,-0.383307,-0.412042,-0.383307,-0.380019,0.00153823,0.00112229,0.00153823,0.00224996,0.0,0.0,0.0,0.0,-9999,-9999
200901,-16.549,0.0,0.0,0.0,1.0,184.298,0.0,0.618,0.0,95.872,0.0,0.442,1.0,3.697,0.0,-9999,-9999,-9999,-9999,0.0,0.999327956989,-9999,-9999,-9999,-9999,367.951,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,6.97218,0.0,-9999,-9999,10.3284,0.0,-9999,-9999,0.766508,0.0,-9999,0.769084,0.801324,0.801324,0.0,0.0,0.0,0.771549,0.529142,0.824153,0.857017,0.0893567,-0.251243,0.0550697,0.0784805,1.04652,0.580626,1.0272,1.04652,0.0,0.0,0.0,0.0,-9999,-9999
200902,-24.506,0.0,11.4698,6.335,0.925595,140.771,0.0,0.302,0.0,97.042,0.0,0.064,1.0,2.812,0.0,-9999,-9999,-9999,-9999,4.61635681155,0.878720238095,-9999,-9999,-9999,-9999,378.079,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.5688,0.0,-9999,-9999,14.7717,0.0,-9999,-9999,-0.0589839,0.0,-9999,-0.0589839,-0.052202,-0.043802,0.0,0.0,0.0,0.402165,0.330861,0.46994,0.498098,0.514364,0.399428,0.527837,0.554396,0.574905,0.187321,0.56429,0.574905,0.285726,0.273228,0.285726,0.285863,-9999,-9999
200903,-22.048,0.0,98.1501,65.351,0.920699,140.417,0.0,0.459,0.0,96.923,0.0,0.013,1.0,3.136,0.0,-9999,-9999,-9999,-9999,107.773578981,0.781586021505,-9999,-9999,-9999,-9999,387.144,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,13.8666,0.0,-9999,-9999,18.6141,0.0,-9999,-9999,-0.745257,0.0,-9999,-0.774349,-0.745257,-0.745257,0.0,0.0,0.0,0.509136,0.398635,0.583017,0.613008,1.28239,1.17298,1.32827,1.36364,0.718316,0.257605,0.705054,0.718316,1.78616,1.73905,1.78616,1.79512,-9999,-9999
200904,-15.712,0.0,248.286,169.208,0.886806,175.403,0.0,0.645,0.0,97.25,0.0,0.0,1.0,2.41,0.0,-9999,-9999,-9999,-9999,381.353652141,0.757638888889,-9999,-9999,-9999,-9999,387.154,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,13.8421,0.0,-9999,-9999,18.3693,0.0,-9999,-9999,-0.744653,0.0,-9999,-0.773361,-0.744653,-0.744653,0.0,0.0,0.0,0.809822,0.55931,0.868596,0.904682,1.57364,1.33267,1.61325,1.64934,1.10205,0.56954,1.08171,1.10205,3.42656,3.3703,3.42656,3.45167,-9999,-9999
200905,-1.624,0.59207,410.792,253.382,0.823925,251.093,0.0,0.877,0.59207,96.623,0.0,0.255,1.0,2.11,0.0,-9999,-9999,-9999,-9999,706.707283915,0.622311827957,-9999,-9999,-9999,-9999,387.002,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.7995,0.0,25.6326,-9999,26.3227,0.0,42.7051,-9999,-1.20873,0.0,-9999,-1.25712,-1.20873,-1.19395,0.0,0.0,0.0,1.43652,1.11581,1.45064,1.45888,2.5908,2.15898,2.65322,2.67421,1.86695,1.53573,1.83248,1.86695,4.59852,4.5318,4.59852,4.63415,-9999,-9999
200906,1.13,1.0,492.434,261.311,0.849306,263.014,0.0,0.959,1.0,97.392,0.0,0.087,1.0,1.489,0.0,-9999,-9999,-9999,-9999,690.764762916,0.559722222222,-9999,-9999,-9999,-9999,387.047,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.8748,0.0,19.5892,-9999,34.2939,0.0,45.1628,-9999,-1.14271,0.0,-9999,-1.21235,-1.14271,-1.1127,0.0,0.0,0.0,1.54399,1.16476,1.54701,1.54878,2.65274,2.48635,2.66273,2.69086,1.99465,1.75333,1.95782,1.99465,4.8644,4.78864,4.8644,4.90094,-9999,-9999
200907,7.488,1.0,456.497,233.63,0.939516,283.524,0.0,3.252,1.0,97.569,0.0,0.826,1.0,2.672,0.0107527,-9999,-9999,-9999,-9999,578.373670654,0.722446236559,-9999,-9999,-9999,-9999,386.672,0.120296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.3888,0.120296,24.2168,0.182738,37.5538,0.120296,49.456,0.596718,-1.66886,0.110887,0.027296,-1.74525,-1.66886,-1.60305,0.111559,0.110887,0.110887,1.76902,1.27874,1.73302,1.74607,3.31554,3.08395,3.39661,3.48306,2.25927,2.22224,2.25927,2.26288,4.51042,4.43219,4.51042,4.54247,-9999,-9999
200908,3.815,1.0,316.06,145.361,0.961022,277.264,0.0,1.664,1.0,97.067,0.0,1.01,1.0,2.212,0.877016,0.147589848116,0.829301075269,-9999,-9999,325.381609651,0.782930107527,-9999,-9999,-9999,-9999,387.77,0.972446,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,12.1341,0.972446,19.6859,0.148196,22.1335,0.972446,35.9088,0.40634,-0.257764,0.790995,0.0155496,-0.265999,-0.257764,-0.222463,0.791667,0.790995,0.780914,1.4735,1.22246,1.46647,1.47266,1.67148,1.52276,1.72006,1.72986,1.64134,1.52352,1.64133,1.76751,1.89483,1.83671,1.89483,1.97306,-9999,-9999
200909,-3.056,1.0,155.703,87.436,0.967361,227.243,0.0,1.344,1.0,95.861,0.0,0.993,1.0,3.146,0.969444,0.172515032139,0.969444444444,-9999,-9999,160.489136262,0.835416666667,-9999,-9999,-9999,-9999,391.593,0.995833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.56865,0.988889,7.33355,0.136886,-4.16816,0.989583,-5.4892,0.476361,0.475674,0.888194,0.00946387,0.449706,0.459957,0.46918,0.863194,0.871528,0.890972,0.568101,0.557444,0.573178,0.602003,0.202428,0.102244,0.117748,0.14104,0.642225,0.642225,0.648055,0.656275,0.169945,0.170169,0.172064,0.178968,-9999,-9999
200910,-13.2,0.768145,38.2852,18.571,0.968414,196.243,0.0,0.732,0.768145,97.057,0.0,0.439,1.0,3.591,0.33871,-9999,-9999,-9999,-9999,23.2388731689,0.860215053763,-9999,-9999,-9999,-9999,393.316,0.561828,-1.404,-0.134,0.015,0.934812,0.934812,0.934812,-9999,1.0,0.726079,0.561828,0.9562,0.0673629,-28.1098,0.561828,-37.0188,0.529475,0.135161,0.531586,0.0103188,0.127155,0.133428,0.140003,0.531586,0.52957,0.52621,0.0912117,0.0895442,0.0912573,0.0917613,-0.0517163,-0.0436933,-0.0422576,-0.0355459,0.300338,0.234981,0.309264,0.360642,0.00537835,0.00544961,0.0057546,0.0223759,-9999,-9999
200911,-18.291,0.0,0.21355,0.167,1.0,166.152,0.0,0.527,0.0,96.405,0.0,0.4,1.0,3.304,0.0,-9999,-9999,-9999,-9999,0.351574074074,0.997916666667,-9999,-9999,-9999,-9999,392.404,0.0,-2.297,-0.176,0.004,0.0,0.0,0.0,-9999,1.0,-0.00527418,0.0,-0.00533483,-9999,-28.6715,0.0,-29.0012,-9999,0.0227527,0.0,-9999,0.00760666,0.0188452,0.0227527,0.0,0.0,0.0,0.0264227,0.0262854,0.026604,0.0271215,0.00931532,0.00598565,0.0129712,0.0192859,0.183368,0.113052,0.197298,0.242754,0.0,0.0,0.0,0.000276268,-9999,-9999
200912,-14.789,0.0,0.0,0.0,1.0,182.446,0.0,0.83,0.0,97.559,0.0,0.987,1.0,3.988,0.0,-9999,-9999,-9999,-9999,0.0,1.0,-9999,-9999,-9999,-9999,392.452,0.0,-2.283,-0.174,0.004,0.000672043,0.000672043,0.000672043,-9999,1.0,-0.00586198,0.0,-0.00771986,-9999,-28.5198,0.0,-37.5588,-9999,0.0260018,0.0,-9999,0.0130227,0.0235557,0.0260018,0.0,0.0,0.0,0.0326366,0.0310061,0.0314404,0.0326366,0.00935053,0.00743483,0.0114971,0.0188136,0.233955,0.142871,0.243275,0.29526,0.0,0.0,0.0,0.0,-9999,-9999
201001,-18.956,0.0,0.0,0.0,1.0,170.055,0.0,0.459,0.0,96.619,0.0,0.918,0.694892,2.917,0.0,-9999,-9999,-9999,-9999,0.0,1.0,-9999,-9999,-9999,-9999,394.012,0.0,-6.047,-4.672,-4.394,0.0,0.0,0.0,-9999,1.0,0.679533,0.0,0.894902,-9999,-15.1805,0.0,-19.9918,-9999,0.0520774,0.0,-9999,0.0478033,0.0506758,0.064873,0.0,0.0,0.0,0.134645,0.103041,0.119213,0.134645,0.0137595,0.0382727,0.0577418,0.0742198,0.0101181,0.00993085,0.0101181,0.0109917,0.0,0.0,0.0,0.0,-9999,-9999
201002,-24.303,0.0,11.4698,5.669,0.890625,129.822,0.0,0.221,0.0,97.761,0.0,0.019,0.0,3.115,0.0,-9999,-9999,-9999,-9999,1.42556792508,0.863095238095,-9999,-9999,-9999,-9999,398.878,0.0,-10.959,-10.715,-10.293,0.0,0.0,0.0,-9999,1.0,3.01734,0.0,3.05204,-9999,1.05593,0.0,1.06807,-9999,-0.0309987,0.0,-9999,-0.0309987,-0.0299641,-0.0277205,0.0,0.0,0.0,0.0300549,0.0199987,0.024673,0.0300549,0.0392324,0.0506741,0.052404,0.0581105,0.00647736,0.00453179,0.00638573,0.00667495,0.0,0.0,0.0,0.0,-9999,-9999
201003,-24.213,0.0,98.1501,64.402,0.834677,128.269,0.0,0.339,0.0,97.349,0.0,0.128,0.0,2.859,0.0,-9999,-9999,-9999,-9999,96.7502854359,0.743951612903,-9999,-9999,-9999,-9999,398.489,0.0,-11.296,-11.044,-10.61,0.0,0.0,0.0,-9999,1.0,2.1869,0.0,-9999,-9999,-1.2369,0.0,-9999,-9999,-0.269857,0.0,-9999,-0.271508,-0.269857,-0.265664,0.0,0.0,0.0,0.0354449,0.0242032,0.0295057,0.0354449,0.292837,0.292606,0.296217,0.306007,0.0065602,0.00643881,0.00646742,0.00676033,0.0,0.0,0.0,0.0,-9999,-9999
201004,-11.88,0.0,248.286,157.312,0.845139,184.488,0.0,1.048,0.0,97.166,0.0,0.294,0.793056,2.812,0.0,-9999,-9999,-9999,-9999,344.108059124,0.699305555556,-9999,-9999,-9999,-9999,398.324,0.0,-11.331,-11.084,-10.637,0.691667,0.691667,0.691667,-9999,1.0,2.4696,0.0,-9999,0.248293,-0.115764,0.0,-9999,0.336915,-0.224704,0.0,-9999,-0.287178,-0.224247,-0.188916,0.0,0.0,0.0,0.419973,0.352608,0.39098,0.413312,0.612808,0.571396,0.618054,0.645924,0.0148024,0.0145285,0.0148024,0.0160805,0.0,0.0,0.0,0.0,-9999,-9999
201005,-2.517,0.692876,410.792,235.058,0.765457,244.888,0.0,1.089,0.692876,97.614,0.0,0.506,1.0,2.383,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,397.523,0.456317,-8.417,-8.862,-8.969,1.0,1.0,1.0,-9999,1.0,3.64899,0.416667,-9999,0.0774424,-0.762095,0.418011,-9999,0.134768,-0.441763,0.295699,-9999,-0.627446,-0.438487,-0.421462,0.264785,0.30578,0.295699,1.15515,1.05937,1.08659,1.13152,1.62839,1.50588,1.56696,1.63058,0.0357995,0.0331105,0.0448399,0.441123,0.39751,0.390628,0.404878,0.762254,-9999,-9999
201006,1.863,0.981944,492.452,269.753,0.824306,268.183,0.0,1.672,0.981944,97.159,0.0,0.443,1.0,1.384,0.0,-9999,-9999,-9999,-9999,742.484713263,0.502083333333,-9999,-9999,-9999,-9999,397.315,0.0,1.283,-2.077,-3.242,1.0,1.0,1.0,-9999,1.0,17.1573,0.0,-9999,0.340549,23.348,0.704861,-9999,0.401515,-2.91235,0.0,0.0645428,-2.94696,-2.93114,-2.90965,0.0,0.0,0.0,1.6608,1.57937,1.5818,1.65423,4.46441,4.46441,4.50845,4.58959,0.122111,0.0850368,0.122111,0.364206,2.47806,2.40831,2.46596,3.19401,-9999,-9999
201007,5.114,0.997984,456.502,271.172,0.800403,259.475,0.0,2.306,0.997984,96.628,0.0,0.016,1.0,1.866,0.0107527,0.164509698681,0.888440860215,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,394.871,0.854839,8.473,1.466,-0.805,0.622984,0.622984,0.622984,-9999,1.0,26.9068,0.852151,43.6528,0.175526,62.7222,0.965054,101.759,0.416906,-4.0412,0.636425,0.0217978,-4.07061,-4.0524,-4.03358,0.645161,0.65121,0.634409,2.0763,1.97904,2.01873,2.08193,5.96434,6.01755,6.05588,6.1402,1.3953,1.21197,1.3953,1.77076,5.52742,5.46964,5.52742,5.90072,-9999,-9999
