TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,-17.914,1.0,0.0,0.0,1.0,151.203,0.0,0.713,1.0,95.794,0.0,0.035,1.0,3.677,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.083,-14.346,-12.579,1.0,1.0,1.0,-9999,-9999,-9999,1.0,0.189691,0.0,-9999,-9999,-1.30865,0.0,-9999,-9999,0.154277,0.0,-9999,0.154277,0.154277,0.154277,0.0,0.0,0.0,0.312119,0.312119,0.312119,0.312119,0.157842,0.157842,0.157842,0.157842,0.355882,0.355882,0.355882,0.355882,0.0,0.0,0.0,0.0,-9999,-9999
200002,-19.537,1.0,12.508,5.935,1.0,160.088,0.0,0.477,1.0,95.774,0.0,0.031,1.0,4.125,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19.658,-17.944,-15.415,1.0,1.0,1.0,-9999,-9999,-9999,1.0,0.20909,0.0,-9999,-9999,-1.33421,0.0,-9999,-9999,0.153012,0.0,-9999,0.153012,0.153012,0.153012,0.0,0.0,0.0,0.268208,0.268208,0.268208,0.268208,0.115196,0.115196,0.115196,0.115196,0.318457,0.318457,0.318457,0.318457,0.0664233,0.0664233,0.0664233,0.0664233,-9999,-9999
200003,-21.101,1.0,102.391,62.422,1.0,138.979,0.0,0.528,1.0,96.934,0.0,0.023,1.0,3.358,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.216,-15.715,-14.22,1.0,1.0,1.0,-9999,-9999,-9999,1.0,0.187183,0.0,-9999,-9999,-1.13345,0.0,-9999,-9999,0.180657,0.0,-9999,0.180657,0.180657,0.180657,0.0,0.0,0.0,0.221893,0.221893,0.221893,0.221893,0.0412357,0.0412357,0.0412357,0.0412357,0.286758,0.286758,0.286758,0.286758,0.39039,0.39039,0.39039,0.39039,-9999,-9999
200004,-16.1,1.0,253.815,177.898,0.99375,164.144,0.0,0.681,1.0,97.39,0.0,0.013,1.0,2.102,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.812,-15.57,-14.538,1.0,1.0,1.0,-9999,-9999,-9999,1.0,0.889378,0.0,-9999,-9999,0.211112,0.0,-9999,-9999,0.175297,0.0,-9999,0.175297,0.175297,0.175297,0.0,0.0,0.0,0.34646,0.34646,0.34646,0.34646,0.171163,0.171163,0.171163,0.171163,0.397205,0.397205,0.397205,0.397205,0.756798,0.756798,0.756798,0.756798,-9999,-9999
200005,-5.451,1.0,415.236,270.44,0.995296,223.945,0.0,1.199,1.0,96.82,0.0,0.658,0.99328,2.252,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.505,-10.008,-11.346,1.0,1.0,1.0,-9999,-9999,-9999,1.0,4.74479,0.021505,-9999,0.434807,8.93716,0.022177,-9999,0.465907,0.08613,0.00336022,0.0154362,0.08613,0.08613,0.08613,0.00336022,0.00336022,0.00336022,0.63634,0.63634,0.63634,0.63634,0.55021,0.55021,0.55021,0.55021,0.618608,0.618608,0.618608,0.618608,1.05211,1.05211,1.05211,1.05211,-9999,-9999
200006,1.956,1.0,493.136,292.421,0.998611,247.234,0.0,1.682,1.0,97.125,0.0,0.327,1.0,1.891,0.790972,0.123016471944,0.781944444444,-9999,-9999,-9999,-9999,-9999,-9999,368.478,0.952778,3.483,1.455,-3.348,1.0,1.0,1.0,42.516,0.73125,-9999,1.0,27.5194,0.951389,-9999,0.431472,45.0444,0.951389,-9999,0.749015,0.0351014,0.910417,0.00669227,0.0351014,0.0351014,0.0351014,0.910417,0.910417,0.910417,0.835318,0.835318,0.835318,0.835318,0.800216,0.800216,0.800216,0.800216,0.749129,0.749129,0.749129,0.749129,1.12129,1.12129,1.12129,1.12129,-9999,-9999
200007,5.31,1.0,453.417,227.179,1.0,268.509,0.0,2.692,1.0,96.805,0.0,0.426,1.0,2.407,0.932124,0.171261431517,0.913978494624,-9999,-9999,-9999,-9999,-9999,-9999,362.113,1.0,8.651,7.47,1.266,1.0,1.0,1.0,34.582,1.0,-9999,1.0,30.3789,1.0,-9999,0.308143,68.9727,1.0,-9999,0.500647,-0.614157,1.0,0.00956219,-0.614157,-0.614157,-0.614157,1.0,1.0,1.0,0.920471,0.920471,0.920471,0.920471,1.53463,1.53463,1.53463,1.53463,0.801665,0.801665,0.801665,0.801665,0.959743,0.959743,0.959743,0.959743,-9999,-9999
200008,4.007,1.0,310.595,152.469,1.0,255.248,0.0,2.187,1.0,96.704,0.0,0.0,0.908602,1.837,0.766129,0.131242303223,0.747311827957,-9999,-9999,-9999,-9999,-9999,-9999,357.29,0.962366,5.955,5.661,2.014,1.0,1.0,1.0,34.617,0.962366,-9999,1.0,18.3172,0.962366,-9999,0.213048,41.0493,0.962366,-9999,0.521308,0.059659,0.953629,0.0112708,0.059659,0.059659,0.059659,0.953629,0.953629,0.953629,0.747617,0.747617,0.747617,0.747617,0.687958,0.687958,0.687958,0.687958,0.735703,0.735703,0.735703,0.735703,0.638542,0.638542,0.638542,0.638542,-9999,-9999
200009,-1.979,1.0,151.015,70.903,1.0,239.48,0.0,1.141,1.0,96.367,0.0,0.187,1.0,2.319,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,357.647,0.00833333,-0.582,1.144,0.89,1.0,1.0,1.0,34.309,0.00833333,-9999,1.0,6.98485,0.008333,-9999,0.317899,11.9422,0.008333,-9999,0.875605,0.317197,0.0,0.0189044,0.317197,0.317197,0.317197,0.0,0.0,0.0,0.504285,0.504285,0.504285,0.504285,0.187088,0.187088,0.187088,0.187088,0.43621,0.43621,0.43621,0.43621,0.366559,0.366559,0.366559,0.366559,-9999,-9999
200010,-9.641,1.0,35.6672,14.239,1.0,222.632,0.0,0.77,1.0,96.189,0.0,0.187,1.0,3.332,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,358.302,0.0,-4.946,-2.834,-1.199,1.0,1.0,1.0,34.44,0.0,-9999,1.0,2.73168,0.0,-9999,-9999,-7.61523,0.0,-9999,-9999,0.568271,0.0,-9999,0.568271,0.568271,0.568271,0.0,0.0,0.0,0.358416,0.358416,0.358416,0.358416,-0.209855,-0.209855,-0.209855,-0.209855,0.140985,0.140985,0.140985,0.140985,0.133468,0.133468,0.133468,0.133468,-9999,-9999
200011,-17.542,1.0,0.118214,0.359,1.0,171.839,0.0,0.5,1.0,97.048,0.0,0.07,1.0,3.154,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,357.044,0.0,-12.426,-10.482,-7.216,1.0,1.0,1.0,34.456,0.0,-9999,1.0,13.2911,0.0,-9999,-9999,23.3236,0.0,-9999,-9999,0.45428,0.0,-9999,0.45428,0.45428,0.45428,0.0,0.0,0.0,0.21088,0.21088,0.21088,0.21088,-0.2434,-0.2434,-0.2434,-0.2434,0.0249795,0.0249795,0.0249795,0.0249795,0.00544622,0.00544622,0.00544622,0.00544622,-9999,-9999
200012,-22.953,1.0,0.0,0.0,1.0,137.874,0.0,0.406,1.0,97.205,0.0,0.013,1.0,2.948,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,356.468,0.0,-15.515,-13.537,-10.225,1.0,1.0,1.0,34.464,0.0,-9999,1.0,18.0881,0.0,-9999,-9999,37.2876,0.0,-9999,-9999,0.393322,0.0,-9999,0.393322,0.393322,0.393322,0.0,0.0,0.0,0.122211,0.122211,0.122211,0.122211,-0.271111,-0.271111,-0.271111,-0.271111,0.00674611,0.00674611,0.00674611,0.00674611,0.0,0.0,0.0,0.0,-9999,-9999
200101,-20.531,1.0,0.0,0.0,1.0,177.7,0.0,0.401,1.0,96.169,0.0,0.013,1.0,3.115,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,365.436,0.0,-16.186,-14.605,-12.07,1.0,1.0,1.0,37.436,0.0,-9999,1.0,10.7597,0.0,-9999,-9999,19.0983,0.0,-9999,-9999,0.223555,0.0,-9999,0.223555,0.223555,0.223555,0.0,0.0,0.0,0.0290498,0.0290498,0.0290498,0.0290498,-0.194505,-0.194505,-0.194505,-0.194505,0.163191,0.163191,0.163191,0.163191,0.0,0.0,0.0,0.0,-9999,-9999
200102,-21.097,1.0,11.4992,6.205,1.0,155.645,0.0,0.356,1.0,96.77,0.0,0.146,1.0,3.087,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,373.901,0.0,-15.001,-13.565,-11.805,1.0,1.0,1.0,45.286,0.0,-9999,1.0,4.02397,0.0,-9999,-9999,1.74482,0.0,-9999,-9999,0.0674989,0.0,-9999,0.0674989,0.0674989,0.0674989,0.0,0.0,0.0,0.0440045,0.0440045,0.0440045,0.0440045,-0.0234943,-0.0234943,-0.0234943,-0.0234943,0.170248,0.170248,0.170248,0.170248,0.0927879,0.0927879,0.0927879,0.0927879,-9999,-9999
200103,-23.668,1.0,98.2095,60.612,0.998656,147.696,0.0,0.343,1.0,97.454,0.0,0.094,1.0,3.049,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,374.052,0.0,-15.675,-14.281,-12.555,1.0,1.0,1.0,45.288,0.0,-9999,1.0,3.28271,0.0,-9999,-9999,2.41196,0.0,-9999,-9999,0.0650364,0.0,-9999,0.0650364,0.0650364,0.0650364,0.0,0.0,0.0,0.0126056,0.0126056,0.0126056,0.0126056,-0.0524307,-0.0524307,-0.0524307,-0.0524307,0.107288,0.107288,0.107288,0.107288,0.612784,0.612784,0.612784,0.612784,-9999,-9999
200104,-19.505,1.0,248.324,177.563,0.994444,154.471,0.0,0.528,1.0,97.11,0.0,0.11,1.0,2.087,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,375.597,0.0,-15.051,-13.783,-12.608,1.0,1.0,1.0,44.454,0.0,-9999,1.0,2.26449,0.0,-9999,-9999,-0.849493,0.0,-9999,-9999,0.131261,0.0,-9999,0.131261,0.131261,0.131261,0.0,0.0,0.0,0.0244897,0.0244897,0.0244897,0.0244897,-0.106772,-0.106772,-0.106772,-0.106772,0.175478,0.175478,0.175478,0.175478,1.28703,1.28703,1.28703,1.28703,-9999,-9999
200105,-6.328,1.0,410.789,270.787,0.985887,217.512,0.0,0.921,1.0,97.114,0.0,0.265,1.0,1.803,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,375.105,0.0,-10.647,-9.858,-10.627,1.0,1.0,1.0,44.645,0.0,-9999,1.0,3.19039,0.0,-9999,0.136089,2.02987,0.0,-9999,0.342631,0.148533,0.0,0.0115184,0.148533,0.148533,0.148533,0.0,0.0,0.0,0.224148,0.224148,0.224148,0.224148,0.0756152,0.0756152,0.0756152,0.0756152,0.525237,0.525237,0.525237,0.525237,1.79474,1.79474,1.79474,1.79474,-9999,-9999
200106,2.058,1.0,492.443,291.14,0.996528,256.491,0.0,1.687,1.0,97.131,0.0,1.179,0.975,2.097,0.716667,0.124874914656,0.688888888889,-9999,-9999,-9999,-9999,-9999,-9999,376.592,0.929861,1.951,0.985,-3.308,1.0,1.0,1.0,44.146,0.433333,-9999,1.0,15.8812,0.920139,-9999,0.392599,15.9923,0.927778,-9999,0.672154,0.304085,0.881944,0.00710738,0.304085,0.304085,0.304085,0.881944,0.881944,0.881944,0.58082,0.58082,0.58082,0.58082,0.276735,0.276735,0.276735,0.276735,0.796198,0.796198,0.796198,0.796198,1.91795,1.91795,1.91795,1.91795,-9999,-9999
200107,4.915,1.0,456.495,227.724,0.995296,266.868,0.0,2.445,1.0,96.853,0.0,0.129,0.995968,2.516,0.987903,0.171508505519,0.98252688172,-9999,-9999,-9999,-9999,-9999,-9999,369.762,0.999328,8.569,7.358,1.238,1.0,0.998656,1.0,36.07,1.0,-9999,1.0,29.9026,0.997984,-9999,0.338875,67.7694,0.999328,-9999,0.541436,-0.295102,0.997312,0.0109211,-0.295102,-0.295102,-0.295102,0.997312,0.997312,0.997312,0.757615,0.757615,0.757615,0.757615,1.05272,1.05272,1.05272,1.05272,0.89651,0.89651,0.89651,0.89651,1.5736,1.5736,1.5736,1.5736,-9999,-9999
200108,5.843,1.0,316.075,160.167,0.922715,270.509,0.0,2.143,1.0,96.654,0.0,0.684,0.983871,2.386,0.875,0.138759709707,0.858198924731,-9999,-9999,-9999,-9999,-9999,-9999,357.188,0.99328,7.235,6.658,2.316,0.999328,1.0,0.999328,35.161,1.0,-9999,1.0,16.9097,0.99328,-9999,0.224271,33.0858,1.0,-9999,0.413141,0.179773,0.985215,0.0101811,0.179773,0.179773,0.179773,0.985215,0.985215,0.985215,1.02812,1.02812,1.02812,1.02812,0.848346,0.848346,0.848346,0.848346,0.627016,0.627016,0.627016,0.627016,0.55338,0.55338,0.55338,0.55338,-9999,-9999
200109,-0.381,1.0,155.758,79.603,0.903472,215.242,0.0,1.672,1.0,96.849,0.0,0.34,1.0,2.663,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,361.717,0.00347222,-0.506,1.322,1.03,1.0,1.0,1.0,35.392,0.0534722,-9999,1.0,7.51052,0.004861,-9999,0.341078,4.38704,0.048611,-9999,0.515431,0.691858,0.0104167,0.0209492,0.691858,0.691858,0.691858,0.0104167,0.0104167,0.0104167,0.824782,0.824782,0.824782,0.824782,0.132924,0.132924,0.132924,0.132924,0.786549,0.786549,0.786549,0.786549,0.317098,0.317098,0.317098,0.317098,-9999,-9999
200110,-9.329,1.0,38.3354,14.862,0.995968,177.721,0.0,0.797,1.0,96.382,0.0,0.09,1.0,3.014,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,361.749,0.0,-7.774,-5.01,-2.0,1.0,1.0,1.0,35.504,0.0,-9999,1.0,7.33694,0.0,-9999,-9999,-7.04436,0.0,-9999,-9999,1.10082,0.0,-9999,1.10082,1.10082,1.10082,0.0,0.0,0.0,0.308406,0.308406,0.308406,0.308406,-0.79241,-0.79241,-0.79241,-0.79241,0.327786,0.327786,0.327786,0.327786,0.0597685,0.0597685,0.0597685,0.0597685,-9999,-9999
200111,-16.456,1.0,0.216524,0.211,1.0,169.272,0.0,0.617,1.0,95.807,0.0,0.013,1.0,3.783,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,362.323,0.0,-15.365,-12.828,-9.455,1.0,1.0,1.0,35.694,0.0,-9999,1.0,10.4808,0.0,-9999,-9999,-3.21232,0.0,-9999,-9999,1.22558,0.0,-9999,1.22558,1.22558,1.22558,0.0,0.0,0.0,0.0994835,0.0994835,0.0994835,0.0994835,-1.1261,-1.1261,-1.1261,-1.1261,0.117172,0.117172,0.117172,0.117172,0.000854217,0.000854217,0.000854217,0.000854217,-9999,-9999
200112,-13.227,1.0,0.0,0.0,1.0,183.724,0.0,0.751,1.0,96.528,0.0,0.039,1.0,4.047,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,362.389,0.0,-10.393,-9.207,-8.417,1.0,1.0,1.0,35.738,0.0,-9999,1.0,12.4457,0.0,-9999,-9999,2.0521,0.0,-9999,-9999,1.16696,0.0,-9999,1.16696,1.16696,1.16696,0.0,0.0,0.0,0.19896,0.19896,0.19896,0.19896,-0.967998,-0.967998,-0.967998,-0.967998,0.217792,0.217792,0.217792,0.217792,0.0,0.0,0.0,0.0,-9999,-9999
