TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,9.24,0.0,174.622,80.218,0.0,297.509,0.0,3.452,0.0,101.169,0.0,3.082,0.0,2.612,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,47.3349,0.0,-9999,-9999,96.9405,0.0,-9999,-9999,3.82222,0.0,-9999,3.7416,3.82287,3.83702,0.0,0.0,0.0,2.30804,2.30804,2.30804,2.30804,-1.62589,-1.55264,-1.52387,-1.43681,1.57884,1.55695,1.59913,5.60919,3.21564,2.99613,3.21564,4.83122,-9999,-9999
200402,10.482,0.0,237.353,112.275,0.0,303.469,0.0,3.576,0.0,101.906,0.0,2.589,0.0,2.645,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,47.693,0.0,-9999,-9999,97.0394,0.0,-9999,-9999,3.82404,0.0,-9999,3.74482,3.82474,3.83993,0.0,0.0,0.0,2.51806,2.51806,2.51806,2.51806,-1.40294,-1.34229,-1.31555,-1.22857,1.77251,1.71425,1.79509,6.13975,4.36698,4.09209,4.36698,5.83065,-9999,-9999
200403,12.128,0.0,323.056,167.705,0.0,311.014,0.0,4.079,0.0,101.933,0.0,3.914,0.0,2.22,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,47.3349,0.0,-9999,-9999,96.9405,0.0,-9999,-9999,3.82222,0.0,-9999,3.7416,3.82287,3.83702,0.0,0.0,0.0,2.81098,2.81098,2.81098,2.81098,-1.08338,-1.04112,-1.02094,-0.933872,2.05262,1.91651,2.07849,6.88283,6.22425,5.88232,6.21945,7.09362,-9999,-9999
200404,15.706,0.00694444,405.199,201.106,0.00763889,334.069,0.0,4.189,0.0,101.274,0.0,4.681,0.0,2.092,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,48.32,0.006944,-9999,-9999,96.9214,0.006944,-9999,-9999,3.82475,0.0,-9999,3.74472,3.82542,3.8419,0.0,0.0,0.0,3.47383,3.47383,3.47383,3.47383,-0.360921,-0.369861,-0.356168,-0.273409,2.70087,2.37465,2.73428,8.56897,7.3787,6.98716,7.37137,8.15035,-9999,-9999
200405,14.105,0.981855,462.707,246.263,0.981183,328.466,0.0,5.503,0.0,101.419,0.0,4.588,1.0,2.874,0.726478,-9999,-9999,130.915343568,0.954301075269,558.032150724,0.963037634409,-9999,-9999,57.3270400794,0.963709677419,39.3289772202,0.739919354839,-9999,-9999,385.922,0.981855,20.967,19.225,-9999,-9999,0.979839,0.979839,-9999,-9999,29.373,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,57.9072,0.979167,-9999,-9999,66.2372,0.980511,-9999,-9999,2.79403,0.62836,-9999,2.7949,2.80088,2.80758,0.62836,0.634409,0.641801,3.18317,3.17577,3.18305,3.18317,0.348498,0.367191,0.38217,0.383779,2.3989,2.16439,2.42881,7.79419,8.75177,8.33345,8.7376,8.85609,-9999,-9999
200406,20.473,1.0,486.322,263.117,0.996528,356.341,0.0,7.417,0.0,101.576,0.472222,1.761,1.0,1.675,0.835417,0.295064741673,0.530555555556,158.94210611,0.99375,588.791968785,0.99375,-9999,-9999,28.7813112569,0.994444444444,49.6076524965,0.994444444444,-9999,-9999,401.634,0.999306,24.674,23.328,-9999,-9999,0.994444,0.994444,-9999,-9999,25.946,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,87.668,0.999306,-9999,-9999,43.9427,0.999306,-9999,-9999,-3.75381,0.997917,-9999,-3.79969,-3.75381,-3.70289,0.999306,0.997917,0.997917,8.30259,8.19872,8.24401,8.34547,12.1082,11.979,12.0078,12.0366,7.86907,7.91403,7.94812,8.74825,12.4835,12.4835,12.5421,12.6196,-9999,-9999
200407,22.876,1.0,472.763,278.498,1.0,359.171,0.0,10.289,0.0,101.472,0.764785,0.295,1.0,1.381,0.992608,0.329426156734,0.657930107527,171.137107668,1.0,614.077051411,1.0,-9999,-9999,30.6096331653,1.0,60.8610805346,1.0,-9999,-9999,386.071,1.0,26.36,26.198,-9999,-9999,1.0,1.0,-9999,-9999,20.247,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,85.3064,1.0,-9999,-9999,39.3673,1.0,-9999,-9999,-5.6403,1.0,-9999,-5.65381,-5.64326,-5.59803,1.0,1.0,1.0,8.8033,8.83368,8.9091,9.029,14.6371,14.4775,14.5527,14.6371,8.22327,8.34039,8.48795,8.58732,13.9245,13.9897,14.0999,14.1711,-9999,-9999
200408,22.682,1.0,424.167,249.112,1.0,358.732,0.0,8.714,0.0,101.402,0.992608,1.131,1.0,1.613,0.992608,-9999,-9999,159.551939516,1.0,567.444732527,1.0,-9999,-9999,34.9021935484,1.0,48.0155918525,1.0,-9999,-9999,366.838,1.0,25.354,25.326,-9999,-9999,1.0,1.0,-9999,-9999,19.055,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,74.8873,1.0,-9999,-9999,31.5513,1.0,-9999,-9999,-5.39867,1.0,-9999,-5.40598,-5.40411,-5.40055,1.0,1.0,1.0,6.2972,6.29685,6.29924,6.31727,11.7891,11.7,11.7044,11.7188,5.45306,5.39487,5.4783,5.50887,11.0771,11.0799,11.1102,11.1429,-9999,-9999
200409,20.674,1.0,350.144,181.419,0.993056,347.232,0.0,6.759,0.0,101.702,0.726389,2.887,1.0,2.457,0.754167,-9999,-9999,102.974124668,0.998611111111,391.98669274,0.995833333333,-9999,-9999,47.8997011525,0.998611111111,43.1716023148,0.5125,-9999,-9999,379.675,1.0,23.497,24.909,-9999,-9999,0.981944,0.0638889,-9999,-9999,17.461,-9999,-9999,-9999,0.0534722,-9999,-9999,-9999,-9999,1.0,40.9229,1.0,-9999,-9999,46.2927,1.0,-9999,-9999,4.3247,0.999306,-9999,4.29419,4.31298,4.33628,0.999306,0.999306,0.999306,3.97842,3.95302,3.96948,3.9871,-0.33035,-0.349179,-0.343399,-0.334561,4.64386,4.4566,4.606,4.81804,0.0396492,0.0192207,0.0951391,0.196466,-9999,-9999
200410,18.552,0.827285,264.617,127.318,0.864247,346.288,0.0,4.756,0.0,101.769,0.603495,4.745,0.847446,1.777,0.597446,-9999,-9999,61.108962741,0.831317204301,253.7541487,0.813844086022,-9999,-9999,22.6080429655,0.817204301075,24.0643818364,0.823924731183,-9999,-9999,399.652,0.881048,20.601,24.956,-9999,-9999,0.870968,0.0,-9999,-9999,20.85,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,1.0,26.5463,0.870968,-9999,-9999,21.8961,0.879704,-9999,-9999,1.38186,0.784946,-9999,1.38186,1.39504,1.40529,0.784946,0.784946,0.787634,2.65389,2.65389,2.65389,2.65389,1.32187,1.2486,1.26524,1.27776,2.23671,2.07994,2.23671,2.26735,0.94744,0.908284,0.94744,0.959717,-9999,-9999
200411,12.986,0.643056,191.402,76.681,0.649306,320.022,0.0,4.073,0.0,101.548,0.761111,5.05,0.573611,2.911,0.976389,-9999,-9999,29.0417203615,0.556944444444,169.333329683,0.553472222222,-9999,-9999,11.5425076588,0.55625,20.0256925355,0.55625,-9999,-9999,386.942,1.0,13.527,24.671,-9999,-9999,0.644444,0.0,-9999,-9999,22.409,-9999,-9999,-9999,0.422917,-9999,-9999,-9999,-9999,1.0,36.002,0.888194,-9999,-9999,-16.6425,0.933333,-9999,-9999,-0.382422,0.759028,-9999,-0.412823,-0.405648,-0.394986,0.753472,0.763194,0.763194,1.62254,1.62254,1.62254,1.62254,2.06235,2.01225,2.02819,2.04082,3.07033,1.30806,2.82343,3.54573,2.40898,1.71362,2.23799,2.40559,-9999,-9999
200412,12.155,0.765457,157.16,57.672,0.768817,325.985,0.0,3.312,0.0,101.759,0.797043,4.13,0.732527,3.198,0.715054,-9999,-9999,6.82919056519,0.702956989247,128.4852095,0.701612903226,-9999,-9999,8.05602668164,0.702284946237,16.2532047448,0.702956989247,-9999,-9999,374.42,1.0,11.646,24.65,-9999,-9999,0.765457,0.0,-9999,-9999,23.941,-9999,-9999,-9999,0.765457,-9999,-9999,-9999,-9999,1.0,31.8742,0.90121,-9999,-9999,-27.5261,0.962366,-9999,-9999,-1.18067,0.801075,-9999,-1.19023,-1.18623,-1.16586,0.802419,0.797715,0.808468,1.11434,1.11301,1.11465,1.11465,2.32106,2.2845,2.30056,2.30487,1.39508,1.39508,1.42317,1.46414,2.18316,2.15176,2.1612,2.17163,-9999,-9999
200501,7.919,1.0,174.622,69.159,1.0,292.04,0.0,3.391,0.0,102.102,0.674059,6.178,0.999328,2.419,0.725806,-9999,-9999,12.4511534117,0.998655913978,141.500012368,0.998655913978,-9999,-9999,9.14876025845,0.997311827957,20.2925127688,1.0,-9999,-9999,384.245,1.0,7.787,24.648,-9999,-9999,1.0,0.0,-9999,-9999,25.941,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,1.0,26.3405,1.0,-9999,-9999,-17.1382,1.0,-9999,-9999,-1.08161,1.0,-9999,-1.10582,-1.08421,-1.06445,1.0,1.0,1.0,0.849945,0.847984,0.849733,0.852249,1.93381,1.90743,1.9342,1.95433,0.91191,0.914406,0.957963,0.977379,2.19153,2.13545,2.15708,2.1665,-9999,-9999
200502,6.839,0.995536,235.974,98.494,0.997024,297.427,0.0,3.331,0.0,101.428,0.36756,6.795,1.0,3.193,0.763393,-9999,-9999,25.5955958376,0.997767857143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,387.141,1.0,6.395,24.648,-9999,-9999,0.995536,0.0,-9999,-9999,28.853,-9999,-9999,-9999,0.995536,-9999,-9999,-9999,-9999,1.0,34.8849,0.999256,-9999,-9999,-12.8046,1.0,-9999,-9999,-1.53965,0.997768,-9999,-1.5628,-1.53902,-1.49327,0.998512,0.997768,0.997024,0.945042,0.940356,0.947911,0.951874,2.4579,2.44791,2.47307,2.50551,2.06906,1.59891,2.0698,2.16911,3.30405,2.87916,3.18987,3.2364,-9999,-9999
200503,10.594,1.0,320.142,164.423,0.991263,309.683,0.0,4.02,0.0,101.849,0.439516,2.384,0.99664,2.315,0.995296,0.315815672115,0.541666666667,73.5001974054,0.993951612903,351.784455275,0.644489247312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,385.237,1.0,10.404,24.65,-9999,-9999,0.994624,0.0,-9999,-9999,26.581,-9999,-9999,-9999,0.991263,-9999,-9999,-9999,-9999,1.0,46.0388,0.999328,-9999,-9999,13.8829,0.999328,-9999,-9999,-2.7801,0.995968,-9999,-2.8211,-2.79992,-2.75676,0.995968,0.995968,0.995968,2.08618,2.06502,2.08055,2.0906,4.77199,4.82442,4.85751,4.9026,2.61648,2.43481,2.54364,2.62382,5.22966,5.15931,5.1893,5.21917,-9999,-9999
200504,13.656,1.0,402.819,204.799,1.0,318.982,0.0,5.048,0.0,101.53,0.0,2.548,0.915278,2.054,0.727778,-9999,-9999,117.311000306,0.908333333333,441.040002864,0.989583333333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,395.679,1.0,14.15,24.649,-9999,-9999,0.838889,0.0,-9999,-9999,21.518,-9999,-9999,-9999,0.218056,-9999,-9999,-9999,-9999,1.0,59.1125,1.0,-9999,-9999,30.4452,1.0,-9999,-9999,-2.45072,1.0,-9999,-2.46446,-2.45368,-2.44713,1.0,1.0,1.0,2.93912,2.89398,2.9356,2.95675,5.3958,5.35587,5.38849,5.40285,3.58952,3.39396,3.44298,3.53831,5.71171,5.73039,5.87129,6.12522,-9999,-9999
200505,19.165,1.0,461.328,232.554,1.0,340.532,0.0,6.98,0.0,101.883,0.772177,1.729,1.0,2.38,0.765457,-9999,-9999,132.609063867,0.976478494624,524.719662587,0.967069892473,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,372.534,1.0,17.798,24.648,-9999,-9999,0.866935,0.0,-9999,-9999,28.308,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,1.0,48.3938,0.99328,-9999,1.70557,70.1374,1.0,-9999,1.29004,4.31154,1.0,0.047481,4.30347,4.31154,4.32894,1.0,1.0,1.0,4.37118,4.33672,4.35928,4.37588,0.0650486,0.00963883,0.047358,0.0643438,5.29645,4.73493,5.29515,5.35355,0.234642,0.0737075,0.109423,0.22208,-9999,-9999
