TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,6.632,0.0,161.293,65.237,0.0,312.905,0.0,2.073,0.0,99.009,0.0,1.918,0.0,2.013,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.3976,0.0,78.8959,-9999,47.4293,0.0,52.4105,-9999,-2.53376,0.0,-9999,-2.81216,-2.47557,-2.33523,0.0,0.0,0.0,2.77235,2.77747,2.79493,2.90325,5.53652,5.1139,5.3412,5.71671,4.40776,4.10944,4.40336,4.46472,3.90643,2.72486,2.88396,3.91735,-9999,-9999
201102,7.022,0.0,223.48,118.302,0.0,298.142,0.0,3.076,0.0,98.835,0.0,1.164,0.0,2.409,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1942,0.0,-9999,-9999,48.3166,0.0,-9999,-9999,-2.54201,0.0,-9999,-2.81794,-2.48535,-2.33869,0.0,0.0,0.0,2.8313,2.83192,2.85203,2.96395,5.6071,5.17232,5.41226,5.78552,4.43914,4.17521,4.43471,4.52092,5.83991,4.15051,4.33355,5.87487,-9999,-9999
201103,9.555,0.0,310.135,161.496,0.0,319.316,0.0,3.517,0.0,99.204,0.0,3.828,0.0,2.58,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.14692,0.273522,71.0637,0.0,-9999,-9999,48.1784,0.0,-9999,-9999,-2.54332,0.0,-9999,-2.82185,-2.48556,-2.3392,0.0,0.0,0.0,3.23133,3.2212,3.25565,3.37502,6.03014,5.54765,5.82853,6.19497,4.63286,4.60731,4.62823,4.8353,7.05819,5.05781,5.24601,7.11284,-9999,-9999
201104,14.584,0.0,396.783,228.113,0.0,335.042,0.0,6.725,0.0,98.876,0.0,1.205,0.0,1.898,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.90805,0.0,71.2193,0.0,66.8976,-9999,47.9634,0.0,45.0529,-9999,-2.53962,0.0,-9999,-2.81729,-2.48205,-2.33749,0.0,0.0,0.0,4.06044,3.99419,4.09241,4.22472,6.89703,6.31417,6.68718,7.0337,4.993,4.98802,5.21118,5.30761,8.79049,6.26771,6.4636,8.82666,-9999,-9999
201105,18.012,0.0134409,459.295,290.457,0.0,345.877,0.0,9.068,0.0127688,98.99,0.0,1.177,0.0,2.097,0.0120968,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.91598,0.0,71.1116,0.008737,73.5049,1.1072,47.0865,0.011425,48.6712,1.16636,-2.53228,0.00201613,0.213639,-2.81216,-2.47427,-2.33359,0.0,0.0047043,0.00537634,4.64977,4.53484,4.68734,4.83755,7.50571,6.84912,7.28139,7.62659,5.21842,5.21321,5.44844,5.99808,10.0619,7.09466,7.29031,10.0814,-9999,-9999
201106,20.962,0.809722,486.271,299.186,0.790972,370.788,0.0,8.754,0.809722,98.863,0.0,1.682,0.783333,1.749,0.938194,0.256727204818,0.711805555556,162.414596495,0.766666666667,580.940977355,0.766666666667,54.2139328986,0.766666666667,-9999,-9999,397.014,0.809722,23.344,23.18,22.14,-9999,0.789583,0.789583,0.789583,-9999,48.927,36.883,42.564,-9999,0.789583,0.789583,0.789583,-9999,6.35964,0.789583,116.657,0.966667,120.583,0.633383,27.2784,0.965972,28.1965,0.556091,-4.56531,0.710417,0.0701351,-4.65105,-4.62161,-4.60595,0.719444,0.713889,0.710417,4.74539,4.66026,4.88274,5.00385,9.5837,9.31727,9.49084,9.59151,4.61024,4.66076,4.75182,5.81339,10.2481,9.04967,9.12409,10.4302,-9999,-9999
201107,21.994,0.83871,473.003,284.719,0.84207,373.055,0.557796,8.853,0.83871,98.568,0.0,4.53,0.376344,1.496,0.768817,0.298245777869,0.692876344086,154.531920132,0.817204301075,511.374463109,0.815860215054,47.8410529643,0.817204301075,-9999,-9999,400.913,0.83871,23.446,23.605,23.107,-9999,0.840054,0.840054,0.840054,-9999,48.668,39.832,43.41,-9999,0.840054,0.840054,0.840054,-9999,3.77819,0.840054,128.859,0.83871,135.579,0.78414,15.5573,0.835349,16.3687,0.644898,-5.88552,0.771505,0.067478,-5.98732,-5.94722,-5.92752,0.783602,0.771505,0.764785,4.86645,4.86645,4.97606,5.06233,10.9476,10.84,10.9076,10.9701,5.93561,5.85644,5.93561,6.50249,12.1848,11.9835,12.0356,12.289,-9999,-9999
201108,24.661,0.997984,422.01,283.436,0.888441,377.832,0.885753,15.316,0.997984,98.87,0.0,0.155,0.952285,1.641,0.527554,0.278868757086,0.512768817204,148.360420145,0.856182795699,516.900857075,0.854838709677,51.3583039964,0.856182795699,451.966386019,0.856182795699,393.191,0.997984,24.421,24.46,23.687,-9999,0.885753,0.885753,0.885753,-9999,39.256,33.496,37.579,-9999,0.885081,0.885081,0.885081,-9999,0.210031,0.885753,84.3275,0.955645,83.7928,0.671805,61.0721,0.96707,60.6848,0.728897,-1.91873,0.711022,0.0602705,-2.05511,-2.03682,-1.87294,0.724462,0.724462,0.705645,4.01123,4.01123,4.02597,4.04103,5.9447,5.91006,6.0208,6.06726,2.84922,2.62738,2.77619,2.98968,5.2193,4.93147,5.20583,5.31299,-9999,-9999
201109,22.09,0.90625,344.568,214.759,0.911806,367.166,0.909028,11.003,0.90625,98.984,0.0,4.008,1.0,1.909,0.690278,0.295048979583,0.648611111111,102.83562681,0.879861111111,378.848621142,0.884722222222,36.2333381057,0.884027777778,436.808020477,0.884722222222,391.347,0.905556,21.576,21.997,21.985,-9999,0.909028,0.909028,0.909028,-9999,42.28,35.934,39.788,-9999,0.909028,0.908333,0.908333,-9999,1.03986,0.909028,47.0241,0.902083,49.3605,0.469808,51.4303,0.896528,53.9856,0.590062,-0.243176,0.739583,0.0326417,-0.226154,-0.203576,-0.16657,0.738889,0.81875,0.811806,2.57614,2.20031,2.5091,2.5747,2.4372,2.42646,2.71665,2.76412,1.86763,1.8895,1.956,2.12814,2.75138,2.58475,2.66588,2.72375,-9999,-9999
201110,15.284,0.998656,255.89,154.441,1.0,329.757,1.0,6.276,0.998656,99.29,0.602151,1.277,1.0,2.357,0.698253,0.35240879099,0.665994623656,61.6146895161,1.0,269.450369624,1.0,27.0031633065,1.0,399.980502016,1.0,393.862,0.998656,15.809,16.415,17.004,-9999,1.0,1.0,1.0,-9999,40.818,36.713,40.238,-9999,1.0,1.0,1.0,-9999,-1.50968,1.0,48.1299,0.997312,55.2174,0.383312,6.88964,0.998656,7.90419,0.499456,-0.791263,0.961694,0.0234995,-0.813349,-0.81016,-0.803396,0.983871,0.983871,0.96707,2.52237,2.50862,2.52783,2.54002,3.33343,3.32228,3.33312,3.34398,2.03658,2.03658,2.05946,2.223,3.12734,3.0553,3.07707,3.16425,-9999,-9999
