TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,6.226,0.0,161.316,64.465,0.0,315.699,0.0,2.049,0.0,98.995,0.0,1.921,0.0,2.488,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.763,0.0,46.1826,-9999,119.228,0.0,173.354,-9999,1.66218,0.0,-9999,1.54007,1.66218,1.74154,0.0,0.0,0.0,1.07858,1.03149,1.06483,1.42467,-0.533279,-0.545845,-0.518978,-0.303701,1.90513,1.23477,1.90513,2.53471,0.461379,0.0,0.40049,0.487814,-9999,-9999
201102,6.626,0.0,223.502,116.903,0.0,300.289,0.0,3.054,0.0,98.832,0.0,1.165,0.0,2.976,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.662,0.0,45.6458,-9999,119.208,0.0,171.857,-9999,1.66141,0.0,-9999,1.54242,1.66141,1.74127,0.0,0.0,0.0,1.10997,1.06169,1.10015,1.47179,-0.506467,-0.512532,-0.486993,-0.25643,1.91925,1.24456,1.91925,2.55349,0.647682,0.0,0.576268,0.686092,-9999,-9999
201103,9.221,0.0,310.152,159.587,0.0,322.391,0.0,3.495,0.0,99.178,0.0,3.834,0.0,3.188,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.7389,0.0,40.0482,-9999,119.378,0.0,150.631,-9999,1.66391,0.0,-9999,1.54216,1.66391,1.74527,0.0,0.0,0.0,1.33176,1.28216,1.33176,1.81107,-0.308452,-0.308504,-0.254077,0.0773674,2.00631,1.30513,2.00631,2.66931,0.762451,0.0,0.685766,0.807153,-9999,-9999
201104,14.374,0.0,396.793,225.416,0.0,338.805,0.0,6.708,0.0,98.87,0.0,1.207,0.0,2.344,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.7233,0.0,42.4478,-9999,119.273,0.0,159.595,-9999,1.66254,0.0,-9999,1.54152,1.66254,1.74274,0.0,0.0,0.0,1.81877,1.75314,1.83215,2.53662,0.127956,0.144286,0.213824,0.842946,2.16788,1.418,2.16788,2.88428,0.937614,0.0,0.861683,0.972077,-9999,-9999
201105,17.905,0.0,459.299,287.023,0.0,350.115,0.0,9.064,0.0,98.977,0.0,1.179,0.0,2.607,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.05081,0.078629,31.763,0.0,40.1835,-9999,119.228,0.0,150.835,-9999,1.66218,0.0,-9999,1.54007,1.66218,1.74154,0.0,0.0,0.0,2.18979,2.10541,2.31856,3.06753,0.458454,0.562522,0.635842,1.43731,2.26928,1.48916,2.26928,3.0192,1.07186,0.0,1.00644,1.08165,-9999,-9999
201106,21.016,0.789583,486.271,310.683,0.790972,376.118,0.0,8.664,0.789583,98.858,0.0,1.684,0.783333,2.119,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.34191,0.0,34.4199,0.0,42.2306,2.61511,117.147,0.0,143.731,6.42906,1.7776,0.0,0.107035,1.64389,1.91109,2.00424,0.0,0.0,0.0,2.54115,2.43638,2.8046,3.63537,0.659592,0.716057,0.859946,1.64259,2.35214,1.54549,2.35214,3.12944,1.11973,0.0,1.05849,1.11973,-9999,-9999
201107,21.941,0.839382,473.005,286.672,0.84207,378.034,0.0,8.564,0.839382,98.582,0.0,4.532,0.376344,2.457,0.0,-9999,-9999,-9999,-9999,745.633758377,0.504032258065,-9999,-9999,-9999,-9999,403.825,0.617608,26.437,26.353,26.034,0.632392,0.632392,0.632392,-9999,-9999,-9999,-9999,-9999,-9999,5.34248,0.162634,39.4118,0.613575,33.4127,0.655039,99.3116,0.617608,84.1947,0.781472,2.20523,0.590054,0.0259548,2.18631,2.22552,2.36954,0.59879,0.596102,0.549059,2.91098,2.87568,2.97464,3.45776,0.592514,0.637754,0.743522,1.09787,2.70565,1.6122,2.70565,3.05967,0.824661,0.0,0.559503,0.78257,-9999,-9999
201108,24.111,0.884409,422.018,282.682,0.888441,386.42,0.0,14.785,0.884409,98.865,0.0,0.006,1.0,1.845,0.0,0.210984141228,0.622311827957,127.405962903,0.984543010753,541.482400924,0.780241935484,-9999,-9999,-9999,-9999,391.904,0.86828,28.378,27.758,27.082,0.999328,0.999328,0.999328,22.724,-9999,-9999,0.999328,-9999,-9999,4.53026,0.999328,31.4636,0.866263,26.6743,0.467848,111.293,0.867608,94.3523,0.603673,2.03831,0.819892,0.0310384,2.01777,2.03831,2.07257,0.807796,0.819892,0.846102,2.67104,2.24262,2.60461,2.67104,0.550511,0.261685,0.550511,0.603762,2.1847,1.94645,2.05242,2.1847,0.34917,0.299694,0.355859,0.414343,-9999,-9999
201109,21.613,0.909028,344.583,213.551,0.911806,372.646,0.0,10.453,0.909028,98.971,0.0,4.008,1.0,2.095,0.0,-9999,-9999,97.0158527495,0.997916666667,455.735882235,0.699305555556,-9999,-9999,-9999,-9999,396.304,0.0277778,23.096,23.516,23.725,1.0,1.0,1.0,21.496,-9999,-9999,1.0,-9999,-9999,0.705383,1.0,29.788,0.027778,38.5222,0.469294,57.9101,0.026389,74.8901,0.662456,0.316857,0.00625,0.0446267,0.310488,0.342396,0.44649,0.00625,0.01875,0.000694444,2.52748,2.00206,2.19927,2.3765,1.93291,1.54144,1.8646,2.10226,1.92778,1.24599,1.74264,1.92778,1.62404,1.631,1.75261,1.85004,-9999,-9999
201110,15.306,0.998656,255.91,153.95,1.0,335.814,0.0,6.383,0.998656,99.28,0.602151,1.277,1.0,3.0,0.602151,-9999,-9999,57.5801061828,1.0,379.630863528,0.522849462366,-9999,-9999,-9999,-9999,395.146,0.874328,16.064,17.018,17.802,1.0,1.0,1.0,20.964,-9999,-9999,1.0,-9999,-9999,-2.17671,1.0,34.5266,0.866263,60.0294,0.301034,0.577294,0.868952,1.00371,0.378332,-1.95505,0.834677,0.0347483,-1.96749,-1.95188,-1.86775,0.842742,0.838038,0.831989,2.19005,2.11711,2.19289,2.23759,4.08783,4.07284,4.08828,4.14207,2.2822,1.92776,2.19128,2.29335,3.92764,3.90284,3.92429,3.95674,-9999,-9999
