TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,0.744,0.0,165.106,66.257,0.0,261.57,0.0,1.552,0.0,84.817,0.0,2.188,0.0,1.748,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,65.5111,0.0,95.3316,-9999,106.917,0.0,155.585,-9999,-12.3767,0.0,-9999,-12.4645,-12.3979,-12.0599,0.0,0.0,0.0,2.88311,1.79037,2.88373,2.98181,15.3961,14.6041,14.9987,15.3467,2.10016,0.837643,2.0675,2.09997,5.25691,4.09295,4.14227,5.80851,-9999,-9999
199602,-1.5,0.0,228.473,111.403,0.0,244.386,0.0,1.696,0.0,84.426,0.0,3.571,0.0,1.876,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,65.6001,0.0,85.8186,-9999,107.132,0.0,140.151,-9999,-12.4534,0.0,-9999,-12.549,-12.4756,-12.1342,0.0,0.0,0.0,2.5828,1.63094,2.58354,2.70142,15.1947,14.5169,14.7837,15.1372,1.98906,0.714962,1.95813,1.98888,7.11179,5.8109,5.87138,7.93229,-9999,-9999
199603,-2.08,0.766129,316.024,130.289,0.768145,260.056,0.0,1.439,0.766129,84.619,0.0,3.153,0.751344,1.31,0.672715,-9999,-9999,68.3269097222,0.751344086022,229.793623212,0.751344086022,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.266,0.714,0.766129,0.766129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,65.5111,0.0,85.9972,-9999,106.917,0.0,140.351,-9999,-12.3767,0.0,-9999,-12.4645,-12.3979,-12.0599,0.0,0.0,0.0,2.50922,1.58942,2.50997,2.62983,15.0406,14.4064,14.6369,14.9871,1.95609,0.690288,1.92567,1.95591,8.19693,6.69592,6.76546,9.14358,-9999,-9999
199604,2.015,1.0,401.029,162.197,1.0,269.554,0.0,2.621,0.997917,84.818,0.0,6.787,1.0,1.473,0.963194,-9999,-9999,100.914583333,1.0,311.918093743,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.689,1.642,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.3093,0.0,62.4394,-9999,75.9127,0.0,92.3798,-9999,-10.1864,0.0,-9999,-10.1864,-10.1203,-10.067,0.0,0.0,0.0,3.05788,1.87819,3.05839,3.13909,13.165,12.4697,13.1608,13.2891,2.15384,0.920975,2.12035,2.15365,9.27019,7.67436,7.75009,10.3307,-9999,-9999
199605,7.724,0.800403,461.371,251.982,0.803091,284.131,0.0,3.998,0.800403,84.779,0.0,4.805,0.716398,1.709,0.774194,-9999,-9999,123.922372923,0.69623655914,491.15411713,0.780241935484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.747,6.168,0.800403,0.800403,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.29454,0.465726,54.3186,0.0,74.1669,-9999,77.2227,0.0,105.44,-9999,-10.0206,0.0,-9999,-10.0853,-9.97515,-9.68304,0.0,0.0,0.0,3.82966,2.27367,3.82974,3.84268,13.47,12.2676,13.5542,13.8776,2.40852,1.27208,2.37107,2.40852,11.7051,10.0797,10.1659,13.0263,-9999,-9999
199606,10.845,1.0,486.465,266.284,1.0,293.173,0.0,4.343,1.0,85.239,0.0,1.333,0.999306,1.456,0.995139,-9999,-9999,162.790505155,0.784722222222,511.450251546,0.999305555556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.387,8.41,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.17636,0.0,53.8574,0.23125,74.9331,1.24617,81.1585,0.232639,112.918,1.82141,-9.3136,0.211806,0.193235,-9.41384,-9.26973,-8.72771,0.215278,0.210417,0.204167,4.24357,2.48845,4.21076,4.23252,12.9271,11.7078,13.0237,13.6246,2.53697,1.56574,2.5366,2.53856,11.5106,10.061,10.1422,12.8126,-9999,-9999
199607,13.687,0.990591,472.19,305.975,0.990591,299.673,0.0,5.885,0.989919,85.124,0.0,1.148,0.989247,1.435,0.981183,0.335065359498,0.551747311828,166.904905914,0.989247311828,593.23205719,0.969758064516,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,350.499,0.955645,8.815,9.647,0.990591,0.990591,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.40272,0.0,59.6497,0.991935,88.1937,0.930616,58.0953,0.992608,85.8955,1.03101,-7.99767,0.932796,0.0831171,-8.07225,-8.00896,-7.97474,0.910618,0.938172,0.933468,3.00879,2.50798,2.64241,2.84013,10.8048,10.6103,10.6709,10.8171,1.48628,1.34831,1.48628,1.66357,9.37688,9.15834,9.36224,9.52067,-9999,-9999
199608,13.676,0.872984,421.11,261.685,0.874328,305.232,0.0,4.66,0.872984,85.004,0.0,1.498,0.212366,1.544,0.741263,0.310016356382,0.594758064516,172.696965021,0.858198924731,523.089807793,0.858198924731,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,351.43,0.88172,10.108,11.011,0.872984,0.872984,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.33104,0.653226,59.0643,0.88172,99.4524,0.95384,42.4579,0.885081,71.4904,1.08147,-6.95493,0.840054,0.081214,-7.62389,-6.95684,-6.87095,0.80578,0.84207,0.853495,2.78581,2.64798,2.76093,2.86006,9.91138,9.65292,9.87605,10.0857,1.38656,1.40127,1.4918,1.7245,7.56343,7.29499,7.69986,8.58341,-9999,-9999
199609,8.306,0.516667,344.171,150.379,0.388194,290.111,0.0,2.376,0.505556,84.7,0.0,7.168,0.295139,1.675,0.461806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,350.312,0.154167,5.368,8.718,0.516667,0.516667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.227191,0.2,21.6396,0.184028,41.6439,5.69967,12.417,0.186806,23.8957,8.74479,-3.69799,0.126389,1.42091,-4.15014,-3.49739,-3.46599,0.111111,0.127083,0.136111,2.15228,2.10289,2.13551,2.15307,5.85265,5.59953,5.65274,6.17592,1.60747,1.87569,2.02864,2.52729,4.95136,4.92843,5.08615,5.59964,-9999,-9999
199610,5.778,0.325941,256.384,114.339,0.222446,279.632,0.0,2.123,0.325941,85.07,0.0,7.06,0.0,1.913,0.227151,0.406329564716,0.523521505376,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,358.03,0.607527,3.472,6.822,0.325941,0.325941,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.559204,0.325941,10.5984,0.606855,14.9423,0.467917,25.6315,0.606855,36.1371,0.952916,0.594368,0.515457,0.0269407,0.586344,0.594368,0.606451,0.537634,0.515457,0.469758,1.58758,1.55117,1.58706,1.60673,0.968909,0.932967,0.978613,1.00426,0.718647,0.818965,0.892883,1.11087,0.840228,0.834566,0.866122,1.10263,-9999,-9999
