TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201201,7.325,0.202285,166.148,81.198,0.202957,261.471,0.0,2.69,0.202285,101.667,0.193548,0.552,0.0,2.032,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,8.71978,0.202285,18.8301,0.263128,-1.50675,0.202285,-3.2538,0.876756,-1.93103,0.202285,0.127472,-2.03523,-1.97332,-1.9343,0.202285,0.202285,0.202285,1.83893,1.59546,1.85653,1.94035,3.77381,3.67322,3.79182,3.87307,4.00245,2.58132,3.67658,4.09698,4.85037,4.56179,4.85037,5.01303,-9999,-9999
201202,4.533,1.0,229.45,105.558,1.0,259.213,0.0,1.966,1.0,101.19,0.992098,3.376,0.0,2.361,0.0,0.492275321144,0.645114942529,-9999,-9999,413.351,0.28592,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.602,0.299569,24.1724,0.250629,11.1376,0.992098,25.3935,0.867233,-2.56215,0.275144,0.142986,-2.5844,-2.56215,-2.50855,0.275144,0.275144,0.275144,0.0767313,0.0688828,0.0741235,0.0763225,2.63855,2.58135,2.63115,2.65629,3.58772,3.59213,3.60797,3.65111,5.81745,5.78993,5.81271,5.82315,-9999,-9999
201203,10.817,1.0,316.802,185.978,1.0,282.823,0.0,3.439,1.0,101.885,0.999328,0.385,0.0,1.895,0.0,0.437230934615,0.944220430108,-9999,-9999,411.367,0.583333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,23.705,0.59207,45.9943,0.555875,54.8124,1.0,106.351,1.1174,-3.68524,0.567204,0.110075,-3.75037,-3.70449,-3.67538,0.565188,0.56586,0.567204,0.779325,0.736858,0.794194,0.813487,4.46442,4.43527,4.47543,4.51107,3.29211,3.10678,3.30859,3.41906,6.77846,6.63449,6.77846,6.98045,-9999,-9999
201204,13.266,1.0,401.495,204.825,1.0,309.149,0.0,3.016,1.0,100.589,1.0,3.472,0.0,2.383,0.434028,0.561297630286,0.979166666667,-9999,-9999,413.179,0.615972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,20.4549,0.615278,37.4462,0.46054,67.635,1.0,123.818,1.39995,-2.54128,0.6125,0.0938288,-2.56034,-2.51701,-2.4927,0.6125,0.6125,0.6125,2.72941,2.71814,2.79415,2.87079,5.26707,5.21775,5.31603,5.38515,2.31763,1.94551,2.05724,2.39188,4.75997,4.74067,4.82932,4.96163,-9999,-9999
201205,16.48,1.0,461.526,263.727,1.0,319.018,0.0,4.358,1.0,101.363,1.0,1.764,0.0,2.269,1.0,0.457086685591,0.629704301075,-9999,-9999,439.428,0.950269,15.389,15.435,15.06,7.958,1.0,1.0,1.0,1.0,47.814,14.342,14.649,0.374328,0.586022,1.0,-9999,1.0,25.723,0.0,32.4328,-9999,97.7058,0.976478,123.192,1.26596,-1.70796,0.913306,0.085356,-1.83727,-1.67802,-1.63995,0.922715,0.899866,0.918683,3.4766,3.24763,3.51494,3.64834,5.18742,5.07718,5.18742,5.32333,4.64577,4.27496,4.63254,4.95622,5.43465,5.54537,5.76247,5.88264,-9999,-9999
201206,21.855,1.0,486.458,293.999,1.0,350.077,0.0,6.758,1.0,101.365,1.0,0.358,0.0,2.165,1.0,-9999,-9999,-9999,-9999,423.166,0.120833,19.049,18.599,17.738,5.244,1.0,1.0,1.0,0.652778,46.607,14.073,16.742,0.0,0.0,1.0,-9999,1.0,24.3627,0.0,25.2113,-9999,119.937,0.084028,124.115,1.93636,-3.25111,0.0819444,0.197496,-3.85923,-3.20989,-2.99114,0.109722,0.08125,0.0833333,1.95916,1.05119,2.09744,2.60827,5.21455,5.047,5.27214,6.20059,7.58312,6.14298,8.31167,9.04174,9.46194,9.25656,9.8132,10.3943,-9999,-9999
201207,24.176,1.0,472.261,282.259,1.0,357.962,0.0,7.521,1.0,101.236,1.0,1.133,0.0,2.055,1.0,-9999,-9999,-9999,-9999,423.618,0.0,21.682,21.316,20.369,10.597,1.0,1.0,1.0,0.0,44.111,14.045,19.092,0.0,0.0,1.0,-9999,1.0,32.1581,0.0,34.7787,-9999,118.489,0.616263,128.145,1.54017,-3.04105,0.0,-9999,-3.68218,-3.0339,-2.94839,0.0,0.0,0.0,3.22272,2.84705,3.22922,3.76561,6.27019,6.44415,6.65943,6.94663,6.78866,5.0444,7.29125,8.12426,8.70427,8.49049,8.79954,9.27648,-9999,-9999
201208,25.237,1.0,421.454,259.055,1.0,370.742,0.0,8.488,1.0,101.358,0.999328,0.24,0.0,2.084,0.999328,0.455684701613,0.960349462366,-9999,-9999,401.932,0.0,22.754,22.284,21.362,21.542,1.0,1.0,1.0,0.0658602,42.73,13.99,20.248,0.0598118,0.0,1.0,-9999,1.0,62.2026,0.0,68.2767,-9999,121.306,0.998656,133.152,1.41242,-4.72618,0.0,-9999,-4.88234,-4.66611,-4.38593,0.0,0.0,0.0,4.51215,4.416,4.60319,4.82269,9.24701,9.04339,9.24701,9.48306,5.11079,4.10415,5.78408,7.96462,7.73106,7.41214,7.73009,7.7994,-9999,-9999
201209,20.881,1.0,344.834,153.662,1.0,349.2,0.0,5.083,1.0,101.283,1.0,2.283,0.0,2.325,1.0,0.53858660705,0.963194444444,-9999,-9999,402.015,0.0,20.48,20.834,20.839,15.902,1.0,1.0,1.0,0.988194,38.646,14.666,20.353,0.988194,0.0,1.0,-9999,1.0,48.3729,0.0,61.7386,1.52945,31.5576,1.0,40.2771,0.914924,-2.38273,0.0,0.191072,-2.65474,-2.26475,-2.05838,0.0,0.0,0.0,5.45414,3.96781,5.99595,6.16986,7.84253,6.67615,8.02519,8.33371,2.32469,1.88684,2.4652,5.43537,5.32499,5.00495,5.09704,5.27654,-9999,-9999
201210,17.648,1.0,257.292,126.205,1.0,326.854,0.0,3.199,1.0,101.218,1.0,4.031,0.0,2.088,1.0,0.287423431625,0.57123655914,-9999,-9999,408.989,0.866935,18.666,19.406,19.774,5.171,1.0,1.0,1.0,1.0,46.603,17.567,19.741,0.336022,0.0,1.0,-2.49564,0.0638441,36.3926,0.830645,49.1439,0.492704,26.1664,0.949597,35.3346,0.739396,-1.34897,0.850806,0.0649841,-1.51949,-1.27859,-1.14993,0.806452,0.851478,0.852823,4.03333,3.12558,4.31688,4.55668,5.38718,4.64482,5.59547,5.73359,0.94836,0.814379,1.15285,3.0031,4.30334,4.09042,4.29522,4.35195,-9999,-9999
