TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201301,4.472,1.0,136.682,59.652,1.0,290.591,1.0,3.016,1.0,98.298,0.998656,0.471,0.998656,1.109,0.994624,-9999,-9999,12.0365644234,0.998655913978,103.005201339,0.998655913978,6.31459750658,0.998655913978,331.247757539,0.998655913978,417.9,1.0,4.154,4.656,5.121,5.534,6.444,7.862,1.0,1.0,1.0,1.0,1.0,1.0,24.089,19.655,23.702,34.155,1.0,1.0,1.0,1.0,-3.61606,1.0,4.64815,0.999328,6.50227,0.158888,6.45397,0.999328,9.02841,0.660682,2.35447,0.834677,0.0400235,2.14742,2.38881,2.54618,0.903226,0.575941,0.835349,2.09456,2.45171,2.66225,3.35753,0.367463,0.0819021,0.519063,0.809624,7.67863,2.82075,3.90961,8.78323,1.69445,0.613239,1.06175,1.9554,2.09454,1.0
201302,3.399,1.0,199.952,99.253,0.987351,278.093,1.0,3.438,1.0,98.191,1.0,0.374,1.0,1.527,0.994048,-9999,-9999,35.5999351318,1.0,160.327852749,0.979910714286,10.3010289861,1.0,328.011610119,1.0,413.235,1.0,3.332,3.801,4.226,4.606,5.479,6.929,1.0,1.0,1.0,1.0,1.0,1.0,24.139,19.506,21.641,26.782,1.0,1.0,1.0,1.0,-3.32973,1.0,6.99279,0.997024,13.865,0.222497,12.8412,0.997024,25.4609,0.821684,1.55816,0.866815,0.04922,1.44589,1.55816,1.60874,0.843006,0.866815,0.799851,2.23706,2.23706,2.40793,2.53609,0.727907,0.605971,0.870702,1.08002,3.035,2.85144,3.19687,3.46309,1.10118,0.960049,1.04986,1.19451,1.92366,1.0
201303,6.623,1.0,290.801,115.593,0.999328,305.426,1.0,3.474,1.0,97.785,1.0,2.178,1.0,1.512,1.0,0.225861759972,0.545698924731,63.5972413735,1.0,208.711811167,0.999327956989,10.0344870884,1.0,346.958385081,1.0,402.941,1.0,5.773,5.917,5.742,5.76,6.096,6.805,1.0,1.0,1.0,1.0,1.0,1.0,25.339,19.745,23.089,29.497,1.0,1.0,1.0,1.0,-0.323999,1.0,10.0814,0.989247,20.3616,0.252979,21.7515,0.987903,43.932,0.666452,1.36092,0.907258,0.0531953,1.29379,1.50481,1.84853,0.931452,0.897849,0.850134,2.12315,1.93822,2.92265,3.10495,0.896498,0.624636,1.20753,1.39418,1.98924,2.11463,2.24559,2.40172,0.81341,0.831404,0.929381,1.07311,2.49189,1.0
201304,12.274,1.0,384.628,156.44,1.0,338.086,1.0,5.189,1.0,98.513,1.0,8.863,1.0,1.572,1.0,0.302165526868,0.563194444444,102.488234797,1.0,287.330235443,0.999305555556,13.604001783,1.0,378.210465972,1.0,402.382,1.0,10.344,10.177,9.374,8.995,8.657,8.156,1.0,1.0,1.0,1.0,1.0,1.0,26.879,23.049,29.071,41.142,1.0,1.0,1.0,1.0,2.95856,1.0,21.0091,0.993056,34.6368,0.425498,38.9296,0.995833,64.1814,1.02071,1.37724,0.889583,0.0799511,1.37724,1.45063,1.50069,0.889583,0.888194,0.883333,3.18538,3.11845,4.04537,4.85438,1.8462,1.75221,2.63463,3.34891,2.29195,2.26376,2.57035,2.89584,1.56909,1.45106,1.60107,1.73395,4.087,1.0
201305,14.406,1.0,454.621,210.143,1.0,341.758,1.0,6.691,1.0,98.119,1.0,8.325,1.0,1.883,1.0,0.3296982424,0.551075268817,139.155400856,1.0,400.995809541,0.867607526882,25.1435894709,1.0,388.353774866,1.0,398.146,1.0,12.439,12.399,11.787,11.522,11.235,10.49,1.0,1.0,1.0,1.0,1.0,1.0,35.08,36.578,42.614,47.72,1.0,1.0,1.0,1.0,2.00333,1.0,53.4719,0.998656,90.5295,0.817211,27.1022,0.998656,45.8848,0.912338,-2.2853,0.942876,0.117958,-2.6593,-2.32561,-2.17382,0.979839,0.922715,0.896505,6.01686,5.75656,6.42184,7.55344,8.84439,8.22574,8.80074,9.58612,7.10861,6.24409,7.51619,7.88583,9.58516,8.82543,10.0384,10.2744,4.99646,1.0
201306,20.654,1.0,485.719,284.197,1.0,360.645,1.0,11.795,1.0,98.622,1.0,2.505,1.0,1.694,0.999306,0.306192422569,0.625,189.685593202,1.0,549.762000393,0.988888888889,32.4920251215,1.0,422.351725694,1.0,398.575,1.0,16.181,15.846,14.68,14.079,13.299,11.944,1.0,1.0,1.0,1.0,1.0,1.0,25.537,21.785,30.329,44.029,1.0,1.0,1.0,1.0,4.93064,1.0,105.986,0.985417,142.471,1.20784,31.7853,0.985417,42.7272,0.813421,-4.68094,0.938889,0.133701,-5.2571,-4.75776,-4.54697,0.96875,0.936806,0.889583,7.38946,7.15426,8.40346,9.76179,13.2541,12.4126,13.2541,14.2604,8.4421,7.36872,8.70993,9.37829,13.7933,13.013,14.0121,14.6417,7.44564,1.0
201307,23.889,1.0,470.727,282.518,1.0,383.827,1.0,13.369,1.0,98.838,1.0,2.854,1.0,1.503,0.998656,0.293959747216,0.652553763441,194.667219632,1.0,556.779347261,0.994623655914,31.1606226838,1.0,440.036677419,1.0,391.699,1.0,18.952,18.572,17.274,16.595,15.719,13.892,0.998656,0.998656,0.998656,0.998656,0.998656,0.998656,22.456,19.483,19.781,21.176,1.0,1.0,1.0,1.0,4.72984,1.0,119.513,0.997312,169.159,1.5071,14.5798,0.995296,20.6362,0.735299,-5.17406,0.905914,0.130595,-5.19994,-5.13291,-5.09631,0.864247,0.872312,0.860887,9.00376,7.92101,9.78997,10.0063,14.4345,12.9945,14.9173,15.1783,6.39756,5.39277,6.14451,6.63741,12.4831,11.6452,12.3094,12.4831,9.8825,1.0
201308,22.682,1.0,413.269,247.373,1.0,375.421,1.0,12.478,1.0,98.718,1.0,3.052,1.0,1.464,0.995968,0.272883884751,0.626344086022,163.851417681,1.0,490.550283881,0.996639784946,26.8923189267,1.0,431.654926747,1.0,391.305,1.0,19.025,18.924,18.082,17.659,17.113,15.466,1.0,1.0,1.0,1.0,1.0,1.0,22.887,19.492,18.283,15.035,1.0,1.0,1.0,1.0,2.29042,1.0,102.546,0.997312,149.421,1.22202,8.0722,0.994624,11.7621,0.728192,-2.96806,0.922715,0.127668,-3.59342,-2.85509,-2.5888,0.969758,0.849462,0.911962,6.87602,6.20328,8.58833,9.52399,11.3068,9.82372,11.5553,12.3096,7.4348,6.59287,7.92483,8.59976,11.0507,10.7,11.2596,11.6069,9.94042,1.0
201309,18.895,1.0,328.317,177.361,1.0,358.217,1.0,8.438,1.0,98.573,1.0,5.298,1.0,1.108,1.0,0.219100002408,0.673611111111,106.757044956,1.0,345.445948003,1.0,19.2159333833,1.0,409.050315278,1.0,395.398,1.0,16.609,16.712,16.251,16.093,15.923,15.051,1.0,1.0,1.0,1.0,1.0,1.0,21.636,18.662,16.702,13.867,1.0,1.0,1.0,1.0,0.331419,1.0,58.4905,0.997917,91.0441,0.860451,9.96641,0.999306,15.5133,0.5997,-1.71035,0.910417,0.105104,-2.22239,-1.76829,-1.67229,0.957639,0.880556,0.892361,6.81619,5.38487,8.08019,8.23767,9.16309,7.61778,9.81208,9.92896,6.691,5.19162,5.92093,7.54822,8.41516,7.38194,8.13366,8.64289,7.7666,1.0
201310,13.563,1.0,234.038,67.17,1.0,360.073,1.0,3.386,1.0,98.983,1.0,8.2,1.0,1.069,0.999328,0.187057427817,0.633064516129,37.7718663444,1.0,127.350222651,1.0,7.21375586929,1.0,381.869268817,1.0,401.706,1.0,13.576,13.832,13.665,13.77,13.982,13.864,1.0,1.0,1.0,1.0,1.0,1.0,25.31,20.493,23.522,20.061,1.0,1.0,1.0,1.0,-1.05312,1.0,13.8147,0.999328,21.5035,0.322078,-0.830685,0.999328,-1.29301,0.432909,1.25871,0.966398,0.0763832,1.04873,1.18794,1.32421,0.989247,0.954973,0.955645,4.15188,3.98633,4.33552,4.57692,3.11927,2.9619,3.16522,3.25403,6.01923,5.04611,5.27076,5.80781,3.88782,3.21451,3.3976,3.71032,5.64224,1.0
