TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,-1.718,0.0,135.67,74.704,0.0,226.011,0.0,2.946,0.0,89.631,0.0,0.0,1.0,1.612,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.019,0.706,-9999,0.709005,0.709005,-9999,-9999,1.0,56.4034,0.0,-9999,-9999,85.0632,0.0,-9999,-9999,-8.3927,0.0,-9999,-8.40324,-8.37419,-8.00987,0.0,0.0,0.0,1.86023,1.78421,1.92486,2.08241,10.29,9.73418,10.1417,10.4611,0.362389,0.202356,0.348111,3.73608,4.62017,3.76555,4.63161,4.63854,-9999,-9999
200002,1.11,0.0,200.435,110.324,0.0,245.619,0.0,3.111,0.0,89.701,0.0,0.11,1.0,1.589,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.076,0.434,-9999,1.0,1.0,-9999,-9999,1.0,56.9969,0.0,-9999,-9999,86.3192,0.0,-9999,-9999,-8.34435,0.0,-9999,-8.35625,-8.32877,-7.94389,0.0,0.0,0.0,2.07354,2.07077,2.23454,2.26563,10.4564,10.0925,10.3844,10.5885,0.587555,0.328088,0.564405,4.00056,6.09436,5.17799,6.16454,6.17234,-9999,-9999
200003,3.31,0.0,293.213,163.826,0.0,257.65,0.0,3.621,0.0,89.32,0.0,3.884,1.0,1.96,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.701,0.997,-9999,1.0,1.0,-9999,-9999,1.0,56.4034,0.0,-9999,-9999,85.0632,0.0,-9999,-9999,-8.3927,0.0,-9999,-8.40324,-8.37419,-8.00987,0.0,0.0,0.0,2.2359,2.2335,2.39007,2.59929,10.6656,10.4857,10.6438,10.7937,0.870652,0.486168,0.836348,4.19232,7.9387,7.08046,8.10727,8.11552,-9999,-9999
200004,6.933,0.0,386.89,199.37,0.0,284.26,0.0,4.054,0.0,88.766,0.0,2.993,1.0,1.839,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.965,2.79,-9999,1.0,1.0,-9999,-9999,1.0,56.6902,0.0,-9999,-9999,85.6703,0.0,-9999,-9999,-8.36933,0.0,-9999,-8.38053,-8.35224,-7.97798,0.0,0.0,0.0,2.4971,2.49538,2.58865,3.2385,10.9041,10.8561,10.984,11.1051,1.52547,0.851818,1.46537,4.49107,9.31024,8.36805,9.51692,9.52628,-9999,-9999
200005,11.195,0.0,456.111,242.499,0.0,307.607,0.0,4.713,0.0,89.476,0.0,1.884,1.0,1.717,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.437,7.946,-9999,1.0,1.0,-9999,-9999,1.0,56.7414,0.0,-9999,-9999,85.8324,0.0,-9999,-9999,-8.36131,0.0,-9999,-8.37224,-8.34362,-7.96019,0.0,0.0,0.0,2.79786,2.79698,2.83624,4.0289,11.1961,11.1418,11.2178,11.8897,2.50053,1.39629,2.40201,4.82534,10.9192,9.96471,11.1986,11.2087,-9999,-9999
200006,14.251,0.0,485.924,258.77,0.0,322.535,0.0,6.532,0.0,89.795,0.0,5.833,1.0,1.701,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.824,9.912,-9999,0.185417,0.185417,-9999,-9999,1.0,56.6902,0.0,-9999,-9999,85.6703,0.0,-9999,-9999,-8.36933,0.0,-9999,-8.38053,-8.35224,-7.97798,0.0,0.0,0.0,3.00345,3.00325,3.01885,4.63591,11.4104,11.3232,11.3994,12.5233,3.554,1.98454,3.41397,5.04375,10.9814,9.92327,11.1973,11.2083,-9999,-9999
200007,13.089,0.0,469.362,240.567,0.0,322.537,0.0,5.315,0.0,89.212,0.0,2.548,1.0,2.129,0.585349,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,349.7,0.575941,10.97,10.03,-9999,0.0,0.0,-9999,-9999,1.0,71.6501,0.498656,-9999,3.99144,85.0309,0.494624,-9999,3.85861,-7.01701,0.358871,0.498182,-7.05102,-7.02978,-6.70911,0.356855,0.348118,0.393817,2.92547,2.9133,2.95636,4.4044,9.92295,9.94391,10.0083,11.0846,3.1459,1.75666,3.02195,4.96109,10.8494,9.84133,11.1047,11.1152,-9999,-9999
200008,16.302,0.66129,410.445,235.037,0.661962,326.366,0.66129,7.694,0.66129,89.731,0.0,4.968,1.0,1.856,0.800403,0.504455419986,0.596774193548,151.29589994,0.64314516129,475.961333747,0.644489247312,21.0469071639,0.645161290323,393.2748625,0.645161290323,355.612,0.804435,10.975,10.035,-9999,0.0,0.0,-9999,-9999,1.0,86.4537,0.768817,-9999,1.01404,94.502,0.768817,-9999,1.27535,-4.60183,0.727823,0.155909,-4.64626,-4.60303,-4.3893,0.727151,0.727823,0.739247,5.46505,5.46505,5.57493,6.34019,10.0047,10.0724,10.1777,10.6039,4.72815,4.67906,4.84794,6.10866,9.90798,9.93981,10.0434,10.1445,-9999,-9999
200009,11.752,1.0,324.545,183.497,1.0,311.514,1.0,4.694,0.998611,89.426,0.0,4.54,1.0,1.762,0.994444,0.473882749084,0.777777777778,111.951350425,0.994444444444,346.342486144,0.995833333333,16.1808011098,0.997222222222,363.084729287,0.997222222222,357.738,0.998611,5.802,5.663,-9999,0.0,0.0,-9999,-9999,1.0,57.0043,0.998611,-9999,0.958795,73.2142,0.998611,-9999,1.32556,-4.26155,0.997917,0.150157,-4.51039,-4.27816,-4.10729,0.996528,0.997917,0.997917,6.03837,5.6908,5.98052,6.14818,10.4263,10.1872,10.2784,10.3382,3.18289,3.18415,3.67948,3.8129,8.67703,8.43865,8.81671,9.01576,-9999,-9999
200010,7.272,1.0,230.148,74.032,1.0,317.767,1.0,2.12,0.999328,89.447,0.0,8.665,1.0,2.143,0.748656,0.478500948652,0.555779569892,42.2787289596,0.996639784946,143.357790298,0.997311827957,6.49014933873,1.0,341.217447581,1.0,366.356,0.999328,-0.21,0.425,-9999,0.0,0.0,-9999,-9999,1.0,32.5572,0.998656,-9999,0.800056,10.7555,0.999328,-9999,0.900267,-2.439,0.995296,0.113224,-2.79284,-2.439,-2.21899,0.993952,0.995296,0.997312,1.71695,0.993872,1.68115,2.00107,4.03192,3.69114,3.81937,4.05152,3.45623,2.4078,2.82643,3.29672,4.5282,4.38835,4.5282,4.81244,-9999,-9999
