TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-1.1,1.0,135.655,75.445,0.999328,232.639,1.0,2.262,1.0,85.655,0.0,1.326,0.0,1.307,0.985215,0.433900261789,0.842069892473,-6.72372975948,1.0,137.44348281,1.0,8.81996126055,1.0,305.467211022,1.0,366.085,0.999328,-0.208,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,27.6757,0.999328,28.8443,0.768986,-13.9666,1.0,-14.5564,1.19241,-0.688046,0.989247,0.0284448,-0.721833,-0.708132,-0.695838,0.987231,0.989919,0.989919,0.195643,0.17561,0.183692,0.196324,0.88437,0.866234,0.88437,0.906941,0.485506,0.396032,0.622059,0.807093,0.887779,0.457891,0.781364,0.913985,-9999,-9999
200302,-3.709,1.0,198.957,134.966,1.0,205.055,1.0,2.254,1.0,86.129,0.0,0.515,0.0,1.078,0.999256,0.407931583222,0.871279761905,32.6291712944,1.0,240.761855824,1.0,12.4615886487,1.0,294.846553571,1.0,364.374,0.983631,-0.932,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.4157,0.981399,11.1251,0.501858,43.4968,0.985119,46.4591,1.17717,-1.14983,0.939732,0.0482516,-1.24617,-1.14288,-1.08826,0.949405,0.939732,0.926339,0.458901,0.371744,0.481756,0.658217,1.60925,1.60925,1.62986,1.72636,2.15898,1.08082,1.37549,1.53394,1.9302,1.76443,1.87248,1.99086,-9999,-9999
200303,3.551,1.0,289.969,189.101,0.997984,244.133,1.0,3.525,1.0,86.538,0.0,0.476,0.0,1.121,1.0,0.40532021764,0.852822580645,88.1821266305,1.0,338.148519418,1.0,15.6594983454,1.0,328.828236559,1.0,365.91,0.997312,-0.547,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,29.7699,0.997984,31.0368,0.62185,71.58,0.997984,74.6263,1.05538,-4.8068,0.983871,0.0869952,-4.81373,-4.79801,-4.78426,0.983871,0.983199,0.984543,0.23068,0.208569,0.237271,0.285235,5.0492,4.99405,5.0492,5.101,1.57718,1.26623,1.34537,1.65224,6.02914,5.8743,6.07925,6.21398,-9999,-9999
200304,3.734,1.0,384.092,190.681,1.0,276.915,1.0,2.42,1.0,86.003,0.0,2.989,0.0,1.241,1.0,0.484627489983,0.852083333333,119.495404457,0.999305555556,345.833092897,1.0,15.5198947604,1.0,331.531234722,1.0,357.572,0.997222,0.721,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,61.9258,0.997917,61.7018,0.908473,47.252,0.994444,47.081,0.987274,-7.12489,0.981944,0.0966823,-7.24604,-7.19359,-7.10092,0.974306,0.979861,0.982639,0.505811,0.484612,0.508396,0.577234,7.63002,7.56632,7.65686,7.82268,2.21432,2.21432,2.3448,2.50644,8.97222,8.92398,8.97257,9.04294,-9999,-9999
200305,12.018,0.994624,454.401,256.504,0.994624,300.594,0.993952,5.078,0.994624,86.381,0.0,1.981,0.0,1.186,1.0,0.460471543654,0.894489247312,161.785704158,0.991935483871,468.764054983,0.993279569892,19.7295226863,0.993279569892,371.656439098,0.992607526882,346.071,0.995968,6.375,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,70.935,0.995296,69.3086,0.980352,103.103,0.995296,100.739,1.15342,-8.14296,0.980511,0.0907052,-8.15239,-8.11993,-8.07788,0.990591,0.980511,0.960349,1.91543,1.81281,1.91853,2.19435,10.0122,9.94448,10.0557,10.2516,3.65127,2.23849,2.86012,3.57093,10.948,9.89838,10.6513,11.179,-9999,-9999
200306,17.556,1.0,485.675,288.421,1.0,332.998,1.0,6.221,1.0,86.394,0.0,5.425,0.0,1.17,0.994444,0.453368497594,0.888194444444,197.171685483,1.0,541.273996813,1.0,22.1202423306,1.0,401.587292361,1.0,360.442,0.998611,12.005,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,93.8112,0.998611,90.8458,1.35956,112.083,0.998611,108.539,1.29528,-6.45405,0.992361,0.0876389,-6.58315,-6.43169,-6.38422,0.992361,0.991667,0.992361,2.57683,2.40672,2.52704,2.71972,8.98108,8.91753,8.98327,9.03067,3.61333,3.38941,3.5318,3.80156,9.77893,9.79064,9.90087,10.1106,-9999,-9999
200307,16.398,1.0,470.609,257.565,1.0,327.881,1.0,5.739,1.0,86.325,0.0,7.515,0.0,1.18,0.887769,0.444026317341,0.765456989247,168.456561224,0.997983870968,471.935729497,1.0,19.5703146673,1.0,395.620888441,1.0,359.633,0.997312,12.714,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,90.9595,0.997312,86.5199,1.20304,85.6539,0.997984,81.4733,1.06928,-6.59881,0.989919,0.0792142,-6.64337,-6.57049,-6.46942,0.991935,0.989919,0.984543,2.28975,2.01717,2.15882,2.3383,8.85269,8.59851,8.66767,8.86025,4.13381,4.09492,4.30046,4.62939,10.2005,9.90404,10.0088,10.2924,-9999,-9999
200308,19.393,1.0,412.877,232.866,1.0,334.039,1.0,9.054,1.0,86.501,0.0,6.841,0.0,1.178,1.0,0.419398599862,0.907930107527,137.344957651,0.997983870968,419.900140328,1.0,17.6370577184,1.0,410.09584207,1.0,364.817,0.999328,14.309,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,79.9801,1.0,76.5186,1.16886,76.0548,0.999328,72.7633,1.05645,-4.82903,0.994624,0.0735005,-4.83505,-4.82648,-4.79898,0.991263,0.991935,0.994624,1.78236,1.71057,1.83784,2.04319,6.60394,6.54119,6.67289,6.83201,3.17166,2.91271,3.09697,3.2236,7.38117,7.26325,7.39234,7.52912,-9999,-9999
200309,11.195,1.0,327.611,182.304,1.0,293.495,1.0,4.865,1.0,86.602,0.0,1.709,0.0,1.06,1.0,0.398745919778,0.836805555556,92.8274500732,0.998611111111,321.653275878,1.0,14.3056627,1.0,367.134395139,1.0,362.835,0.999306,9.541,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,53.9004,0.999306,54.8633,0.871016,59.3922,0.999306,60.4533,1.03581,-4.90189,0.936111,0.0676598,-4.95511,-4.90163,-4.86296,0.927778,0.927778,0.934028,2.12638,1.76977,2.07309,2.24253,6.99363,6.73174,6.94087,7.17874,3.75018,3.28013,3.48405,3.58432,7.74867,7.47394,7.65153,7.78422,-9999,-9999
200310,4.154,1.0,233.108,105.403,0.995968,287.522,1.0,1.579,1.0,85.799,0.0,3.627,0.0,1.011,0.866263,0.370629801343,0.563172043011,48.0060019466,0.996639784946,190.59623237,0.999327956989,10.4269068246,1.0,332.60619086,1.0,367.745,0.991263,4.854,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,36.8194,0.990591,38.8225,0.680324,25.8099,0.991263,27.214,0.805113,-3.37774,0.91129,0.0652825,-3.37837,-3.35427,-3.32451,0.90793,0.971102,0.908602,0.912216,0.871155,0.921699,1.09099,4.28917,4.25087,4.28917,4.44268,3.07483,2.10057,2.29509,2.70941,5.53038,4.80596,4.93471,5.01184,-9999,-9999
