TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-2.927,0.94086,135.237,73.265,0.939516,245.858,0.94086,1.933,0.94086,83.866,0.0,0.815,0.965726,1.587,0.599462,-9999,-9999,-41.0345196035,0.878360215054,-9999,-9999,-9999,-9999,66.818781383,0.91061827957,300.688323711,0.91061827957,361.731,0.924731,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.57199,3.0,3.61999,0.900538,4.57414,0.160079,-25.4525,0.907258,-32.1613,0.44862,0.713951,0.852151,0.0191715,0.644451,0.705075,0.712442,0.862903,0.855511,0.854839,0.594037,0.59815,0.615446,0.624909,-0.099746,-0.112382,-0.0895545,-0.0218673,0.830338,0.760356,0.788712,0.825262,0.0982314,0.066164,0.0916868,0.0993605,-9999,-9999
200302,-5.828,1.0,198.551,123.943,0.959821,216.561,1.0,1.818,1.0,84.292,0.0,0.032,1.0,1.418,0.828125,0.208019827237,0.614583333333,-39.1559745262,0.88318452381,-9999,-9999,-9999,-9999,109.987939082,1.0,282.481197173,1.0,360.351,0.997768,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.719,3.0,2.66247,0.995536,3.37706,0.151456,-17.2496,0.995536,-21.8792,0.424255,0.28907,0.912946,0.0163087,0.28907,0.292917,0.307298,0.912946,0.901786,0.941964,0.508905,0.496063,0.509109,0.559604,0.217003,0.184239,0.21516,0.22158,0.364625,0.22351,0.250144,0.329086,0.0401659,0.0268805,0.0419789,0.0612284,-9999,-9999
200303,2.103,1.0,289.63,198.315,1.0,257.315,1.0,3.179,1.0,84.756,0.0,0.145,1.0,1.422,0.872984,0.216381862407,0.688172043011,15.638892696,1.0,-9999,-9999,-9999,-9999,106.630133924,1.0,333.419490591,1.0,360.163,0.999328,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.64597,3.0,15.5759,0.997984,21.8096,0.283563,-5.4114,0.999328,-7.57711,0.604896,0.412556,0.969758,0.0181849,0.409182,0.414011,0.440561,0.969758,0.96707,0.985887,0.758755,0.734991,0.759036,0.783411,0.325203,0.325212,0.340436,0.350457,1.02402,0.738474,0.789469,0.8941,0.41085,0.369696,0.395262,0.463602,-9999,-9999
200304,2.788,1.0,383.873,203.714,1.0,291.797,1.0,2.309,1.0,84.234,0.0,1.22,1.0,1.769,0.986111,0.271972389084,0.86875,60.3514776647,0.996527777778,-9999,-9999,-9999,-9999,79.5961369153,1.0,354.102207639,1.0,351.664,0.999306,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.64321,3.0,24.4561,0.997917,29.5592,0.35914,21.2893,0.998611,25.7317,0.603592,0.269008,0.991667,0.0372412,0.265738,0.279638,0.284354,0.991667,0.991667,0.992361,1.60117,1.56206,1.61513,1.62949,1.33004,1.29941,1.33217,1.34301,1.57623,1.58931,1.62445,1.67618,1.33911,1.32877,1.33954,1.38075,-9999,-9999
200305,10.079,0.998656,454.31,266.142,0.998656,314.092,0.998656,4.046,0.998656,84.669,0.0,2.826,0.997312,1.505,0.983199,0.249814920011,0.911290322581,130.851632884,0.994623655914,-9999,-9999,-9999,-9999,55.6978517315,0.997311827957,391.753759164,0.997311827957,343.398,0.997312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.57199,3.0,73.233,0.995968,91.5611,0.548144,33.718,0.99664,42.1566,0.424039,-3.26361,0.99664,0.0699664,-3.27297,-3.23995,-3.19299,0.995296,0.994624,0.99664,5.69354,5.49992,5.63338,5.81081,8.86044,8.71191,8.82522,8.99042,4.80836,4.6559,4.82067,4.99475,8.61325,8.5092,8.56105,8.63844,-9999,-9999
200306,15.613,0.966667,485.657,289.88,0.995833,347.839,0.995833,4.878,0.966667,84.738,0.0,4.224,0.970833,1.331,0.95,0.218541872661,0.860416666667,154.731675602,0.993055555556,-9999,-9999,-9999,-9999,63.0563582166,0.993055555556,418.467592295,0.993055555556,350.103,0.998611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.64321,3.0,92.7555,0.997917,114.975,0.638063,32.1032,0.998611,39.7936,0.353364,-1.60924,0.994444,0.0975076,-1.71954,-1.6641,-1.63086,0.995833,0.995833,0.993056,10.8562,10.3186,10.5918,10.8956,12.1833,12.0484,12.2105,12.5578,8.02611,7.81312,8.17709,8.3529,10.964,10.9451,11.0666,11.1924,-9999,-9999
200307,14.81,1.0,470.56,261.172,1.0,346.426,1.0,4.541,1.0,84.659,0.0,2.602,0.886425,1.384,0.992608,0.243505581103,0.91935483871,136.731324167,1.0,562.263462877,0.934811827957,232.027690991,0.935483870968,52.8103575604,1.0,418.253639785,1.0,339.789,1.0,18.318,17.724,15.234,0.999328,0.999328,0.999328,-9999,-9999,-9999,-9999,-1.71167,3.0,82.5214,1.0,100.541,0.615998,33.7099,1.0,41.0708,0.49062,0.985556,0.998656,0.0695221,0.905457,1.0024,1.11582,0.998656,0.998656,0.999328,8.07468,7.94607,8.02571,8.12048,7.00836,6.97221,7.0426,7.0867,7.68816,7.20775,7.33659,7.7084,6.62305,6.52008,6.57556,6.75459,-9999,-9999
200308,16.584,0.547715,412.716,248.766,0.550403,341.059,0.547715,5.864,0.547715,84.857,0.0,3.289,0.540323,1.457,0.971774,0.220771532541,0.88373655914,126.201387044,0.516129032258,576.558026081,0.516129032258,187.688771133,0.516129032258,51.9342843802,0.516129032258,426.7574375,0.516129032258,355.727,0.983871,18.992,18.407,16.067,0.547043,0.547043,0.547043,-9999,-9999,-9999,-9999,-1.64597,3.0,86.3388,0.957661,101.902,0.645776,23.0941,0.975806,27.2569,0.366447,1.00225,0.797715,0.0642096,0.925195,0.974584,1.0092,0.784274,0.84207,0.842742,6.47824,6.50279,6.64944,6.82963,5.60515,5.53308,5.62566,5.8431,5.1483,4.65061,5.11099,5.83514,6.28077,6.2705,6.35319,6.42173,-9999,-9999
200309,9.494,1.0,327.323,192.18,1.0,308.507,1.0,3.724,1.0,84.883,0.0,1.793,1.0,1.291,0.981944,0.210752361439,0.868055555556,77.5014947458,0.995833333333,423.440545472,0.997916666667,140.06659316,1.0,39.3724200047,1.0,381.974948611,1.0,351.705,1.0,12.686,12.845,13.236,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-1.64321,3.0,50.9194,1.0,64.7181,0.48586,21.8191,1.0,27.7318,0.421963,-0.729226,0.99375,0.0421072,-0.746917,-0.719934,-0.664905,0.99375,0.99375,0.994444,4.08897,4.01742,4.08017,4.13027,4.78092,4.76769,4.79577,4.8182,2.37588,2.53021,3.16841,3.80927,4.31448,4.32696,4.50158,4.68126,-9999,-9999
200310,2.74,1.0,232.728,109.706,0.997984,302.694,1.0,1.272,1.0,84.05,0.0,2.677,1.0,1.252,0.688172,0.197526314472,0.586021505376,32.4512419543,0.980510752688,234.005124848,0.991935483871,101.590499684,1.0,39.0011952434,1.0,344.359647177,1.0,354.08,0.976478,7.072,7.654,9.61,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-1.57199,3.0,17.2935,0.971774,22.8013,0.309364,5.39981,0.974462,7.11962,0.351389,0.861648,0.965726,0.0328263,0.767011,0.867901,0.905807,0.965726,0.975134,0.975134,2.74079,2.61114,2.74174,2.80146,1.90508,1.84196,1.87914,1.90508,1.80036,1.73026,1.8819,1.94818,1.54709,1.58149,1.62746,1.65727,-9999,-9999
200311,2.098,1.0,154.605,72.985,0.998611,295.894,1.0,1.375,1.0,84.505,0.0,3.34,1.0,1.078,0.345139,-9999,-9999,1.79448108147,0.999305555556,173.684902014,0.999305555556,68.8855239236,1.0,37.2431924098,1.0,330.730875,1.0,360.137,0.811806,3.161,3.624,5.632,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-1.64321,3.0,10.4614,0.810417,15.703,0.312861,-2.66829,0.810417,-4.00522,0.463819,0.840546,0.747222,0.0226553,0.7361,0.837665,0.840937,0.728472,0.772222,0.745833,1.25344,1.16943,1.25835,1.28418,0.433681,0.431152,0.437763,0.453401,1.75296,1.57665,1.71473,1.76272,0.488193,0.488154,0.553071,0.583893,-9999,-9999
200312,-1.071,1.0,118.142,64.618,1.0,258.678,1.0,1.919,1.0,84.391,0.0,1.69,1.0,1.592,0.893817,0.245249796062,0.753360215054,-28.2762852186,1.0,158.368217824,0.999327956989,52.9867209812,1.0,46.580685018,1.0,305.104682124,1.0,360.068,1.0,1.381,1.792,3.703,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-1.71167,3.0,6.32101,0.998656,8.64083,0.297246,-29.374,0.998656,-40.1543,0.673215,0.766948,0.985887,0.0213015,0.752904,0.763261,0.769397,0.985215,0.985215,0.983199,0.782743,0.74456,0.779393,0.800547,0.0271488,-0.0123829,0.0184935,0.0294483,0.770928,0.71748,0.781174,0.955543,0.0922048,0.0390475,0.0549897,0.0925696,-9999,-9999
200401,-4.403,1.0,135.237,80.059,0.994624,229.912,1.0,1.46,1.0,83.582,0.146505,0.577,1.0,1.605,0.866263,0.237766859062,0.575940860215,-27.8448573364,0.992607526882,187.465576639,0.997983870968,75.6254131788,1.0,63.6589579143,1.0,274.176552419,1.0,358.262,0.999328,1.047,1.331,2.709,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-1.64597,3.0,0.378943,0.997984,0.579977,0.224445,-29.0356,0.999328,-44.4393,0.552799,1.12738,0.97379,0.0242024,1.08863,1.10477,1.12131,0.982527,0.954973,0.972446,0.992395,0.95757,0.972187,0.98016,-0.13735,-0.145462,-0.137092,-0.117232,1.52776,1.51797,1.55539,1.71104,0.257324,0.188376,0.200555,0.244574,-9999,-9999
200402,-1.718,1.0,200.016,103.631,0.997126,243.697,1.0,2.339,1.0,84.118,1.0,2.014,1.0,1.723,0.985632,0.232236656121,0.744252873563,-18.2259586152,1.0,236.731052909,1.0,103.141276753,1.0,78.4865318524,1.0,287.55658477,1.0,359.858,0.996408,0.889,1.157,2.372,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-1.64026,3.0,8.14896,0.997126,13.8045,0.236108,-24.9753,0.997126,-42.3087,0.573499,0.867547,0.96408,0.023784,0.862246,0.876969,0.889593,0.96408,0.966236,0.978448,0.902897,0.90272,0.929177,0.941605,0.0539075,0.0397297,0.0493343,0.0539471,0.957213,0.834248,0.971832,1.85147,0.218865,0.0744017,0.131345,0.22142,-9999,-9999
200403,-0.894,1.0,292.865,166.143,0.993952,258.378,1.0,1.792,1.0,84.337,1.0,1.655,1.0,1.602,0.982527,0.209474189794,0.709005376344,0.214277362858,1.0,363.705870908,0.999327956989,164.961003965,1.0,127.019751601,1.0,298.059260081,1.0,360.28,0.99328,0.64,0.872,1.937,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-1.16996,3.0,4.16549,0.992608,5.83256,0.257402,-17.5986,0.994624,-24.6417,0.424536,0.657419,0.929435,0.018923,0.653338,0.670054,0.693414,0.919355,0.935484,0.93078,0.701221,0.710634,0.741181,0.758697,0.0611652,0.0533799,0.0642551,0.0743921,0.848926,0.823737,0.881219,1.10357,0.126468,0.108784,0.125023,0.153957,-9999,-9999
200404,3.122,1.0,386.668,184.528,0.998611,282.801,1.0,1.735,1.0,83.961,1.0,2.037,1.0,1.526,0.998611,0.200602713922,0.777083333333,30.3469080306,1.0,403.752153461,0.999305555556,226.767606979,1.0,121.772634197,1.0,315.002136111,1.0,358.465,0.997222,0.518,0.721,1.774,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-3.28509,3.0,3.01227,0.998611,3.64082,0.364804,-20.0395,1.0,-24.2211,0.433192,0.74182,0.967361,0.0176617,0.758903,0.766855,0.80073,0.95,0.979167,0.929861,0.974723,0.936594,1.00183,1.01217,0.250937,0.171745,0.226484,0.237027,0.934555,0.805212,0.890524,0.94613,0.141014,0.12486,0.14628,0.191468,-9999,-9999
200405,6.232,1.0,456.021,234.274,0.998656,286.861,1.0,2.529,1.0,84.142,0.99664,5.257,0.997312,1.601,0.985215,0.237165785132,0.840053763441,106.760155975,0.999327956989,495.181484243,0.999327956989,220.916564838,0.999327956989,57.3196381741,0.999327956989,356.971814287,0.997983870968,355.37,0.997984,7.489,6.908,4.932,1.0,1.0,1.0,-9999,-9999,-9999,-9999,1.721,3.0,43.2012,0.998656,54.0132,0.461531,27.22,1.0,34.0324,0.477998,-0.420289,0.988575,0.0406824,-0.466493,-0.424572,-0.417591,0.980511,0.989247,0.989247,2.60147,2.52638,2.60489,2.61972,3.02796,3.00856,3.02796,3.03612,2.35646,2.24507,2.29532,2.4051,2.72406,2.75603,2.79932,2.85286,-9999,-9999
200406,11.699,0.995139,485.906,262.318,0.995833,315.741,0.995139,3.383,0.995139,84.635,0.99375,3.274,0.99375,1.43,0.939583,0.241045671458,0.863888888889,141.068407633,0.991666666667,556.974861996,0.992361111111,242.737550139,0.99375,55.6028467209,0.993055555556,380.525663298,0.993055555556,351.244,0.986806,14.142,13.447,10.498,0.995139,0.995139,0.995139,-9999,54.298,-9999,0.995139,7.85278,3.0,83.1736,0.986806,103.99,0.642717,24.5888,0.986806,30.7426,0.423567,-4.73695,0.986111,0.0710285,-4.75358,-4.73569,-4.72314,0.985417,0.986111,0.981944,7.02279,6.82258,6.95698,7.04183,11.7009,11.5657,11.696,11.7736,6.05553,5.79484,5.8915,6.12472,11.0607,11.0259,11.102,11.134,-9999,-9999
