TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,9.983,0.0,174.032,77.037,0.0,328.261,0.0,2.85,0.0,101.004,0.0,1.632,0.0,1.657,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.224,20.525,1.0,1.0,1.29458,0.0322581,56.8079,0.0,69.6758,-9999,35.3939,0.0,43.4113,-9999,-2.07563,0.0,-9999,-2.08005,-2.08005,-2.07518,0.0,0.0,0.0,2.38592,2.26199,2.38592,2.47424,4.31931,4.34205,4.46154,4.53858,2.88476,2.88879,2.93977,3.01116,3.37307,3.36401,3.37271,3.37779,-9999,-9999
200402,10.29,0.0,236.805,113.859,0.0,332.007,0.0,2.849,0.0,101.525,0.0,1.477,0.0,1.424,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.354,18.307,1.0,1.0,1.29895,0.0,56.5488,0.0,63.4096,-9999,34.2147,0.0,38.3658,-9999,-2.06284,0.0,-9999,-2.06758,-2.06556,-2.06236,0.0,0.0,0.0,2.4425,2.33179,2.4425,2.53371,4.38076,4.39937,4.50534,4.56975,2.91734,2.92098,2.96589,3.03012,4.45643,4.45221,4.4563,4.46513,-9999,-9999
200403,10.944,0.0181452,322.624,176.499,0.0,324.24,0.0,3.263,0.0181452,101.577,0.0,0.91,1.0,1.612,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.878,15.694,1.0,1.0,1.33154,0.0,56.8079,0.0,66.1195,0.757572,35.3939,0.0,41.1955,1.49403,-2.07563,0.0,0.0787698,-2.08005,-2.08005,-2.07518,0.0,0.0,0.0,2.5745,2.50474,2.5745,2.63166,4.57662,4.58183,4.65104,4.69709,2.98685,2.98959,3.02053,3.06891,5.90362,5.90362,5.91039,5.91396,-9999,-9999
200404,13.557,1.0,404.946,200.121,0.816667,335.634,0.815278,3.827,0.998611,101.02,0.532639,2.28,1.0,1.602,0.532639,0.394171384247,0.511805555556,122.948363297,0.799305555556,384.428670764,0.799305555556,22.3694113501,0.799305555556,389.41160147,0.799305555556,380.303,0.786111,15.11,1.0,29.434,16.624,1.0,1.0,1.35585,1.0,49.5572,0.782639,57.6803,0.452864,53.4952,0.782639,62.2637,0.793342,-2.62269,0.749306,0.0406309,-2.59135,-2.56688,-2.55522,0.739583,0.765278,0.765278,2.99268,3.02872,3.07669,3.30028,5.70428,5.60282,5.67769,5.83178,2.60606,2.65831,2.73978,3.04594,5.42498,5.45719,5.50285,5.64142,-9999,-9999
200405,15.966,1.0,462.63,248.394,0.997984,346.467,1.0,4.766,1.0,101.163,0.859543,2.265,1.0,1.511,0.859543,0.260880704922,0.854838709677,158.385482399,0.994623655914,474.766074707,0.997311827957,28.2708333223,0.998655913978,404.430499028,0.998655913978,382.197,0.966398,19.073,1.0,28.074,17.322,1.0,1.0,4.93391,1.0,61.5221,0.964382,68.1594,0.549316,80.5738,0.963038,89.2664,0.745508,-2.68508,0.953629,0.0378691,-2.71132,-2.65358,-2.57196,0.950941,0.944892,0.936828,3.70953,3.7257,3.81421,3.85467,6.53886,6.37204,6.46886,6.53608,2.99417,3.05126,3.11479,3.2293,5.74022,5.79962,5.95082,5.99447,-9999,-9999
200406,20.472,1.0,486.336,319.106,1.0,360.121,1.0,7.417,1.0,101.48,0.786806,0.007,1.0,1.291,0.786806,0.239648882962,0.786805555556,207.078920375,1.0,626.374956736,1.0,36.4395566806,1.0,434.182854167,1.0,380.107,0.998611,25.971,1.0,18.137,13.862,1.0,1.0,11.1656,1.0,41.1055,0.998611,44.1746,0.500688,141.135,0.998611,151.672,0.829527,-1.59509,0.939583,0.0370474,-1.67126,-1.63629,-1.60112,0.894444,0.940972,0.940278,4.14758,3.86976,4.13245,4.17853,5.77363,5.50752,5.73824,5.82167,3.51178,3.19366,3.27804,3.40428,5.28885,5.15891,5.2215,5.29062,-9999,-9999
200407,23.092,1.0,472.732,316.738,1.0,369.04,1.0,9.947,1.0,101.454,1.0,0.0,1.0,1.328,1.0,0.258046275538,0.997311827957,196.851541094,0.999327956989,614.240981102,1.0,36.8299287048,0.999327956989,449.969771505,1.0,369.359,1.0,28.222,1.0,16.466,12.975,1.0,1.0,10.2131,1.0,29.3173,0.984543,30.7503,0.401877,148.707,0.985887,155.976,0.850733,0.114033,0.972446,0.0272817,0.125885,0.151785,0.178562,0.972446,0.948253,0.955645,3.51476,3.53873,3.6064,3.65963,3.49237,3.39299,3.44557,3.501,3.00601,2.75968,2.80153,2.86901,3.21226,3.06429,3.094,3.16327,-9999,-9999
200408,23.885,1.0,423.983,267.052,1.0,380.79,1.0,8.577,1.0,101.372,1.0,0.052,1.0,1.317,1.0,0.257186281901,0.999327956989,162.508578214,0.999327956989,523.307765726,1.0,30.3872458938,1.0,452.997533602,1.0,362.488,1.0,27.709,1.0,15.687,12.534,1.0,1.0,7.06012,1.0,13.5616,0.993952,14.3892,0.316959,132.762,0.99664,140.864,0.823012,0.778986,0.961694,0.0242702,0.778986,0.83303,0.867905,0.961694,0.956989,0.980511,2.53783,2.55701,2.60206,2.65046,1.77213,1.76369,1.7958,1.81224,3.62135,3.45389,3.58592,4.0877,2.61672,2.48136,2.60318,2.81158,-9999,-9999
200409,21.847,1.0,349.778,198.992,1.0,369.631,1.0,8.796,1.0,101.66,1.0,0.207,1.0,1.425,1.0,0.276628300866,0.991666666667,107.59890559,1.0,395.113879229,1.0,22.4439091597,1.0,436.830576389,1.0,366.366,1.0,23.827,1.0,15.242,12.282,1.0,1.0,2.00874,1.0,10.8233,0.999306,11.4055,0.384245,89.3352,0.999306,94.1406,0.79123,1.4138,0.943056,0.0225977,1.40912,1.42422,1.43876,0.978472,0.934722,0.979167,2.24942,2.22627,2.25181,2.27634,0.790423,0.790423,0.822258,0.873359,2.25903,2.1806,2.26129,2.50764,0.876791,0.811326,0.880311,0.937695,-9999,-9999
200410,19.575,1.0,264.109,139.36,1.0,365.611,1.0,5.61,1.0,101.35,1.0,3.897,1.0,1.273,1.0,0.241080635226,0.969086021505,68.5709437634,1.0,280.376991008,1.0,15.4152429704,1.0,419.564133065,1.0,386.901,0.999328,19.077,1.0,21.695,15.89,1.0,1.0,-1.93864,1.0,23.6753,0.999328,26.0936,0.566683,40.2734,0.999328,44.3871,0.738127,2.02499,0.952957,0.0355514,1.927,2.02269,2.07514,0.978495,0.952285,0.938844,2.908,2.76019,2.84124,2.908,0.817259,0.696468,0.817259,0.948809,3.00419,2.66049,2.83808,3.0495,1.58329,1.3341,1.49271,1.60628,-9999,-9999
