TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,3.694,0.0,141.058,70.704,0.0,224.475,0.0,1.408,0.0,101.796,0.0,0.625,0.0,1.041,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.0169,0.0,37.1843,-9999,39.5956,0.0,39.7747,-9999,0.386418,0.0,-9999,0.297533,0.386418,0.479439,0.0,0.0,0.0,1.42144,1.36639,1.38873,1.46091,0.984267,0.900317,0.984267,1.12823,0.767529,0.758596,0.767562,0.768475,0.873912,0.871122,0.881081,0.883426,-9999,0.0
200202,7.161,0.0,204.182,97.171,0.0,264.768,0.0,1.597,0.0,100.903,0.0,3.716,0.0,1.479,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.1244,0.52381,36.9786,0.0,37.9147,-9999,39.6374,0.0,40.6409,-9999,0.360617,0.0,-9999,0.273227,0.360617,0.456503,0.0,0.0,0.0,1.73524,1.73625,1.79129,1.82247,1.40003,1.37504,1.43956,1.468,1.23718,1.22278,1.23718,1.2387,1.12212,1.11919,1.13102,1.13347,-9999,0.0
200203,10.955,0.298387,294.323,171.91,0.298387,275.623,0.0,3.165,0.0,101.012,0.297715,0.789,0.297715,1.462,0.297715,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.25597,0.0,34.4082,0.298387,36.532,-9999,40.2523,0.299059,42.7367,-9999,0.274266,0.295027,-9999,0.194499,0.266187,0.326863,0.297043,0.295027,0.295027,1.96937,1.95186,2.09227,2.1932,1.82532,1.75736,1.82532,1.8668,1.95795,1.95101,1.98752,2.01019,1.75045,1.69145,1.71416,1.74326,-9999,0.0
200204,13.536,1.0,386.886,175.581,1.0,307.619,0.0,3.434,0.0,100.768,1.0,3.033,1.0,1.337,0.788889,0.362404443651,0.7375,-9999,-9999,344.425821051,1.0,-9999,-9999,0.0,1.0,0.0,1.0,391.337,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08804,0.0,29.247,1.0,39.374,-9999,20.8564,1.0,28.078,-9999,-2.95243,1.0,-9999,-3.06685,-3.00623,-2.99585,0.942361,1.0,1.0,2.82503,2.77427,3.07313,3.3161,6.26503,5.77341,6.2029,6.38286,2.98479,2.96154,3.09329,3.2715,6.3148,5.90524,6.10235,6.28794,-9999,0.0
200205,17.887,1.0,455.538,224.777,1.0,330.345,0.0,3.802,0.0,100.757,1.0,4.361,1.0,1.296,0.725806,0.344240604074,0.630376344086,164.324178241,0.58064516129,452.110571306,1.0,-9999,-9999,0.0,1.0,0.0,1.0,385.822,0.944892,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.5543,0.708333,55.1914,0.952285,112.453,-9999,10.8962,0.951613,22.2011,-9999,-3.83486,0.948253,-9999,-3.95117,-3.83486,-3.54418,0.950269,0.948253,0.936828,5.105,4.70666,5.328,5.68947,9.16286,8.65782,8.92323,9.25176,6.36501,6.75596,7.01034,7.48037,10.5766,10.1177,10.2922,10.5766,5.80146,0.977151
200206,23.414,1.0,485.889,270.84,1.0,362.444,0.0,6.729,0.0,100.936,1.0,1.8,0.986111,1.076,0.991667,0.292292030666,0.905555555556,169.083004019,0.995833333333,540.354340419,0.998611111111,-9999,-9999,0.0,1.0,0.0,1.0,381.603,1.0,23.054,20.278,21.698,1.0,1.0,1.0,18.494,-9999,0.995833,-9999,4.9876,1.0,81.4943,1.0,166.045,-9999,-1.00227,1.0,-2.04213,-9999,-7.20684,0.996528,-9999,-7.22346,-7.16133,-7.10955,1.0,0.994444,1.0,5.45353,5.13005,5.68012,6.06398,12.887,12.3476,12.887,13.1943,7.33111,7.40401,7.54173,8.04854,14.0573,13.4573,13.6268,14.0923,8.37105,1.0
200207,23.027,1.0,471.209,269.125,1.0,360.865,0.0,7.069,0.0,100.778,1.0,2.652,0.995296,1.0,0.985887,0.29340302066,0.909274193548,169.092878834,0.994623655914,526.940384116,1.0,-9999,-9999,0.0,1.0,0.0,1.0,382.809,1.0,22.764,21.306,21.915,1.0,1.0,1.0,21.182,-9999,1.0,-9999,2.09445,1.0,90.1105,1.0,159.399,-9999,5.55328,1.0,9.82335,-9999,-6.02024,0.998656,-9999,-6.14718,-6.08939,-6.05826,1.0,1.0,0.997984,6.43262,6.15414,6.7036,6.89968,12.7238,12.231,12.7238,13.0942,8.04782,7.45273,8.60997,9.35633,13.6549,12.3729,13.4514,14.2206,7.764,1.0
200208,21.974,1.0,414.917,220.819,1.0,357.04,0.0,4.645,0.0,100.728,1.0,2.839,1.0,1.004,0.475806,-9999,-9999,135.692641268,1.0,431.725363936,1.0,-9999,-9999,0.0,1.0,0.0,1.0,403.059,1.0,21.477,20.949,21.053,1.0,1.0,1.0,21.911,-9999,1.0,-9999,1.8267,1.0,61.3154,1.0,102.569,-9999,18.7092,1.0,31.2969,-9999,-4.08352,0.991935,-9999,-4.35918,-4.15743,-4.05118,0.860215,0.985887,0.926747,5.84544,5.28712,5.57452,5.71318,9.53735,9.42299,9.56328,9.87467,8.12573,7.12908,8.2138,12.1712,10.7905,9.70949,10.2381,12.6699,6.65734,1.0
200209,17.989,1.0,331.299,164.27,1.0,327.065,0.0,3.241,0.0,100.913,1.0,2.033,1.0,0.959,0.988194,0.280188259791,0.88125,84.9204753895,0.999305555556,316.284077222,0.999305555556,-9999,-9999,0.0,1.0,0.0,1.0,394.57,1.0,18.113,19.198,18.483,1.0,1.0,1.0,21.531,-9999,1.0,-9999,-1.75281,1.0,37.4488,1.0,62.0536,0.641104,14.9114,1.0,24.7085,1.17025,-1.0099,0.998611,-9999,-1.17544,-1.05565,-1.03284,0.998611,0.998611,0.999306,3.72527,3.5647,3.61512,3.72527,4.80504,4.65146,4.72955,4.78642,6.19832,5.47776,5.90799,6.25416,5.85985,5.51894,5.85985,5.96297,4.62875,1.0
200210,13.571,1.0,237.988,85.372,1.0,301.397,0.0,2.944,0.774194,100.909,1.0,2.275,0.995296,0.926,0.990591,0.228652989355,0.836021505376,28.0669279621,0.995295698925,166.687190601,1.0,-9999,-9999,0.0,1.0,0.0,1.0,419.593,1.0,13.33,15.293,14.012,1.0,1.0,1.0,24.893,-9999,1.0,-9999,-2.54259,1.0,12.7226,0.999328,15.5512,0.198446,12.3701,1.0,15.1203,0.353621,1.16013,0.981183,0.0510279,0.941394,1.08842,1.2828,0.985215,0.90457,0.901882,2.56678,2.17107,2.56817,2.70829,1.63964,1.21998,1.35968,1.49466,3.34928,3.1917,3.4205,3.901,1.82922,1.72831,1.89459,2.06558,2.63354,1.0
