TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,7.9,1.0,161.222,82.855,1.0,289.817,0.0,1.864,0.0,99.875,0.721774,1.149,1.0,1.982,0.969086,-9999,-9999,14.417375,1.0,172.069379704,1.0,-9999,-9999,-9999,-9999,-9999,-9999,385.62,1.0,3.767,5.255,-9999,1.0,1.0,-9999,31.197,31.197,1.0,1.0,-2.14564,1.0,6.94197,1.0,5.46997,-9999,14.0782,1.0,11.093,-9999,1.05591,0.995968,-9999,1.00691,1.04695,1.09125,0.997984,0.997984,0.995968,1.04269,0.890033,0.988934,1.058,-0.0179876,-0.121254,-0.0620378,-0.0179876,0.959661,0.947754,0.965687,1.01642,0.0353231,0.0262008,0.0353339,0.0527118,-9999,-9999
200202,11.524,0.96131,223.413,92.498,0.957589,309.6,0.0,2.532,0.0,99.645,0.931548,1.353,0.994792,1.925,0.988095,0.352419487056,0.60193452381,44.001449804,0.994791666667,190.784573471,0.931547619048,-9999,-9999,-9999,-9999,-9999,-9999,385.047,1.0,7.613,7.914,-9999,1.0,1.0,-9999,35.128,35.128,1.0,1.0,0.0581863,1.0,11.1606,0.988839,12.2093,-9999,28.4333,0.998512,31.1051,-9999,1.51015,0.965774,-9999,1.41863,1.47184,1.57784,0.973214,0.969494,0.96503,1.57848,1.36804,1.53975,1.65779,0.0873462,-0.0544709,0.0679079,0.0905499,1.57517,1.50998,1.56026,1.76747,0.0862867,0.0799322,0.0966844,0.264947,-9999,-9999
200203,13.159,1.0,310.08,172.568,1.0,309.033,0.0,4.441,0.0,99.592,1.0,0.475,1.0,2.371,0.991935,0.464500607133,0.608198924731,96.1616513098,0.999327956989,337.387067076,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,390.458,1.0,9.662,9.794,-9999,1.0,1.0,-9999,30.665,30.665,1.0,1.0,0.465712,1.0,18.8288,1.0,19.2619,-9999,75.0452,1.0,76.7714,-9999,1.11296,1.0,-9999,1.03483,1.07538,1.14371,1.0,1.0,1.0,1.7939,1.66033,1.78431,1.91221,0.709197,0.625501,0.699013,0.751185,1.37727,1.37455,1.39733,1.55637,0.618292,0.617844,0.647311,0.717922,-9999,-9999
200204,14.427,1.0,396.75,196.087,1.0,321.728,0.0,4.583,0.0,99.209,1.0,1.466,0.991667,2.168,0.981944,0.416672447684,0.647916666667,124.665851157,0.991666666667,368.352279167,1.0,-9999,-9999,-9999,-9999,-9999,-9999,386.918,1.0,11.525,11.134,-9999,1.0,1.0,-9999,31.447,31.447,1.0,1.0,1.57541,1.0,31.6923,1.0,34.2109,-9999,83.6061,1.0,90.2502,-9999,1.07349,0.999306,-9999,0.809738,0.976248,1.11055,0.999306,0.999306,0.999306,3.10186,2.61231,3.07509,3.23813,2.09414,1.80257,2.09414,2.15619,3.1739,3.02494,3.12582,3.19997,2.35855,2.21781,2.30621,2.35841,-9999,-9999
200205,18.224,1.0,459.283,248.843,1.0,336.618,0.0,6.657,0.0,99.415,1.0,2.651,1.0,1.744,0.995296,0.381104334535,0.795698924731,160.521533602,1.0,480.69984696,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,389.151,1.0,15.12,14.346,-9999,1.0,1.0,-9999,39.319,39.319,1.0,1.0,2.28393,1.0,66.2416,0.999328,80.1804,-9999,64.0894,1.0,77.5753,-9999,-4.64625,0.995296,-9999,-4.85072,-4.69908,-4.59362,0.999328,0.995968,0.995296,4.33311,3.7313,4.19665,4.57286,9.009,8.57616,8.8576,9.13878,6.15827,5.4716,5.86545,6.02808,10.0838,9.55594,9.8389,10.0425,-9999,-9999
200206,23.136,0.995139,486.271,279.321,1.0,353.983,0.0,11.945,0.0,99.539,1.0,0.763,1.0,1.758,0.9625,0.407542502948,0.739583333333,180.446420833,1.0,534.247420833,1.0,-9999,-9999,-9999,-9999,-9999,-9999,385.239,0.999306,18.439,17.048,-9999,1.0,1.0,-9999,30.778,30.778,1.0,1.0,2.88132,1.0,70.4363,0.999306,83.2489,-9999,79.791,0.999306,94.3053,-9999,-4.82622,0.993056,-9999,-4.86672,-4.83316,-4.79273,0.998611,0.998611,0.992361,2.29372,2.33528,2.47462,2.60429,7.0555,7.1296,7.37746,7.45651,3.22138,3.30195,3.59653,4.03456,7.74547,7.74547,7.89009,8.26363,-9999,-9999
200207,23.552,1.0,472.998,259.626,1.0,355.369,0.0,9.177,0.0,99.292,1.0,3.415,1.0,1.873,0.995296,0.40060587358,0.789650537634,171.716937986,0.999327956989,539.64153518,0.998655913978,-9999,-9999,-9999,-9999,-9999,-9999,380.276,1.0,19.931,18.974,-9999,1.0,1.0,-9999,36.246,36.246,1.0,1.0,2.0613,1.0,69.781,1.0,84.1108,-9999,71.2219,1.0,85.8476,-9999,-3.52781,0.998656,-9999,-3.6796,-3.52497,-3.29501,1.0,0.998656,0.954301,2.87268,2.87722,3.00544,3.95919,6.43746,6.52159,6.59296,7.21385,3.97727,3.97772,4.46547,5.30579,7.08361,7.08475,7.46144,8.04568,-9999,-9999
200208,22.834,1.0,421.987,226.957,1.0,356.303,0.0,6.958,0.0,99.273,1.0,8.673,1.0,1.674,0.997312,0.332220664561,0.82997311828,158.418139785,1.0,447.068975806,1.0,-9999,-9999,-9999,-9999,-9999,-9999,382.955,1.0,19.788,19.396,-9999,1.0,1.0,-9999,42.687,42.687,1.0,1.0,1.26715,1.0,79.8675,1.0,103.131,-9999,41.7926,1.0,53.966,-9999,-4.22196,0.997984,-9999,-4.31448,-4.27112,-4.21258,1.0,0.99664,0.997984,4.02463,3.40869,3.62503,3.95896,8.15366,7.70534,7.90737,8.1016,5.50026,5.01265,5.36057,5.82083,8.92727,8.72856,8.97697,9.27686,-9999,-9999
200209,19.198,1.0,344.523,175.407,0.95625,337.993,0.0,4.402,0.0,99.405,1.0,3.093,0.999306,1.753,0.993056,0.334260060399,0.848611111111,100.28655393,0.999305555556,341.19778957,0.930555555556,-9999,-9999,-9999,-9999,-9999,-9999,386.143,1.0,17.285,17.825,-9999,1.0,1.0,-9999,49.381,49.381,1.0,1.0,-0.937659,1.0,67.484,0.988194,78.9584,-9999,19.2728,1.0,22.5498,-9999,-3.56196,0.980556,-9999,-3.60647,-3.51914,-3.48841,0.977083,0.985417,0.980556,3.91654,3.82335,3.91654,4.17624,7.39159,7.32189,7.4231,7.82137,4.72491,4.49064,4.65507,5.01452,7.8305,7.6757,7.79056,8.01217,-9999,-9999
200210,16.935,1.0,255.828,126.276,0.914651,327.441,0.0,3.68,0.0,99.597,1.0,2.173,0.926747,1.774,0.99328,0.346615499371,0.748655913978,68.2560472701,0.92002688172,238.137156043,0.808467741935,-9999,-9999,-9999,-9999,-9999,-9999,385.647,0.985887,14.27,15.034,-9999,1.0,1.0,-9999,45.872,45.872,1.0,1.0,-1.29669,0.991935,41.2388,0.976478,56.9822,-9999,8.0826,0.985887,11.1682,-9999,-2.14007,0.952285,-9999,-2.21505,-2.14007,-2.13119,0.935484,0.952285,0.980511,3.07961,2.79787,3.01266,3.10377,5.18679,4.93816,5.16631,5.22372,4.05599,3.76998,4.07295,4.33158,5.59033,5.49158,5.59033,5.67812,-9999,-9999
