TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199901,7.469,0.629032,151.618,66.239,0.63172,287.623,0.0,2.11,0.0,101.595,0.177419,2.52,0.610887,1.869,0.451613,-9999,-9999,-9999,-9999,107.244511338,0.596102150538,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,411.473,0.679435,5.814,-9999,-9999,0.629032,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,7.68558,0.679435,12.1409,-9999,-21.3196,0.679435,-33.6785,-9999,0.80753,0.630376,-9999,0.80753,0.829629,0.846569,0.630376,0.647177,0.648522,3.33998,3.31546,3.3392,3.35556,2.53245,2.47899,2.51447,2.53245,3.44237,3.34662,3.4086,3.47458,2.61392,2.61397,2.63583,2.73281,-9999,-9999
199902,6.542,1.0,214.305,92.194,0.995536,271.808,0.0,2.867,0.0,101.322,0.429315,1.679,1.0,2.268,0.429315,-9999,-9999,-9999,-9999,176.950567817,0.994047619048,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,408.431,1.0,1.457,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,16.1493,1.0,23.7242,-9999,-3.11656,1.0,-4.57841,-9999,-0.145943,0.99628,-9999,-0.109224,-0.0940456,-0.0508514,0.99628,0.99628,0.995536,3.4271,3.4378,3.48956,3.52659,3.57304,3.52014,3.57552,3.62523,3.16335,2.67561,3.23752,3.77116,3.46833,3.07923,3.26052,3.46331,-9999,-9999
199903,10.296,1.0,302.67,165.932,0.969758,297.15,0.0,3.036,0.0,101.292,0.515457,1.768,1.0,2.39,0.515457,0.480615465667,0.514784946237,-9999,-9999,313.096819452,0.942204301075,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,401.192,0.915995,8.016,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,40.164,0.915995,56.8938,-9999,23.1302,0.915995,32.7648,-9999,-0.818739,0.902554,-9999,-0.821368,-0.81028,-0.772393,0.906586,0.902554,0.900538,3.37127,3.29807,3.37127,3.47821,4.19,4.11833,4.19,4.23557,1.99688,1.44201,1.71226,2.08828,3.887,3.68447,3.82044,4.02487,-9999,-9999
199904,13.15,1.0,392.162,205.155,0.997222,316.276,0.0,3.544,0.0,101.402,0.990278,3.153,1.0,1.837,1.0,0.332567062472,1.0,-9999,-9999,394.045520566,0.982638888889,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,398.173,1.0,16.048,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,52.4729,1.0,71.4676,-9999,44.4326,1.0,60.5168,-9999,-2.86996,1.0,-9999,-3.01754,-2.86996,-2.80024,1.0,1.0,1.0,4.19433,4.12914,4.1965,4.31642,7.0643,7.04426,7.09615,7.16403,2.74528,2.49383,2.70287,3.01509,5.37548,5.46613,5.57841,5.80704,-9999,-9999
199905,18.245,1.0,457.598,259.547,1.0,341.079,0.0,4.698,0.0,101.483,1.0,0.574,1.0,1.78,1.0,0.340628555287,0.805779569892,-9999,-9999,499.128142062,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,398.364,1.0,20.688,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,61.31,1.0,92.376,-9999,54.8879,1.0,82.6997,-9999,-2.54386,1.0,-9999,-2.59316,-2.55755,-2.49233,1.0,1.0,1.0,5.13209,4.96414,5.13209,5.42969,7.67595,7.54356,7.69628,7.92214,3.85053,3.76197,3.9821,4.25316,7.07871,6.79079,6.97949,7.2014,-9999,-9999
199906,21.316,1.0,486.173,329.548,0.997222,346.879,0.0,5.925,0.0,101.408,0.999306,2.373,1.0,1.892,0.899306,0.367329239783,0.999305555556,-9999,-9999,631.874922955,0.995833333333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,394.861,1.0,22.617,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,88.2672,0.584028,117.96,-9999,93.9508,0.584028,125.555,-9999,-2.67132,1.0,-9999,-2.80936,-2.69213,-2.63714,1.0,1.0,1.0,4.47456,4.20278,4.41796,4.47456,7.14588,6.98892,7.04191,7.11224,3.35116,2.90862,3.21931,3.38696,6.06834,5.94629,6.06066,6.14875,-9999,-9999
199907,24.25,1.0,472.237,319.968,1.0,359.811,0.0,6.811,0.0,101.231,0.355511,0.116,1.0,1.57,0.125672,-9999,-9999,-9999,-9999,615.322165376,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,394.974,0.846102,25.293,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,47.1442,0.634409,63.0033,-9999,102.567,0.634409,137.07,-9999,-2.47985,0.827957,-9999,-2.63951,-2.53911,-2.14777,0.829973,0.827957,0.801747,4.15769,3.97052,4.0962,4.17788,6.63754,6.53803,6.66493,6.71718,3.8207,3.01712,3.8207,4.2558,5.57738,5.0285,5.49683,5.79203,-9999,-9999
199908,24.622,1.0,418.726,244.02,0.997984,366.728,0.0,5.847,0.0,101.071,1.0,0.4,1.0,2.079,1.0,0.421602107668,1.0,-9999,-9999,468.506449128,0.996639784946,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,397.451,1.0,26.61,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,64.8638,1.0,99.2515,-9999,84.1331,1.0,128.736,-9999,-1.40558,0.998656,-9999,-1.44842,-1.41662,-1.36193,1.0,0.998656,0.998656,3.41039,3.3026,3.37851,3.42608,4.81597,4.73454,4.75254,4.79135,1.91087,2.1255,2.33126,2.63892,3.74297,3.83761,3.93104,4.06875,-9999,-9999
199909,21.566,1.0,338.329,203.268,1.0,349.059,0.0,5.002,0.0,101.258,1.0,6.767,1.0,1.851,1.0,0.327650564438,1.0,-9999,-9999,390.834883917,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,395.147,1.0,21.018,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.7811,1.0,84.8251,-9999,58.2416,1.0,110.322,-9999,-0.578954,0.999306,-9999,-0.582904,-0.557533,-0.538653,0.998611,0.998611,1.0,3.69923,3.69923,3.74659,3.79345,4.27819,4.27819,4.30374,4.34919,3.02821,3.07503,3.58784,3.97446,3.97169,3.77481,4.13869,4.34067,-9999,-9999
199910,17.059,0.605511,247.403,126.93,0.607527,331.291,0.0,3.291,0.0,101.635,0.59207,3.373,0.591398,1.871,1.0,0.315324095114,1.0,-9999,-9999,264.044181805,0.578629032258,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,396.965,1.0,19.501,-9999,-9999,0.605511,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.79428,0.0638441,39.9701,1.0,75.712,-9999,20.9672,1.0,39.7165,-9999,-0.269462,0.889113,-9999,-0.369143,-0.280405,-0.247368,0.950941,0.88172,0.86828,4.88765,4.57414,4.71285,4.89723,5.15711,4.94221,4.99966,5.15042,5.12259,3.07761,3.29177,5.12259,4.32546,4.27692,4.39563,5.1193,-9999,-9999
