TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,-3.202,0.0,136.455,62.324,0.653898,248.863,0.0,2.103,0.0,78.549,0.0,1.801,0.0,1.07,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,97.7346,0.0,257.136,-9999,32.5303,0.0,85.5859,-9999,-4.12967,0.0,-9999,-4.33588,-4.22429,-4.12039,0.0,0.0,0.0,2.30704,1.90218,1.99797,2.52228,6.76105,6.17895,6.27701,6.81554,1.97354,1.81943,2.00144,5.33557,2.86405,2.38665,2.86003,3.64168,-9999,0.0
200802,-2.449,0.0,201.194,120.037,0.594109,239.343,0.0,2.262,0.0,78.979,0.0,0.475,0.0,0.776,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,97.8577,0.0,106.748,-9999,32.7713,0.0,35.7485,-9999,-4.16797,0.0,-9999,-4.3662,-4.25651,-4.15813,0.0,0.0,0.0,2.38611,1.98129,2.08086,2.65222,6.83358,6.29004,6.37274,6.93027,2.01214,1.85502,2.04059,5.43994,4.85521,4.18866,4.84876,6.00205,-9999,0.0
200803,-2.155,0.0,293.843,170.177,0.530914,251.013,0.0,2.149,0.0,77.358,0.0,1.467,0.0,1.569,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.02313,0.676747,97.7346,0.0,106.614,-9999,32.5303,0.0,35.4857,-9999,-4.12967,0.0,-9999,-4.33588,-4.22429,-4.12039,0.0,0.0,0.0,2.417,2.0109,2.11191,2.69902,6.81896,6.29289,6.37974,6.9188,2.0287,1.87028,2.05738,5.48471,6.34242,5.57528,6.33424,7.69148,-9999,0.0
200804,0.677,0.0,387.291,196.227,0.466667,267.959,0.0,2.343,0.0,77.712,0.0,2.267,0.0,1.391,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.28183,0.0,98.186,0.0,274.448,-9999,32.8616,0.0,91.854,-9999,-4.28103,0.0,-9999,-4.48888,-4.43989,-4.4249,0.0,0.0,0.0,2.71304,2.28403,2.42038,3.46758,7.22997,6.74517,6.82065,7.61976,2.17559,2.00571,2.20635,5.89887,7.10799,6.28352,7.09889,8.55165,-9999,0.0
200805,6.405,0.0,456.272,240.333,0.40457,286.436,0.0,3.266,0.0,78.266,0.0,1.648,0.0,1.175,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.51844,0.0,98.3997,0.0,442.751,-9999,32.9909,0.0,148.443,-9999,-4.24626,0.0,-9999,-4.49752,-4.47075,-4.43713,0.0,0.0,0.0,3.29984,2.90875,3.05246,4.62649,7.51937,7.31535,7.50402,8.69889,2.44647,2.27148,2.48106,7.10072,8.42804,7.51093,8.4174,9.97821,-9999,0.0
200806,9.817,0.442361,485.957,230.305,0.604167,307.956,0.442361,3.416,0.442361,78.605,0.347222,2.213,0.364583,1.234,0.365972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.32151,0.443056,99.9211,0.442361,106.648,0.681623,33.171,0.441667,35.4042,0.260137,-4.64115,0.329861,0.13236,-4.75739,-4.72551,-4.64115,0.336111,0.336111,0.329861,3.85922,3.55951,3.74187,5.08987,8.28757,8.22693,8.37895,9.64902,2.7399,2.33631,2.60332,7.52014,8.04632,7.14177,8.03613,9.5791,1.64162,0.866667
200807,10.534,1.0,469.457,264.612,1.0,304.687,1.0,4.212,1.0,78.705,0.877016,2.65,0.995968,1.455,0.988575,0.145189686765,0.903225806452,149.589230126,0.993279569892,524.240398559,0.992607526882,52.3002897036,0.995967741935,368.415084949,0.995967741935,371.343,0.995296,13.057,13.136,11.506,1.0,1.0,1.0,13.614,20.08,1.0,1.0,4.49589,1.0,103.242,1.0,110.193,0.727898,32.6792,1.0,34.8793,0.400139,-4.07202,0.964382,0.0639805,-4.22119,-4.15277,-4.08021,0.974462,0.974462,0.964382,5.18192,4.70937,5.17233,5.45617,9.14954,8.92696,9.3251,9.49299,3.24393,4.04869,4.4536,6.50089,8.82913,8.65342,8.87998,9.62063,1.68252,1.0
200808,10.578,1.0,410.753,235.031,1.0,308.094,1.0,3.692,1.0,78.682,0.874328,1.858,0.995968,1.431,0.981855,0.1383952842,0.864919354839,130.988617748,0.991935483871,467.855732293,0.993951612903,45.7304999139,0.993951612903,367.859680694,0.995967741935,369.436,0.997984,12.944,13.082,11.948,1.0,1.0,1.0,13.994,19.001,1.0,1.0,2.40467,1.0,84.8316,1.0,91.9302,0.576478,32.9121,1.0,35.6661,0.35632,-1.6474,0.979839,0.0429266,-1.82446,-1.77937,-1.6482,0.981183,0.983199,0.979839,5.46746,5.16714,5.55276,5.93829,7.02887,6.98479,7.25183,7.58569,4.71888,4.47098,4.88306,5.90834,7.46904,6.77022,7.07413,7.43179,1.69285,1.0
200809,5.823,1.0,325.092,166.422,1.0,297.064,1.0,1.995,1.0,78.487,0.784722,2.161,0.993056,1.191,0.966667,0.118749474422,0.842361111111,85.4208639113,0.990277777778,331.752641469,0.991666666667,34.0273238874,0.991666666667,345.322154379,0.993055555556,371.953,0.998611,9.056,10.209,10.298,1.0,1.0,1.0,17.656,19.08,1.0,1.0,-1.34448,1.0,47.8423,1.0,50.9308,0.547009,32.8752,0.999306,34.9975,0.353077,-0.448687,0.890972,0.0337776,-0.581929,-0.540055,-0.455153,0.977083,0.983333,0.7875,3.74965,3.49028,3.55868,3.63451,4.26472,3.97709,4.04128,4.10556,3.14208,2.85693,3.52422,5.89498,4.60638,4.10713,4.31209,5.26829,1.93696,1.0
200810,3.917,0.985887,230.864,124.346,0.954973,282.409,0.950269,2.184,0.985887,78.541,0.814516,1.792,0.834005,1.13,0.940188,0.108406347186,0.786290322581,52.922827692,0.859543010753,275.448195083,0.861559139785,33.4154654274,0.959677419355,330.924229595,0.962365591398,373.312,0.956989,4.976,6.704,7.278,1.0,1.0,1.0,13.924,18.424,1.0,1.0,-2.92952,1.0,24.0275,0.974462,22.985,0.296873,26.9082,0.979839,25.7408,0.342958,-0.399113,0.87836,0.0243355,-0.378704,-0.293016,-0.247565,0.840726,0.924059,0.936828,1.47196,1.52789,1.64389,1.71167,1.77626,1.82749,1.96574,2.04397,1.04296,1.17775,2.22308,2.63081,1.99997,1.72516,2.01853,2.28364,2.23945,1.0
