TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-9.886,0.0,146.91,53.174,0.0,235.043,0.0,0.362,0.0,93.664,0.0,2.399,0.0,4.313,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,100.267,0.0,-9999,-9999,100.39,0.0,-9999,-9999,-0.0845219,0.0,-9999,-0.170773,-0.124577,0.0023296,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200302,-11.455,0.0,209.806,99.03,0.0,221.523,0.0,0.397,0.0,94.311,0.0,0.799,0.0,2.689,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,100.505,0.0,-9999,-9999,100.908,0.0,-9999,-9999,-0.0795471,0.0,-9999,-0.168243,-0.121991,0.0024425,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200303,-6.06,0.0,298.975,140.235,0.0,245.442,0.0,0.646,0.0,94.138,0.0,1.829,0.0,3.907,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,100.344,0.0,-9999,-9999,100.424,0.0,-9999,-9999,-0.0779452,0.0,-9999,-0.16356,-0.118417,0.00132231,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200304,1.607,0.0,389.84,164.622,0.0,280.985,0.0,1.47,0.0,93.974,0.0,1.755,0.0,3.553,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.12151,0.584722,100.368,0.0,-9999,-9999,100.563,0.0,-9999,-9999,-0.0807089,0.0,-9999,-0.167502,-0.122117,0.00201777,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200305,7.939,0.0,456.706,222.163,0.0,298.341,0.0,2.644,0.0,94.189,0.0,1.286,0.0,3.09,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.21835,0.0,100.267,0.0,-9999,-9999,100.39,0.0,-9999,-9999,-0.0845219,0.0,-9999,-0.170773,-0.124577,0.0023296,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200306,12.671,0.0,486.069,210.394,0.0,334.991,0.0,2.625,0.0,93.638,0.0,1.832,0.0,2.614,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.21233,0.0,100.368,0.0,-9999,-9999,100.563,0.0,-9999,-9999,-0.0807089,0.0,-9999,-0.167502,-0.122117,0.00201777,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200307,13.514,0.469086,471.803,212.644,0.47043,330.843,0.469086,2.89,0.469086,94.093,0.427419,1.641,0.0,2.242,0.465726,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.06846,0.469086,87.9247,0.467742,-9999,1.26,90.2963,0.467742,-9999,0.980424,-0.0796595,0.0,-9999,-0.168171,-0.122003,0.0024014,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200308,16.201,1.0,417.057,142.905,1.0,356.793,1.0,2.078,1.0,93.984,0.935484,2.333,0.0,3.248,1.0,0.48631947793,0.926747311828,301.584370471,0.998655913978,20.4237526882,1.0,391.286586022,1.0,365.21,1.0,15.362,1.0,23.731,1.0,4.21076,1.0,69.7081,1.0,-9999,1.34695,18.838,1.0,-9999,0.769442,-0.0779452,0.0,-9999,-0.16356,-0.118417,0.00132231,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200309,12.265,1.0,335.224,135.515,1.0,320.622,1.0,2.233,1.0,94.219,0.891667,2.588,0.0,3.278,1.0,0.498802983539,0.891666666667,282.209001123,0.999305555556,18.9681034722,1.0,369.179243056,1.0,369.821,0.999306,12.909,1.0,27.227,1.0,-0.0829347,1.0,65.7924,0.999306,-9999,1.4243,11.9008,0.999306,-9999,0.869677,-0.0807089,0.0,-9999,-0.167502,-0.122117,0.00201777,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200310,6.106,1.0,243.225,86.135,1.0,293.081,1.0,1.651,1.0,94.076,0.912634,3.07,0.0,4.249,1.0,0.634252232143,0.897177419355,177.712288978,1.0,11.5206189516,1.0,338.385147849,1.0,377.204,1.0,7.798,1.0,36.67,1.0,-3.4329,1.0,37.4435,1.0,-9999,1.16522,1.38644,0.999328,-9999,0.813189,-0.0845219,0.0,-9999,-0.170773,-0.124577,0.0023296,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200311,-0.278,0.997917,166.137,48.915,0.997222,273.301,0.997917,0.752,0.997917,94.543,0.186111,2.721,0.0,4.128,0.988194,-9999,-9999,105.071379381,0.988194444444,12.0529141918,0.988194444444,307.372535535,0.988194444444,392.963,0.386111,3.31,0.997917,40.094,0.997917,-4.79201,0.997917,32.3287,0.386111,-9999,1.25731,-8.66675,0.386806,-9999,0.827103,-0.0807089,0.0,-9999,-0.167502,-0.122117,0.00201777,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200312,-6.284,0.834677,129.745,41.084,0.842742,250.649,0.834677,0.35,0.834677,93.721,0.0,2.832,0.0,3.92,0.72379,-9999,-9999,94.4060884034,0.688172043011,16.3451053766,0.688172043011,282.508586475,0.688172043011,400.099,0.0,1.318,0.834677,39.362,0.834677,-3.33542,0.834677,36.358,0.0,-9999,-9999,-16.5836,0.0,-9999,-9999,-0.0796595,0.0,-9999,-0.168171,-0.122003,0.0024014,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200401,-8.457,0.0645161,146.91,50.724,0.0712366,238.899,0.0645161,0.402,0.0645161,93.839,0.0,3.559,0.0,3.353,0.0168011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,418.701,0.0,1.019,0.0645161,39.891,0.0645161,-2.60201,0.0645161,38.2691,0.0,-9999,-9999,-21.6231,0.0,-9999,-9999,-0.0779452,0.0,-9999,-0.16356,-0.118417,0.00132231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166321,-0.0215461,0.106235,0.151653,0.0192433,0.0192477,0.019809,0.0228181,0.0551627,0.0528276,0.0551627,0.0684651,-9999,-9999
