TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,24.834,1.0,409.433,175.971,1.0,420.27,1.0,4.931,1.0,99.804,0.0,4.018,1.0,2.103,0.998656,0.290302935144,0.885752688172,132.443620079,1.0,385.001729556,1.0,19.323656996,1.0,446.254100806,1.0,-9999,-9999,24.556,1.0,42.0,1.0,-1.7154,1.0,91.8491,1.0,94.1816,0.85053,38.9574,1.0,39.9467,0.693524,-1.26234,0.998656,0.108677,-1.51443,-1.41185,-1.35808,0.998656,0.999328,0.999328,4.7627,4.37855,4.4984,4.61089,6.04578,5.87416,5.9189,5.99338,3.69621,3.7888,4.1682,4.35411,5.86906,5.86425,6.15762,6.25233,5.61883,1.0
200302,25.395,1.0,428.348,214.219,1.0,419.433,1.0,5.781,1.0,99.671,0.0,5.546,1.0,2.047,0.999256,0.313222748103,0.883928571429,161.047229795,1.0,473.631768914,1.0,23.3910115923,1.0,449.991127976,1.0,-9999,-9999,24.585,1.0,42.1,1.0,-0.98928,1.0,108.73,1.0,110.404,1.01234,50.8396,1.0,51.6224,0.827479,-2.14405,0.988839,0.132875,-2.20714,-2.15113,-2.10408,0.997024,0.997768,0.985119,4.40099,4.30809,4.37825,4.41628,6.54522,6.49473,6.53694,6.54993,3.64202,3.64202,3.82726,3.91271,6.50669,6.45264,6.57576,6.66779,5.61804,1.0
200303,26.145,1.0,439.684,237.843,1.0,422.919,1.0,7.292,1.0,99.624,0.0,5.505,1.0,1.927,0.998656,0.296969386661,0.837365591398,180.21779257,1.0,526.47183061,0.999327956989,25.6148425806,1.0,455.669789651,1.0,-9999,-9999,25.12,1.0,39.4,1.0,-0.562778,1.0,111.323,1.0,112.75,1.12437,67.1872,1.0,68.0482,0.90754,-2.23192,0.975134,0.114919,-2.45923,-2.25801,-2.2196,0.959005,0.985887,0.985215,3.71446,3.63309,3.76598,3.92876,5.95375,6.00953,6.07669,6.19812,4.09463,3.85502,4.0091,4.10982,6.4003,6.34748,6.4003,6.48959,5.60303,1.0
200304,26.232,1.0,433.614,228.36,1.0,426.558,1.0,6.343,1.0,99.556,0.0,6.961,1.0,1.79,0.998611,-9999,-9999,174.558190881,1.0,505.86734816,1.0,24.6067385903,1.0,456.287511111,1.0,-9999,-9999,25.396,1.0,42.8,1.0,-0.409895,1.0,109.998,0.961111,111.428,1.07051,61.8422,0.963194,62.6463,0.906679,-3.32779,0.883333,0.129407,-3.32779,-3.19935,-3.00246,0.883333,0.904167,0.904861,4.18238,3.31471,3.90639,4.48344,7.51017,6.52113,7.22478,7.57178,3.9265,3.9265,4.45128,5.01942,7.07512,6.44444,6.95279,7.22105,5.59529,1.0
200305,26.693,1.0,416.097,196.945,1.0,423.177,1.0,7.405,1.0,99.51,0.0,3.129,1.0,1.846,1.0,-9999,-9999,139.270214503,1.0,438.859603199,1.0,23.2038668481,1.0,458.231273522,1.0,-9999,-9999,25.668,1.0,42.1,1.0,-0.439675,1.0,97.8906,0.986559,98.7725,0.949274,40.8121,0.987231,41.1797,0.748435,-2.9032,0.926075,0.107108,-2.93767,-2.8294,-2.41646,0.926075,0.922715,0.950941,3.54424,3.49519,3.56191,3.77676,6.44744,6.14639,6.42162,6.48626,5.35605,4.68145,5.0846,5.56857,7.81434,7.38124,7.56043,7.8444,5.58767,1.0
200306,26.032,1.0,403.457,207.121,1.0,421.699,1.0,7.109,1.0,99.542,0.0,3.374,1.0,2.014,0.997917,0.267534206595,0.872916666667,149.47823433,1.0,462.078434389,1.0,25.2777189444,1.0,454.96119375,1.0,-9999,-9999,25.239,1.0,37.6,1.0,-0.815212,1.0,99.0243,1.0,101.046,1.07323,48.2488,1.0,49.2336,0.958847,-3.06274,0.988194,0.119205,-3.18975,-3.06548,-2.82655,0.984028,0.988194,0.992361,3.59513,3.50503,3.60715,3.76312,6.66061,6.46682,6.65822,6.68471,3.27105,3.31622,3.41353,3.57774,6.46738,6.45296,6.489,6.56274,5.5997,1.0
200307,25.555,1.0,406.88,188.23,1.0,422.204,1.0,5.769,1.0,99.618,0.0,4.155,1.0,1.913,1.0,0.255367924787,0.858198924731,137.882497644,1.0,419.22256662,1.0,21.8038684745,1.0,451.596659274,1.0,-9999,-9999,25.038,1.0,41.1,1.0,-0.652529,1.0,96.9004,1.0,99.0077,1.03885,38.6701,1.0,39.5111,0.77397,-2.44732,0.997312,0.118407,-2.56016,-2.50625,-2.44352,0.99328,0.993952,0.998656,4.78159,4.69315,4.72633,4.76952,7.26176,7.17949,7.25326,7.28404,4.52807,4.45657,4.83455,5.12983,6.97268,6.91526,7.21103,7.3319,5.60531,1.0
200308,26.072,1.0,421.939,202.272,1.0,421.645,1.0,7.606,1.0,99.609,0.0,2.394,1.0,1.967,0.997312,0.274009277882,0.604166666667,147.190374411,1.0,451.332520289,1.0,22.5273497648,1.0,455.014514113,1.0,-9999,-9999,25.142,1.0,37.6,1.0,-0.730391,1.0,91.5731,0.989919,93.3989,1.00751,48.3908,0.989919,49.3557,0.83803,-2.12421,0.93414,0.0960165,-2.22056,-2.17349,-2.12747,0.944892,0.912634,0.910618,4.01538,3.79458,4.01085,4.21422,6.13348,6.03114,6.16089,6.39094,3.9967,3.87558,4.16093,4.35645,6.1969,6.20649,6.32813,6.56731,5.60242,1.0
200309,25.497,1.0,433.152,196.75,1.0,419.784,1.0,5.862,1.0,99.667,0.0,4.364,1.0,2.048,0.998611,0.287196816235,0.704861111111,144.613566451,1.0,434.901637106,0.999305555556,21.4139782431,1.0,451.3803375,1.0,-9999,-9999,24.799,1.0,38.3,1.0,-0.738185,1.0,95.712,0.999306,97.4472,1.13254,47.4663,1.0,48.3269,0.865221,-2.29798,0.965972,0.109314,-2.36554,-2.23545,-2.09573,0.98125,0.972222,0.961111,4.52647,4.47893,4.54204,4.8092,6.82445,6.77749,6.86107,6.95919,4.46395,4.42487,4.62318,4.69738,6.8897,6.83722,6.90669,6.97892,5.61202,1.0
200310,25.705,1.0,429.344,197.083,1.0,424.827,0.999328,6.644,1.0,99.646,0.0,4.445,1.0,1.92,0.997312,0.275421687672,0.860887096774,149.233563485,1.0,437.019035282,1.0,20.6050981384,1.0,452.990304435,1.0,-9999,-9999,24.928,1.0,39.9,1.0,-0.692772,0.999328,99.784,1.0,101.343,0.998126,47.8782,1.0,48.6264,0.890304,-2.58239,0.978495,0.102208,-2.98178,-2.77902,-2.64421,0.987903,0.980511,0.977823,4.52501,3.97518,4.22078,4.45607,7.1074,6.85039,7.00076,7.12356,4.04643,3.70779,3.94885,4.15771,6.77036,6.74171,6.77981,6.83762,5.6084,1.0
