TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,3.589,0.0,91.4084,19.977,0.0,309.487,0.0,0.879,0.0,100.636,0.0,5.538,0.0,3.342,0.0,0.297440725685,0.6875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,389.357,0.262769,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,16.2832,0.227151,8.16642,-9999,-18.3242,0.704301,-9.19003,-9999,0.500404,0.201613,-9999,0.495148,0.498114,0.505294,0.213038,0.209677,0.205645,3.19061,3.16379,3.20977,3.43262,2.91667,2.66864,2.70259,2.91763,0.752838,0.647678,0.75032,0.752838,0.734355,0.76416,0.76473,0.80199,-9999,-9999
200402,4.131,0.0,156.328,49.106,0.0,304.026,0.0,1.401,0.0,101.639,0.0,3.292,0.0,3.052,0.0,0.334843640064,0.688936781609,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,378.414,0.274425,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.4253,0.261494,57.4429,-9999,-13.6511,0.689655,-30.8417,-9999,0.0524499,0.201868,-9999,0.0328201,0.055029,0.0588388,0.181034,0.204023,0.219828,3.2749,3.24932,3.29543,3.50571,3.44424,3.19048,3.25661,3.45042,0.760385,0.654171,0.757841,0.760385,1.70553,1.7661,1.76723,1.83264,-9999,-9999
200403,4.843,0.0,255.47,109.481,0.0,295.64,0.0,1.896,0.0,101.851,0.0,1.447,0.0,2.773,0.0,0.300246468277,0.709677419355,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,385.821,0.588038,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.22709,0.829301,22.2858,0.631048,40.4147,-9999,2.29111,0.726478,4.15488,-9999,-0.0654849,0.453629,-9999,-0.0805179,-0.0717875,-0.053213,0.473118,0.469758,0.387769,3.38168,3.35708,3.40368,3.6027,3.67677,3.42142,3.45161,3.67677,0.771606,0.663825,0.769025,0.771606,3.55707,3.66343,3.66533,3.75437,-9999,-9999
200404,9.234,0.0,361.876,175.247,0.0,310.232,0.0,3.234,0.0,101.161,0.0,1.507,0.0,2.235,0.0,0.239250366875,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,380.22,0.652778,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.949029,0.0,45.5767,0.422222,74.6507,-9999,18.4305,1.0,30.1875,-9999,-0.94049,0.369444,-9999,-0.932215,-0.904265,-0.899776,0.318056,0.398611,0.395139,4.05913,4.04367,4.08457,4.1959,5.08862,4.94556,5.00245,5.0926,0.834449,0.717889,0.831657,0.834449,5.40748,5.54695,5.54936,5.6402,-9999,-9999
200405,11.28,0.0,445.156,217.612,0.0,321.306,0.0,3.407,0.0,101.423,0.0,0.953,0.0,2.081,0.0,0.240033997715,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,379.402,0.97043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.915576,0.0,62.4452,0.995296,81.3538,-9999,22.8771,0.999328,29.8044,-9999,-3.48911,0.726478,-9999,-3.50286,-3.47535,-3.46588,0.649194,0.799731,0.636425,4.37757,4.36689,4.41038,4.47109,7.93639,7.82951,7.88606,7.94439,0.862639,0.742142,0.859753,0.862639,6.53528,6.69105,6.69368,6.77903,-9999,-9999
200406,15.151,0.210417,482.758,229.908,0.209722,342.024,0.210417,4.102,0.0,101.514,0.209722,2.601,0.0,2.461,0.0,0.284259669653,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,372.34,0.997222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.642042,0.209722,76.9677,0.990972,99.7351,-9999,9.6816,0.999306,12.5455,-9999,-3.05673,0.836111,-9999,-3.08839,-3.06771,-3.0541,0.875694,0.786111,0.815278,4.95983,4.91711,4.95533,4.95907,8.02346,7.97128,8.02608,8.04347,1.76157,1.5594,1.70202,1.76157,7.20056,7.39625,7.39718,7.41434,-9999,-9999
200407,17.086,1.0,462.408,211.193,1.0,353.299,1.0,4.223,0.0,101.468,0.998656,2.789,0.0,2.019,0.0,0.24443712379,1.0,121.303016097,0.998655913978,-9999,-9999,39.4803951575,0.998655913978,398.843645044,0.998655913978,367.079,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.532266,1.0,78.9809,1.0,102.344,-9999,14.5082,1.0,18.7999,-9999,-1.9614,0.99328,-9999,-1.98822,-1.96349,-1.93812,0.990591,0.994624,0.995968,5.33081,5.22072,5.27475,5.35148,7.21568,7.20092,7.2433,7.2868,5.47338,5.25011,5.35201,5.40457,7.36982,7.36982,7.39932,7.4481,-9999,-9999
200408,18.99,1.0,390.87,179.265,1.0,362.724,1.0,5.859,0.0,100.999,1.0,5.819,0.0,2.432,0.0,0.265458908602,1.0,98.0570986962,1.0,-9999,-9999,34.0091802688,1.0,408.33916129,1.0,363.485,0.905242,19.602,19.322,16.138,-9999,-9999,-9999,-9999,-9999,-9999,0.997984,0.997984,0.997984,-9999,-9999,-9999,-9999,-9999,-9999,-0.164244,1.0,79.9674,0.905242,94.6414,-9999,3.59615,1.0,4.25605,-9999,-0.511788,0.903226,-9999,-0.623147,-0.490576,-0.481086,0.901882,0.903226,0.903226,6.55112,6.38731,6.42831,6.55112,6.89963,6.88346,6.90292,7.17468,4.1039,3.82218,4.03902,4.10876,5.25825,5.09646,5.15843,5.23602,-9999,-9999
200409,15.501,0.875,291.375,136.089,0.877778,341.965,0.875,5.153,0.0,101.657,0.859028,4.153,0.415972,2.933,0.482639,0.297520513819,1.0,60.3543912212,0.829861111111,-9999,-9999,24.037077071,0.829861111111,384.741988953,0.829861111111,361.152,0.470139,15.446,15.839,15.337,-9999,-9999,-9999,-9999,-9999,-9999,0.875,0.875,0.875,-9999,-9999,-9999,-9999,-9999,-9999,-2.6366,0.875,89.1519,0.471528,134.805,-9999,-3.8506,1.0,-5.8224,-9999,-2.05479,0.4625,-9999,-2.09547,-2.05479,-2.04204,0.459028,0.4625,0.4625,4.35871,4.31735,4.34254,4.36139,6.38127,6.33928,6.3855,6.43947,4.58334,2.89333,4.21378,4.8106,5.62583,4.48531,5.13202,5.48147,-9999,-9999
200410,11.584,1.0,188.117,72.62,1.0,325.949,1.0,3.366,0.0,100.807,0.998656,2.418,0.998656,2.749,0.998656,0.303977668078,1.0,23.948857311,0.997983870968,-9999,-9999,13.6632693823,0.998655913978,367.599565305,0.998655913978,367.098,0.883737,11.944,12.617,13.465,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-2.65676,1.0,29.7695,0.883737,54.7953,-9999,-15.6666,1.0,-28.8368,-9999,0.153019,0.879032,-9999,0.135492,0.149447,0.162377,0.88172,0.879032,0.87836,2.66158,2.6379,2.65318,2.66158,2.53044,2.48285,2.50539,2.52542,1.88697,1.57614,1.86004,1.88697,2.23297,2.08432,2.22678,2.23833,-9999,-9999
