TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,-0.221,0.0,91.9162,34.061,0.0,293.395,0.0,0.51,0.0,101.14,0.0,0.517,0.0,2.662,0.0,0.591116374723,0.997983870968,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,8.51706,0.69086,15.305,-9999,-7.96468,0.99664,-14.3123,-9999,0.10033,0.0,-9999,0.0675399,0.10033,0.10033,0.0,0.0,0.0,2.3087,1.56158,1.67956,2.3087,2.20837,1.49404,1.58824,2.20837,4.2282,4.16954,4.2282,4.22918,1.96102,1.96102,1.96102,1.96689,-9999,0.0
199602,0.113,0.0,156.85,50.296,0.0,305.134,0.0,0.518,0.0,100.821,0.0,2.046,0.0,2.622,0.0,0.538337001712,0.999281609195,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.9754,0.486351,23.1925,-9999,-7.75225,0.998563,-8.18163,-9999,0.135893,0.0,-9999,0.105111,0.135893,0.135893,0.0,0.0,0.0,2.35405,1.59817,1.71844,2.35405,2.21816,1.49306,1.59346,2.21816,4.26513,4.20596,4.26513,4.26612,2.69628,2.69628,2.69628,2.70131,-9999,0.0
199603,2.866,0.0,255.93,107.778,0.0,304.711,0.0,1.248,0.0,101.389,0.0,0.724,0.0,2.117,0.0,0.479369444444,0.75873655914,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.9867,0.596102,18.1651,-9999,20.3389,0.775538,20.5405,-9999,0.10033,0.0,-9999,0.0675399,0.10033,0.10033,0.0,0.0,0.0,2.77779,2.04001,2.16624,2.77779,2.67746,1.97247,2.08339,2.67746,4.53783,4.47488,4.53783,4.53889,4.8281,4.82514,4.8281,4.83198,-9999,0.0
199604,8.978,0.0,362.191,185.686,0.0,321.333,0.0,4.263,0.0,101.356,0.0,0.316,0.0,1.857,0.0,0.392938390866,0.925694444444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.0585,0.733333,36.5324,0.86875,39.3414,-9999,57.8065,0.94375,62.2513,-9999,0.117519,0.0,-9999,0.0856991,0.117519,0.117519,0.0,0.0,0.0,3.82071,3.35434,3.48082,3.82071,3.70319,3.26864,3.4,3.70319,5.06882,4.9985,5.06882,5.07,7.07156,7.05398,7.07156,7.07263,-9999,0.0
199605,10.796,0.0,445.302,177.341,0.0,344.943,0.0,3.439,0.0,100.934,0.0,1.798,0.0,2.279,0.0,0.50627287806,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.99182,0.0,54.3438,0.834005,60.4663,-9999,38.077,0.997312,42.3668,-9999,0.136834,0.0,-9999,0.105373,0.136834,0.136834,0.0,0.0,0.0,4.122,3.7104,3.84193,4.122,3.98517,3.59949,3.72309,3.98517,5.2355,5.19028,5.2355,5.23671,7.17891,7.16587,7.17891,7.18161,-9999,0.0
199606,15.337,0.0,482.806,223.822,0.0,357.064,0.0,5.7,0.0,101.584,0.0,0.91,0.0,1.889,0.0,0.447228379929,0.994444444444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.0055,0.0,56.6577,0.894444,69.6519,-9999,81.0073,0.996528,99.586,-9999,0.117519,0.0,-9999,0.0856991,0.117519,0.117519,0.0,0.0,0.0,4.93882,4.88646,4.93882,5.03422,4.8213,4.80077,4.8213,4.84691,5.58561,5.55426,5.58561,5.5869,8.07438,8.05285,8.07438,8.07526,-9999,0.0
199607,15.938,0.326613,462.504,200.205,0.327285,361.12,0.0,4.723,0.326613,101.422,0.321909,1.895,0.321909,2.248,0.304435,0.494722878933,0.695564516129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.75371,0.326613,62.5882,0.78293,66.9397,0.990666,53.3867,0.890457,57.0985,1.28584,-0.547667,0.322581,0.0805649,-0.565198,-0.547667,-0.544906,0.322581,0.322581,0.322581,4.99178,4.98637,4.99178,5.1039,5.53944,5.53944,5.54773,5.60325,5.51356,5.49185,5.51441,5.52226,7.52912,7.52384,7.52912,7.52978,7.77761,0.80578
199608,17.173,1.0,391.12,158.371,1.0,366.047,0.0,4.574,1.0,101.448,1.0,3.522,1.0,2.452,0.968414,-9999,-9999,99.471686828,1.0,-9999,-9999,-9999,-9999,-9999,-9999,15.3949731183,1.0,-9999,-9999,342.428,0.33871,15.946,15.438,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.40278,1.0,57.5035,1.0,61.5015,0.8483,34.2274,0.999328,36.6071,0.92101,-1.93579,0.0530914,0.111388,-2.03796,-1.9873,-1.90044,0.0692204,0.0530914,0.0806452,5.30714,5.32704,5.61274,5.74047,7.24293,7.24293,7.47381,7.74809,4.54944,4.59254,4.63722,4.65085,5.2058,5.22578,5.24367,5.29101,7.81444,1.0
199609,11.891,1.0,291.784,123.85,1.0,344.879,0.0,2.135,1.0,101.71,1.0,2.361,1.0,2.331,0.379861,-9999,-9999,78.2343425179,0.788194444444,-9999,-9999,-9999,-9999,-9999,-9999,11.9678680556,1.0,-9999,-9999,351.241,0.586111,12.601,13.149,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.3535,1.0,48.1701,0.922222,58.6995,0.853765,10.4463,0.920833,12.7298,0.857381,-1.02127,0.556944,0.0575482,-1.09701,-1.0378,-1.02295,0.554167,0.556944,0.557639,4.64407,4.63363,4.71542,4.83217,5.66533,5.65658,5.80478,5.87115,3.93079,3.86307,3.93768,4.00415,5.23574,5.2019,5.23574,5.36324,5.27495,1.0
199610,10.227,1.0,188.62,71.392,1.0,338.381,0.0,1.418,1.0,101.584,1.0,2.851,1.0,2.337,0.361559,-9999,-9999,30.1060302276,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,7.17754032258,1.0,-9999,-9999,367.603,0.543683,10.853,11.453,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.686989,1.0,17.0962,0.862231,20.8332,0.45777,-19.0062,0.959005,-23.1607,0.816163,1.00424,0.495968,0.0752518,0.41095,0.977698,1.00424,0.516801,0.495968,0.495968,4.82176,3.68241,4.82176,5.02205,3.81752,3.3045,3.81752,4.02639,4.1093,4.0191,4.1093,4.14511,4.0188,3.97148,4.02736,4.11191,4.28944,1.0
199611,5.133,1.0,109.299,27.16,1.0,328.441,0.0,0.438,1.0,100.863,1.0,4.639,1.0,2.751,0.584722,-9999,-9999,0.772951388889,1.0,-9999,-9999,-9999,-9999,-9999,-9999,2.89414583333,1.0,-9999,-9999,362.093,0.36875,7.935,8.961,-9999,0.993056,0.993056,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.9857,1.0,33.667,0.608333,60.4989,1.16487,-56.0606,0.995139,-100.74,1.05532,1.16043,0.329167,0.0399788,0.721276,1.16043,1.24355,0.3125,0.329167,0.329167,2.59201,1.75739,2.59201,2.77968,1.43158,1.03206,1.43158,1.50394,1.88329,1.81659,1.84467,1.88329,1.22903,1.17208,1.21634,1.22962,3.13775,1.0
199612,0.167,1.0,75.292,21.493,1.0,300.094,0.0,0.504,1.0,101.529,1.0,1.725,1.0,2.597,0.816532,0.431582145373,0.539650537634,-11.2707594086,1.0,-9999,-9999,-9999,-9999,-9999,-9999,2.45731854839,1.0,-9999,-9999,377.951,0.997312,4.488,5.693,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.44747,1.0,10.7221,1.0,19.2674,0.513378,-15.6322,1.0,-28.0907,0.682954,0.919225,0.991263,0.0328576,0.88184,0.901861,0.905573,0.986559,0.987231,0.991263,1.35554,1.28564,1.29543,1.32572,0.436319,0.383775,0.432908,0.442404,1.7553,1.57874,1.62446,1.7553,0.610684,0.581559,0.588645,0.614517,2.07169,1.0
199701,-1.64,1.0,91.9162,28.449,1.0,298.593,0.0,0.525,1.0,102.384,1.0,0.301,1.0,2.011,0.785618,0.274125602241,0.629032258065,-1.17748655914,1.0,-9999,-9999,-9999,-9999,-9999,-9999,3.05746639785,1.0,-9999,-9999,396.541,0.997984,0.706,1.691,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.50872,1.0,6.35515,0.99664,11.4201,0.380165,-7.51492,0.997984,-13.5041,0.555766,0.340905,0.990591,0.0298432,0.31242,0.340905,0.374578,0.991935,0.990591,0.992608,0.967547,0.919031,0.955551,0.989064,0.619422,0.60459,0.612324,0.619418,0.777422,0.526541,0.674945,0.708816,0.622015,0.486149,0.513631,0.550499,2.09576,1.0
199702,5.741,1.0,155.324,44.467,1.0,325.965,0.0,1.175,1.0,101.607,1.0,3.671,1.0,3.794,1.0,0.774876552652,0.922619047619,11.176264881,1.0,-9999,-9999,-9999,-9999,-9999,-9999,4.2237797619,1.0,-9999,-9999,368.1,1.0,4.697,4.214,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.552433,1.0,25.4276,1.0,26.836,0.860528,-45.3803,1.0,-47.8938,1.28637,0.276552,1.0,0.0365002,0.274765,0.277285,0.279623,1.0,1.0,0.998512,1.97729,1.977,1.98051,1.99746,1.7,1.69987,1.70197,1.70591,1.68694,1.64462,1.68505,1.72285,1.63442,1.6169,1.63187,1.6409,2.94032,1.0
199703,7.435,1.0,252.376,89.589,1.0,329.149,0.0,1.529,1.0,102.339,1.0,1.3,1.0,2.596,0.751344,-9999,-9999,45.5805117536,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,8.22612903226,1.0,-9999,-9999,375.7,0.97043,6.915,6.438,-9999,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.335007,1.0,34.3741,0.998656,36.278,0.685683,8.86427,1.0,9.35524,0.915018,-0.996242,0.956989,0.0443602,-0.994669,-0.985855,-0.971835,0.956317,0.950269,0.959005,2.82387,2.79606,2.82293,2.82954,3.82785,3.76929,3.80635,3.81244,2.68024,2.67406,2.75637,2.90692,3.9078,3.84179,3.90606,4.0116,3.51718,1.0
199704,7.268,1.0,358.93,148.753,1.0,317.634,0.0,2.849,1.0,102.073,1.0,1.402,1.0,2.692,0.857639,-9999,-9999,86.3740172872,0.999305555556,-9999,-9999,-9999,-9999,-9999,-9999,13.3408819444,1.0,-9999,-9999,379.356,0.775,6.926,6.628,-9999,0.995833,0.995833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0423403,1.0,42.6777,0.995139,41.1602,0.671092,46.8535,1.0,45.1875,0.974769,-2.29431,0.751389,0.0516463,-2.31767,-2.29617,-2.25355,0.745833,0.745833,0.771528,3.33105,3.23306,3.28266,3.3178,5.53497,5.49991,5.52527,5.61546,2.73435,2.74614,2.81298,2.85648,5.93747,5.94641,5.97179,6.00729,3.52888,1.0
