TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,26.073,0.0,377.343,194.288,0.0,401.472,0.0,6.57,0.0,99.827,0.0,1.53,0.0,2.407,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,87.6801,0.0,-9999,-9999,42.9057,0.0,-9999,-9999,-2.67284,0.0,-9999,-2.67284,-2.51418,-2.44069,0.0,0.0,0.0,1.64713,1.39177,1.42882,1.63843,4.1193,3.8825,4.01293,4.17742,0.671977,0.671715,0.671977,0.682515,3.73673,3.74174,3.74188,3.74978,-9999,-9999
200702,25.684,0.190476,405.994,220.673,0.0,396.6,0.0,7.854,0.190476,99.994,0.671131,0.496,0.0,1.719,0.786458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,379.645,0.807292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,84.7987,0.549851,-9999,4.79075,46.9841,0.552083,-9999,4.79508,-2.29214,0.369792,1.19189,-2.30278,-2.25642,-2.15339,0.396577,0.386905,0.356399,1.68277,1.44907,1.50307,1.67895,4.00878,3.59971,3.76646,3.95533,0.6564,0.656143,0.6564,0.666694,3.57324,3.57797,3.57812,3.58555,-9999,-9999
200703,25.804,1.0,431.747,229.788,0.556452,404.611,0.0,9.736,1.0,99.884,0.924731,0.412,0.692204,2.126,0.924731,0.455110532301,0.556451612903,100.349235721,0.80376344086,504.314358312,0.547715053763,-9999,-9999,361.274,0.993952,28.056,1.0,-9999,-9999,-9999,-9999,-9999,1.0,73.214,0.924059,-9999,0.988611,58.1901,0.933468,-9999,0.702232,-1.194,0.840726,0.0613701,-1.2147,-1.194,-1.11138,0.807124,0.840726,0.852151,2.44137,2.33853,2.38217,2.44137,3.55274,3.55204,3.57277,3.60323,1.17508,1.14205,1.16022,1.17906,3.0847,3.0847,3.10294,3.11513,-9999,-9999
200704,25.643,1.0,441.15,179.334,1.0,412.121,0.0,6.77,1.0,99.881,0.0618056,6.438,1.0,1.233,0.0618056,-9999,-9999,75.3336180556,1.0,381.725125,1.0,22.486,1.0,371.32,0.2625,27.399,1.0,40.728,-9999,0.991667,-9999,-9999,1.0,62.8009,0.24375,-9999,1.12622,47.7777,0.250694,-9999,0.74391,-0.472687,0.263194,0.0722463,-0.594545,-0.563697,-0.46942,0.254167,0.261806,0.263194,2.49007,2.49517,2.5563,2.79736,2.88798,3.00018,3.19959,3.32723,3.13365,3.03844,3.85053,3.93646,4.60101,3.86458,4.5767,4.6133,-9999,-9999
200705,25.284,1.0,435.565,155.881,1.0,415.925,0.0,4.101,1.0,99.83,0.430108,14.045,1.0,0.976,0.430108,-9999,-9999,69.8620967742,1.0,332.20155914,1.0,13.9041513057,0.995967741935,394.846,0.786962,26.908,1.0,56.334,-9999,1.0,-9999,-9999,1.0,77.9265,0.781586,-9999,0.828963,25.1756,0.780242,-9999,0.492168,-0.342881,0.762769,0.119371,-0.617783,-0.429342,-0.248986,0.764113,0.750672,0.747984,6.69607,6.75511,7.43013,7.93031,7.28291,7.38301,7.77682,8.19512,6.819,6.47351,7.59642,8.13866,8.00433,7.11586,7.69608,7.93432,-9999,-9999
200706,25.184,1.0,428.393,145.051,1.0,415.559,0.0,3.768,1.0,99.835,0.782639,9.289,1.0,0.903,0.782639,-9999,-9999,79.8500017443,0.678472222222,309.344319444,1.0,11.019238598,0.783333333333,394.72,1.0,26.231,1.0,67.081,-9999,1.0,-9999,-9999,1.0,77.1886,0.999306,-9999,1.01137,15.3344,0.999306,-9999,0.432038,-1.29428,0.985417,0.129109,-1.53079,-1.32633,-1.23479,0.925,0.992361,0.969444,6.39306,6.36026,6.41985,6.57417,7.72781,7.72633,7.8262,8.03526,7.04028,6.13136,6.30599,6.82862,7.83732,7.82232,7.9589,8.16207,-9999,-9999
200707,24.911,1.0,429.478,142.685,1.0,414.911,0.0,3.316,1.0,99.891,0.797715,6.335,1.0,0.88,0.797715,-9999,-9999,102.671587864,0.992607526882,304.342775538,1.0,11.2357876344,0.997983870968,389.09,0.999328,25.563,1.0,72.294,-9999,1.0,-9999,-9999,1.0,82.8034,0.998656,-9999,0.926721,15.4738,0.999328,-9999,0.356961,-1.67852,0.994624,0.119336,-1.83215,-1.67852,-1.51683,0.982527,0.994624,0.994624,5.24537,4.69434,4.90326,5.03464,6.64894,6.46803,6.56872,6.64894,7.10088,7.28035,7.52333,7.84501,8.3178,8.11056,8.29701,8.40217,-9999,-9999
200708,24.561,1.0,434.973,142.397,1.0,410.258,0.0,3.16,1.0,99.875,0.799731,7.197,1.0,0.799,0.799731,-9999,-9999,103.900496453,0.987231182796,303.736149194,1.0,11.1773924731,1.0,388.811,1.0,25.064,1.0,75.919,-9999,1.0,-9999,-9999,1.0,77.7904,1.0,-9999,1.0566,20.4409,0.999328,-9999,0.432763,-1.00794,0.99328,0.126717,-1.22324,-1.14445,-1.02204,0.989247,0.993952,0.99328,6.04804,5.91063,6.0977,6.37236,7.20185,7.13422,7.24319,7.34239,5.52395,4.88255,5.20923,5.41094,6.92807,6.72303,6.87815,6.93514,-9999,-9999
200709,24.707,1.0,432.108,163.169,1.0,410.219,0.0,3.7,1.0,99.864,0.824306,6.854,1.0,0.885,0.824306,-9999,-9999,122.324138889,1.0,347.596701389,1.0,12.6569305556,1.0,386.313,1.0,25.43,1.0,79.679,-9999,1.0,-9999,-9999,1.0,86.627,1.0,-9999,1.13371,24.8611,1.0,-9999,0.532348,-1.32747,0.993056,0.0976996,-1.39076,-1.32449,-1.265,0.995833,0.973611,0.986806,6.03619,6.03619,6.16171,6.36425,7.42521,7.3786,7.52069,7.63269,6.01668,5.44782,6.00585,6.19996,7.36658,7.36658,7.58233,7.68971,-9999,-9999
200710,24.746,1.0,413.041,151.771,1.0,410.621,0.0,3.907,1.0,99.809,0.741935,12.251,1.0,1.07,0.739919,-9999,-9999,112.980926459,0.995967741935,323.529657258,1.0,11.649327957,1.0,383.041,1.0,25.254,1.0,78.137,-9999,1.0,-9999,-9999,1.0,83.3662,0.999328,-9999,0.989557,20.3196,0.999328,-9999,0.520635,-0.789617,0.994624,0.101118,-0.74517,-0.642123,-0.483228,0.99664,0.988575,0.987231,6.55553,6.52395,6.75068,6.89348,7.31081,7.27481,7.38917,7.49864,5.67662,4.87022,5.45348,5.70843,7.39457,6.74821,6.87726,7.20338,-9999,-9999
