TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,26.131,0.0,377.366,193.812,0.0,401.472,0.0,6.89,0.0,100.39,0.0,1.587,0.0,1.482,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,30.0578,0.0,-9999,-9999,95.1862,0.0,-9999,-9999,2.02043,0.0,-9999,1.46299,1.63002,2.43044,0.0,0.0,0.0,2.32646,1.47735,2.2006,2.33453,0.689507,-1.04727,0.688585,0.874727,9.74063,2.76953,2.99553,10.4456,5.3829,1.48593,1.63063,10.127,-9999,-9999
200702,25.734,0.0,406.01,220.132,0.0,396.6,0.0,7.735,0.0,100.506,0.0,0.514,0.0,1.162,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,30.0529,0.0,-9999,-9999,95.1762,0.0,-9999,-9999,2.02157,0.0,-9999,1.46501,1.65373,2.42885,0.0,0.0,0.0,2.28715,1.45157,2.172,2.29454,0.641678,-1.06561,0.641678,0.832532,9.70055,2.70279,2.92792,10.4026,5.58906,1.54836,1.69511,10.2343,-9999,-9999
200703,25.922,0.336022,431.754,231.252,0.337366,404.611,0.0,7.988,0.336022,100.418,0.309812,1.144,0.333333,1.218,0.30914,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,30.1422,0.336022,-9999,0.551035,91.6011,0.336022,-9999,0.6878,1.83614,0.331317,0.0368673,1.48111,1.55172,2.33009,0.331317,0.331317,0.322581,2.44905,1.6848,2.28249,2.45944,0.661112,-0.696392,0.801389,0.979632,9.71431,2.35737,2.55741,10.4174,5.70269,1.34511,1.46858,9.99226,-9999,-9999
200704,25.874,1.0,441.147,179.334,1.0,412.121,0.0,6.205,1.0,100.447,0.0597222,6.438,1.0,0.732,0.0597222,-9999,-9999,114.939958333,1.0,381.725125,1.0,-9999,-9999,391.442,0.269444,28.623,1.0,51.899,37.495,0.990278,0.990278,-9999,1.0,31.5499,0.256944,-9999,0.570765,55.508,0.264583,-9999,0.797451,2.01234,0.265278,0.0620061,2.15461,2.23716,2.56689,0.260417,0.256944,0.264583,8.08447,6.2404,8.08447,8.11442,5.85014,4.40988,5.30916,5.81967,9.70892,3.07053,3.12191,10.4116,5.28119,2.65271,2.65983,8.2931,-9999,-9999
200705,25.681,1.0,435.554,155.881,1.0,415.925,0.0,3.47,1.0,100.397,0.0477151,14.045,1.0,0.541,0.0477151,-9999,-9999,105.991895161,1.0,332.20155914,1.0,-9999,-9999,417.808,0.604839,28.206,1.0,67.538,65.784,1.0,1.0,-9999,1.0,54.4144,0.580645,-9999,0.408415,19.6652,0.577285,-9999,0.163137,2.22355,0.484543,0.0914041,2.1734,2.21092,2.22962,0.494624,0.491935,0.493952,8.63252,7.96444,8.58447,8.6371,6.45381,5.70628,6.37443,6.42899,9.6946,8.05313,8.72018,10.3963,4.9582,5.19744,5.65737,8.33042,-9999,-9999
200706,25.532,1.0,428.377,145.051,1.0,415.559,0.0,3.235,1.0,100.409,0.627083,9.289,1.0,0.513,0.627083,-9999,-9999,91.3836951199,0.995138888889,309.344319444,1.0,19.932241632,0.525694444444,408.615,0.988889,28.063,1.0,71.432,70.688,1.0,1.0,-9999,1.0,62.7272,0.986111,-9999,0.644732,13.7441,0.9875,-9999,0.213571,0.449716,0.951389,0.104577,0.245052,0.290494,0.626636,0.9625,0.95625,0.9375,8.68844,8.33259,8.75745,9.15213,8.5543,8.08674,8.39888,8.48025,9.79968,9.09662,9.56032,10.1742,8.81229,8.87778,8.93022,9.06746,-9999,-9999
200707,25.286,1.0,429.464,142.685,1.0,414.911,0.0,3.031,1.0,100.466,0.691532,6.335,1.0,0.489,0.691532,-9999,-9999,89.9658400538,1.0,304.342775538,1.0,18.2529301075,1.0,398.738,0.99664,27.817,1.0,71.416,66.524,1.0,1.0,-9999,1.0,63.3319,0.994624,-9999,0.589025,14.9463,0.995296,-9999,0.198873,0.0958547,0.985215,0.114267,0.175314,0.198105,0.457776,0.989247,0.990591,0.981855,8.27827,8.13381,8.28627,8.77188,8.18205,7.97816,8.12802,8.22809,9.53113,9.07704,9.35598,9.58717,8.89655,8.73668,8.8792,9.0348,-9999,-9999
200708,24.941,1.0,434.966,142.397,1.0,410.258,0.0,2.834,1.0,100.449,0.674059,7.197,1.0,0.521,0.674059,-9999,-9999,93.8086958821,0.945564516129,303.736149194,1.0,16.0983055556,0.958333333333,409.557,1.0,27.589,1.0,77.057,72.497,1.0,1.0,-9999,1.0,61.4989,0.999328,-9999,0.616614,15.1443,0.999328,-9999,0.18425,-0.0139942,0.984543,0.108717,-0.18501,-0.0473696,-0.00309628,0.981183,0.971774,0.992608,7.16892,6.81133,7.08595,7.25218,6.99265,6.9369,7.13661,7.223,10.1838,9.48886,9.6449,9.81293,9.1318,8.79945,9.05761,9.1318,-9999,-9999
200709,25.089,1.0,432.111,163.169,1.0,410.219,0.0,3.38,1.0,100.442,0.750694,6.854,1.0,0.564,0.750694,0.132918578863,0.531944444444,103.764104167,1.0,347.596701389,1.0,19.791875,1.0,408.002,1.0,27.632,1.0,72.971,69.86,1.0,1.0,-9999,1.0,70.276,0.995833,-9999,0.593725,17.2325,0.995139,-9999,0.188652,0.0519846,0.977083,0.0999441,-0.146778,0.0452928,0.250288,0.994444,0.984028,0.975,9.32634,8.64793,9.3224,10.1083,9.31816,8.81225,9.24151,9.81653,10.2053,10.2072,10.5866,10.7252,10.4468,10.1819,10.3558,10.4574,-9999,-9999
200710,25.105,1.0,413.054,151.771,1.0,410.621,0.0,3.352,1.0,100.385,0.624328,12.251,1.0,0.787,0.624328,-9999,-9999,98.030436828,1.0,323.529657258,1.0,18.2086424731,1.0,403.244,1.0,27.463,1.0,72.689,75.328,1.0,0.995296,-9999,1.0,69.0656,0.998656,-9999,0.651133,16.2276,0.998656,-9999,0.221138,0.0313757,0.983871,0.13993,-0.322197,0.0042701,0.0936955,0.958333,0.975134,0.989247,8.40755,7.80511,8.30466,8.42572,8.26717,8.05324,8.25601,8.32422,9.1463,8.82121,9.14235,9.32974,9.33107,9.07275,9.15393,9.25003,-9999,-9999
