TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-38.162,0.0,2.60414,1.067,0.0,159.165,0.0,0.067,0.0,102.009,0.0,0.112,0.0,1.928,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.9757,0.0,-9999,-9999,30.9675,0.0,-9999,-9999,-2.12138,0.0,-9999,-2.12705,-2.12109,-2.10036,0.0,0.0,0.0,0.000615221,0.000414656,0.000444064,0.000615221,2.08584,2.05694,2.07932,2.07952,0.000938771,0.000526163,0.000768857,0.00095546,0.0745633,0.0619095,0.0703436,0.0725894,-9999,-9999
200202,-41.535,0.0,41.9261,17.492,0.0,155.86,0.0,0.079,0.0,101.756,0.0,0.151,0.0,1.751,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.8941,0.0,-9999,-9999,31.1739,0.0,-9999,-9999,-2.12814,0.0,-9999,-2.12998,-2.12783,-2.10477,0.0,0.0,0.0,4.18572e-05,2.10757e-05,2.37989e-05,4.18572e-05,2.08317,2.06537,2.0822,2.10879,7.74495e-05,2.94995e-05,5.51947e-05,8.089e-05,0.905623,0.823164,0.85722,0.879724,-9999,-9999
200203,-14.213,0.0,140.584,70.046,0.0,217.515,0.0,0.712,0.0,101.214,0.0,0.134,0.0,3.475,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.8963,0.0,-9999,-9999,30.8265,0.0,-9999,-9999,-2.11808,0.0,-9999,-2.1216,-2.11627,-2.09609,0.0,0.0,0.0,0.346804,0.305349,0.312604,0.342545,2.46308,2.39853,2.42695,2.46308,0.440402,0.354439,0.410379,0.437019,2.48844,2.39451,2.43103,2.47064,-9999,-9999
200204,-9.777,0.0,277.902,170.25,0.0,223.778,0.0,1.06,0.0,101.704,0.0,0.19,0.0,2.945,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.923,0.0,-9999,-9999,30.9832,0.0,-9999,-9999,-2.12235,0.0,-9999,-2.12609,-2.12153,-2.10026,0.0,0.0,0.0,0.587825,0.537579,0.550331,0.578909,2.70935,2.63796,2.66366,2.70499,0.72723,0.620295,0.684014,0.719072,4.31375,4.15825,4.27878,4.42091,-9999,-9999
200205,1.026,0.0,409.97,260.007,0.0,255.341,0.0,2.938,0.0,100.95,0.0,0.123,0.0,3.153,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.9757,0.0,-9999,-9999,30.9675,0.0,-9999,-9999,-2.12138,0.0,-9999,-2.12705,-2.12109,-2.10036,0.0,0.0,0.0,1.32643,1.2801,1.29052,1.31324,3.44752,3.38519,3.40342,3.42828,1.58485,1.45885,1.50935,1.5501,5.79519,5.58906,5.74157,6.00319,-9999,-9999
200206,11.23,0.0,485.531,270.718,0.0,301.502,0.0,6.062,0.0,100.892,0.0,0.197,0.0,2.963,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.923,0.0,-9999,0.47278,30.9832,0.0,-9999,0.637144,-2.12235,0.0,0.0281314,-2.12609,-2.12153,-2.10026,0.0,0.0,0.0,2.3532,2.30121,2.35339,2.36222,4.47473,4.4273,4.4576,4.48503,2.7336,2.59623,2.62976,2.69932,6.36964,6.14099,6.3158,6.54535,-9999,-9999
200207,12.686,0.914651,450.709,197.221,0.914651,335.036,0.914651,5.514,0.913978,100.643,0.913978,0.774,0.913978,2.99,0.0,0.24822172619,0.903225806452,118.852078109,0.902553763441,-9999,-9999,34.8289136905,0.903225806452,384.013258929,0.903225806452,357.424,0.914651,11.525,8.246,1.536,0.914651,0.914651,0.914651,-9999,1.0,46.6385,0.914651,-9999,0.348207,32.7231,0.914651,-9999,0.386269,-2.0787,0.91129,0.0183468,-2.08108,-2.07876,-2.06061,0.909274,0.911962,0.906586,2.39183,2.30894,2.35268,2.39183,4.46129,4.39151,4.43144,4.46903,2.6603,2.50489,2.6603,2.77058,5.07202,4.81094,5.00847,5.19268,-9999,-9999
200208,11.984,1.0,332.869,158.965,1.0,327.871,1.0,5.319,1.0,101.291,1.0,0.49,1.0,3.488,0.0,0.277147974308,0.708333333333,83.4165132345,0.994623655914,-9999,-9999,28.1908333333,1.0,373.820672043,1.0,355.393,0.977823,10.777,8.204,2.5,1.0,1.0,1.0,-9999,1.0,39.0061,0.980511,-9999,0.330277,13.9849,0.979839,-9999,0.431226,-0.971366,0.879032,0.015259,-0.984467,-0.966407,-0.93296,0.959005,0.897849,0.862231,2.36207,2.16285,2.27991,2.36207,3.30659,3.14115,3.23831,3.31831,2.24835,2.12418,2.21385,2.25335,3.27514,3.1052,3.17018,3.27514,-9999,-9999
200209,3.27,1.0,194.915,69.66,1.0,302.434,1.0,1.412,1.0,100.637,1.0,0.457,1.0,3.007,0.0,0.219233010411,0.894444444444,29.1455955969,0.998611111111,-9999,-9999,12.6445972222,1.0,328.115965278,1.0,357.987,1.0,3.005,2.599,0.886,1.0,1.0,1.0,-9999,1.0,9.77258,1.0,-9999,0.211378,4.8396,0.998611,-9999,0.360065,0.795899,0.9875,0.00606334,0.78559,0.792596,0.795332,0.993056,0.970833,0.977778,1.10995,1.0761,1.09178,1.10388,0.313626,0.28693,0.29831,0.307978,0.964175,0.934249,0.95653,0.964175,0.213675,0.203826,0.213675,0.216771,-9999,-9999
200210,-8.768,1.0,76.9993,30.716,1.0,252.758,0.991263,0.522,1.0,102.295,1.0,0.0,1.0,2.74,0.0,-9999,-9999,-11.6237701613,1.0,-9999,-9999,20.7820295699,1.0,272.444267473,1.0,360.713,0.848118,-4.297,-1.718,0.003,1.0,1.0,1.0,-4.48004,0.0638441,2.3085,0.96707,-9999,0.126987,-3.59807,0.929435,-9999,0.245864,0.356734,0.707661,0.00265953,0.341815,0.352744,0.366388,0.727823,0.586022,0.684812,0.309389,0.294412,0.30069,0.304643,-0.0577145,-0.0572935,-0.0470719,-0.0431638,0.311317,0.254988,0.305781,0.349747,0.0223059,0.022353,0.0239117,0.0407182,-9999,-9999
