TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-34.443,0.0,0.316104,0.226,0.0,198.019,0.0,0.0,0.0,101.821,0.0,0.283,0.0,3.033,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5121,0.855511,2.44317,0.0,-9999,-9999,3.93775,0.0,-9999,-9999,-0.127031,0.0,-9999,-0.121664,-0.113385,-0.0464529,0.0,0.0,0.0,8.56423e-05,0.0,8.56423e-05,0.00439944,0.131423,0.0495999,0.113617,0.120728,8.36805e-06,7.92102e-06,0.00437976,0.0187544,5.38292e-05,0.000133531,0.000168461,0.0152398,-9999,-9999
200302,-35.917,0.0,28.7612,13.948,0.0,188.199,0.0,0.0,0.0,102.273,0.0,0.075,0.0,3.39,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.4967,0.0,2.42989,0.0,-9999,-9999,3.91238,0.0,-9999,-9999,-0.126679,0.0,-9999,-0.121029,-0.112643,-0.0499533,0.0,0.0,0.0,2.08101e-05,0.0,2.08101e-05,0.00112606,0.131675,0.0503343,0.112839,0.119878,1.95345e-07,1.85308e-07,0.00233002,0.00492715,0.00331869,0.00822563,0.0103848,0.746134,-9999,-9999
200303,-24.203,0.0,124.618,66.034,0.0,214.266,0.0,0.048,0.0,101.748,0.0,0.184,0.0,3.369,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.4036,0.0,2.44969,0.0,2.9996,-9999,3.95998,0.0,4.84893,-9999,-0.127346,0.0,-9999,-0.122008,-0.113695,-0.0465493,0.0,0.0,0.0,0.000966744,0.0,0.000988444,0.0464257,0.133057,0.0859958,0.113938,0.121049,0.0027239,0.00254292,0.0173725,0.179848,0.0156918,0.0388301,0.0490915,2.55911,-9999,-9999
200304,-15.02,0.142361,266.363,166.221,0.120833,228.909,0.119444,0.182,0.0,100.844,0.115278,0.107,0.0,3.974,0.115278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.6732,0.119444,2.36969,0.142361,2.82819,-9999,3.41049,0.142361,4.07037,-9999,-0.11859,0.128472,-9999,-0.113194,-0.103638,-0.0534497,0.141667,0.141667,0.101389,0.0147722,0.0115624,0.0195603,0.139665,0.137575,0.118912,0.12705,0.176379,0.0258451,0.0241027,0.0366803,0.545634,0.039444,0.105828,0.123369,4.9122,-9999,-9999
200305,-6.603,1.0,409.357,263.329,1.0,249.797,1.0,1.333,0.0,101.103,1.0,0.492,0.0,5.315,1.0,0.226743585546,0.743951612903,0.599657300961,0.999327956989,557.155815403,1.0,208.767534946,1.0,290.13490121,1.0,368.422,1.0,-8.732,-8.943,-10.273,1.0,1.0,1.0,1.87817,1.0,6.05739,1.0,8.27852,-9999,-0.723211,1.0,-0.988399,-9999,0.00836,0.999328,-9999,-0.00247683,0.00758655,0.0205371,1.0,0.999328,0.999328,0.328558,0.319855,0.3293,0.34255,0.288079,0.320762,0.322329,0.343796,0.1374,0.164836,0.173897,1.15369,0.155455,0.15601,0.179704,6.89451,-9999,-9999
200306,2.381,1.0,488.231,193.883,1.0,305.278,1.0,2.742,0.0,100.589,1.0,1.409,0.01875,4.935,1.0,0.292722968546,0.913194444444,94.3500597222,1.0,410.256239097,1.0,58.3832895833,1.0,336.623449306,1.0,367.258,1.0,4.178,3.966,-1.861,1.0,1.0,1.0,12.3684,1.0,31.2193,1.0,42.6668,-9999,28.7667,1.0,39.3148,-9999,0.216485,1.0,-9999,0.204138,0.212361,0.234609,1.0,1.0,1.0,0.81166,0.799211,0.810093,0.81269,0.557124,0.567268,0.596313,0.602942,0.607378,0.5976,0.639844,2.02092,0.488148,0.460279,0.537307,6.01626,-9999,-9999
200307,11.124,1.0,453.012,213.637,1.0,317.473,1.0,4.393,0.0,100.834,1.0,1.205,0.0147849,4.53,1.0,0.310360439564,0.930779569892,120.499202957,1.0,452.085525067,1.0,38.7399052419,1.0,377.919602151,1.0,351.075,1.0,12.981,12.676,1.467,1.0,1.0,1.0,6.7561,1.0,52.3618,1.0,67.7912,-9999,35.5479,1.0,46.0227,-9999,-1.91162,1.0,-9999,-1.92761,-1.91159,-1.89991,1.0,1.0,1.0,1.60085,1.55025,1.58923,1.59866,3.50408,3.47766,3.50077,3.51163,1.66369,1.68832,1.80898,2.78891,3.75818,3.70244,3.81123,6.084,-9999,-9999
200308,8.359,1.0,325.304,143.93,1.0,315.071,1.0,3.079,0.0,101.31,1.0,0.872,0.0376344,3.499,1.0,0.249983824859,0.926075268817,75.9802903226,1.0,304.281336603,1.0,28.7055443548,1.0,361.407418011,1.0,346.389,1.0,10.396,10.037,2.817,1.0,1.0,1.0,4.64883,1.0,31.6924,1.0,40.6906,-9999,23.8754,1.0,30.6542,-9999,-1.4762,1.0,-9999,-1.51061,-1.47052,-1.46328,1.0,1.0,1.0,2.34946,2.31368,2.34946,2.35741,3.83991,3.81581,3.8306,3.84254,2.86404,2.46145,2.54127,2.71491,3.89152,3.8761,3.94148,4.02721,-9999,-9999
200309,3.611,0.489583,180.213,52.348,0.491667,310.252,0.489583,0.933,0.0,101.108,0.471528,1.44,0.0534722,3.079,0.470833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,347.113,0.425,5.596,5.421,2.311,0.489583,0.489583,0.489583,2.10161,0.489583,23.5784,0.489583,30.2728,-9999,5.04692,0.489583,6.47985,-9999,0.583401,0.368056,-9999,0.56675,0.582104,0.585151,0.368056,0.368056,0.368056,1.40971,1.38578,1.41532,1.42408,0.83229,0.818078,0.83211,0.844155,0.939427,0.913973,0.982703,1.01405,0.494255,0.466577,0.485805,0.490741,-9999,-9999
200310,-10.784,0.0,61.9026,17.607,0.0,252.49,0.0,0.3,0.0,100.989,0.0,0.586,0.0,3.999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,346.505,0.0,4.768,4.587,2.133,0.0,0.0,0.0,2.50008,0.0,24.7093,0.0,30.2126,-9999,5.99437,0.0,7.32944,-9999,0.428856,0.0,-9999,0.423366,0.434627,0.439061,0.0,0.0,0.0,0.536451,0.531912,0.549506,0.594256,0.10186,0.10186,0.118512,0.154879,0.358462,0.321994,0.418668,0.470106,0.15747,0.145111,0.149838,0.15661,-9999,-9999
