TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199801,-4.427,0.0,63.0666,12.919,0.716398,283.233,0.0,0.345,0.0,98.215,0.0,1.268,0.0,2.048,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,72.7707,0.0,-1.13254,-9999,76.6995,0.0,-1.19368,-9999,0.301703,0.0,-9999,0.325812,0.402064,0.478098,0.0,0.0,0.0,5.87788,5.2255,5.61025,5.83548,5.57617,4.69378,5.16745,5.45027,3.12023,2.63682,2.83935,3.11217,1.56638,1.499,1.53776,1.57353,-9999,-9999
199802,-6.221,0.0,124.802,34.733,0.634673,268.328,0.0,0.551,0.0,97.675,0.0,1.152,0.0,2.472,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,72.6535,0.0,47.5721,-9999,77.5028,0.0,50.7473,-9999,0.361079,0.0,-9999,0.385424,0.457115,0.53882,0.0,0.0,0.0,5.46353,4.83113,5.19993,5.42317,5.10245,4.27154,4.70619,4.97625,2.8929,2.47894,2.65152,2.88299,3.46913,3.32822,3.42544,3.48953,-9999,-9999
199803,-2.953,0.0,224.683,100.08,0.538978,254.806,0.0,1.213,0.0,98.276,0.0,1.002,0.0,1.88,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.3496,0.0571237,70.6092,0.0,104.717,-9999,76.0163,0.0,112.736,-9999,0.352292,0.0,-9999,0.377272,0.448875,0.528835,0.0,0.0,0.0,6.17722,5.51228,5.90992,6.12723,5.82493,4.94827,5.42261,5.7018,3.51703,3.02454,3.23157,3.49955,7.33335,7.10879,7.29605,7.35264,-9999,-9999
199804,3.946,0.0,339.448,156.033,0.438889,281.432,0.0,2.974,0.0,98.177,0.0,0.555,0.0,1.721,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.89258,0.0,70.7672,0.0,94.7254,-9999,78.5537,0.0,105.148,-9999,0.327561,0.0,-9999,0.349388,0.424979,0.488571,0.0,0.0,0.0,7.45994,6.9942,7.20952,7.37734,7.13238,6.55941,6.76109,7.02795,5.87127,5.34973,5.60522,5.73895,10.0523,9.75822,10.0126,10.0612,-9999,-9999
199805,12.037,0.0598118,433.922,180.863,0.349462,318.591,0.0598118,4.576,0.0598118,98.198,0.0,1.757,0.0,1.954,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.72257,0.0672043,71.8653,0.059812,93.1018,1.09202,80.5342,0.059812,104.332,1.05276,0.201059,0.0,-9999,0.217969,0.302453,0.349882,0.0,0.0,0.0,8.87233,8.6476,8.80209,8.849,8.67128,8.24396,8.51231,8.58828,8.91219,8.53458,8.72115,8.85743,11.5927,11.2539,11.5463,11.6029,-9999,-9999
199806,17.415,1.0,479.399,225.426,1.0,354.477,1.0,6.804,1.0,98.223,1.0,2.09,1.0,1.866,0.0,-9999,-9999,158.625283116,1.0,430.060513565,1.0,19.1230598252,0.999305555556,402.157058333,1.0,-9999,-9999,14.34,12.219,7.953,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,7.37554,1.0,66.7857,0.993056,86.5211,0.69368,49.6477,0.990278,64.3187,0.758083,-0.609405,0.0,0.2973,-0.644774,-0.619955,-0.589285,0.0,0.0,0.0,9.6746,9.48273,9.63311,9.7427,10.284,10.1201,10.284,10.4163,11.2357,10.8897,11.1059,11.5161,13.2226,12.8456,13.166,13.2325,-9999,-9999
199807,16.724,1.0,458.335,177.628,0.942204,358.627,0.934812,4.401,1.0,97.513,1.0,2.716,1.0,1.817,0.563844,-9999,-9999,130.748014027,0.896505376344,344.684509681,0.896505376344,15.0143927721,0.895833333333,392.990563636,0.896505376344,367.111,0.808468,14.338,12.899,9.836,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,5.62282,0.934812,61.9486,0.990591,81.9415,0.749585,30.7968,0.991263,40.736,0.896842,0.418881,0.754032,0.076588,0.432577,0.490784,0.530209,0.700269,0.754032,0.758065,8.97732,8.9525,9.07075,10.7056,8.55844,8.3964,8.6256,10.1674,9.72914,8.44447,8.92209,9.11797,9.80312,9.09289,9.26946,9.43121,-9999,-9999
199808,13.731,1.0,379.066,135.974,1.0,344.762,1.0,2.74,1.0,97.867,1.0,3.945,1.0,1.976,0.270161,-9999,-9999,89.5725022829,1.0,265.343673908,0.999327956989,11.2646080833,1.0,380.029534946,1.0,363.96,0.475134,12.851,12.393,10.806,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,2.11294,1.0,44.097,0.826613,63.2238,0.63219,15.6715,0.999328,22.4689,0.816623,2.11593,0.433468,0.100732,2.01184,2.114,2.22903,0.426075,0.440188,0.439516,10.0029,9.60033,10.1396,10.3402,7.88692,7.66231,7.94818,8.08918,9.55626,9.45067,9.80617,10.0707,7.68374,7.44485,7.71299,7.98074,-9999,-9999
199809,10.281,1.0,270.899,111.832,1.0,315.291,1.0,3.209,1.0,98.546,1.0,2.683,1.0,1.972,0.54375,-9999,-9999,56.0646841278,1.0,213.037641153,1.0,9.31561031458,1.0,361.701199306,1.0,366.834,0.740278,9.15,9.331,9.314,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-1.00912,1.0,35.5185,0.835417,48.9657,0.483729,6.46751,1.0,8.91608,0.855149,1.77665,0.730556,0.058206,1.69052,1.74317,1.76776,0.725,0.717361,0.732639,6.98387,6.82351,6.95224,6.98362,5.20722,5.15278,5.20232,5.22346,6.50804,5.4914,5.76111,6.03363,4.61436,4.19089,4.50204,4.6091,-9999,-9999
199810,4.604,1.0,162.179,52.456,1.0,293.985,1.0,1.399,1.0,98.021,1.0,1.313,0.984543,2.342,0.981183,0.619752072993,0.663978494624,8.85235093347,1.0,99.0013880316,1.0,4.10277190524,1.0,333.481983199,1.0,367.727,0.995968,4.33,5.238,6.924,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-3.20186,1.0,11.2717,0.99664,15.5391,0.31571,-15.9669,1.0,-22.0119,0.87698,1.17644,0.982527,0.0298857,1.16384,1.17885,1.18614,0.982527,0.966398,0.986559,3.37758,3.27362,3.36102,3.37289,2.20114,2.09789,2.17609,2.19052,3.47626,3.32003,3.41346,3.46075,2.03112,2.01915,2.02783,2.03553,-9999,-9999
