TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-7.508,0.0,74.527,27.448,0.0,220.382,0.0,1.559,0.0,96.308,0.0,0.351,0.0,4.83,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.5852,0.0,67.6271,-9999,35.2101,0.0,39.9622,-9999,-1.44277,0.0,-9999,-1.45067,-1.4423,-1.35905,0.0,0.0,0.0,0.391098,0.341267,0.391098,0.399708,1.75355,1.70785,1.77897,1.83905,0.470057,0.311522,0.406781,0.767437,1.04482,1.03233,1.07551,1.16697,-9999,-9999
200202,-6.715,0.0,137.145,64.766,0.0,221.898,0.0,1.674,0.0,96.602,0.0,0.399,0.0,3.716,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.2812,0.0,67.308,-9999,34.8779,0.0,39.6004,-9999,-1.43975,0.0,-9999,-1.44801,-1.43966,-1.35719,0.0,0.0,0.0,0.424425,0.372049,0.424425,0.433433,1.78518,1.73818,1.80645,1.86939,0.51011,0.34093,0.443763,0.825065,1.86667,1.85124,1.91605,2.05705,-9999,-9999
200203,-2.993,0.0,236.031,109.999,0.0,240.356,0.0,2.191,0.0,95.967,0.0,0.673,0.0,4.639,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.85666,0.960349,59.1892,0.0,70.0571,-9999,34.7132,0.0,41.087,-9999,-1.43433,0.0,-9999,-1.44258,-1.43374,-1.3494,0.0,0.0,0.0,0.627242,0.568505,0.627242,0.637159,1.98058,1.93338,1.99672,2.06664,0.753851,0.53751,0.681536,1.1487,2.71969,2.68078,2.78858,2.97764,-9999,-9999
200204,-0.951,0.0,347.511,206.291,0.0,236.32,0.0,2.765,0.0,96.428,0.0,0.517,0.0,3.082,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.94949,0.0,59.3542,0.0,70.2524,-9999,34.9356,0.0,41.3502,-9999,-1.43892,0.0,-9999,-1.44706,-1.43853,-1.35515,0.0,0.0,0.0,0.773482,0.716358,0.772622,0.78347,2.13243,2.08565,2.1493,2.21772,0.929593,0.699818,0.86165,1.36473,3.85486,3.8447,3.94006,4.14082,-9999,-9999
200205,11.718,0.0,437.781,247.702,0.0,282.87,0.0,7.229,0.0,96.136,0.0,0.876,0.0,3.605,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.01365,0.0,59.5852,0.0,68.3667,-9999,35.2101,0.0,40.3993,-9999,-1.44277,0.0,-9999,-1.45067,-1.4423,-1.35905,0.0,0.0,0.0,1.86942,1.86941,1.8696,1.93336,3.22853,3.19233,3.31236,3.37622,2.24658,2.08695,2.25903,2.84807,4.20456,4.20245,4.3537,4.57065,-9999,-9999
200206,16.72,0.0743056,480.664,224.794,0.0743056,325.307,0.0,7.068,0.0743056,95.544,0.0736111,2.419,0.0736111,3.28,0.0729167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.90716,0.0743056,59.3045,0.074306,63.2718,0.649259,34.82,0.073611,37.1494,0.690401,-1.42957,0.0729167,0.0346249,-1.43871,-1.42855,-1.35107,0.0736111,0.0708333,0.0736111,2.37154,2.36472,2.41414,2.43793,3.72006,3.68258,3.84494,3.90589,2.85933,2.82658,2.97782,3.52957,4.18998,4.18876,4.32098,4.58401,-9999,-9999
200207,18.395,1.0,460.706,210.95,1.0,347.306,0.0,6.481,1.0,95.805,1.0,3.19,1.0,3.108,0.994624,0.210969782436,0.797043010753,117.620459334,0.999327956989,405.327476478,1.0,201.439538306,1.0,-9999,-9999,364.703,1.0,20.695,20.052,1.0,1.0,25.821,1.0,6.508,1.0,61.0331,0.943548,65.116,0.597339,40.6424,0.942204,43.3613,0.524523,-0.665883,0.905914,0.0255792,-0.658372,-0.648976,-0.617029,0.93414,0.846774,0.893817,2.52668,2.52472,2.54321,2.71866,3.16063,3.17571,3.20586,3.33233,3.2281,3.1462,3.2281,3.28197,3.65916,3.58616,3.66231,3.70018,-9999,-9999
200208,16.613,1.0,385.274,190.241,1.0,331.463,0.0,6.394,1.0,95.738,0.997984,0.209,0.997984,3.063,0.925403,0.188263199458,0.788306451613,101.803937455,0.997983870968,368.027734543,0.997983870968,162.212611738,0.997983870968,-9999,-9999,360.631,0.993952,19.061,18.389,1.0,1.0,23.393,1.0,3.70751,1.0,50.4026,0.982527,56.4843,0.479273,36.9129,0.989247,41.3668,0.450053,-0.725742,0.910618,0.021804,-0.730649,-0.705518,-0.692014,0.938172,0.907258,0.954973,2.28277,2.22426,2.24993,2.2792,2.97283,2.93827,2.95089,2.97347,3.00404,2.65742,2.78611,2.84085,3.13809,3.10523,3.14875,3.18465,-9999,-9999
200209,9.958,1.0,280.925,108.922,1.0,298.481,0.0,4.414,1.0,96.418,1.0,0.823,1.0,3.655,1.0,0.231443818669,0.881944444444,48.5178666667,1.0,209.537795833,1.0,105.664041667,1.0,-9999,-9999,355.612,1.0,10.581,10.407,1.0,1.0,28.516,1.0,-1.44029,0.825694,33.2885,1.0,36.7385,0.375807,10.5574,1.0,11.6516,0.397253,-0.0486694,0.988889,0.0201271,-0.089423,-0.051877,-0.0414548,0.989583,0.988889,0.989583,1.78364,1.77483,1.8936,1.91484,1.87166,1.86209,1.93612,1.96152,1.72507,1.72565,1.80252,1.81729,1.87447,1.87447,1.93443,1.94671,-9999,-9999
200210,-0.935,0.975134,174.222,69.475,0.977151,249.238,0.0,1.754,0.975134,96.684,0.949597,0.515,0.962366,4.168,0.966398,0.257661212983,0.846774193548,17.2672850575,0.948924731183,142.022257534,0.949596774194,87.8605206418,0.949596774194,-9999,-9999,372.698,1.0,0.981,1.231,0.975134,0.975134,27.296,0.975134,-0.825141,0.975134,12.606,1.0,13.9124,0.233726,5.80258,0.998656,6.40395,0.360003,0.060778,0.985215,0.0086931,0.0476925,0.060778,0.0688362,0.988575,0.985215,0.984543,0.352191,0.346954,0.352191,0.35317,0.299875,0.283874,0.287394,0.304408,0.417918,0.428821,0.449986,0.465747,0.34464,0.348858,0.35387,0.357895,-9999,-9999
