TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,-9.071,0.0,0.0,0.238,1.0,243.242,1.0,1.025,0.0,99.97,0.998656,1.451,0.0,4.822,0.967742,-9999,-9999,0.0804190042076,0.998655913978,269.942239055,0.97311827957,0.0,1.0,-10.516,-1.468,-1.159,-0.798,-0.335,-9999,1.0,1.0,1.0,1.0,1.0,-9999,5.971,1.0,-5.46794,1.0,-1.62527,0.0,-9999,-9999,-25.2191,0.0,-9999,-9999,0.0509878,0.0,-9999,0.0487197,0.0492883,0.0509878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0492882,-0.0509877,-0.0492882,-0.0492882,0.129179,0.129024,0.129179,0.129179,0.0,0.0,0.0,0.0,-9999,-9999
200802,-9.582,0.0,1.74972,1.122,1.0,233.896,1.0,1.023,0.0,99.972,1.0,1.625,0.0,4.67,0.929598,-9999,-9999,0.790057471264,1.0,265.200871914,0.931034482759,0.0,1.0,-11.901,-2.604,-2.341,-1.973,-0.997,-1.814,1.0,0.918103,0.918103,0.918103,0.918103,1.0,5.428,0.916667,-3.86456,1.0,-1.68272,0.0,-9999,0.433868,-25.2457,0.0,-9999,2.44233,0.0470374,0.0,0.0364514,0.0451312,0.045434,0.0470374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045434,-0.0470479,-0.045434,-0.0453735,0.126763,0.126612,0.126763,0.126763,0.0,0.0,0.0,0.0,-9999,-9999
200803,-17.42,0.814516,70.3447,32.843,1.0,191.645,1.0,0.704,0.814516,100.626,1.0,0.245,0.0,3.097,0.573925,0.108324166667,0.58064516129,24.6923387097,1.0,227.062983979,0.563172043011,0.0,1.0,-21.535,-5.586,-4.943,-4.284,-2.448,-2.932,0.998656,0.986559,0.986559,0.986559,0.986559,0.998656,4.747,0.977151,-7.47311,0.998656,-0.687704,0.814516,-9999,0.03769,-21.9583,0.814516,-9999,0.403166,0.0461394,0.811828,0.00608834,0.0428856,0.0460716,0.0467215,0.807796,0.813172,0.813172,0.00297145,0.00144638,0.00244591,0.00361646,-0.0424821,-0.0437968,-0.0428441,-0.0411685,0.0821633,0.0751156,0.0780592,0.0804627,0.00633228,0.000162573,0.00577994,0.00682609,-9999,-9999
200804,-11.188,1.0,238.868,130.298,0.997222,222.721,1.0,0.855,1.0,101.939,1.0,0.861,0.0,3.554,1.0,0.134844719807,0.998611111111,99.4394583333,1.0,250.956529167,1.0,0.0,1.0,-15.349,-6.606,-6.289,-5.922,-4.154,-4.333,1.0,1.0,1.0,1.0,1.0,1.0,4.565,1.0,-1.69974,1.0,1.55208,0.998611,-9999,0.125569,-13.9154,0.997222,-9999,0.415477,-0.0637017,0.991667,0.0124817,-0.0675582,-0.0599292,-0.0464806,0.9875,0.991667,0.991667,0.0348931,0.0322259,0.0340448,0.0400035,0.0860322,0.0816032,0.0924222,0.104848,0.126777,0.122366,0.130263,0.159849,0.0694604,0.0661138,0.0735671,0.081075,-9999,-9999
200805,-3.237,1.0,426.549,199.794,1.0,269.501,1.0,1.044,1.0,101.99,1.0,0.785,0.0,2.385,1.0,0.0902323655914,1.0,157.119072581,1.0,299.813797043,1.0,0.0,1.0,-3.451,-4.734,-4.883,-4.972,-4.101,-4.342,1.0,1.0,1.0,1.0,1.0,1.0,4.799,1.0,1.66228,1.0,2.87029,1.0,-9999,0.102977,-5.80235,1.0,-9999,0.230725,-0.0104666,0.978495,0.00373162,-0.011512,-0.00891798,-0.00603328,0.978495,0.985215,0.994624,0.131213,0.135743,0.136581,0.146799,0.145602,0.14222,0.147328,0.161843,0.0334345,0.0581189,0.0648466,0.131027,0.0772707,0.0652383,0.0759675,0.141803,-9999,-9999
200806,1.981,1.0,510.456,261.043,1.0,276.257,1.0,1.715,1.0,101.394,1.0,1.051,0.0,3.379,1.0,0.165385727773,0.980555555556,123.352041667,1.0,318.97865,1.0,0.0,1.0,0.843,-0.552,-1.321,-2.082,-2.43,-2.848,1.0,1.0,1.0,1.0,1.0,1.0,8.444,1.0,19.3258,0.975,11.5203,0.998611,-9999,0.418322,-6.47584,0.998611,-9999,0.2897,-0.0610316,0.988889,0.00874771,-0.0605745,-0.0603273,-0.0598419,0.988889,0.988889,0.988889,0.207655,0.201616,0.226888,0.239994,0.28872,0.260235,0.287254,0.300569,0.0391901,0.0382971,0.0402968,0.3045,0.032407,0.0324485,0.0333422,0.412412,-9999,-9999
200807,5.791,1.0,467.424,186.787,1.0,303.444,1.0,1.663,1.0,101.268,1.0,1.231,0.0,3.266,1.0,0.194542887754,0.986559139785,27.8030376344,1.0,351.671697581,1.0,0.0,1.0,7.572,5.041,2.647,0.339,-1.299,-1.426,1.0,1.0,1.0,1.0,1.0,1.0,32.869,1.0,18.2371,1.0,27.3654,1.0,-9999,0.39614,26.1306,1.0,-9999,0.508571,-0.233254,0.986559,0.00709899,-0.232763,-0.231104,-0.230123,0.986559,0.986559,0.986559,0.259919,0.211604,0.285932,0.295976,0.519895,0.437171,0.519185,0.529215,0.207995,0.204824,0.227979,0.525604,0.355104,0.356378,0.38226,0.745213,-9999,-9999
200808,4.158,1.0,307.703,102.416,1.0,302.691,1.0,1.119,1.0,100.913,1.0,1.057,0.0,2.494,1.0,0.150699430596,0.997311827957,15.8152016129,1.0,339.974797043,1.0,0.0,1.0,5.206,5.415,4.567,3.233,0.29,-0.127,1.0,1.0,1.0,1.0,1.0,1.0,28.305,1.0,6.01461,1.0,17.4129,1.0,-9999,0.384927,15.8786,1.0,-9999,0.392671,-0.129355,1.0,0.00664992,-0.130023,-0.128782,-0.12674,1.0,1.0,1.0,0.178329,0.119953,0.182001,0.185714,0.310055,0.246618,0.311566,0.31711,0.328824,0.219681,0.268452,0.293086,0.34037,0.338733,0.393845,0.418059,-9999,-9999
200809,2.769,1.0,120.951,33.138,1.0,298.701,1.0,1.314,1.0,100.78,1.0,2.161,0.0,3.578,0.879167,0.160961221533,0.920833333333,8.74163888889,1.0,-9999,-9999,0.0,1.0,1.661,2.402,2.278,1.872,0.71,0.326,0.995833,1.0,1.0,1.0,1.0,0.997222,28.341,1.0,0.663619,1.0,9.93723,0.998611,-9999,0.329449,-6.91222,0.997222,-9999,0.320752,0.10412,0.990278,0.00608573,0.103528,0.10452,0.10535,0.990278,0.990278,0.990278,0.177864,0.179062,0.181088,0.187484,0.0775547,0.0752212,0.077149,0.0809847,0.238252,0.19758,0.21604,0.236018,0.104176,0.0889663,0.0940484,0.0976006,-9999,-9999
200810,-6.964,1.0,13.7316,4.506,1.0,242.297,1.0,0.987,1.0,100.308,1.0,1.12,0.0,3.65,0.817204,-9999,-9999,3.43221774194,1.0,270.128837958,0.618279569892,0.0,1.0,-9.96,-0.209,0.036,-0.087,0.048,0.007,0.99328,1.0,1.0,1.0,1.0,0.994624,8.892,1.0,-5.77854,1.0,3.6962,1.0,-9999,0.23187,-17.8689,1.0,-9999,0.576095,0.0544522,0.848118,0.00551268,0.0524964,0.0533462,0.0577089,0.848118,0.848118,0.848118,0.0781841,0.0791531,0.0852918,0.0972098,0.0289923,0.0264417,0.0289923,0.0325383,0.0781547,0.0784951,0.0793634,0.0795999,0.000669048,0.000663159,0.000669048,0.00067979,-9999,-9999
