TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201001,29.467,0.0,342.963,11.044,0.0,330.718,0.0,23.842,0.0,100.766,0.0,0.0,0.0,2.996,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,159.901,0.0,139.954,-9999,44.7056,0.0,39.1288,-9999,-7.40131,0.0,-9999,-7.43725,-7.40197,-7.3716,0.0,0.0,0.0,6.99884,6.95953,6.97892,7.02796,14.3139,14.3242,14.4112,14.4619,8.19376,5.21192,7.85985,8.19396,1.15047,1.02569,1.11939,1.14825,-9999,-9999
201002,28.795,0.0,380.174,12.317,0.0,353.484,0.0,23.794,0.0,100.602,0.0,0.0,0.0,2.906,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,159.835,0.0,135.983,-9999,44.8196,0.0,38.1313,-9999,-7.42792,0.0,-9999,-7.46399,-7.42858,-7.39299,0.0,0.0,0.0,6.86155,6.83768,6.84699,6.87763,14.2089,14.2289,14.2975,14.3281,8.14498,5.12135,7.81305,8.14498,1.27763,1.13928,1.24327,1.27519,-9999,-9999
201003,28.019,0.0,419.192,14.196,0.0,358.876,0.0,23.368,0.0,100.492,0.0,0.0,0.0,3.075,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,159.86,0.0,127.598,-9999,44.4015,0.0,35.4407,-9999,-7.40865,0.0,-9999,-7.44422,-7.40938,-7.37469,0.0,0.0,0.0,6.70299,6.69834,6.70122,6.70423,14.0398,14.059,14.1027,14.1429,8.08806,5.01657,7.75846,8.08806,1.46425,1.30601,1.42509,1.46148,-9999,-9999
201004,27.762,0.0,443.462,14.655,0.0,385.542,0.0,23.424,0.0,100.388,0.0,0.052,0.0,3.335,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.10659,0.631944,159.866,0.0,126.834,-9999,44.6363,0.0,35.4133,-9999,-7.41212,0.0,-9999,-7.44797,-7.4128,-7.37932,0.0,0.0,0.0,6.65065,6.6419,6.65245,6.65562,13.9931,14.0053,14.0481,14.0991,8.06903,4.98191,7.7402,8.06903,1.51168,1.34831,1.47125,1.50882,-9999,-9999
201005,27.221,0.0,449.791,15.075,0.0,402.832,0.0,23.192,0.0,100.414,0.0,0.0,0.0,3.08,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.97908,0.0,159.901,0.0,127.855,-9999,44.7056,0.0,35.7463,-9999,-7.40131,0.0,-9999,-7.43725,-7.40197,-7.3716,0.0,0.0,0.0,6.54057,6.50789,6.54076,6.55769,13.8779,13.8845,13.9161,13.9722,8.02879,4.90895,7.7016,8.02879,1.55536,1.38726,1.51375,1.55242,-9999,-9999
201006,27.419,0.0,448.23,14.526,0.0,417.149,0.0,23.64,0.0,100.621,0.0,0.123,0.0,2.984,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.31796,0.0,159.866,0.0,134.675,-9999,44.6363,0.0,37.6026,-9999,-7.41212,0.0,-9999,-7.44797,-7.4128,-7.37932,0.0,0.0,0.0,6.58056,6.55597,6.58511,6.59327,13.9265,13.9307,13.973,14.0272,8.04399,4.93563,7.71618,8.04399,1.50216,1.33967,1.46188,1.4993,-9999,-9999
201007,28.058,0.424731,446.932,106.367,0.425403,426.38,0.0,19.89,0.424731,100.603,0.0,1.074,0.0,3.312,0.189516,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.1519,0.424731,155.837,0.002016,113.928,2.17156,39.4993,0.356855,28.8768,0.203565,-6.34222,0.00268817,0.162384,-6.37659,-6.35344,-6.33343,0.00268817,0.00201613,0.00201613,6.71185,6.70685,6.70812,6.71482,13.0693,13.0255,13.0592,13.0833,8.08905,5.02175,7.75941,8.08905,6.33003,5.74107,6.24877,6.33003,-9999,-9999
201008,28.048,1.0,442.784,232.147,1.0,425.836,0.0,9.938,1.0,100.634,0.0,3.473,0.0,2.427,0.56922,-9999,-9999,123.717324306,0.995967741935,448.955821222,1.0,40.9975549261,1.0,76.0855780442,1.0,-9999,-9999,31.85,32.085,1.0,1.0,9.079,8.1,7.771,6.662,1.0,1.0,1.0,1.0,3.4063,1.0,150.29,0.981855,109.873,1.00132,13.5926,0.955645,9.93711,0.217216,-5.10277,0.938172,0.0796747,-5.35697,-5.11143,-5.08071,0.929435,0.938172,0.949597,8.32183,8.28169,8.34783,8.41397,13.6126,13.4787,13.5168,13.6119,8.38291,8.23502,8.32448,8.43673,13.623,13.5144,13.6036,13.6714,-9999,-9999
201009,27.331,1.0,426.167,213.278,1.0,423.56,0.0,8.238,1.0,100.6,0.0,5.651,0.0,1.955,0.726389,-9999,-9999,117.384970135,1.0,403.067823417,0.999305555556,31.869298159,1.0,64.2056114841,1.0,-9999,-9999,31.01,31.295,1.0,1.0,9.194,8.236,7.661,6.736,1.0,1.0,1.0,1.0,-2.90563,1.0,140.55,0.989583,108.286,1.08259,16.7271,0.976389,12.8874,0.297523,-2.73505,0.947917,0.0860897,-2.72853,-2.71784,-2.69869,0.946528,0.945833,0.945833,9.13056,9.04539,9.10801,9.22483,11.8259,11.7829,11.8218,11.9534,6.99957,6.99957,7.46781,7.80709,11.1939,11.3032,11.4288,11.4915,-9999,-9999
201010,28.356,0.493952,392.787,117.94,0.493952,412.107,0.0,19.231,0.493952,100.563,0.0,0.875,0.0,2.219,0.657258,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34.268,33.336,0.493952,0.493952,4.022,3.465,3.891,3.814,0.493952,0.493952,0.493952,0.493952,1.93551,0.493952,106.029,0.6875,81.6901,1.13006,33.2374,0.663306,25.6078,0.519129,-0.437723,0.602823,0.0887209,-0.471399,-0.455243,-0.426104,0.623656,0.615591,0.600134,5.63281,4.2589,5.56047,5.60957,6.00837,4.71529,5.95811,6.03499,6.6878,6.48355,6.6878,6.77185,4.39021,4.35667,4.37533,4.41349,-9999,-9999
201011,28.419,0.0,353.124,11.749,0.0,368.359,0.0,23.69,0.0,100.552,0.0,0.022,0.0,2.654,0.782639,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34.968,33.827,0.0,0.0,3.362,3.238,3.546,3.332,0.0,0.0,0.0,0.0,3.6804,0.0,55.4915,0.077778,52.5748,-9999,50.3042,0.391667,47.6602,-9999,0.654993,0.0659722,-9999,0.664514,0.66744,0.70537,0.0680556,0.0694444,0.0680556,5.17687,2.90836,5.10508,5.15389,4.4882,2.21213,4.32373,4.4882,6.63802,6.51463,6.63919,6.73793,0.942773,0.916656,0.92106,0.942773,-9999,-9999
201012,28.835,0.0,330.653,10.395,0.0,358.852,0.0,23.873,0.0,100.475,0.0,0.0,0.0,2.619,0.100806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.912,31.83,0.0,0.0,2.658,2.561,3.189,3.168,0.0,0.0,0.0,0.0,1.44687,0.0,54.0261,0.0,52.519,-9999,58.6984,0.054435,57.061,-9999,0.65797,0.0,-9999,0.630366,0.668658,0.687806,0.0,0.0,0.0,5.2418,2.9444,5.15942,5.2154,4.54675,2.31599,4.37034,4.54675,6.72089,6.59628,6.71919,6.80944,0.840314,0.816778,0.820748,0.840314,-9999,-9999
201101,29.436,0.0,342.963,10.586,0.0,341.628,0.0,23.873,0.0,100.596,0.0,0.0,0.0,3.011,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.058,29.99,0.0,0.0,2.009,1.939,2.86,3.018,0.0,0.0,0.0,0.0,-0.903629,0.0,28.4719,0.0,24.9201,-9999,61.1171,0.0,53.493,-9999,0.644095,0.0,-9999,0.452571,0.654695,0.673888,0.0,0.0,0.0,3.73336,3.69069,5.1675,5.29093,3.03599,3.02764,4.49362,4.83025,4.95528,3.63837,4.36978,7.11734,0.396404,0.273943,0.356563,0.760451,-9999,-9999
201102,27.671,0.421131,380.174,117.164,0.424851,328.937,0.0,26.484,0.421131,100.707,0.0,0.005,0.0,3.644,0.0699405,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.051,30.416,0.421131,0.421131,2.04,1.959,2.868,3.038,0.421131,0.421131,0.421131,0.421131,0.0508898,0.421131,28.1455,0.017857,23.9454,-9999,62.905,0.040179,53.5178,-9999,0.64478,0.0119048,-9999,0.447928,0.655604,0.674572,0.0126488,0.0119048,0.0119048,3.59564,3.55608,5.02413,5.16434,2.91496,2.89967,4.34956,4.71571,4.81667,3.51339,4.21406,6.88602,1.17892,0.865375,1.08701,1.80725,-9999,-9999
201103,27.857,1.0,419.192,276.278,1.0,357.018,0.0,31.525,1.0,100.49,0.0,0.0,0.0,3.474,0.0,-9999,-9999,63.877068922,1.0,532.687324045,1.0,116.198654701,1.0,106.483571501,1.0,-9999,-9999,33.432,32.263,1.0,1.0,2.147,2.043,2.834,3.069,1.0,1.0,1.0,1.0,2.44356,1.0,33.4203,0.0,26.6756,-9999,69.23,0.0,55.2585,-9999,1.17873,0.0,-9999,0.764723,1.17873,1.30042,0.0,0.0,0.0,3.60375,3.56229,5.0275,5.16712,2.77382,2.79757,3.81221,3.86786,4.82003,3.51759,4.2224,6.89551,2.38923,1.79135,2.38923,3.40994,-9999,-9999
201104,29.686,1.0,443.462,284.734,1.0,372.899,0.0,33.683,1.0,100.376,0.0,0.0,0.0,3.318,0.0,-9999,-9999,67.9716367702,0.999305555556,543.198643251,1.0,122.078983315,1.0,112.39262525,1.0,-9999,-9999,36.215,34.778,1.0,1.0,2.134,2.075,2.824,3.039,1.0,1.0,1.0,1.0,2.06123,1.0,35.8914,0.0,28.4752,-9999,80.1182,0.0,63.5636,-9999,1.51967,0.0,-9999,0.904291,1.50517,1.73393,0.0,0.0,0.0,3.74195,3.69442,5.16746,5.2868,2.72026,2.80043,3.47378,3.60861,4.95543,3.64081,4.37805,7.12446,2.45547,1.69865,2.45539,3.50762,-9999,-9999
201105,29.596,1.0,449.791,280.464,1.0,391.201,0.0,29.012,1.0,100.417,0.0,0.031,0.0,3.207,0.0,-9999,-9999,75.6224576337,0.998655913978,538.476648863,0.999327956989,120.058131748,1.0,109.92936428,1.0,-9999,-9999,36.966,35.411,1.0,1.0,2.11,2.078,2.764,2.917,1.0,1.0,1.0,1.0,3.25232,1.0,79.9066,0.0,63.8928,-9999,59.0013,0.040323,47.177,-9999,0.8036,0.0,-9999,0.577786,0.8036,1.12782,0.0,0.0,0.0,3.73534,3.68884,5.161,5.28183,3.07277,3.13369,4.10441,4.21364,4.94918,3.63599,4.37064,7.1137,2.49889,1.99592,2.49431,3.58261,-9999,-9999
201106,30.075,1.0,448.23,258.254,1.0,413.075,0.0,25.648,1.0,100.592,0.0,0.063,0.0,3.133,0.0166667,-9999,-9999,82.5708127518,0.996527777778,499.02205235,1.0,101.242926497,1.0,95.199996206,1.0,-9999,-9999,37.076,36.154,1.0,1.0,2.741,2.151,2.747,2.854,1.0,1.0,1.0,1.0,2.84709,1.0,74.3541,0.0,62.6375,-9999,55.5222,0.196528,46.7732,-9999,0.76473,0.0,-9999,0.477901,0.76473,0.994279,0.0,0.0,0.0,3.77454,3.72359,5.20316,5.31621,3.19291,3.28141,4.26639,4.35739,4.98991,3.66706,4.41518,7.18064,2.43368,2.17422,2.44024,3.51863,-9999,-9999
201107,29.098,0.924731,446.932,230.963,0.926075,420.909,0.0,18.192,0.924731,100.604,0.0,0.726,0.0,3.227,0.462366,-9999,-9999,101.287523002,0.901209677419,512.076184362,0.903225806452,90.9720784695,0.903225806452,90.7527498274,0.903225806452,-9999,-9999,34.494,34.654,0.924731,0.924731,5.776,6.077,5.561,4.774,0.924731,0.924731,0.924731,0.924731,2.82272,0.924731,73.7384,0.56922,62.1189,0.905235,53.325,0.544355,44.9221,0.523685,0.568364,0.534274,0.0356799,0.187424,0.568364,0.946197,0.504704,0.534274,0.545699,3.39434,3.36405,4.30937,4.39594,3.14637,3.20978,3.40302,3.48553,4.14489,3.40041,3.78429,5.48667,2.49664,2.66198,2.82748,3.10013,-9999,-9999
201108,28.42,1.0,442.784,230.451,1.0,425.267,0.0,12.523,1.0,100.629,0.0,3.434,0.0,2.755,0.995968,0.296831948612,0.887096774194,116.671529458,0.996639784946,452.170566563,0.999327956989,49.4933906579,1.0,73.7246077074,1.0,-9999,-9999,32.243,32.783,1.0,1.0,8.608,8.386,8.307,6.942,1.0,1.0,1.0,1.0,0.516528,1.0,108.677,0.999328,97.0597,0.885116,21.401,0.987231,19.1133,0.358557,-2.78052,0.97379,0.0757865,-2.81568,-2.77192,-2.7386,0.99328,0.910618,0.900538,5.81727,5.89668,5.93438,6.05745,8.54968,8.71295,8.75962,8.79129,6.32782,5.95055,6.20577,6.21968,9.01095,8.93904,8.99929,9.06259,-9999,-9999
201109,28.438,1.0,426.167,244.359,1.0,422.659,0.0,11.579,1.0,100.654,0.0,2.825,0.0,2.3,0.979861,0.273470152376,0.813194444444,130.431768243,0.998611111111,470.743624107,1.0,41.2990374542,1.0,70.9685775183,1.0,-9999,-9999,33.32,33.286,1.0,1.0,7.023,5.867,6.415,5.434,1.0,1.0,1.0,1.0,3.86604,1.0,106.304,0.991667,97.8352,0.849417,30.7254,0.985417,28.2777,0.533959,-2.80493,0.957639,0.0654813,-3.2833,-2.80493,-2.67462,0.877083,0.957639,0.981944,6.20664,6.20664,6.42654,6.46264,9.40212,9.11362,9.19804,9.44616,6.51643,5.87621,6.3445,6.48179,9.28401,9.12088,9.26738,9.34002,-9999,-9999
201110,29.445,1.0,392.787,231.741,1.0,401.541,0.0,21.964,1.0,100.49,0.0,0.713,0.0,2.25,0.979167,0.30943596531,0.546370967742,105.288440639,0.999327956989,438.258203527,1.0,45.379844287,1.0,61.1062225676,1.0,-9999,-9999,33.339,33.274,1.0,1.0,6.313,6.417,7.125,5.981,1.0,1.0,1.0,1.0,4.28869,1.0,66.7392,0.96707,61.7625,0.765931,43.1541,0.952285,39.9361,0.545184,-0.171575,0.902554,0.0340778,-0.327682,-0.261853,-0.249277,0.612231,0.94422,0.943548,2.82612,2.91871,3.29146,3.32382,3.09592,3.17052,3.54074,3.57769,3.41894,3.81548,4.18047,4.89015,4.01539,3.9455,4.14585,4.30546,-9999,-9999
201111,27.884,1.0,353.124,220.326,1.0,363.945,0.0,31.334,1.0,100.583,0.0,0.0,0.0,2.449,0.604167,-9999,-9999,60.4498839708,1.0,430.53243276,1.0,65.949322016,1.0,68.9940702319,1.0,-9999,-9999,32.775,33.46,1.0,1.0,3.1,3.372,4.559,3.989,1.0,1.0,1.0,1.0,-3.4062,1.0,24.6139,0.831944,23.8619,0.391961,40.9331,0.836806,39.6825,0.419215,-0.647291,0.756944,0.0283821,-0.550552,-0.524969,-0.336374,0.805556,0.806944,0.372222,1.24753,0.57841,0.598094,1.24733,1.62502,1.12016,1.14816,1.57759,0.842541,0.504728,0.617535,0.915515,1.05015,0.81071,0.995324,1.08433,-9999,-9999
201112,24.512,1.0,330.653,200.696,1.0,325.663,0.0,27.869,1.0,100.843,0.0,0.0,0.0,3.195,0.997312,0.435338852114,0.518817204301,41.602496166,1.0,386.988881609,1.0,62.7831032742,1.0,69.5555746055,1.0,-9999,-9999,29.365,30.78,1.0,1.0,2.682,2.746,4.162,3.756,1.0,1.0,1.0,1.0,-4.29945,1.0,13.1193,0.439516,12.7534,0.0883695,31.4493,0.984543,30.572,0.386366,-0.23475,0.262769,0.0113058,-0.247086,-0.23475,-0.204753,0.166667,0.262769,0.424059,1.16,0.720616,0.746735,1.15881,1.44367,0.937021,0.950432,1.40636,3.49999,3.02574,3.43376,3.90305,1.94799,1.76005,1.98446,2.17316,-9999,-9999
