TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,1.424,0.0,203.904,128.72,0.0,261.216,0.0,1.959,0.0,94.559,0.0,0.125,0.0,3.534,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.1797,0.916667,78.2339,0.0,52.0353,-9999,24.2367,0.0,16.1204,-9999,1.94621,0.0,-9999,1.94316,1.94621,1.96268,0.0,0.0,0.0,1.9205,1.67735,1.90735,1.98893,-0.0269098,-0.26886,-0.0358117,0.0321964,0.861715,0.968014,0.983637,0.996156,2.25047,2.31665,2.32003,2.32412,-9999,-9999
200902,6.424,0.0,262.857,175.167,0.0,274.407,0.0,3.758,0.0,94.421,0.0,0.458,0.0,3.829,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.9748,0.0,79.1127,0.0,55.1141,-9999,24.6609,0.0,17.1801,-9999,1.94292,0.0,-9999,1.93911,1.94292,1.95856,0.0,0.0,0.0,2.60978,2.40668,2.59901,2.66504,0.666271,0.463762,0.659895,0.706531,1.54064,1.66695,1.68527,1.71085,2.63688,2.69412,2.69737,2.71781,-9999,-9999
200903,10.815,0.0,341.041,200.775,0.0,305.189,0.0,6.458,0.0,94.092,0.0,1.637,0.0,4.359,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.9759,0.0,78.5131,0.0,59.0532,-9999,24.226,0.0,18.2214,-9999,1.93546,0.0,-9999,1.9324,1.93546,1.95152,0.0,0.0,0.0,3.29927,3.18935,3.29333,3.3183,1.36275,1.25389,1.34914,1.36926,2.50171,2.62062,2.63111,2.6718,2.83452,2.89233,2.89456,2.92113,-9999,-9999
200904,13.427,0.0618056,414.748,245.732,0.0631944,323.535,0.0618056,4.943,0.0618056,93.925,0.0520833,4.311,0.0520833,4.482,0.0520833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.4404,0.0618056,79.0619,0.061806,61.4686,1.06584,24.6128,0.061806,19.1358,0.874463,1.92044,0.0604167,0.0401785,1.91616,1.92044,1.93054,0.0604167,0.0604167,0.0583333,3.68177,3.60945,3.66569,3.69464,1.76091,1.68902,1.73505,1.76108,2.92885,3.06201,3.07576,3.1255,3.12872,3.189,3.19176,3.22884,-9999,-9999
200905,17.992,1.0,464.501,248.396,1.0,358.49,1.0,6.901,1.0,94.17,1.0,0.0,1.0,3.53,0.798387,0.327907803515,0.773521505376,-9999,-9999,446.942875175,0.998655913978,33.5492751364,0.978494623656,43.3970061787,0.988575268817,425.218289651,1.0,372.884,0.959677,20.273,1.0,23.971,1.0,7.62083,1.0,104.51,0.959005,88.526,0.74278,26.6159,0.959677,22.5452,0.504527,-0.933123,0.932124,0.0655834,-0.947778,-0.942918,-0.935346,0.930108,0.93078,0.93414,5.60033,5.33021,5.60218,5.64233,6.54638,6.32651,6.54638,6.58633,3.63831,3.48007,3.59543,3.72368,5.16113,4.92228,5.01368,5.11665,-9999,-9999
200906,25.754,1.0,484.656,288.246,1.0,394.173,1.0,14.179,1.0,93.812,1.0,1.307,1.0,3.977,0.952083,0.339903826118,0.945833333333,126.239967418,0.895138888889,528.347393056,1.0,44.3391424405,0.988888888889,52.937561248,0.996527777778,474.711295833,1.0,367.906,0.997222,27.979,1.0,16.559,1.0,12.5356,1.0,94.4056,0.996528,79.9672,0.782863,39.6104,0.997222,33.5524,0.581281,-0.391341,0.988194,0.0658388,-0.411304,-0.388544,-0.369045,0.988194,0.988194,0.992361,3.75913,3.69083,3.75913,3.80148,4.1229,4.11488,4.13639,4.17466,3.05137,3.06367,3.13834,3.29425,3.96471,3.95661,3.99909,4.05021,-9999,-9999
200907,27.246,1.0,474.238,296.394,1.0,404.058,0.998656,17.673,1.0,94.214,1.0,1.048,1.0,3.553,0.985887,0.309307497524,0.965725806452,120.176764842,0.988575268817,544.367123313,0.999327956989,60.0746576584,0.997311827957,56.279016129,1.0,494.09305793,0.992607526882,373.6,1.0,31.11,1.0,15.859,1.0,8.59668,1.0,68.5301,0.998656,56.7676,0.758022,64.5389,1.0,53.4615,0.80328,0.770934,0.977823,0.0415568,0.698914,0.717158,0.745558,0.968414,0.962366,0.960349,2.56514,2.56616,2.59226,2.63425,1.86516,1.86286,1.87243,1.88119,2.18001,2.20766,2.23827,2.32312,1.81317,1.95712,1.99041,2.01943,-9999,-9999
200908,25.839,1.0,434.119,281.485,1.0,395.733,1.0,13.237,1.0,94.295,1.0,2.984,1.0,3.86,0.977823,0.320713960034,0.945564516129,114.844491874,0.994623655914,508.505031871,0.996639784946,56.8911408729,0.994623655914,51.0354467303,0.997311827957,484.429163793,0.999327956989,372.059,0.998656,29.703,1.0,18.602,1.0,5.65816,1.0,57.4809,0.998656,48.9143,0.961344,70.1695,0.998656,59.7118,0.811227,1.03534,0.985215,0.0604852,0.987613,1.01119,1.03156,0.977151,0.989919,0.985215,1.77399,1.66482,1.75238,1.77399,0.74833,0.629194,0.715642,0.760393,3.08895,3.05006,3.18911,3.41945,1.60903,1.4709,1.5721,1.63507,-9999,-9999
200909,20.119,0.995139,369.852,202.097,0.995139,369.301,0.995139,7.142,0.995139,94.409,0.992361,0.713,0.992361,3.036,0.984028,0.257444503865,0.961805555556,69.4364308055,0.991666666667,366.355335709,0.98125,40.9291512745,0.990277777778,36.6705256781,0.991666666667,444.05331783,0.992361111111,364.736,0.963194,23.967,0.995139,19.543,0.995139,1.79482,0.995139,28.5944,0.995833,23.3956,0.530362,55.6156,0.995833,45.5039,0.694273,1.53167,0.990278,0.0402498,1.51342,1.5283,1.54167,0.992361,0.992361,0.986111,2.55249,2.53034,2.55131,2.58499,1.03519,0.998159,1.01569,1.06513,2.18273,2.03167,2.10664,2.18598,1.00132,1.0065,1.05324,1.07279,-9999,-9999
200910,11.062,0.800403,291.808,126.819,0.803763,318.929,0.800403,3.796,0.791667,94.064,0.616263,3.239,0.616263,4.033,0.590054,-9999,-9999,51.8517098872,0.516129032258,278.20950307,0.516801075269,30.8773347969,0.510752688172,27.0086235765,0.516129032258,383.906528824,0.516801075269,377.02,0.788978,13.111,0.800403,23.309,0.800403,-6.11218,0.800403,35.5684,0.788306,25.6845,0.421509,24.9897,0.788306,18.0455,0.565264,1.05817,0.774194,0.0173114,1.0168,1.05993,1.10762,0.77621,0.774866,0.772177,1.4772,1.39262,1.43452,1.51035,0.415033,0.374999,0.392551,0.428902,1.0243,1.07142,1.11049,1.58736,0.219404,0.267148,0.346388,0.388304,-9999,-9999
