TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,1.146,1.0,202.631,119.343,1.0,269.391,1.0,2.484,1.0,98.827,1.0,0.09,1.0,4.382,0.910618,0.263300872493,0.975134408602,24.8635369624,1.0,229.45922043,1.0,-9999,-9999,25.768780914,1.0,328.36391129,1.0,379.976,1.0,2.487,1.0,30.982,1.0,-13.937,1.0,16.1037,1.0,21.3486,0.233464,13.1643,1.0,17.4519,0.446762,-0.237423,0.969086,0.028029,-0.389588,-0.246395,-0.188279,0.984543,0.97043,0.966398,0.317918,0.241078,0.330318,0.395921,0.565621,0.567039,0.581299,0.623332,0.394822,0.819989,0.864019,1.5897,0.740424,0.613364,0.650044,0.976598,-9999,-9999
200302,1.687,1.0,261.704,137.775,1.0,292.341,1.0,2.406,1.0,98.265,1.0,0.582,1.0,4.167,0.883185,0.248804840667,0.965773809524,29.346485119,1.0,264.914759673,1.0,-9999,-9999,45.6497829439,0.999255952381,332.827147321,1.0,385.808,0.997768,4.601,1.0,28.742,1.0,-9.23216,1.0,18.8768,0.997768,22.0739,0.460096,14.204,0.997768,16.6096,0.46382,-0.343322,0.927827,0.0329185,-0.426066,-0.335535,-0.218595,0.957589,0.938244,0.91369,0.665044,0.655551,0.70032,0.744408,0.976175,0.944987,0.994588,1.13588,1.42392,1.49872,2.91389,3.5174,1.13245,1.10626,1.19728,1.35653,-9999,-9999
200303,7.94,1.0,340.163,189.546,1.0,308.12,1.0,3.987,1.0,97.811,1.0,2.177,1.0,4.356,0.896505,0.304305069533,0.978494623656,74.0661464339,0.999327956989,363.696125472,0.999327956989,-9999,-9999,35.8149285894,0.997983870968,364.961741263,1.0,381.448,0.998656,9.014,1.0,34.389,1.0,-2.1901,1.0,41.4876,0.998656,58.2328,0.553757,13.0324,1.0,18.2926,0.518841,-2.10686,0.958333,0.0376161,-2.19777,-2.13523,-2.03389,0.972446,0.960349,0.948925,1.171,1.14882,1.16995,1.20755,3.25259,3.23458,3.28162,3.35598,1.64466,1.37013,1.5024,1.6531,3.7399,3.59607,3.69341,3.75139,-9999,-9999
200304,14.872,1.0,414.267,251.207,1.0,335.34,1.0,6.598,1.0,97.721,1.0,2.587,1.0,4.849,0.91875,0.388782229334,0.977777777778,114.9793625,1.0,483.068875,1.0,-9999,-9999,45.1920456019,0.997916666667,401.868420833,1.0,375.377,0.999306,16.106,1.0,26.788,0.192361,0.513587,1.0,69.1689,0.998611,91.5759,0.723187,6.27004,0.999306,8.30119,0.534604,-3.91082,0.976389,0.049561,-3.98262,-3.9534,-3.85505,0.977083,0.976389,0.975,2.02605,2.00985,2.02723,2.05934,5.93304,5.86096,5.97017,6.04257,2.35653,2.35157,2.37866,2.43694,6.16778,6.11518,6.16494,6.22485,-9999,-9999
200305,19.384,0.836022,464.401,257.82,0.840054,371.386,0.836022,8.078,0.836022,97.767,0.819892,2.627,0.815188,3.563,0.664651,0.32514337513,0.793682795699,134.219533884,0.793010752688,482.801742694,0.793010752688,-9999,-9999,33.702906981,0.787634408602,431.777658808,0.793682795699,374.825,0.949597,22.138,0.836022,18.296,0.575269,3.02249,0.836022,55.5547,0.967742,69.1252,0.506861,52.0197,0.967742,64.7267,0.668635,0.193679,0.832661,0.0421994,0.161758,0.189216,0.198793,0.875,0.813844,0.800403,2.60121,2.56897,2.58917,2.6193,2.38544,2.37265,2.40432,2.43061,2.51883,2.24708,2.3638,2.52826,2.33747,2.1481,2.22239,2.2868,-9999,-9999
200306,23.049,1.0,484.756,277.79,1.0,399.317,1.0,10.725,1.0,97.819,1.0,2.57,1.0,3.368,0.763194,0.320676469018,0.972222222222,148.850369444,1.0,534.202082639,1.0,-9999,-9999,35.2962525767,0.997222222222,457.144584028,1.0,382.069,0.999306,24.588,1.0,34.41,1.0,6.63488,1.0,51.1654,0.999306,57.2908,0.484383,75.8541,0.999306,84.9353,0.606259,1.50485,0.90625,0.0231496,1.47302,1.48095,1.50124,0.921528,0.920833,0.872222,2.03043,1.99426,2.02838,2.10027,0.525117,0.493469,0.532583,0.627196,2.12286,2.18542,2.31846,2.50055,0.87049,0.736865,0.867951,1.04025,-9999,-9999
200307,29.902,0.976478,474.255,314.189,0.978495,426.593,0.976478,24.767,0.976478,97.905,0.966398,0.265,0.961694,4.16,0.84879,0.381925902851,0.945564516129,156.628850992,0.949596774194,615.243832717,0.950940860215,-9999,-9999,45.3217176626,0.950940860215,514.092864773,0.950940860215,362.451,0.977823,32.55,0.96707,25.278,0.976478,18.8696,0.957661,36.6486,0.977151,36.2699,0.461136,100.354,0.976478,99.3169,0.800004,1.93993,0.96371,0.0230235,1.84556,1.93333,1.99559,0.971102,0.964382,0.961022,1.53588,1.47027,1.5343,1.58173,-0.399538,-0.424245,-0.403172,-0.38192,2.7139,2.69521,2.75161,2.77014,0.746637,0.736709,0.745498,0.75718,-9999,-9999
200308,28.3,0.982527,433.813,260.043,0.984543,426.739,0.982527,19.995,0.982527,98.024,0.97043,2.486,0.968414,3.589,0.811156,0.258786132578,0.948924731183,113.283317689,0.958333333333,504.614974202,0.958333333333,-9999,-9999,40.8844790574,0.958333333333,501.275168056,0.959677419355,365.99,0.997984,31.05,0.982527,24.219,0.982527,3.16159,0.982527,28.6961,0.997984,30.7002,0.569161,73.7324,0.997312,78.8817,0.609167,2.63808,0.86828,0.0221618,2.55556,2.63416,2.69873,0.942876,0.876344,0.854167,1.93257,1.67964,1.87309,2.07075,-0.602839,-0.865145,-0.7444,-0.602839,2.75066,2.59507,2.75407,2.8272,0.03831,0.0,0.000537978,0.0196708,-9999,-9999
200309,19.965,1.0,369.147,203.89,0.997917,372.467,1.0,9.525,1.0,98.196,1.0,1.857,1.0,4.146,0.872222,0.278331112313,0.966666666667,82.2775354167,1.0,400.352971782,0.975,-9999,-9999,31.3120354914,0.985416666667,437.585079167,1.0,379.068,0.995139,23.295,0.725,25.86,0.691667,-6.48973,1.0,37.6601,0.999306,40.5702,0.59178,44.5021,0.998611,47.9408,0.66938,1.67878,0.914583,0.0173326,1.67092,1.67996,1.69922,0.923611,0.921528,0.9625,1.3899,1.35593,1.39173,1.45741,-0.316314,-0.316314,-0.283063,-0.231052,2.56445,2.69669,2.76143,2.99563,0.00938877,0.000518966,0.0055324,0.139715,-9999,-9999
200310,15.747,1.0,290.768,169.689,1.0,344.715,1.0,6.743,1.0,98.145,1.0,1.771,1.0,3.625,0.830645,0.224130709128,0.948252688172,60.7211682109,0.998655913978,325.252745567,0.997983870968,-9999,-9999,27.5997132092,0.999327956989,406.283932796,1.0,379.928,1.0,18.64,0.0,26.714,0.0362903,-6.36534,0.995968,43.303,1.0,56.5039,0.452613,8.33495,1.0,10.8759,0.342786,0.108766,0.922715,0.0175661,0.050947,0.0663101,0.0924307,0.860215,0.946237,0.944892,1.26707,1.1731,1.20714,1.26707,1.29724,1.11405,1.14134,1.17321,1.03622,1.1108,1.20537,1.47902,1.20535,1.22111,1.36114,1.49762,-9999,-9999
