TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,3.08,0.0,210.128,103.572,0.609543,279.57,0.0,0.43,0.0,97.356,0.0,3.359,0.0,3.486,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.60539,0.0,22.1451,0.0,20.5762,-9999,71.5891,0.0,66.5173,-9999,0.967039,0.0,-9999,0.958055,0.99091,1.0411,0.0,0.0,0.0,0.208103,0.235908,0.315508,0.319547,-0.74177,-0.74395,-0.72378,-0.699516,0.985958,0.972702,0.982694,1.00964,0.0,0.0,0.0,0.0,-9999,-9999
200502,6.161,0.0,268.475,140.357,0.573661,289.512,0.0,1.276,0.0,97.152,0.0,2.517,0.0,3.309,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.38337,0.0,22.1476,0.0,20.4527,1.15995,72.4519,0.0,66.9073,1.81482,0.989686,0.0,0.0644289,0.983178,1.00815,1.05502,0.0,0.0,0.0,0.242168,0.274105,0.368621,0.372221,-0.70217,-0.704781,-0.693118,-0.671629,1.05313,1.03897,1.04964,1.07842,0.0,0.0,0.0,0.0,-9999,-9999
200503,9.586,0.83871,345.295,198.159,0.879032,285.765,0.0,4.895,0.83871,96.483,0.725134,0.542,0.725134,4.894,0.692204,0.376324999095,0.521505376344,77.8125325596,0.709005376344,370.893997159,0.709677419355,384.479,0.858871,10.349,0.83871,36.229,0.83871,-3.70711,0.840726,24.3658,0.858871,22.5011,0.363117,64.8284,0.858199,59.8672,0.543686,1.05952,0.788306,0.0219315,1.02508,1.04354,1.06944,0.810484,0.799059,0.737231,0.722715,0.736031,0.801678,0.834511,-0.218768,-0.295599,-0.267266,-0.229245,1.19836,1.1897,1.2145,1.3238,0.0473553,0.0364622,0.050303,0.0618116,-9999,-9999
200504,15.115,1.0,417.046,265.177,1.0,309.535,0.0,6.86,1.0,96.559,1.0,0.26,1.0,5.604,0.959028,0.413697793256,0.791666666667,108.479833484,0.998611111111,508.449847222,1.0,367.421,0.999306,15.831,1.0,33.983,1.0,0.662571,1.0,44.4905,0.998611,41.9312,0.378631,69.6149,0.999306,65.6104,0.604653,-0.0239423,0.961806,0.0312568,-0.11345,-0.0820489,-0.00160229,0.984722,0.969444,0.95625,2.62742,2.6274,2.6613,2.78665,2.74691,2.74055,2.75196,2.78825,2.10029,1.98963,2.13276,2.19391,2.44827,2.44631,2.5227,2.55091,-9999,-9999
200505,19.586,1.0,464.938,233.324,1.0,361.495,0.0,6.699,1.0,96.651,1.0,2.723,1.0,4.041,0.928091,0.376183550806,0.700268817204,105.007274194,1.0,459.534278226,1.0,370.871,0.994624,19.674,1.0,28.424,1.0,2.11251,1.0,75.6978,0.995968,79.0904,0.589375,22.7326,0.998656,23.7514,0.433256,-2.91334,0.93414,0.0471657,-3.02252,-3.00547,-2.89349,0.965726,0.962366,0.936828,5.03258,4.98615,5.0277,5.10965,8.0076,7.92519,8.00939,8.04604,5.72969,5.71697,5.7698,5.90483,8.81672,8.74388,8.79623,8.90051,-9999,-9999
200506,24.917,1.0,484.117,302.982,0.998611,389.843,0.0,10.104,0.999306,96.48,0.98125,4.86,0.98125,3.967,0.274306,-9999,-9999,151.862315181,0.980555555556,613.273681574,0.978472222222,371.566,0.914583,23.607,1.0,30.526,1.0,1.235,1.0,127.99,0.920833,133.726,0.692078,2.74379,0.924306,2.86676,0.353432,-5.53406,0.765972,0.0899133,-5.7834,-5.73888,-5.5354,0.834722,0.778472,0.771528,7.23759,6.76206,7.27576,7.61516,12.5063,12.4805,13.0287,13.1097,7.27742,7.36996,7.65146,7.88382,13.5677,13.4712,13.5677,13.6548,-9999,-9999
200507,26.278,0.997312,474.107,308.262,0.997984,393.47,0.0,12.142,0.997312,96.835,0.991263,1.516,0.991263,3.164,0.445565,-9999,-9999,158.226009658,0.99126344086,622.900800096,0.99126344086,370.496,0.769489,25.229,0.997312,21.943,0.997312,-1.05584,0.997312,120.368,0.78293,126.743,0.679515,17.5652,0.783602,18.4955,0.371242,-4.63197,0.490591,0.0740228,-4.75791,-4.67208,-4.62335,0.535618,0.52621,0.495296,6.66284,6.11704,6.66284,7.49648,11.474,10.8321,11.4498,12.1108,9.0311,8.72265,9.0311,9.75041,13.25,12.7685,12.8932,13.3799,-9999,-9999
200508,25.836,1.0,435.559,244.074,1.0,402.422,0.0,10.231,1.0,96.746,1.0,4.842,1.0,2.637,0.905914,0.356403572273,0.69623655914,124.655499328,1.0,493.769802419,1.0,379.672,0.999328,25.286,1.0,24.891,1.0,-2.18376,1.0,94.173,1.0,99.1606,0.545255,26.2865,1.0,27.6787,0.399371,-0.111353,0.935484,0.0539986,-0.331138,-0.247056,-0.11298,0.979839,0.968414,0.895833,6.40019,6.1934,6.29126,6.67763,6.76437,6.50933,6.63538,6.83395,6.41693,5.7468,6.20365,6.41693,7.11929,7.08589,7.11814,7.21418,-9999,-9999
200509,23.821,1.0,373.25,230.394,1.0,375.115,0.0,10.234,0.998611,96.891,1.0,3.107,1.0,2.966,0.93125,0.423064872391,0.707638888889,110.868984028,1.0,454.726966667,1.0,375.831,0.997917,23.567,1.0,25.496,1.0,-5.0228,1.0,83.3389,0.995139,88.05,0.51854,26.3704,0.999306,27.8611,0.479563,-0.298493,0.9375,0.0594818,-0.313651,-0.223817,-0.206202,0.928472,0.972222,0.972222,5.38058,5.15784,5.24383,5.32204,5.45975,5.44975,5.48747,5.53031,4.5086,4.26436,4.64353,4.69971,5.07506,5.08571,5.1565,5.23006,-9999,-9999
200510,16.263,1.0,296.863,171.692,1.0,326.611,0.0,6.115,1.0,97.025,1.0,0.923,1.0,3.095,0.943548,0.444618555001,0.698252688172,65.8783145161,1.0,337.084577957,1.0,374.983,0.998656,18.124,1.0,24.819,1.0,-9.26259,1.0,39.422,0.997984,37.6409,0.344478,39.2035,0.998656,37.4323,0.482319,1.60005,0.972446,0.0297595,1.57494,1.5835,1.59344,0.986559,0.975806,0.983199,3.33539,3.32159,3.34769,3.36116,1.7653,1.7373,1.7653,1.7748,2.98274,2.77145,2.87424,3.003,1.62706,1.54333,1.62706,1.65942,-9999,-9999
