TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,2.726,0.0,210.15,104.632,0.609543,279.57,0.0,0.404,0.0,96.985,0.0,3.617,0.0,3.784,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.92498,0.0,26.7369,0.0,21.5341,-9999,63.3091,0.0,50.9896,-9999,0.892687,0.0,-9999,0.848029,0.891512,0.908405,0.0,0.0,0.0,1.11528,0.990054,1.09195,1.12006,0.222979,0.14187,0.204963,0.224564,0.351483,0.329229,0.351483,0.368483,0.0,0.0,0.0,0.0,-9999,-9999
200502,5.797,0.0,268.495,141.794,0.573661,289.512,0.0,1.208,0.0,96.785,0.0,2.711,0.0,3.591,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.62491,0.0,26.9463,0.0,22.3906,0.601428,65.1323,0.0,54.1206,1.21626,0.879315,0.0,0.0548146,0.826911,0.874033,0.891168,0.0,0.0,0.0,1.29479,1.158,1.27358,1.29872,0.415795,0.333712,0.402308,0.42002,0.375695,0.351908,0.375695,0.393866,0.0,0.0,0.0,0.0,-9999,-9999
200503,9.343,0.877688,345.31,201.094,0.897849,285.765,0.0,4.694,0.877688,96.079,0.761425,1.016,0.761425,4.708,0.733871,0.452854399651,0.613575268817,75.9318444251,0.760752688172,389.193820821,0.761424731183,387.892,0.876344,10.12,0.877688,28.333,0.877016,0.286531,0.877688,30.3701,0.874328,25.2356,0.276575,57.528,0.876344,47.802,0.540942,0.929837,0.835349,0.0161437,0.885308,0.913254,0.949827,0.851478,0.838038,0.834677,1.63995,1.57206,1.6145,1.65444,0.706441,0.686976,0.70251,0.707048,0.970347,0.963792,0.98172,0.98493,0.391107,0.388135,0.392402,0.400982,-9999,-9999
200504,14.675,1.0,417.054,269.203,1.0,309.535,0.0,6.448,1.0,96.233,1.0,0.363,1.0,5.385,0.924306,0.462711493985,0.76875,115.224006099,0.998611111111,509.806418056,1.0,365.94,0.995833,15.455,1.0,20.571,1.0,7.41504,1.0,58.0132,0.99375,49.3802,0.422193,68.3517,0.995833,58.1802,0.606268,-0.375496,0.988889,0.0247848,-0.376001,-0.372837,-0.367519,0.984722,0.982639,0.990278,2.99664,2.99453,3.01159,3.01708,3.37167,3.37213,3.3833,3.38589,2.42616,2.32087,2.36537,2.39342,3.06052,2.99385,3.02243,3.04196,-9999,-9999
200505,19.209,1.0,464.939,233.751,1.0,361.495,0.0,6.537,1.0,96.299,1.0,2.729,1.0,4.047,0.922043,0.388853740704,0.703629032258,113.765632392,1.0,440.197701613,1.0,372.368,0.994624,19.609,1.0,19.895,1.0,7.36717,1.0,83.0273,0.995968,79.8676,0.633896,27.5341,0.997984,26.4863,0.48132,-1.71322,0.968414,0.0474757,-1.75934,-1.74873,-1.69138,0.971102,0.973118,0.965726,4.95763,4.94092,4.94742,4.95763,6.66866,6.64777,6.69397,6.69995,5.39265,5.00144,5.03162,5.58489,7.02579,6.81172,6.83011,7.10938,-9999,-9999
200506,24.663,1.0,484.115,302.949,1.0,389.843,0.0,9.965,1.0,96.095,1.0,5.48,1.0,4.318,0.931944,0.393086587529,0.778472222222,162.08930854,0.999305555556,549.961106944,1.0,371.501,0.999306,22.864,1.0,26.652,1.0,9.55962,1.0,129.347,0.999306,131.654,0.638778,20.3353,0.999306,20.698,0.424608,-3.37941,0.979861,0.0731602,-3.38603,-3.37751,-3.33364,0.98125,0.98125,0.985417,5.96759,5.96327,5.98897,6.05846,9.34736,9.34466,9.37069,9.38925,6.04215,5.96096,6.02781,6.04757,9.41022,9.40405,9.4246,9.43909,-9999,-9999
200507,25.955,1.0,474.106,307.276,1.0,393.47,0.0,12.126,1.0,96.482,1.0,2.361,1.0,3.449,0.888441,0.366840518471,0.661962365591,163.920379704,1.0,551.290981183,1.0,368.23,1.0,23.934,1.0,20.502,1.0,5.72283,1.0,133.252,0.999328,137.69,0.686867,19.8626,1.0,20.5241,0.429633,-3.47006,0.97043,0.048984,-3.47743,-3.467,-3.45852,0.981183,0.982527,0.97379,6.79308,6.71624,6.79308,6.80656,10.2669,10.1785,10.2631,10.2757,7.26424,7.13616,7.26876,7.30197,10.9657,10.879,10.9629,10.9828,-9999,-9999
200508,25.46,1.0,435.564,242.536,0.99664,402.422,0.0,9.953,1.0,96.39,1.0,5.126,1.0,2.972,0.914651,0.328633423828,0.665322580645,131.143993265,0.997983870968,430.451596774,1.0,378.936,0.998656,24.293,1.0,21.521,1.0,4.26753,1.0,99.6386,0.995968,100.422,0.618609,25.9542,0.997984,26.1584,0.413821,-0.196889,0.985215,0.0689584,-0.207833,-0.1947,-0.182084,0.985215,0.984543,0.988575,5.71663,5.66576,5.7498,5.80683,5.9427,5.84283,5.93761,5.99144,5.78309,5.53023,5.68343,5.87547,6.43697,6.42041,6.47107,6.51686,-9999,-9999
200509,23.474,1.0,373.262,229.884,0.978472,375.115,0.0,9.862,1.0,96.545,1.0,1.357,1.0,3.39,0.93125,0.400157227041,0.671527777778,117.341750694,1.0,396.34220625,1.0,368.714,0.997917,22.815,1.0,20.333,1.0,0.671581,1.0,85.5115,0.998611,88.6856,0.51443,27.0449,0.999306,28.0487,0.497104,-0.435782,0.96875,0.0645158,-0.461129,-0.390914,-0.371533,0.968056,0.96875,0.972222,4.96662,4.91291,5.12551,5.17925,5.4118,5.36718,5.51225,5.55204,4.33685,3.79822,4.17665,4.40018,5.1026,5.04504,5.1026,5.1608,-9999,-9999
200510,15.837,1.0,296.882,173.355,1.0,326.611,0.0,5.777,1.0,96.665,1.0,1.106,1.0,3.56,0.938172,0.424172018248,0.641129032258,71.097094086,1.0,304.607557124,1.0,357.037,0.999328,17.506,1.0,20.718,1.0,-3.98329,1.0,43.4695,0.997312,39.7662,0.394125,38.6553,0.999328,35.3621,0.475106,1.16737,0.980511,0.044871,1.15748,1.16406,1.1709,0.988575,0.980511,0.981855,2.95988,2.91971,2.94549,2.95273,1.79073,1.76213,1.77537,1.78655,3.49747,3.20468,3.33308,3.47557,1.84566,1.70734,1.83875,1.95663,-9999,-9999
200511,10.649,1.0,227.776,151.28,1.0,282.021,0.0,6.113,1.0,96.473,0.99375,0.107,1.0,4.403,0.961806,0.474378322274,0.655555555556,36.9023145833,1.0,278.593422222,1.0,346.27,0.998611,12.153,1.0,15.626,1.0,-5.1474,1.0,12.5219,0.997222,9.57752,0.236911,42.3852,0.998611,32.4188,0.6403,1.44444,0.961806,0.0229274,1.42283,1.44176,1.45651,0.973611,0.963889,0.961806,1.56179,1.54607,1.55958,1.57416,0.122099,0.114899,0.117814,0.122099,3.22548,3.00093,3.22548,3.33096,0.389599,0.389599,0.54518,0.607407,-9999,-9999
