TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-24.618,1.0,0.512657,1.18,1.0,177.205,0.0,0.212,1.0,101.415,0.0,0.0,1.0,2.681,1.0,-9999,-9999,-6.17942674731,1.0,2.25867607527,1.0,-9999,-9999,-18.726,1.0,-3.36469,1.0,-5.23347,0.815188,-0.562662,0.29947,-24.7171,0.0,-2.65739,-9999,-0.409871,0.0,-9999,-0.465572,-0.400375,-0.39637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409871,0.39637,0.400375,0.465426,0.0775656,0.0137166,0.101659,0.105752,0.0,0.0,0.0,0.0,-9999,-9999
200302,-28.306,1.0,30.8088,17.79,1.0,174.487,0.0,0.169,1.0,102.078,0.0,0.0,1.0,2.497,1.0,-9999,-9999,-5.93288095238,1.0,34.2109650298,1.0,-9999,-9999,-22.522,1.0,-3.60312,1.0,-1.69085,0.535714,-0.287361,0.415474,-24.6592,0.0,-4.19086,-9999,-0.600081,0.0,-9999,-0.600407,-0.599744,-0.594537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600082,0.594478,0.599737,0.600407,0.0432992,0.00888934,0.0630023,0.0671111,0.0,0.0,0.0,0.0,-9999,-9999
200303,-25.793,1.0,127.216,88.646,1.0,166.642,0.0,0.205,1.0,102.23,0.0,0.0,1.0,2.913,1.0,-9999,-9999,-18.2554180108,1.0,170.47218414,1.0,-9999,-9999,-21.209,1.0,-1.65898,1.0,-0.912674,0.885081,-0.673514,0.236807,-24.8689,0.0,-18.3522,-9999,-0.411183,0.0,0.0127442,-0.445907,-0.397817,-0.388589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411183,0.38852,0.397702,0.444699,0.0688416,0.0120419,0.0890514,0.0926967,0.0,0.0,0.0,0.0,-9999,-9999
200304,-12.787,1.0,268.221,177.967,1.0,229.973,0.0,0.4,1.0,101.429,0.0,0.163,0.998611,3.566,0.970139,0.221138833303,0.561111111111,-5.53134840411,0.982638888889,343.148655767,0.997222222222,-9999,-9999,-13.584,0.999306,3.39433,1.0,-1.85177,0.897222,-1.65892,0.257717,-24.7514,0.0,-22.1737,-9999,-0.210048,0.861111,0.0128822,-0.25253,-0.197978,-0.191937,0.874306,0.859722,0.855556,0.0,0.0,7.20642e-10,1.73675e-07,0.210048,0.191626,0.197978,0.245248,0.154194,0.0302591,0.175431,0.178917,0.00461282,0.0,0.0,0.00279337,-9999,-9999
200305,-4.864,1.0,408.999,250.185,1.0,259.856,0.0,0.568,1.0,101.377,0.0,0.09,1.0,4.966,0.933468,0.277330215662,0.719086021505,24.3128931452,1.0,480.649708262,0.999327956989,-9999,-9999,-4.456,1.0,8.09647,1.0,15.5507,0.997312,18.7096,0.440065,-24.7171,0.0,-29.7381,-9999,0.151025,0.93414,0.0127951,0.104602,0.15672,0.161948,0.936828,0.928091,0.925403,0.0221831,0.0144359,0.026737,0.0291021,-0.128842,-0.133699,-0.129248,-0.0979088,0.299083,0.221791,0.352106,0.370008,0.0,0.0,0.0,0.0,-9999,-9999
200306,4.7,1.0,486.078,288.165,1.0,292.618,0.0,2.191,1.0,101.237,0.0,0.02,1.0,4.196,0.990972,0.34495352592,0.794444444444,166.501949457,0.998611111111,553.241319928,0.998611111111,-9999,-9999,5.161,1.0,17.5042,1.0,78.5561,0.999306,75.4748,0.510874,-24.7514,0.0,-23.7805,-9999,1.17378,0.979861,0.0145223,1.17516,1.17757,1.18005,0.980556,0.979861,0.979167,0.169687,0.122876,0.19166,0.206929,-1.00409,-1.05512,-0.985468,-0.974121,1.2622,1.19551,1.26367,1.28198,0.00637035,0.0,0.0,0.00535284,-9999,-9999
200307,7.923,0.827285,451.536,173.5,0.834677,325.911,0.0,2.623,0.827285,100.677,0.0,1.148,0.809812,4.045,0.807124,0.333189743375,0.926747311828,107.098588428,0.797715053763,362.163196775,0.797715053763,-9999,-9999,7.535,0.827285,9.68451,0.827285,39.0908,0.823253,46.2283,0.327544,-24.6682,0.0,-29.1723,-9999,0.275241,0.823253,0.0132667,0.275241,0.282357,0.284456,0.823253,0.821909,0.821909,0.340445,0.254397,0.371489,0.411388,0.0652044,-0.0217448,0.086802,0.125229,0.402761,0.300693,0.387414,0.415665,0.110294,0.00248065,0.00604502,0.118209,-9999,-9999
200308,4.132,0.822581,326.457,118.559,0.833333,308.344,0.0,1.328,0.822581,101.019,0.0,2.099,0.763441,3.381,0.752016,0.280168749442,0.680779569892,66.8653165491,0.752016129032,236.225459339,0.752016129032,-9999,-9999,3.83,0.822581,4.80985,0.822581,30.2229,0.820565,31.1353,0.398857,-24.8689,0.0,-25.6197,-9999,0.232074,0.817204,0.0160085,0.216778,0.230237,0.232889,0.817876,0.817204,0.817204,0.312436,0.280672,0.311981,0.319822,0.0803621,0.0587579,0.0782306,0.0872393,0.335219,0.201286,0.281939,0.382408,0.186477,0.0318832,0.0786254,0.173199,-9999,-9999
200309,-0.034,0.165278,182.61,63.668,0.470833,276.092,0.0,1.375,0.165278,101.223,0.0,0.468,0.0,3.036,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.618,0.165278,3.10453,0.165278,4.14123,0.165278,5.76691,0.262893,-24.7514,0.0,-34.4678,-9999,0.18882,0.165278,0.0114202,0.14015,0.18882,0.215235,0.165278,0.165278,0.161111,0.127466,0.0973542,0.114365,0.117521,-0.0613535,-0.0987026,-0.0773281,-0.0462248,0.159979,0.132727,0.132925,0.162995,0.0,0.0,0.0,0.0,-9999,-9999
200310,-5.178,0.984543,64.3242,21.86,0.985887,270.558,0.0,0.314,0.984543,101.055,0.0,0.794,0.968414,3.772,0.967742,-9999,-9999,-5.34334027778,0.967741935484,43.0252076389,0.967741935484,-9999,-9999,-0.553,0.984543,-2.26119,0.984543,-6.456,0.415323,-6.86387,0.229865,-25.5139,0.0,-27.1258,-9999,-0.0215912,0.337366,0.0132345,-0.112928,-0.0159658,0.0079621,0.358871,0.287634,0.307796,0.00022291,0.000214793,0.000229351,0.000236154,0.0218141,-0.00799917,0.0120005,0.112281,0.0981879,0.0623004,0.0623934,0.124355,0.0,0.0,0.0,0.0,-9999,-9999
