TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199701,4.169,0.0,186.293,79.988,0.0,291.518,0.0,4.211,0.0,86.843,0.0,18.138,0.0,1.971,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,52.4144,0.0,47.7573,-9999,21.1116,0.0,19.2358,-9999,-1.18636,0.0,-9999,-1.20256,-1.18636,-1.02963,0.0,0.0,0.0,1.35206,1.20253,1.35206,1.75571,2.55462,2.38889,2.55462,2.76432,4.88151,4.88151,4.89179,4.9637,2.78318,2.78318,2.78567,2.81214,-9999,-9999
199702,4.893,0.0,246.78,153.583,0.0,266.785,0.0,5.261,0.0,86.961,0.0,1.176,0.0,1.682,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,52.3671,0.0,51.269,-9999,21.102,0.0,20.6595,-9999,-1.18856,0.0,-9999,-1.19818,-1.18856,-1.02818,0.0,0.0,0.0,1.40596,1.27671,1.40596,1.8483,2.60414,2.46526,2.60414,2.85443,4.95412,4.95412,4.96454,5.03752,4.61131,4.61131,4.61517,4.65215,-9999,-9999
199703,8.029,0.0,328.648,219.178,0.0,276.955,0.0,6.481,0.0,86.91,0.0,1.702,0.0,1.499,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.954,0.112231,53.047,0.0,61.0562,-9999,21.9883,0.0,25.3081,-9999,-1.23387,0.0,-9999,-1.25478,-1.23387,-1.07396,0.0,0.0,0.0,1.66402,1.66402,1.70219,2.34237,2.9188,2.9188,2.93605,3.39123,5.23464,5.23464,5.24565,5.32277,5.85536,5.85536,5.86004,5.90101,-9999,-9999
199704,9.328,0.0,407.793,267.899,0.0,281.54,0.0,6.961,0.0,86.713,0.0,0.989,0.0,1.661,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.87362,0.0,52.6176,0.0,60.5619,-9999,21.4106,0.0,24.6432,-9999,-1.20341,0.0,-9999,-1.21919,-1.20341,-1.04445,0.0,0.0,0.0,1.76765,1.76765,1.86048,2.5322,2.98683,2.98683,3.06389,3.55391,5.35616,5.35616,5.36743,5.44633,6.79412,6.7926,6.79945,6.84436,-9999,-9999
199705,15.206,0.0,462.81,311.992,0.0,304.184,0.0,10.494,0.0,86.673,0.0,0.389,0.0,1.249,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.91821,0.0,52.8805,0.0,63.1133,0.906542,21.5934,0.0,25.7719,1.02188,-1.21796,0.0,0.106255,-1.23537,-1.21796,-1.05835,0.0,0.0,0.0,2.27231,2.27231,2.805,3.12864,3.50768,3.50768,4.02296,4.18699,5.83901,5.83901,5.8513,5.93731,7.61017,7.59956,7.61606,7.66433,-9999,-9999
199706,15.869,0.896528,485.749,317.319,0.856944,315.406,0.0,8.763,0.896528,86.339,0.832639,1.862,0.797917,1.48,0.805556,0.236313631573,0.748611111111,161.704785086,0.753472222222,574.468627434,0.752777777778,358.841,0.878472,17.069,0.822917,-9999,-9999,3.74764,0.890972,106.431,0.896528,127.026,0.840866,37.8232,0.895833,45.1423,0.61898,-2.76744,0.8625,0.0583726,-2.86557,-2.76744,-2.6363,0.863194,0.8625,0.861111,1.41496,1.41496,1.78716,2.09019,4.28054,4.28054,4.5546,4.72649,2.97952,2.97952,3.02823,3.04722,5.19627,5.19627,5.21957,5.23074,-9999,-9999
199707,20.07,0.906586,474.168,330.885,0.911962,323.475,0.0,14.115,0.905914,86.588,0.668683,0.0,0.817876,1.353,0.854839,0.213435368255,0.820564516129,176.598310619,0.83938172043,634.433728934,0.83938172043,361.208,0.905914,21.214,0.906586,7.913,0.898522,6.79669,0.906586,118.38,0.905914,121.906,0.760664,43.8445,0.906586,45.1503,0.532608,-4.33861,0.898522,0.0497822,-4.44623,-4.33861,-4.23966,0.90121,0.898522,0.898522,0.670454,0.670454,1.15399,1.25565,5.11669,5.11669,5.4926,5.49531,2.5908,2.5908,2.79203,2.79769,6.42083,6.41132,6.42083,6.51304,-9999,-9999
199708,19.336,0.959005,429.584,294.069,0.935484,322.536,0.0,12.469,0.952285,86.681,0.581317,0.377,0.889113,1.369,0.924059,0.208921829113,0.893817204301,151.900472899,0.913306451613,564.241301177,0.868951612903,357.467,0.954973,21.498,0.959005,6.451,0.950269,4.88916,0.959005,83.7808,0.951613,86.5224,0.622294,63.4582,0.954301,65.5348,0.631852,-3.31048,0.936828,0.0440084,-3.39305,-3.31048,-3.18462,0.943548,0.936828,0.935484,0.45251,0.45251,0.672427,0.78161,3.84556,3.84556,3.96623,3.9829,1.83534,1.83534,1.94106,2.13802,4.58242,4.58242,4.7413,4.90205,-9999,-9999
199709,17.14,0.307639,359.83,237.63,0.308333,316.821,0.0,11.525,0.307639,86.526,0.0,0.288,0.282639,1.416,0.29375,-9999,-9999,-9999,-9999,-9999,-9999,358.347,0.307639,20.418,0.307639,7.293,0.307639,2.92353,0.307639,58.0697,0.307639,59.9699,0.541917,61.0946,0.307639,63.0938,0.62766,-2.3783,0.30625,0.0396884,-2.46149,-2.40277,-2.3783,0.305556,0.30625,0.30625,0.274976,0.28225,0.321406,0.33423,2.68288,2.68288,2.69971,2.74861,1.33998,1.33998,1.42051,1.71632,3.31436,3.31436,3.35255,3.62249,-9999,-9999
199710,11.028,0.0,277.243,175.324,0.0,287.397,0.0,8.055,0.0,86.735,0.0,1.926,0.0,1.441,0.0,-9999,-9999,-9999,-9999,-9999,-9999,358.584,0.0,20.462,0.0,7.208,0.0,2.86827,0.0,57.6195,0.0,52.4999,-9999,62.3685,0.0,56.8269,-9999,-2.30133,0.0,-9999,-2.41547,-2.32403,-2.30133,0.0,0.0,0.0,0.286642,0.280586,0.295414,0.323005,2.61966,2.58192,2.61966,2.71088,1.0434,1.12484,1.13508,1.2502,2.77181,2.77181,2.81187,3.04324,-9999,-9999
