TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,-5.489,1.0,166.692,73.164,1.0,275.206,1.0,1.012,1.0,99.832,0.360215,0.401,1.0,3.064,0.360215,-9999,-9999,9.61869623656,1.0,170.866278898,1.0,47.9470050618,0.999327956989,289.642979839,1.0,394.142,0.948925,-0.43,1.0,36.343,1.0,-4.96163,1.0,5.3175,0.948925,9.58888,0.114448,-0.608319,0.981183,-1.09696,0.223043,0.733584,0.896505,0.0197324,0.676442,0.750489,0.765283,0.831989,0.908602,0.946909,0.589568,0.46503,0.588738,0.609082,-0.165316,-0.177649,-0.165316,-0.156216,1.07793,1.07193,1.08259,1.09896,0.0,0.0,0.00528285,0.00684864,-9999,-9999
201102,-2.972,1.0,228.561,112.408,0.995536,284.284,1.0,1.455,1.0,99.86,0.310268,1.778,1.0,3.93,0.310268,-9999,-9999,20.0882403274,1.0,272.291754464,1.0,76.1173595333,0.999255952381,299.591848214,1.0,391.585,0.942708,-0.147,1.0,42.256,1.0,-0.771094,1.0,11.8284,0.951637,17.0625,0.23107,-12.5966,0.953869,-18.1706,0.274916,0.355058,0.873512,0.00907742,0.346924,0.358855,0.378286,0.870536,0.879464,0.885417,0.278991,0.265308,0.278938,0.286244,-0.0798633,-0.0910417,-0.0886416,-0.079866,0.503225,0.499854,0.508918,0.526112,0.0,0.0,0.0,0.0,-9999,-9999
201103,2.154,1.0,314.227,147.739,1.0,302.535,1.0,1.974,1.0,100.085,0.684812,1.942,1.0,3.752,0.684812,0.23441416868,0.643817204301,92.0610658602,1.0,318.045886425,1.0,28.5842841071,0.97311827957,328.184732527,1.0,396.257,0.99664,3.039,1.0,51.212,1.0,11.127,1.0,34.7177,0.997312,50.0802,0.343637,21.202,0.994624,30.5839,0.352476,1.08778,0.985215,0.0122386,1.07385,1.08478,1.09283,0.978495,0.985215,0.985887,0.866911,0.850643,0.854502,0.866897,-0.226296,-0.233801,-0.225668,-0.213965,1.49476,1.452,1.46808,1.47558,0.0,0.0,0.0,0.0,-9999,-9999
201104,8.829,1.0,399.274,145.075,1.0,340.106,1.0,3.112,1.0,99.283,0.520139,4.403,1.0,4.304,0.520139,-9999,-9999,104.465527083,1.0,321.582502778,1.0,20.3414518564,0.972916666667,359.332648936,0.991666666667,392.97,0.995833,8.149,1.0,52.843,1.0,11.1147,1.0,54.2431,0.997222,72.497,0.590379,15.5626,0.997222,20.7997,0.503967,0.848888,0.979861,0.0155392,0.83668,0.85176,0.855743,0.977083,0.980556,0.985417,0.806537,0.793219,0.803319,0.80551,-0.0452228,-0.0554399,-0.0453528,-0.0443726,1.41821,1.41462,1.4196,1.42759,0.0,0.0,0.0,0.0,-9999,-9999
201105,15.786,1.0,460.162,190.649,1.0,378.299,1.0,4.417,1.0,99.471,0.703629,4.58,1.0,3.212,0.703629,0.232397641264,0.665994623656,139.706657258,1.0,429.18400888,0.998655913978,29.3032104768,0.98185483871,399.047992608,1.0,393.657,0.956317,14.747,1.0,57.435,1.0,13.6515,1.0,80.1926,0.990591,98.3771,1.11801,22.6438,0.99664,27.7785,0.538658,1.98837,0.901882,0.0257829,1.9743,1.98066,2.01116,0.924059,0.93078,0.901882,1.977,1.95702,1.97592,1.98695,0.000381291,-0.0342059,-0.024206,-0.00529209,2.41852,2.30796,2.40137,2.46824,0.0,0.0,0.0,0.0,-9999,-9999
201106,22.068,1.0,486.256,260.272,1.0,403.85,1.0,9.929,1.0,99.468,0.747222,0.389,1.0,3.195,0.747222,0.249758396209,0.747222222222,172.166275694,1.0,577.145215278,1.0,50.1266979167,1.0,439.638927778,1.0,386.974,0.995139,21.712,1.0,50.763,1.0,8.11704,1.0,53.8693,0.994444,72.7889,0.996188,67.5973,0.998611,91.3384,0.651052,1.7781,0.979861,0.0294832,1.78615,1.78931,1.79562,0.983333,0.98125,0.974306,2.18075,2.18002,2.18104,2.19677,0.3982,0.393549,0.3982,0.405964,1.90637,1.93343,2.31638,2.41115,0.475954,0.483869,0.823123,0.869641,-9999,-9999
201107,25.869,1.0,473.356,265.655,1.0,427.643,1.0,10.616,1.0,99.519,0.764113,3.482,1.0,2.203,0.764113,0.236262431765,0.764112903226,183.696061828,1.0,615.14377808,0.998655913978,47.2387326241,0.991935483871,462.195344758,1.0,385.907,0.990591,25.2,1.0,47.202,1.0,6.69255,1.0,125.306,0.99664,145.434,1.10244,27.205,0.997984,31.5749,0.403218,-3.69504,0.971102,0.0875326,-3.72339,-3.70794,-3.68616,0.981183,0.979839,0.976478,5.00946,4.81077,5.00946,5.24152,8.69563,8.53999,8.69563,8.91784,5.01182,5.06462,5.17636,5.20809,9.04302,8.90091,9.0008,9.15763,-9999,-9999
201108,21.853,1.0,423.757,233.937,1.0,403.986,1.0,5.812,1.0,99.361,0.790995,1.958,1.0,1.695,0.790995,0.223412642143,0.790994623656,161.626838038,1.0,486.111283602,1.0,43.6685005148,0.999327956989,431.415808468,1.0,389.794,0.990591,21.91,1.0,48.186,1.0,-0.528036,1.0,137.803,0.993952,155.829,1.19866,5.65942,0.999328,6.39974,0.43657,-6.92843,0.980511,0.146653,-6.88155,-6.86603,-6.84532,0.983871,0.984543,0.976478,8.36692,8.26704,8.36692,8.67493,15.2256,15.1196,15.2256,15.5188,8.27452,8.23629,8.30265,8.40573,14.8683,14.7806,14.8832,15.0508,-9999,-9999
201109,17.359,1.0,347.969,146.397,1.0,385.368,1.0,3.481,1.0,99.602,0.846528,5.664,1.0,2.111,0.846528,0.288995337363,0.846527777778,100.03978487,0.999305555556,298.846885047,0.999305555556,25.1952668144,0.992361111111,405.266039583,1.0,392.747,0.997222,17.738,1.0,54.534,1.0,-3.16403,1.0,73.5668,0.997917,90.6644,0.758302,10.6372,0.995139,13.1094,0.371364,-0.208494,0.986806,0.0890462,-0.254465,-0.245495,-0.195869,0.99375,0.990972,0.984722,5.00138,4.96332,5.00273,5.2268,5.24688,5.21854,5.2537,5.42427,5.66538,5.69924,5.73671,5.88918,5.50337,5.51242,5.53687,5.62205,-9999,-9999
201110,11.548,1.0,260.571,114.719,1.0,348.719,1.0,3.941,1.0,99.628,0.713038,2.737,1.0,2.538,0.713038,0.273651758045,0.622983870968,73.5156754032,1.0,242.912458333,1.0,15.9603948309,0.985887096774,372.222237903,1.0,396.151,0.989247,11.461,1.0,55.874,1.0,-5.6498,1.0,36.7661,0.989919,58.072,0.401107,12.8595,0.99664,20.3116,0.305913,1.85003,0.931452,0.0248203,1.83796,1.84432,1.88185,0.936156,0.935484,0.926747,1.72742,1.66383,1.70509,1.73041,-0.113063,-0.179943,-0.176992,-0.122295,2.11867,2.11221,2.12004,2.14542,0.0462961,0.0462624,0.046388,0.0465166,-9999,-9999
