TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200101,-0.926,1.0,191.54,113.931,0.0,226.238,0.0,2.054,0.932796,85.168,0.0,0.316,1.0,1.49,1.0,-9999,-9999,-9999,-9999,31.7545725806,1.0,-9999,-9999,-9999,0.701,-9999,1.0,-9999,12.998,-9999,1.0,-3.32183,0.0645161,14.849,0.0,16.2539,-9999,24.3049,0.0,26.6045,-9999,-0.309638,0.0,-9999,-0.317311,-0.312124,-0.309899,0.0,0.0,0.0,0.0796804,0.0789844,0.0881258,0.0968177,0.393159,0.39019,0.399489,0.40767,0.0439322,0.0421217,0.0439322,0.0440423,0.492844,0.492843,0.500328,0.541826,-9999,-9999
200102,3.793,1.0,251.598,149.943,0.0,237.476,0.0,3.683,0.980655,84.883,0.0,0.311,1.0,2.127,1.0,-9999,-9999,-9999,-9999,31.7452380952,1.0,-9999,-9999,-9999,5.21,-9999,1.0,-9999,13.416,-9999,1.0,-8.58293,0.0,22.1391,0.0,24.4736,-9999,22.0048,0.0,24.3251,-9999,-0.31591,0.0,-9999,-0.332088,-0.324688,-0.304851,0.0,0.0,0.0,0.116081,0.115505,0.121513,0.128088,0.4348,0.427561,0.446537,0.455117,0.0987433,0.0946739,0.0987433,0.0989906,0.561809,0.561809,0.569985,0.621194,-9999,-9999
200103,8.443,1.0,332.396,203.663,0.0,256.532,0.0,5.715,0.967742,84.899,0.0,0.771,1.0,1.961,1.0,-9999,-9999,-9999,-9999,44.255108871,1.0,-9999,-9999,-9999,10.631,-9999,1.0,-9999,13.482,-9999,1.0,-3.69841,0.0766129,23.8367,0.075269,32.3329,0.80898,37.6733,0.075269,51.1013,1.07411,-0.414604,0.0645161,0.0101511,-0.428436,-0.421155,-0.409749,0.061828,0.0645161,0.0645161,0.157498,0.156851,0.15815,0.160017,0.572752,0.568076,0.575745,0.584275,0.190512,0.18266,0.190512,0.190989,0.651747,0.651747,0.660335,0.729438,-9999,-9999
200104,13.462,1.0,409.935,272.205,0.0,258.16,0.0,11.297,1.0,84.741,0.933333,0.43,1.0,3.114,1.0,0.263838297572,0.908333333333,107.312114583,0.933333333333,56.5491694444,1.0,-9999,-9999,-9999,16.538,-9999,1.0,-9999,9.432,-9999,1.0,2.42946,0.995833,23.093,0.991667,31.3241,0.394995,53.4786,0.993056,72.5401,0.732866,-0.369197,0.958333,0.0101285,-0.377474,-0.372314,-0.356235,0.954167,0.958333,0.890278,0.290315,0.270723,0.284264,0.325249,0.654468,0.648258,0.65803,0.6776,0.271309,0.256799,0.274284,0.358308,0.642083,0.643179,0.65562,0.724677,-9999,-9999
200105,19.632,1.0,463.383,312.03,0.0,289.065,0.0,17.941,1.0,84.954,0.995968,0.953,0.998656,2.447,1.0,0.212275652741,0.986559139785,131.160314049,0.997311827957,67.9239274194,1.0,-9999,-9999,-9999,24.217,-9999,1.0,-9999,10.128,-9999,1.0,4.97634,1.0,24.2054,0.998656,33.963,0.270935,65.3452,1.0,91.6871,0.634016,-0.127849,0.94086,0.00791102,-0.156359,-0.144566,-0.131076,0.973118,0.86828,0.901882,0.516459,0.470496,0.515817,0.520586,0.652552,0.631583,0.648068,0.657699,0.337118,0.169365,0.252256,0.33717,0.429429,0.467858,0.540101,0.586653,-9999,-9999
200106,25.518,1.0,485.489,339.701,0.0,307.218,0.0,28.292,1.0,84.893,1.0,0.163,1.0,2.78,1.0,0.245668900966,0.998611111111,135.570468056,1.0,77.3658375,1.0,-9999,-9999,-9999,31.445,-9999,1.0,-9999,4.966,-9999,1.0,5.97475,1.0,9.83313,0.995833,14.8593,0.110284,75.9154,0.997222,114.72,0.656903,-0.0914662,0.983333,0.00696356,-0.139952,-0.107009,-0.0983307,0.927778,0.994444,0.990278,0.251753,0.203952,0.2241,0.248994,0.35278,0.339664,0.345172,0.349483,0.158679,0.138918,0.156736,0.164595,0.393856,0.34741,0.360044,0.367529,-9999,-9999
200107,26.937,1.0,474.256,297.715,0.0,340.025,0.0,25.529,1.0,85.075,0.998656,1.029,1.0,2.462,1.0,-9999,-9999,132.871772733,0.998655913978,63.7462379032,1.0,-9999,-9999,-9999,31.164,-9999,1.0,-9999,8.584,-9999,1.0,3.44446,1.0,17.6252,0.645161,28.871,0.211929,57.7557,0.658602,94.6066,0.561169,-0.00596224,0.627688,0.00637907,-0.0586311,-0.0209445,-0.00437047,0.502688,0.633065,0.626344,0.216999,0.185355,0.20066,0.237183,0.244268,0.207358,0.220961,0.244268,0.381833,0.197128,0.276456,0.349335,0.50099,0.339753,0.429301,0.501858,-9999,-9999
200108,25.254,1.0,431.005,258.329,0.0,330.358,0.0,20.376,0.991935,85.265,1.0,0.935,1.0,2.123,1.0,0.194831112669,0.995967741935,119.419551075,1.0,53.5897849462,1.0,-9999,-9999,-9999,29.113,-9999,1.0,-9999,9.259,-9999,1.0,2.69006,1.0,23.3734,0.997312,40.3658,0.486409,44.0682,0.997312,76.1058,0.519231,0.0150595,0.962366,0.00931836,-0.00883108,0.0110822,0.0221494,0.901882,0.978495,0.965054,0.289105,0.276901,0.289084,0.304403,0.271795,0.266956,0.288684,0.307429,0.186467,0.186467,0.227459,0.264149,0.480646,0.456731,0.495536,0.514617,-9999,-9999
200109,23.077,1.0,362.879,242.032,0.0,298.587,0.0,22.116,1.0,85.109,1.0,0.28,0.998611,2.22,1.0,0.199656763285,0.997222222222,107.740323611,1.0,55.6227833333,1.0,-9999,-9999,-9999,26.801,-9999,1.0,-9999,6.113,-9999,1.0,2.12277,1.0,8.40065,0.998611,14.5079,0.261396,48.4984,0.998611,83.7568,0.464069,-0.0222102,0.966667,0.00634856,-0.0344343,-0.0177336,-0.0140157,0.848611,0.955556,0.977778,0.0839151,0.0773843,0.0849425,0.0873674,0.096182,0.0972955,0.0995695,0.101717,0.0232879,0.0249475,0.0312163,0.0447215,0.0742273,0.0703428,0.0823446,0.104067,-9999,-9999
200110,15.219,1.0,281.623,178.034,0.0,269.772,0.0,12.944,1.0,85.189,1.0,0.216,1.0,1.953,1.0,0.189747125887,0.995967741935,69.9359932796,1.0,41.7620994624,1.0,-9999,-9999,-9999,18.162,-9999,1.0,-9999,6.028,-9999,1.0,-1.06233,1.0,4.94032,0.998656,7.28797,0.174362,33.0389,1.0,48.7391,0.493431,-0.0400683,0.982527,0.00376023,-0.0404982,-0.0388236,-0.0305405,0.987903,0.991935,0.916667,0.00464764,0.0042575,0.00604391,0.0354589,0.0467486,0.0439519,0.0467486,0.0660722,0.0248006,0.0231922,0.0422294,0.0713267,0.056129,0.039546,0.0552559,0.0744407,-9999,-9999
