TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,6.113,0.0,219.278,108.265,0.0,288.162,0.0,1.306,0.0,101.125,0.0,4.29,0.0,1.956,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,82.3799,0.0,67.0134,-9999,7.33725,0.0,5.96862,-9999,-3.9242,0.0,-9999,-3.9155,-3.9155,-3.73879,0.0,0.0,0.0,0.776712,0.609148,0.673874,0.73321,4.58937,4.44296,4.49544,4.62572,2.06162,1.73168,2.06162,2.64306,2.51674,2.27703,2.53049,2.754,-9999,-9999
200202,5.135,0.0,276.674,158.134,0.0,268.645,0.0,1.961,0.0,101.412,0.0,2.138,0.0,1.881,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.532,0.142113,82.5949,0.0,67.1883,-9999,7.3527,0.0,5.98118,-9999,-3.95862,0.0,-9999,-3.94899,-3.94899,-3.76591,0.0,0.0,0.0,0.680211,0.503817,0.582639,0.640745,4.53163,4.37254,4.44456,4.58604,2.03162,1.70648,2.03162,2.6046,3.36883,3.09763,3.41412,3.67804,-9999,-9999
200203,9.91,0.0,351.429,162.326,0.0,307.829,0.0,2.42,0.0,101.073,0.0,6.26,0.0,2.11,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.7044,0.0,82.009,0.0,87.2771,-9999,7.49446,0.0,7.9759,-9999,-3.89648,0.0,-9999,-3.88779,-3.88779,-3.69694,0.0,0.0,0.0,1.03881,0.861211,0.91164,0.98199,4.80173,4.64469,4.70218,4.80173,2.20287,1.85033,2.20287,2.82415,3.44248,3.16333,3.48735,3.75897,-9999,-9999
200204,17.684,0.0,420.271,225.467,0.0,341.935,0.0,4.832,0.0,100.959,0.0,3.604,0.0,1.992,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.578,0.0,82.319,0.0,89.3467,1.71212,7.39621,0.0,8.02763,0.695915,-3.92536,0.0,1.84717,-3.91637,-3.91637,-3.73281,0.0,0.0,0.0,1.70721,1.43934,1.57968,1.65213,5.45866,5.29209,5.37012,5.46569,2.46457,2.07014,2.46457,3.15965,4.52441,4.20206,4.57345,4.8983,-9999,-9999
200205,19.899,0.84543,465.421,248.737,0.846102,351.0,0.84543,3.658,0.84543,100.819,0.83871,5.396,0.83871,1.799,0.83871,0.244355130985,0.711693548387,141.672275641,0.838709677419,472.324519231,0.838709677419,54.4827099908,0.824596774194,49.1354393981,0.832661290323,416.088942308,0.838709677419,-9999,-9999,23.688,0.84543,32.511,0.84543,11.4861,0.84543,94.8092,0.844758,102.903,0.795517,24.932,0.84543,27.0605,0.401904,-2.15529,0.784946,0.057235,-2.18679,-2.16365,-2.14256,0.788306,0.77957,0.78293,3.11105,2.96622,3.0723,3.16936,5.36922,5.14058,5.25042,5.31763,3.2022,2.92363,3.21147,3.48717,4.96971,4.79969,4.96971,5.12244,-9999,-9999
200206,24.398,1.0,483.172,275.21,1.0,384.107,1.0,7.037,1.0,100.722,1.0,1.4,1.0,1.261,1.0,0.173054038199,0.716666666667,167.307697991,0.999305555556,514.729861111,1.0,60.647962478,0.977777777778,48.5127955083,0.989583333333,443.098611111,1.0,-9999,-9999,27.212,1.0,30.301,1.0,5.94306,1.0,93.8895,0.998611,113.407,0.671722,39.9121,0.998611,48.2091,0.471277,-1.43423,0.975,0.0625473,-1.81994,-1.47003,-1.34414,0.980556,0.975694,0.95625,5.47802,5.21032,5.64776,6.3052,7.58851,6.94815,7.14224,7.62491,5.61375,4.70939,5.09186,5.33572,7.23547,6.92091,7.12946,7.38739,-9999,-9999
200207,26.17,1.0,473.759,254.682,1.0,403.564,1.0,6.269,1.0,100.837,1.0,6.955,1.0,1.196,1.0,0.170019992354,0.84811827957,157.539650538,1.0,475.805150423,0.999327956989,55.317444272,0.997311827957,44.1403133797,0.990591397849,456.696236559,1.0,-9999,-9999,28.999,1.0,26.737,1.0,16.1741,1.0,80.7946,0.997312,94.2737,0.683475,40.4071,0.999328,47.1483,0.534129,0.34513,0.99328,0.0860245,0.175926,0.388024,0.487557,0.997984,0.991935,0.976478,6.65834,6.12583,6.25916,6.555,6.04454,5.72379,6.01591,6.14047,4.70763,4.29863,4.54229,4.72291,5.15967,5.09576,5.23288,5.43061,-9999,-9999
200208,25.504,1.0,437.522,242.913,1.0,395.71,1.0,6.095,1.0,100.839,1.0,1.935,1.0,1.162,1.0,0.164446751678,0.83938172043,145.533616449,0.999327956989,443.627688172,1.0,45.4610049987,0.986559139785,47.0397307352,0.989919354839,445.639784946,1.0,-9999,-9999,27.811,1.0,29.907,1.0,4.89516,1.0,89.9311,1.0,112.873,0.651264,22.4815,1.0,28.2168,0.38835,-2.13011,0.999328,0.0723928,-2.3545,-2.1556,-2.01988,1.0,0.976478,0.968414,7.66563,7.50955,7.66417,8.1098,9.77399,9.73034,9.88174,9.98157,5.3881,4.94174,5.1225,5.30061,8.481,8.47526,8.53326,8.63185,-9999,-9999
200209,23.588,0.982639,378.11,190.708,0.984028,384.941,0.982639,6.405,0.982639,100.598,0.966667,8.02,0.966667,1.471,0.966667,0.178331579613,0.627083333333,102.920138889,1.0,345.377873563,0.966666666667,38.6063927783,0.91875,36.0069306329,0.949305555556,433.236350575,0.966666666667,-9999,-9999,24.796,0.982639,22.536,0.982639,0.0336667,0.982639,60.8161,0.94375,75.947,0.524347,25.2052,0.945833,31.4762,0.406582,-0.454666,0.910417,0.0586641,-0.664938,-0.571779,-0.454666,0.942361,0.895139,0.910417,4.07984,3.88637,4.10964,4.20412,4.70045,4.53956,4.62654,4.73971,3.57939,3.32258,3.43498,3.53467,4.35557,4.3742,4.39726,4.51313,-9999,-9999
200210,16.944,1.0,304.21,125.194,1.0,358.253,1.0,2.366,1.0,100.834,1.0,6.929,1.0,1.458,1.0,0.201056389323,0.850134408602,62.4333676504,0.999327956989,222.066532258,1.0,30.5011116261,0.940860215054,23.2833746133,0.992607526882,397.060483871,1.0,-9999,-9999,19.554,1.0,33.044,1.0,-9.97782,1.0,37.1656,0.997984,47.0824,0.446413,20.134,0.997312,25.5063,0.363432,0.620867,0.997312,0.0401014,0.571156,0.619346,0.626642,0.985215,0.99664,0.997312,3.18735,3.10361,3.18015,3.19191,2.57201,2.53766,2.55329,2.5624,2.53587,2.36084,2.46846,2.59278,2.2943,2.22397,2.25797,2.33217,-9999,-9999
200211,8.432,1.0,236.567,120.22,1.0,293.31,1.0,3.094,1.0,101.09,1.0,3.453,1.0,1.816,1.0,0.254844342215,0.827083333333,33.3847222222,1.0,204.725694444,1.0,38.8441687066,0.955555555556,27.3019567189,0.99375,352.304166667,1.0,-9999,-9999,11.61,1.0,32.686,1.0,-18.2333,1.0,30.7753,0.765972,33.1814,0.379455,18.6068,1.0,20.0616,0.421498,0.146296,0.7375,0.0235661,0.0015699,0.135008,0.159,0.740278,0.734028,0.736111,0.951076,0.884388,0.961894,1.01205,0.824633,0.833795,0.860199,0.896659,0.683825,0.68031,0.69077,0.702039,0.732648,0.727955,0.730472,0.742063,-9999,-9999
200212,6.242,1.0,202.653,85.357,0.997984,290.018,1.0,2.24,1.0,101.006,1.0,7.69,1.0,2.093,1.0,0.265952117145,0.826612903226,14.7627688172,1.0,142.608198925,1.0,35.0665374368,0.989919354839,22.0239972299,0.991935483871,338.504704301,1.0,-9999,-9999,7.604,1.0,32.983,1.0,-11.7419,1.0,29.7572,0.984543,32.0838,0.453828,9.56996,1.0,10.3182,0.374146,-0.055372,0.965054,0.0223506,-0.160594,-0.0536711,-0.0168273,0.958333,0.965726,0.975806,0.572076,0.54001,0.574009,0.578506,0.61871,0.588946,0.627701,0.661038,0.462321,0.435104,0.459936,0.528723,0.633065,0.56328,0.621459,0.657814,-9999,-9999
200301,2.348,1.0,219.278,106.823,1.0,262.181,1.0,2.181,1.0,101.462,1.0,0.632,1.0,2.256,1.0,0.276646969001,0.853494623656,18.1068548387,1.0,175.933467742,1.0,48.7684368566,0.983870967742,28.2043834068,0.987231182796,321.85483871,1.0,-9999,-9999,4.909,1.0,32.326,1.0,-15.3569,1.0,30.1245,1.0,24.5053,0.478455,19.2205,1.0,15.6353,0.477319,-1.1071,0.974462,0.037848,-1.15593,-1.10773,-1.05908,0.97379,0.974462,0.986559,0.161815,0.162194,0.164307,0.166289,1.27686,1.22121,1.26901,1.31494,0.395133,0.399425,0.416152,0.431131,0.806543,0.806543,0.819475,0.829259,-9999,-9999
200302,5.628,1.0,276.674,88.939,1.0,303.523,1.0,1.662,1.0,100.885,1.0,8.207,1.0,2.188,1.0,0.268561772438,0.63318452381,33.6450892857,1.0,146.337797619,1.0,38.1249885637,0.981398809524,20.1785730474,0.97619047619,338.381696429,1.0,-9999,-9999,7.158,1.0,33.738,1.0,-4.34152,1.0,31.6779,0.990327,25.7689,0.489588,14.3476,0.997024,11.6713,0.380669,-2.9367,0.965774,0.0680123,-3.10833,-2.95565,-2.5207,0.952381,0.965774,0.967262,0.105845,0.107243,0.110519,0.112907,3.13115,2.60869,3.04361,3.20268,0.869517,0.869517,0.938426,1.10991,1.69909,1.581,1.63318,1.67416,-9999,-9999
200303,11.782,0.604839,351.429,181.547,0.606855,309.034,0.604839,3.75,0.604839,100.549,0.580645,1.232,0.580645,1.98,0.580645,-9999,-9999,65.40625,0.58064516129,263.893097643,0.577956989247,69.7191326511,0.561827956989,34.5160024155,0.577956989247,367.895833333,0.58064516129,-9999,-9999,12.839,0.604839,33.084,0.604839,10.1329,0.604839,51.247,0.415995,54.539,0.463601,29.7713,0.422715,31.6837,0.476079,-1.75164,0.403898,0.0921894,-1.84111,-1.78453,-1.47793,0.40121,0.403226,0.409946,0.889793,0.829396,0.889919,0.955813,2.77362,2.30194,2.64292,2.79821,4.58382,4.456,4.56988,4.92047,4.90874,4.90874,4.93196,5.04776,-9999,-9999
200304,16.942,0.530556,420.271,233.412,0.529861,328.332,0.530556,5.767,0.530556,100.601,0.521528,4.657,0.521528,2.092,0.521528,-9999,-9999,106.666288642,0.521527777778,435.658854167,0.521527777778,45.8059475806,0.521527777778,47.1785094787,0.5125,403.543472782,0.521527777778,-9999,-9999,18.046,0.530556,32.873,0.530556,5.36618,0.530556,65.7921,0.531944,86.5173,0.368714,28.518,0.540278,37.5015,0.34084,-0.907377,0.536806,0.031013,-0.94026,-0.934381,-0.913537,0.535417,0.536806,0.536806,2.63194,2.55711,2.56981,2.60946,3.55424,3.47333,3.50278,3.53964,2.26024,2.17722,2.25271,2.40438,4.19556,4.19337,4.19767,4.21302,-9999,-9999
200305,21.17,1.0,465.421,233.047,1.0,364.13,1.0,5.572,1.0,100.472,0.999328,8.142,0.999328,1.872,0.999328,0.262779707921,0.738575268817,130.499456646,0.999327956989,462.6898593,0.998655913978,33.8501344086,0.998655913978,45.7073734495,0.993279569892,420.921971517,0.999327956989,-9999,-9999,22.491,1.0,33.927,1.0,9.0002,1.0,58.5708,1.0,88.2826,0.351397,21.9446,1.0,33.0766,0.263341,-1.15129,0.988575,0.0336986,-1.19664,-1.1682,-1.1621,0.988575,0.982527,0.991263,4.01066,3.83205,4.00995,4.02935,5.18958,5.03142,5.16174,5.19493,3.14184,2.94085,3.12734,3.15669,4.68509,4.56492,4.6728,4.69078,-9999,-9999
