TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199101,-1.672,0.0,160.162,65.599,0.583333,226.313,0.0,2.348,0.0,98.528,0.0,2.254,0.0,2.103,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.962,0.0,-9999,-9999,19.2065,0.0,-9999,-9999,0.700704,0.0,-9999,0.700704,0.700704,0.700704,0.0,0.0,0.0,1.24341,1.23109,1.24358,1.25234,0.542703,0.529417,0.542877,0.551634,1.09534,1.04893,1.08416,1.17791,0.385199,0.379518,0.382109,0.409194,-9999,0.0
199102,-1.146,0.0,222.413,107.61,0.517857,215.642,0.0,2.522,0.0,98.534,0.0,1.464,0.0,1.77,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.0461,0.0,-9999,-9999,18.7619,0.0,-9999,-9999,0.700826,0.0,-9999,0.700826,0.700826,0.700826,0.0,0.0,0.0,1.26945,1.25864,1.2696,1.27731,0.568622,0.556958,0.568775,0.576481,1.13696,1.09275,1.12535,1.21563,0.625821,0.617499,0.621263,0.654747,-9999,0.0
199103,3.71,0.0,309.271,139.567,0.475806,247.108,0.0,2.996,0.0,98.529,0.0,2.358,0.0,1.881,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.0402,0.0,-9999,-9999,18.5112,0.0,-9999,-9999,0.698848,0.0,-9999,0.698848,0.698848,0.698848,0.0,0.0,0.0,1.51305,1.51191,1.51306,1.51382,0.814198,0.813038,0.814214,0.814969,1.4703,1.43415,1.44293,1.53157,0.806733,0.796739,0.801231,0.836144,-9999,0.0
199104,9.161,0.0,396.253,166.468,0.406944,275.607,0.0,3.154,0.0,98.533,0.0,4.477,0.0,1.72,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.0151,0.0,-9999,-9999,18.8287,0.0,-9999,-9999,0.700103,0.0,-9999,0.700103,0.700103,0.700103,0.0,0.0,0.0,1.77835,1.76477,1.77506,1.7906,1.07825,1.06116,1.07461,1.09012,1.87173,1.8551,1.86525,1.87862,0.959733,0.948211,0.953374,0.990856,-9999,0.0
199105,11.399,0.0,459.106,165.538,0.356183,289.036,0.0,3.135,0.0,98.53,0.0,8.115,0.0,1.866,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.962,0.0,-9999,-9999,19.2065,0.0,-9999,-9999,0.700704,0.0,-9999,0.700704,0.700704,0.700704,0.0,0.0,0.0,1.88324,1.86708,1.87836,1.90142,1.18254,1.15726,1.17715,1.20017,2.04095,2.02154,2.04041,2.04549,0.955303,0.943688,0.948899,0.988006,-9999,0.0
199106,15.238,0.0,486.268,193.024,0.333333,307.968,0.0,4.196,0.0,98.53,0.0,6.273,0.0,1.809,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.0151,0.0,-9999,-9999,18.8287,0.0,-9999,-9999,0.700103,0.0,-9999,0.700103,0.700103,0.700103,0.0,0.0,0.0,2.05835,2.03772,2.05068,2.087,1.35825,1.31863,1.35057,1.38603,2.33278,2.25371,2.33278,2.35831,1.11255,1.09924,1.1052,1.14813,-9999,0.0
199107,17.195,0.0,472.923,198.051,0.333333,318.009,0.0,4.961,0.0,98.525,0.0,4.537,0.0,1.666,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.0431,0.0,-9999,-9999,18.7684,0.0,-9999,-9999,0.700756,0.0,-9999,0.700756,0.700756,0.700756,0.0,0.0,0.0,2.14459,2.12036,2.13545,2.17873,1.44383,1.39967,1.4347,1.47693,2.48215,2.37003,2.48215,2.51963,1.14093,1.12737,1.13344,1.17637,-9999,0.0
199108,16.254,0.0,421.637,202.435,0.391129,296.275,0.0,5.586,0.0,98.532,0.0,0.861,0.0,2.016,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.0402,0.0,-9999,-9999,19.7731,0.0,-9999,-9999,0.729666,0.0,-9999,0.72905,0.729666,0.729666,0.0,0.0,0.0,2.10218,2.07978,2.09374,2.13371,1.37251,1.34419,1.36407,1.3949,2.41034,2.31339,2.41034,2.44244,1.16284,1.14952,1.15464,1.19372,-9999,0.0
199109,13.518,0.0,343.849,167.603,0.441667,275.501,0.0,4.866,0.0,98.542,0.0,1.822,0.0,1.911,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.0151,0.0,-9999,-9999,21.1352,0.0,-9999,-9999,0.750126,0.0,-9999,0.748108,0.74925,0.750126,0.0,0.0,0.0,1.97885,1.96021,1.97241,2.00283,1.22872,1.21165,1.22229,1.25433,2.20186,2.14883,2.20348,2.21759,0.965943,0.954403,0.959572,0.996559,-9999,0.0
199110,7.697,0.245968,254.905,117.028,0.560484,249.207,0.0,3.107,0.244624,98.55,0.0,1.882,0.129032,2.101,0.107527,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.962,0.0,-9999,-9999,19.7738,0.241935,-9999,1.44202,0.766493,0.233871,0.0585613,0.764865,0.766194,0.766691,0.233871,0.233871,0.233871,1.72898,1.72229,1.72895,1.7382,0.962286,0.953543,0.960099,0.966401,1.79628,1.77529,1.7835,1.82314,0.712367,0.703755,0.707471,0.741863,1.79271,0.612903
