TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-7.014,0.0,165.169,64.901,0.0,224.188,0.0,0.85,0.0,99.26,0.0,1.251,0.0,3.288,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,33.4542,0.0,57.4585,-9999,15.0613,0.0,25.8682,-9999,1.39739,0.0,-9999,1.37892,1.38382,1.59707,0.0,0.0,0.0,0.802442,0.795852,0.805811,0.899371,-0.590323,-0.69751,-0.590323,-0.575374,2.16639,2.05693,2.16639,2.22765,1.10476,1.03628,1.07224,1.14154,-9999,-9999
200402,-3.024,0.0,228.533,113.345,0.0,238.791,0.0,1.097,0.0,99.437,0.0,0.766,0.0,3.005,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,33.2945,0.0,51.8033,-9999,14.8405,0.0,23.0904,-9999,1.36686,0.0,-9999,1.35016,1.35461,1.56787,0.0,0.0,0.0,1.06719,1.05891,1.06959,1.19331,-0.294555,-0.374347,-0.294555,-0.281677,2.45381,2.35586,2.45381,2.5232,1.49735,1.42072,1.46686,1.54109,-9999,-9999
200403,4.48,0.0,316.071,140.123,0.0,291.668,0.0,2.125,0.0,99.229,0.0,3.39,0.0,3.411,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,33.4542,0.0,48.1986,-9999,15.0613,0.0,21.6993,-9999,1.39739,0.0,-9999,1.37892,1.38382,1.59707,0.0,0.0,0.0,1.70372,1.69223,1.70372,1.89529,0.310845,0.298212,0.310845,0.319048,2.91813,2.82834,2.91813,3.00064,1.74562,1.65904,1.71238,1.7956,-9999,-9999
200404,10.32,0.0,401.057,215.878,0.0,308.558,0.0,5.019,0.0,98.939,0.0,1.745,0.0,3.327,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,33.377,0.0,41.7952,-9999,14.9546,0.0,18.7263,-9999,1.38263,0.0,-9999,1.36502,1.3697,1.58296,0.0,0.0,0.0,2.25633,2.24249,2.25633,2.50225,0.876763,0.877469,0.88857,0.919288,3.23585,3.13629,3.23585,3.32735,2.16018,2.0708,2.1339,2.21544,-9999,-9999
200405,15.901,0.0,461.381,211.958,0.0,366.645,0.0,4.938,0.0,98.771,0.0,5.904,0.0,2.97,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,33.3653,0.0,41.5651,-9999,15.272,0.0,19.0251,-9999,1.36572,0.0,-9999,1.34869,1.35151,1.56454,0.0,0.0,0.0,2.80989,2.79144,2.79976,3.10887,1.44526,1.44525,1.45241,1.54044,3.51405,3.40593,3.51405,3.61341,2.21856,2.12134,2.18701,2.27738,-9999,-9999
200406,18.573,0.0,486.465,242.62,0.0,368.831,0.0,6.451,0.0,98.964,0.0,3.334,0.0,2.302,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,33.377,0.0,42.0949,-9999,14.9546,0.0,18.8606,-9999,1.38263,0.0,-9999,1.36502,1.3697,1.58296,0.0,0.0,0.0,3.08041,3.05777,3.06374,3.40495,1.69777,1.69403,1.70613,1.82199,3.64029,3.52829,3.64029,3.74322,2.40423,2.30376,2.37412,2.46619,-9999,-9999
200407,20.475,0.0,472.194,241.915,0.0,377.369,0.0,7.19,0.0,98.836,0.0,2.414,0.0,2.144,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.11001,0.249328,33.3115,0.0,42.5861,-9999,14.5304,0.0,18.576,-9999,1.38478,0.0,-9999,1.36744,1.37378,1.58726,0.0,0.0,0.0,3.27621,3.25031,3.26262,3.61892,1.89051,1.88884,1.8996,2.03165,3.72453,3.60993,3.72788,3.82984,2.41047,2.3113,2.38161,2.47196,-9999,-9999
200408,18.485,0.0,421.131,204.182,0.0,360.809,0.0,6.312,0.0,98.995,0.0,2.566,0.0,2.204,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.06539,0.0,33.4542,0.0,44.819,-9999,15.0613,0.0,20.1778,-9999,1.39739,0.0,-9999,1.37892,1.38382,1.59707,0.0,0.0,0.0,3.07129,3.04878,3.05481,3.39495,1.67393,1.67098,1.68255,1.79788,3.63574,3.52388,3.63574,3.73854,2.16885,2.07513,2.13914,2.22578,-9999,-9999
200409,17.789,0.0,344.212,187.499,0.0,338.9,0.0,6.634,0.0,99.301,0.0,0.571,0.0,2.272,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.28067,0.0,33.377,0.0,49.684,-9999,14.9546,0.0,22.2609,-9999,1.38263,0.0,-9999,1.36502,1.3697,1.58296,0.0,0.0,0.0,3.00002,2.9787,2.98546,3.31707,1.61775,1.61576,1.62574,1.73411,3.6051,3.49418,3.6051,3.70704,2.0354,1.94749,2.00757,2.08876,-9999,-9999
200410,11.639,0.815188,256.44,109.52,0.81586,305.231,0.0,3.57,0.0,99.035,0.814516,1.265,0.814516,2.849,0.814516,0.32197107565,0.80376344086,51.9436725,0.806451612903,224.5510875,0.806451612903,18.1319600761,0.789650537634,16.3207436086,0.782258064516,412.049,0.815188,13.321,0.815188,35.55,0.815188,-3.72686,0.815188,23.7281,0.815188,35.3209,-9999,17.5509,0.815188,26.1257,-9999,1.58218,0.815188,-9999,1.57235,1.58366,1.6234,0.815188,0.815188,0.815188,2.28082,2.27996,2.30144,2.35241,0.704287,0.704287,0.722098,0.734039,2.3272,2.24713,2.3272,2.35637,1.02963,0.97684,0.987603,1.04259,-9999,-9999
200411,6.031,1.0,182.145,67.296,1.0,289.03,0.0,1.626,0.421528,99.56,1.0,1.727,1.0,2.653,1.0,0.272397585359,0.729861111111,27.8343069444,1.0,153.14028125,1.0,22.0230829484,0.961111111111,12.0444872577,0.946527777778,410.085,1.0,8.001,1.0,42.866,1.0,-10.0115,1.0,12.6372,0.995139,21.9071,0.260864,9.12328,1.0,15.8156,0.472073,1.11717,0.996528,0.024463,1.11504,1.11717,1.11924,0.995833,0.996528,0.996528,1.24181,1.25994,1.26793,1.28992,0.150761,0.144791,0.150761,0.172651,1.03148,1.04398,1.04908,1.05966,0.206122,0.214486,0.215948,0.221643,-9999,-9999
200412,-2.073,1.0,147.67,63.88,1.0,242.963,0.0,1.164,1.0,99.2,1.0,1.155,1.0,3.502,1.0,0.351023072026,0.996639784946,16.0404603495,1.0,139.185148522,1.0,32.1684721169,0.989919354839,15.1059846816,0.976478494624,402.009,1.0,1.64,1.0,34.211,1.0,-13.9259,1.0,9.73122,1.0,15.6504,0.201445,8.90148,1.0,14.316,0.389422,0.576857,0.993952,0.0246253,0.566428,0.576857,0.582512,0.997312,0.993952,0.991935,0.568568,0.567404,0.571729,0.573248,-0.00437846,-0.0193618,-0.00413793,0.00530059,0.593055,0.581578,0.592697,0.603475,0.0395624,0.0228839,0.0395624,0.0404733,-9999,-9999
200501,-4.576,1.0,165.169,69.992,0.998656,241.86,0.0,0.81,1.0,99.757,1.0,2.71,1.0,3.166,1.0,0.307345405638,0.98185483871,5.62789448925,1.0,160.967792567,0.999327956989,121.375383694,0.993279569892,38.9882612314,0.989247311828,409.016,1.0,0.735,1.0,35.764,1.0,-5.23884,1.0,7.63136,0.984543,13.107,0.137123,6.29891,1.0,10.8185,0.374081,0.386611,0.983871,0.0237163,0.380993,0.392831,0.397527,0.980511,0.980511,0.985887,0.467701,0.456092,0.462952,0.467701,0.0763404,0.0700263,0.0743344,0.0789964,0.341919,0.325182,0.34082,0.344431,0.0777407,0.0656492,0.0725257,0.0777407,-9999,-9999
200502,-0.331,1.0,227.131,84.635,1.0,257.932,0.0,1.107,1.0,99.434,1.0,2.489,1.0,2.699,1.0,0.255326884921,0.997767857143,39.7915974702,1.0,190.014245203,0.999255952381,33.8970581403,0.97619047619,15.4209663101,0.96130952381,413.606,1.0,1.204,1.0,36.016,1.0,-1.28214,1.0,12.6746,0.997768,23.1537,0.202449,9.76653,0.998512,17.8413,0.382529,0.364108,0.982887,0.0230363,0.345305,0.36152,0.368855,0.979167,0.989583,0.985119,0.275217,0.272325,0.276389,0.27774,-0.0877185,-0.0911145,-0.0760357,-0.0745764,0.589486,0.589486,0.660871,0.77769,0.140672,0.140672,0.146644,0.19888,-9999,-9999
200503,1.262,1.0,313.078,148.681,1.0,255.997,0.0,2.497,1.0,98.825,1.0,0.932,1.0,3.332,1.0,0.286623931624,0.83064516129,69.927828629,1.0,341.447449273,0.975806451613,68.7220900942,0.972446236559,31.281449726,0.986559139785,405.867,1.0,3.37,1.0,40.113,1.0,0.130245,1.0,23.3286,0.999328,29.9783,0.266411,30.964,1.0,39.79,0.513335,0.445373,0.935484,0.0301324,0.445373,0.451717,0.457696,0.935484,0.930108,0.93414,0.573831,0.560274,0.573396,0.57537,0.108742,0.11248,0.119623,0.123658,0.6394,0.580735,0.600274,0.619541,0.103506,0.100771,0.101774,0.104203,-9999,-9999
200504,11.392,1.0,398.578,215.374,0.940972,314.639,0.0,7.333,1.0,99.007,1.0,2.517,1.0,4.031,1.0,0.250140625,0.655555555556,114.771603472,1.0,-9999,-9999,-9999,-9999,-9999,-9999,407.697,1.0,11.982,1.0,34.866,1.0,3.60148,1.0,47.9136,0.990972,57.9933,0.411062,43.8869,1.0,53.1195,0.561052,0.749958,0.800694,0.0313319,0.703328,0.732043,0.759726,0.861111,0.815278,0.784722,2.08527,2.04921,2.08527,2.13126,1.28567,1.34792,1.36125,1.36605,0.610206,0.345567,0.473667,0.647942,1.61057,1.55391,1.57072,1.61057,-9999,-9999
200505,13.939,0.99664,459.923,226.744,0.950269,332.292,0.0,6.861,0.99664,99.137,0.995296,2.259,0.995296,3.45,0.999328,0.251346927128,0.997983870968,123.898272063,0.995295698925,-9999,-9999,34.6681966504,0.502688172043,-9999,-9999,404.05,0.99664,15.718,0.99664,25.943,0.99664,6.67417,0.99664,77.7275,0.987903,98.0323,0.453201,16.8482,0.998656,21.2494,0.395683,-3.63823,0.944892,0.0470435,-3.67593,-3.65542,-3.60284,0.969758,0.953629,0.936828,3.75817,3.73067,3.75726,3.78814,7.40314,7.39098,7.39914,7.40659,4.08943,3.84424,3.88124,4.0468,7.57104,7.48408,7.50822,7.5599,-9999,-9999
