TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-27.109,1.0,2.82493,2.153,1.0,184.949,1.0,0.337,1.0,96.176,0.992608,0.0,1.0,3.515,0.702285,-9999,-9999,-16.7579333871,1.0,3.12898933355,0.989919354839,-9999,-9999,1.90133064516,1.0,200.755215726,1.0,362.476,0.958333,-8.049,1.0,-10.1046,1.0,2.90422,0.988575,1.03665,0.231729,-23.6599,0.952957,-8.44534,0.532888,0.417282,0.950269,0.0146191,0.385824,0.390065,0.422543,0.958333,0.964382,0.922715,0.18429,0.177147,0.206946,0.209602,-0.197489,-0.231862,-0.195545,-0.182983,0.33583,0.124649,0.127347,0.33583,0.0,0.0,0.00114126,0.0340322,-9999,-9999
200402,-32.863,1.0,44.0942,18.88,0.994971,184.937,1.0,0.131,1.0,94.99,0.989224,0.0,1.0,2.278,0.737069,-9999,-9999,-2.16105681034,1.0,30.6738914656,0.997126436782,-9999,-9999,18.4339130747,1.0,187.203823994,1.0,357.4,0.735632,-11.904,1.0,-7.35495,1.0,-0.344048,0.85704,-0.0414581,0.071382,-9.07265,0.72342,-1.09326,0.582392,0.144954,0.730603,0.024553,0.119806,0.147639,0.161642,0.69181,0.732759,0.736351,0.0368663,0.0355813,0.0473313,0.054025,-0.106467,-0.107811,-0.105936,-0.0871736,0.0950107,0.0543605,0.0678325,0.0950107,0.0,0.0,0.0736132,0.132253,-9999,-9999
200403,-25.969,1.0,145.616,100.537,0.956989,184.735,1.0,0.276,1.0,95.194,0.99328,0.0,1.0,3.08,0.971774,0.259269745535,0.532930107527,-0.495748319035,0.999327956989,178.52542275,0.989919354839,-9999,-9999,84.0760941718,0.998655913978,205.844539651,1.0,359.829,0.87836,-11.142,1.0,-4.67424,1.0,3.18589,0.920699,-0.369391,0.320082,-17.958,0.891129,2.08216,0.581365,0.414809,0.834005,0.0153831,0.354547,0.385574,0.509096,0.869624,0.864247,0.803763,0.192568,0.180098,0.191471,0.217247,-0.193006,-0.285747,-0.187206,-0.172521,0.182333,0.140044,0.143849,0.179241,0.0130528,0.0171754,0.0504152,0.0869759,-9999,-9999
200404,-12.854,1.0,283.214,208.309,0.990278,207.16,1.0,0.853,1.0,95.055,0.995139,0.0,0.998611,2.336,0.965972,0.182957818834,0.8625,4.79378072222,1.0,400.781446389,1.0,-9999,-9999,162.054208665,0.998611111111,251.662065519,0.998611111111,360.906,0.961111,-9.81,1.0,-1.32549,1.0,1.95992,0.970833,2.07704,0.249862,-3.77671,0.96875,-4.00239,0.502502,0.201595,0.909722,0.00870423,0.191535,0.272528,0.281693,0.899306,0.932639,0.958333,0.269188,0.259119,0.260809,0.269616,-0.00363588,-0.0199571,-0.00365277,0.0544019,0.345488,0.280799,0.372288,0.433731,0.0272483,0.0,0.000178003,0.00265303,-9999,-9999
200405,-0.038,1.0,413.626,248.04,0.987231,274.579,1.0,1.327,1.0,95.105,0.993952,1.652,1.0,2.537,0.551075,0.167419150102,0.969758064516,70.1329809409,1.0,496.389361242,0.995295698925,-9999,-9999,144.25709879,1.0,309.50625672,1.0,364.634,0.991935,-2.451,1.0,10.1889,1.0,20.0812,0.997312,44.8906,0.460501,6.70354,0.998656,14.9855,0.481864,0.348627,0.932124,0.00894726,0.26847,0.29872,0.351917,0.983871,0.969758,0.807124,0.323138,0.241365,0.323138,0.465317,0.025582,-0.0202886,0.0296874,0.11692,0.443428,0.417993,0.458301,0.53179,0.178261,0.0927082,0.124856,0.161369,-9999,-9999
200406,11.922,1.0,483.542,281.502,1.0,292.363,1.0,5.178,1.0,95.322,0.991667,1.04,1.0,2.716,0.214583,0.260206681037,0.99375,144.239431743,1.0,542.879018428,0.998611111111,-9999,-9999,54.5071840278,1.0,375.119208333,1.0,363.334,0.999306,8.433,1.0,20.4027,1.0,86.8234,1.0,80.6611,0.729498,46.4796,0.998611,43.1807,0.413711,-0.933628,0.997222,0.020123,-0.948302,-0.943619,-0.936181,0.999306,0.989583,0.997222,1.29405,1.25527,1.26882,1.32134,2.22959,2.20341,2.20969,2.2659,1.6236,1.52011,1.63396,1.72171,2.64336,2.56006,2.61317,2.6602,-9999,-9999
200407,13.192,0.777554,446.788,185.913,0.789651,320.663,0.789651,3.764,1.0,94.877,0.611559,4.345,0.788978,3.242,0.788978,0.308621754587,0.564516129032,99.0630294705,0.774193548387,370.750713021,0.774193548387,28.0143255208,0.774193548387,37.6915538194,0.774193548387,380.538472222,0.774193548387,351.888,0.768145,11.048,0.777554,22.1159,0.777554,41.6441,0.768817,46.7524,0.870005,20.0909,0.777554,22.5554,0.408794,-1.9633,0.754032,0.0294806,-1.98944,-1.91798,-1.91108,0.744624,0.760753,0.760753,2.34345,1.7996,2.2846,2.34739,4.21922,3.71112,4.18929,4.32263,2.92249,2.84608,2.92249,3.02525,4.82035,4.62335,4.63986,4.79993,-9999,-9999
200408,10.103,0.133737,328.917,144.712,0.133737,305.194,0.133737,0.318,1.0,95.381,0.12164,1.354,0.133065,2.941,0.133065,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,364.543,0.129704,5.887,0.133737,9.09648,0.133737,25.1319,0.129704,27.7543,0.337278,12.2651,0.129704,13.5449,0.362084,-0.462734,0.129704,0.0241767,-0.450396,-0.445543,-0.430578,0.129704,0.129032,0.129704,2.24743,1.79151,2.19738,2.26012,2.68915,2.2378,2.46344,2.68843,2.45131,2.43637,2.45131,2.45701,2.61882,2.58239,2.60249,2.61346,-9999,-9999
200409,-2.973,0.993056,191.361,84.311,0.994444,265.245,0.99375,0.702,1.0,94.608,0.836806,0.703,0.989583,3.628,0.989583,0.267120224429,0.670833333333,15.6885997146,0.989583333333,160.874610069,0.988194444444,72.6694905934,0.989583333333,36.2770770833,0.989583333333,297.734456187,0.989583333333,367.796,0.992361,0.511,0.993056,-1.16676,0.993056,11.2676,0.991667,12.2369,0.200425,4.85764,0.988889,5.27553,0.312079,0.750992,0.959722,0.0151391,0.714655,0.723103,0.77437,0.988889,0.988194,0.975694,1.08141,1.08107,1.09281,1.11621,0.358304,0.309135,0.358304,0.401873,1.04006,0.9858,1.02166,1.04483,0.265682,0.297994,0.311472,0.371353,-9999,-9999
200410,-9.96,1.0,74.7493,35.949,0.997984,244.422,1.0,0.539,1.0,94.06,0.994624,0.0,1.0,3.283,0.946237,0.186838508441,0.695564516129,-13.9742091868,1.0,66.9506673308,0.998655913978,72.1404933368,0.999327956989,30.4836599462,1.0,263.940287634,1.0,373.916,0.905914,-0.748,1.0,-1.19606,1.0,1.14673,0.918683,1.63031,0.162947,-11.4814,0.926075,-16.3232,0.352474,0.638544,0.91129,0.0127457,0.498739,0.564761,0.72292,0.896505,0.855511,0.894489,0.405564,0.307848,0.419776,0.523976,-0.132241,-0.193749,-0.188679,-0.161419,0.437282,0.433598,0.441204,0.455395,0.0,0.00167764,0.00450621,0.0111664,-9999,-9999
200411,-16.216,1.0,10.503,5.582,1.0,216.875,1.0,0.529,1.0,93.963,0.99375,0.0,1.0,3.156,0.854167,0.226546935861,0.659722222222,-22.5211455556,1.0,9.54227169926,0.968055555556,9.33566666667,1.0,5.06303680556,1.0,239.12120625,1.0,374.183,0.991667,-1.722,1.0,-2.62125,1.0,0.266245,1.0,0.518198,0.10343,-10.6149,0.993056,-20.6601,0.413486,0.199119,0.9375,0.00835705,0.13716,0.155733,0.433286,0.94375,0.933333,0.920833,0.28347,0.222389,0.28347,0.321599,0.165014,-0.0951606,0.068378,0.0990789,0.641561,0.723107,0.753728,1.17464,0.0331008,0.0,0.0,0.0297582,-9999,-9999
200412,-25.146,1.0,0.0,0.208,1.0,202.905,1.0,0.253,1.0,94.799,0.995968,0.0,0.999328,3.278,0.737231,-9999,-9999,-10.1176534409,1.0,0.751194180649,0.965725806452,0.529669912491,0.998655913978,0.375647263212,0.999327956989,212.038203701,0.999327956989,379.89,0.995968,-3.131,1.0,-3.00163,1.0,2.60937,0.766801,2.36283,0.226773,-10.4749,0.920027,-9.48521,0.44828,0.232577,0.992608,0.012699,0.208716,0.23434,0.415228,0.981855,0.99328,0.942876,0.115688,1.8481e-07,0.0915558,0.116687,-0.0901186,-0.298303,-0.234011,-0.131779,0.333781,0.368069,0.383639,0.5884,0.00177965,0.0,0.0,0.00163028,-9999,-9999
200501,-21.709,1.0,2.82493,1.944,1.0,199.417,1.0,0.428,1.0,95.43,0.981855,0.0,1.0,4.046,0.769489,0.274942891534,0.595430107527,-22.8707883065,1.0,3.70306480511,1.0,3.85467674731,1.0,2.17909767502,0.999327956989,221.052005376,1.0,376.258,0.977151,-5.5,1.0,-2.35847,1.0,4.46541,0.971774,10.1234,0.270719,-13.5718,0.972446,-30.7683,0.416982,0.0595533,0.905914,0.0187336,0.0582566,0.0726209,0.10335,0.905242,0.926075,0.936828,0.181485,0.0337923,0.111341,0.156659,0.108864,-0.0186614,0.00490271,0.0495861,0.143242,0.113752,0.136497,0.141777,0.00186936,0.00131887,0.00186936,0.00579211,-9999,-9999
200502,-24.704,1.0,42.7114,22.317,1.0,207.221,1.0,0.298,1.0,94.729,0.991815,0.0,1.0,2.073,0.828869,0.281306266434,0.549107142857,-4.78839420387,1.0,41.6968307143,1.0,43.4232849702,1.0,22.6911488095,1.0,211.569901042,1.0,375.438,0.87872,-8.476,1.0,-1.73081,1.0,0.86246,0.982887,0.218926,0.0976454,-12.9363,0.941964,-3.28372,0.488366,0.0291252,0.752976,0.0122104,0.0291252,0.0783498,0.117132,0.752976,0.654762,0.670387,0.107046,0.0867309,0.0959768,0.107498,0.0870406,-0.0291584,0.0267022,0.0618467,0.107952,0.0857273,0.102868,0.106848,0.0128222,0.0108663,0.0144998,0.0656719,-9999,-9999
200503,-21.918,1.0,141.492,92.046,0.995968,203.748,1.0,0.425,1.0,94.985,0.994624,0.0,1.0,3.035,0.999328,0.320367679333,0.700268817204,-3.29083307796,1.0,163.217509617,1.0,177.089730511,1.0,78.2505537634,1.0,221.596024194,1.0,376.81,0.910618,-8.747,1.0,-1.24805,1.0,0.0495848,0.989247,0.0227323,0.138031,-6.86345,0.950269,-3.14656,0.324234,0.134553,0.863575,0.00630794,0.107161,0.121859,0.145652,0.895161,0.859543,0.884409,0.07004,0.0646056,0.0678,0.0725552,-0.0537953,-0.0730969,-0.0537953,-0.0407339,0.183858,0.125676,0.146122,0.178089,0.125634,0.0649261,0.079993,0.0993146,-9999,-9999
200504,-16.62,1.0,278.565,211.956,0.9875,201.21,1.0,0.742,1.0,95.229,0.992361,0.0,0.998611,2.507,0.997917,0.151543431306,0.938888888889,7.36392143813,0.992361111111,398.942143152,0.999305555556,394.155485839,0.998611111111,165.047033998,0.998611111111,240.14437032,0.998611111111,382.162,0.974306,-8.627,1.0,-0.776742,1.0,1.36609,0.999306,0.626287,0.121943,-3.22203,0.990278,-1.47715,0.316892,0.158184,0.882639,0.00605234,0.140685,0.148697,0.162549,0.954167,0.960417,0.857639,0.161014,0.128192,0.14559,0.238383,0.0058619,-0.0173804,0.00168817,0.0660129,0.230202,0.23146,0.276957,0.320826,0.181036,0.000587122,0.00873749,0.153594,-9999,-9999
200505,-2.893,1.0,409.957,258.522,0.96707,267.901,1.0,0.826,1.0,94.997,0.995296,2.435,1.0,2.65,0.975134,0.23754902542,0.578629032258,35.5207779167,1.0,548.745203467,0.999327956989,515.615032258,1.0,193.685653226,1.0,297.441380376,1.0,384.47,0.844758,-2.929,1.0,5.93625,1.0,3.99251,0.938172,5.43448,0.187162,1.4099,0.867608,1.91911,0.239331,0.282776,0.65457,0.00782956,0.258315,0.268872,0.282776,0.803763,0.605511,0.65457,0.457416,0.383102,0.428814,0.457416,0.165874,0.120343,0.141109,0.17478,0.421357,0.372184,0.437772,0.474366,0.0,0.0,2.70234e-05,0.00799502,-9999,-9999
200506,8.327,1.0,482.86,262.991,1.0,289.527,1.0,3.935,1.0,95.128,0.958333,0.433,1.0,2.975,1.0,0.227992189523,0.954861111111,124.772449875,1.0,506.206198835,0.997916666667,130.982939583,1.0,72.7347263889,1.0,355.132083333,1.0,382.647,0.999306,4.892,1.0,16.5006,1.0,41.001,1.0,55.8093,0.434096,38.5587,0.999306,52.4849,0.538295,-0.395753,0.990972,0.0155929,-0.402468,-0.399046,-0.387969,0.992361,0.990972,0.990278,1.23627,1.21171,1.23624,1.27253,1.63579,1.59968,1.6368,1.66383,1.82421,1.26763,1.41213,1.57322,1.67157,1.61534,1.67157,1.77339,-9999,-9999
