TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,16.971,0.0,259.468,145.82,0.0,362.307,0.0,4.536,0.0,102.112,0.0,0.683,0.0,2.941,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,43.9316,0.0,-9999,-9999,40.0349,0.0,-9999,-9999,-0.471466,0.0,-9999,-0.595908,-0.52985,-0.325052,0.0,0.0,0.0,3.28195,3.22032,3.28024,3.28365,3.64477,3.64192,3.79761,3.87515,4.28174,3.57563,4.09104,4.5344,4.1415,3.85773,4.07211,4.14259,-9999,0.0
200202,16.701,0.00818452,311.846,164.441,0.00892857,361.794,0.0,5.842,0.00818452,102.076,0.000744048,1.701,0.000744048,3.22,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,43.5398,0.0,-9999,0.973126,39.8554,0.0,-9999,1.5022,-0.475427,0.0,0.106671,-0.60117,-0.530152,-0.328404,0.0,0.0,0.0,3.24365,3.18622,3.24164,3.24564,3.6124,3.60444,3.76449,3.84165,4.22111,3.44053,4.0087,4.53036,4.37111,4.07121,4.29906,4.37111,3.05437,0.536458
200203,21.467,1.0,376.668,232.427,1.0,369.088,0.0,6.68,1.0,102.004,1.0,1.484,1.0,3.605,0.622312,0.353477270159,0.60685483871,139.61244422,1.0,446.970571909,1.0,377.351,0.810484,25.487,0.995968,11.832,1.0,-9999,1.0,55.8917,0.78629,-9999,0.57269,44.2476,0.789651,-9999,0.583635,-0.642491,0.795027,0.0340792,-0.820448,-0.691258,-0.562612,0.801075,0.799059,0.729167,3.68666,3.63244,3.67739,3.83297,4.34151,4.38548,4.40834,4.45055,4.08941,3.81543,4.04869,4.21236,4.89445,4.80544,4.87273,4.90067,4.04378,1.0
200204,24.395,1.0,432.197,252.488,1.0,383.095,0.0,8.792,1.0,101.976,1.0,0.933,1.0,3.225,0.935417,0.363552198699,0.935416666667,161.864645833,1.0,485.543809028,1.0,374.754,1.0,30.252,1.0,9.214,1.0,-9999,1.0,71.6804,0.997222,-9999,0.734369,41.5608,0.997917,-9999,0.615033,-1.92051,0.990278,0.0449633,-1.96803,-1.94299,-1.84428,0.996528,0.99375,0.934722,4.55142,4.48229,4.52917,4.79399,6.54854,6.4542,6.47412,6.62939,4.98278,4.94338,4.97781,5.02244,6.79097,6.79475,6.81608,6.89782,5.22788,1.0
200205,25.858,1.0,465.181,281.769,1.0,393.131,0.0,9.551,1.0,101.767,1.0,2.484,1.0,3.894,0.895161,0.440743195638,0.891801075269,179.858590726,1.0,541.855846774,1.0,384.781,1.0,33.806,1.0,6.019,1.0,-9999,1.0,76.4089,0.988575,-9999,0.819377,52.841,0.989919,-9999,0.738589,-1.44935,0.998656,0.0530601,-1.48558,-1.47072,-1.33842,1.0,0.999328,0.989247,5.21013,5.16779,5.20021,5.38543,6.70815,6.65524,6.67507,6.73427,5.52348,5.51172,5.53164,6.14134,6.83052,6.8294,6.84994,7.2173,6.58154,1.0
200206,26.75,0.447222,476.701,222.865,0.446528,417.743,0.0,6.478,0.447222,101.665,0.675694,6.634,0.445139,2.7,0.984028,0.2938878281,0.984027777778,-9999,-9999,-9999,-9999,389.841,0.986806,35.967,0.447222,10.787,0.447222,2.63435,0.698611,44.1534,0.827778,-9999,0.660271,19.4651,0.838194,-9999,0.541312,-0.154138,0.586806,0.0501926,-0.249364,-0.204061,-0.0955817,0.604167,0.516667,0.527778,5.81053,5.63109,5.74713,6.44651,6.00266,5.88569,5.9715,6.60572,6.4029,6.41622,6.46502,6.74905,6.71979,6.69929,6.74654,6.85434,7.50981,1.0
200207,27.606,0.699597,469.896,247.149,0.700941,420.14,0.0,7.287,0.699597,101.877,0.998656,5.645,0.692204,2.223,0.69422,0.259758007747,0.690860215054,233.089735875,0.530241935484,490.880301587,0.677419354839,395.918,0.912634,33.672,0.699597,24.424,0.699597,2.60795,0.0,72.1361,0.750672,-9999,0.68217,29.7386,0.768145,-9999,0.547546,-1.6042,0.69086,0.057654,-1.63903,-1.61161,-1.40362,0.711022,0.698925,0.481183,5.7464,5.60885,5.68409,5.73857,7.31299,7.07526,7.23584,7.31545,5.72749,5.71074,5.74131,6.39702,7.30648,7.17227,7.23779,7.41087,6.28613,1.0
200208,27.684,1.0,443.834,228.974,1.0,421.233,0.0,7.816,1.0,101.752,1.0,6.0,1.0,2.537,0.80578,0.307166207401,0.791666666667,224.28365474,0.756048387097,440.334702957,1.0,384.093,0.991935,34.349,1.0,19.662,1.0,2.36348,0.0,91.5374,0.989247,-9999,0.756085,24.2943,0.991935,-9999,0.50037,-0.84577,0.99328,0.0510873,-0.875718,-0.854964,-0.81556,0.99328,0.99328,0.981183,5.34451,5.21285,5.26683,5.32516,6.08522,6.02514,6.14211,6.18358,5.65393,5.57797,5.61714,5.74143,6.57365,6.49836,6.55069,6.61274,6.51177,1.0
200209,28.234,1.0,397.493,210.084,1.0,424.959,0.0,7.623,1.0,101.46,1.0,2.267,1.0,2.971,0.920139,0.328153783468,0.919444444444,324.840790504,0.509722222222,403.992340972,1.0,381.423,0.998611,33.803,0.204167,21.17,1.0,2.29841,0.577778,79.5254,0.997917,-9999,0.764608,23.7744,0.997917,-9999,0.433029,-0.533883,0.997917,0.0494811,-0.584524,-0.556706,-0.384658,0.997917,0.997917,0.877778,5.14889,5.08344,5.14211,5.35278,5.7555,5.66732,5.67442,5.7555,5.67921,5.64654,5.67986,5.86259,6.09676,6.08364,6.17791,6.37019,6.22723,1.0
200210,25.993,1.0,335.255,173.259,1.0,407.917,0.0,6.802,1.0,101.6,1.0,2.839,1.0,2.516,0.856183,0.237265382796,0.82123655914,-9999,-9999,333.180532315,0.999327956989,378.035,0.999328,26.87,0.25672,13.0,0.3125,-0.299421,1.0,62.5844,0.99664,89.2144,0.671421,25.8695,0.99664,36.8771,0.429189,-0.143266,0.978495,0.0514515,-0.198394,-0.127874,0.194093,0.984543,0.981855,0.495968,4.5673,4.45928,4.5289,4.64816,4.66558,4.43435,4.68236,4.70905,4.31083,4.26543,4.43423,4.74037,4.93414,4.77883,4.85754,5.09939,4.31316,1.0
